time,Houston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: D. Howard vs. N. Vucevic (C. Frye gains possession)
11:50.0,,,0-0,,Turnover by E. Payton (bad pass)
11:32.0,D. Howard misses 2-pt shot from 2 ft (block by N. Vucevic),,0-0,,
11:32.0,,,0-0,,Defensive rebound by V. Oladipo
11:29.0,,,0-0,,Shooting foul by P. Beverley (drawn by E. Payton)
11:29.0,,,0-0,,E. Payton misses free throw 1 of 2
11:29.0,,,0-0,,Offensive rebound by Team
11:29.0,,,0-1,1,E. Payton makes free throw 2 of 2
11:17.0,Turnover by D. Motiejunas (bad pass; steal by N. Vucevic),,0-1,,
11:08.0,,,0-4,3,C. Frye makes 3-pt shot from 24 ft (assist by V. Oladipo)
10:48.0,D. Motiejunas makes 2-pt shot from 8 ft,2,2-4,,
10:27.0,Violation by D. Howard (def goaltending),,2-4,,
10:27.0,,,2-6,2,V. Oladipo makes 2-pt shot from 5 ft (assist by C. Frye)
10:23.0,,,2-6,,Personal foul by E. Payton (drawn by P. Beverley)
10:13.0,Turnover by P. Beverley (bad pass; steal by V. Oladipo),,2-6,,
10:05.0,,,2-6,,D. Marble misses 2-pt shot from 1 ft
10:04.0,Defensive rebound by P. Beverley,,2-6,,
9:55.0,T. Ariza misses 3-pt shot from 24 ft,,2-6,,
9:54.0,,,2-6,,Defensive rebound by N. Vucevic
9:39.0,,,2-9,3,C. Frye makes 3-pt shot from 24 ft (assist by N. Vucevic)
9:20.0,J. Harden misses 3-pt shot from 25 ft,,2-9,,
9:19.0,,,2-9,,Defensive rebound by N. Vucevic
9:07.0,,,2-9,,V. Oladipo misses 2-pt shot from 2 ft
9:07.0,,,2-9,,Offensive rebound by V. Oladipo
9:07.0,,,2-11,2,V. Oladipo makes 2-pt shot from 2 ft
8:58.0,Houston full timeout,,2-11,,
8:51.0,P. Beverley makes 2-pt shot from 7 ft (assist by D. Howard),2,4-11,,
8:31.0,,,4-14,3,C. Frye makes 3-pt shot from 25 ft (assist by N. Vucevic)
8:31.0,,,4-14,,Violation by Team (delay of game)
8:20.0,Turnover by J. Harden (bad pass; steal by E. Payton),,4-14,,
8:12.0,,,4-14,,V. Oladipo misses 2-pt shot at rim
8:11.0,,,4-14,,Offensive rebound by V. Oladipo
8:07.0,,,4-16,2,V. Oladipo makes 2-pt shot from 5 ft
7:50.0,J. Harden makes 2-pt shot from 1 ft,2,6-16,,
7:39.0,,,6-16,,V. Oladipo misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by T. Ariza,,6-16,,
7:26.0,D. Motiejunas misses 2-pt shot from 8 ft,,6-16,,
7:25.0,,,6-16,,Defensive rebound by E. Payton
7:17.0,,,6-16,,D. Marble misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by D. Howard,,6-16,,
7:09.0,,,6-16,,Violation by D. Marble (kicked ball)
6:58.0,D. Howard misses 2-pt shot from 6 ft,,6-16,,
6:58.0,,,6-16,,Defensive rebound by E. Payton
6:51.0,,,6-16,,E. Payton misses 2-pt shot from 1 ft (block by D. Howard)
6:51.0,,,6-16,,Offensive rebound by Team
6:40.0,,,6-16,,N. Vucevic misses 2-pt shot from 17 ft
6:40.0,Defensive rebound by D. Motiejunas,,6-16,,
6:35.0,Offensive foul by D. Howard,,6-16,,
6:35.0,Turnover by D. Howard (offensive foul),,6-16,,
6:24.0,,,6-16,,Turnover by E. Payton (bad pass; steal by T. Ariza)
6:19.0,T. Ariza makes 2-pt shot at rim (assist by D. Howard),2,8-16,,
6:06.0,,,8-16,,D. Marble misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by D. Howard,,8-16,,
5:42.0,P. Beverley misses 2-pt shot from 18 ft,,8-16,,
5:41.0,,,8-16,,Defensive rebound by V. Oladipo
5:35.0,,,8-18,2,V. Oladipo makes 2-pt shot from 1 ft
5:22.0,J. Harden makes 2-pt shot from 1 ft,2,10-18,,
5:12.0,,,10-18,,D. Marble misses 3-pt shot from 23 ft
5:10.0,,,10-18,,Offensive rebound by D. Marble
5:04.0,,,10-18,,Turnover by D. Marble (bad pass; steal by D. Motiejunas)
5:01.0,T. Ariza makes 2-pt shot at rim (assist by D. Motiejunas),2,12-18,,
5:01.0,,,12-18,,Orlando full timeout
5:01.0,J. Smith enters the game for T. Ariza,,12-18,,
5:01.0,C. Brewer enters the game for D. Motiejunas,,12-18,,
5:01.0,,,12-18,,E. Fournier enters the game for V. Oladipo
4:48.0,,,12-20,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
4:31.0,,,12-20,,Personal foul by C. Frye (drawn by D. Howard)
4:20.0,C. Brewer misses 3-pt shot from 22 ft,,12-20,,
4:19.0,,,12-20,,Defensive rebound by D. Marble
4:07.0,,,12-20,,C. Frye misses 2-pt shot from 22 ft
4:07.0,Defensive rebound by C. Brewer,,12-20,,
3:58.0,Shooting foul by D. Marble (drawn by J. Harden),,12-20,,
3:58.0,J. Harden makes free throw 1 of 2,1,13-20,,
3:58.0,J. Harden misses free throw 2 of 2,,13-20,,
3:57.0,,,13-20,,Defensive rebound by C. Frye
3:49.0,,,13-20,,N. Vucevic misses 2-pt shot from 18 ft
3:48.0,Defensive rebound by C. Brewer,,13-20,,
3:41.0,J. Smith misses 3-pt shot from 24 ft,,13-20,,
3:39.0,Offensive rebound by C. Brewer,,13-20,,
3:39.0,C. Brewer misses 2-pt shot from 1 ft,,13-20,,
3:37.0,,,13-20,,Defensive rebound by N. Vucevic
3:28.0,,,13-22,2,E. Fournier makes 2-pt shot at rim
3:16.0,P. Beverley makes 2-pt shot at rim (assist by C. Brewer),2,15-22,,
3:02.0,,,15-22,,L. Ridnour enters the game for E. Payton
3:02.0,A. Shved enters the game for P. Beverley,,15-22,,
2:50.0,,,15-24,2,N. Vucevic makes 2-pt shot from 6 ft (assist by D. Marble)
2:40.0,J. Smith makes 2-pt shot from 1 ft (assist by A. Shved),2,17-24,,
2:20.0,,,17-24,,C. Frye misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by J. Harden,,17-24,,
2:08.0,C. Brewer misses 2-pt shot from 7 ft,,17-24,,
2:05.0,Offensive rebound by D. Howard,,17-24,,
2:05.0,D. Howard makes 2-pt shot at rim,2,19-24,,
1:53.0,,,19-24,,L. Ridnour misses 2-pt shot from 7 ft
1:53.0,Defensive rebound by D. Howard,,19-24,,
1:42.0,Turnover by J. Smith (bad pass; steal by E. Fournier),,19-24,,
1:34.0,,,19-24,,D. Marble misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by J. Smith,,19-24,,
1:20.0,A. Shved misses 2-pt shot from 22 ft,,19-24,,
1:19.0,,,19-24,,Defensive rebound by L. Ridnour
1:00.0,,,19-26,2,E. Fournier makes 2-pt shot from 1 ft (assist by C. Frye)
0:45.0,Turnover by J. Harden (lost ball),,19-26,,
0:45.0,D. Motiejunas enters the game for D. Howard,,19-26,,
0:45.0,,,19-26,,M. Harkless enters the game for D. Marble
0:45.0,T. Ariza enters the game for J. Harden,,19-26,,
0:30.0,,,19-28,2,N. Vucevic makes 2-pt shot from 1 ft
0:30.0,,,19-28,,Shooting foul by C. Brewer (drawn by N. Vucevic)
0:30.0,,,19-29,1,N. Vucevic makes free throw 1 of 1
0:06.0,J. Smith misses 2-pt shot from 22 ft,,19-29,,
0:04.0,Offensive rebound by Team,,19-29,,
0:01.0,D. Motiejunas misses 2-pt shot from 7 ft,,19-29,,
0:00.0,,,19-29,,Defensive rebound by N. Vucevic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Smith misses 3-pt shot from 24 ft,,19-29,,
11:48.0,Offensive rebound by Team,,19-29,,
11:48.0,,,19-29,,Loose ball foul by K. O'Quinn (drawn by D. Motiejunas)
11:36.0,A. Shved misses 2-pt shot from 14 ft,,19-29,,
11:35.0,,,19-29,,Defensive rebound by Team
11:15.0,,,19-29,,M. Harkless misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by T. Ariza,,19-29,,
11:06.0,Shooting foul by K. O'Quinn (drawn by A. Shved),,19-29,,
11:06.0,A. Shved makes free throw 1 of 2,1,20-29,,
11:06.0,,,20-29,,V. Oladipo enters the game for E. Fournier
11:06.0,A. Shved makes free throw 2 of 2,1,21-29,,
10:43.0,,,21-29,,M. Harkless misses 2-pt shot from 5 ft
10:43.0,Defensive rebound by J. Smith,,21-29,,
10:32.0,C. Brewer makes 3-pt shot from 23 ft (assist by D. Motiejunas),3,24-29,,
10:22.0,,,24-29,,Turnover by L. Ridnour (bad pass; steal by C. Brewer)
10:18.0,Shooting foul by M. Harkless (drawn by C. Brewer),,24-29,,
10:18.0,C. Brewer makes free throw 1 of 2,1,25-29,,
10:18.0,C. Brewer makes free throw 2 of 2,1,26-29,,
10:06.0,,,26-29,,K. O'Quinn misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by J. Smith,,26-29,,
9:59.0,C. Brewer misses 3-pt shot from 23 ft,,26-29,,
9:57.0,,,26-29,,Defensive rebound by L. Ridnour
9:43.0,,,26-31,2,L. Ridnour makes 2-pt shot at rim (assist by K. O'Quinn)
9:29.0,J. Smith misses 2-pt shot from 5 ft,,26-31,,
9:28.0,Offensive rebound by D. Motiejunas,,26-31,,
9:27.0,Shooting foul by V. Oladipo (drawn by J. Smith),,26-31,,
9:27.0,J. Smith misses free throw 1 of 2,,26-31,,
9:27.0,Offensive rebound by Team,,26-31,,
9:27.0,,,26-31,,E. Payton enters the game for L. Ridnour
9:27.0,J. Smith makes free throw 2 of 2,1,27-31,,
9:11.0,,,27-33,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by B. Gordon)
8:52.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Smith),3,30-33,,
8:42.0,,,30-33,,Orlando full timeout
8:29.0,,,30-33,,M. Harkless misses 2-pt shot at rim
8:28.0,Defensive rebound by A. Shved,,30-33,,
8:21.0,D. Motiejunas misses 2-pt shot from 7 ft,,30-33,,
8:20.0,Offensive rebound by J. Smith,,30-33,,
8:06.0,J. Smith misses 2-pt shot from 9 ft,,30-33,,
8:06.0,,,30-33,,Defensive rebound by E. Payton
7:56.0,,,30-33,,M. Harkless misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by D. Motiejunas,,30-33,,
7:48.0,C. Brewer makes 2-pt shot from 1 ft,2,32-33,,
7:39.0,,,32-35,2,V. Oladipo makes 2-pt shot from 2 ft
7:20.0,,,32-35,,Personal foul by K. O'Quinn (drawn by A. Shved)
7:20.0,A. Shved makes free throw 1 of 2,1,33-35,,
7:20.0,,,33-35,,N. Vucevic enters the game for M. Harkless
