time,Brooklyn,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (O. Porter gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (O. Porter gains possession)
11:48.0,,,0-2,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
11:23.0,J. Jack misses 2-pt shot from 5 ft,,0-2,,
11:22.0,Offensive rebound by B. Lopez,,0-2,,
11:20.0,B. Lopez misses 2-pt shot from 5 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by N. Hilario
11:15.0,,,0-2,,Shooting foul by A. Anderson (drawn by O. Porter)
11:15.0,,,0-4,2,O. Porter makes 2-pt shot from 2 ft (assist by N. Hilario)
11:15.0,,,0-5,1,O. Porter makes free throw 1 of 1
11:15.0,B. Lopez makes 2-pt shot from 3 ft (assist by J. Jack),2,2-5,,
11:05.0,,,2-5,,O. Porter misses 2-pt shot from 4 ft
11:04.0,Defensive rebound by B. Lopez,,2-5,,
10:57.0,Turnover by J. Jack (bad pass; steal by N. Hilario),,2-5,,
10:53.0,,,2-5,,Turnover by J. Wall (bad pass; steal by J. Jack)
10:40.0,A. Anderson misses 3-pt shot from 27 ft,,2-5,,
10:39.0,Offensive rebound by M. Plumlee,,2-5,,
10:34.0,J. Johnson misses 3-pt shot from 28 ft,,2-5,,
10:33.0,,,2-5,,Defensive rebound by O. Porter
10:24.0,,,2-5,,M. Gortat misses 2-pt shot from 1 ft (block by M. Plumlee)
10:23.0,,,2-5,,Offensive rebound by M. Gortat
10:20.0,,,2-5,,N. Hilario misses 2-pt shot from 14 ft
10:19.0,,,2-5,,Offensive rebound by M. Gortat
10:15.0,,,2-5,,Shooting foul by M. Plumlee (drawn by M. Gortat)
10:15.0,,,2-5,,M. Gortat misses free throw 1 of 2
10:15.0,,,2-5,,Offensive rebound by Team
10:15.0,,,2-6,1,M. Gortat makes free throw 2 of 2
10:15.0,Turnover by M. Plumlee (bad pass; steal by P. Pierce),,2-6,,
10:11.0,,,2-8,2,J. Wall makes 2-pt shot from 1 ft (assist by P. Pierce)
9:59.0,Brooklyn full timeout,,2-8,,
9:22.0,B. Lopez misses 2-pt shot from 2 ft (block by O. Porter),,2-8,,
9:21.0,,,2-8,,Defensive rebound by J. Wall
9:16.0,,,2-10,2,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall)
8:55.0,Turnover by J. Johnson (bad pass),,2-10,,
8:55.0,J. Jordan enters the game for M. Plumlee,,2-10,,
8:35.0,,,2-12,2,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario)
8:18.0,J. Jack makes 2-pt shot from 20 ft,2,4-12,,
8:08.0,,,4-14,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
7:58.0,A. Anderson misses 3-pt shot from 24 ft,,4-14,,
7:57.0,,,4-14,,Defensive rebound by Team
7:57.0,Loose ball foul by B. Lopez (drawn by N. Hilario),,4-14,,
7:57.0,D. Williams enters the game for A. Anderson,,4-14,,
7:42.0,,,4-14,,P. Pierce misses 3-pt shot from 26 ft
7:42.0,Defensive rebound by D. Williams,,4-14,,
7:36.0,,,4-14,,Personal foul by P. Pierce (drawn by D. Williams)
7:24.0,D. Williams misses 3-pt shot from 26 ft,,4-14,,
7:23.0,,,4-14,,Defensive rebound by P. Pierce
7:17.0,,,4-14,,J. Wall misses 2-pt shot at rim
7:16.0,,,4-14,,Offensive rebound by M. Gortat
7:16.0,,,4-16,2,M. Gortat makes 2-pt shot from 1 ft
7:00.0,J. Johnson makes 2-pt shot from 12 ft (assist by B. Lopez),2,6-16,,
6:38.0,Personal foul by J. Jordan (drawn by N. Hilario),,6-16,,
6:37.0,Personal foul by J. Jordan (drawn by N. Hilario),,6-16,,
6:37.0,,,6-17,1,N. Hilario makes free throw 1 of 2
6:37.0,M. Plumlee enters the game for J. Jordan,,6-17,,
6:37.0,,,6-17,,N. Hilario misses free throw 2 of 2
6:37.0,Defensive rebound by M. Plumlee,,6-17,,
6:27.0,,,6-17,,Violation by O. Porter (kicked ball)
6:18.0,B. Lopez makes 2-pt shot from 12 ft,2,8-17,,
6:08.0,,,8-20,3,J. Wall makes 3-pt shot from 26 ft
5:55.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,10-20,,
5:51.0,,,10-20,,Turnover by J. Wall (bad pass)
5:51.0,,,10-20,,Washington full timeout
5:38.0,B. Lopez makes 2-pt shot at rim (assist by J. Jack),2,12-20,,
5:12.0,,,12-22,2,O. Porter makes 2-pt shot from 18 ft (assist by M. Gortat)
4:53.0,Turnover by J. Jack (bad pass; steal by O. Porter),,12-22,,
4:49.0,,,12-24,2,O. Porter makes 2-pt shot at rim
4:26.0,B. Lopez misses 2-pt shot from 19 ft,,12-24,,
4:25.0,,,12-24,,Defensive rebound by P. Pierce
4:17.0,,,12-24,,J. Wall misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by M. Plumlee,,12-24,,
4:08.0,J. Jack misses 2-pt shot from 19 ft,,12-24,,
4:07.0,,,12-24,,Defensive rebound by J. Wall
4:00.0,,,12-24,,P. Pierce misses 3-pt shot from 27 ft
3:59.0,Defensive rebound by M. Plumlee,,12-24,,
3:52.0,D. Williams misses 2-pt shot from 9 ft,,12-24,,
3:52.0,,,12-24,,Defensive rebound by M. Gortat
3:40.0,,,12-24,,N. Hilario misses 2-pt shot from 2 ft
3:39.0,,,12-24,,Offensive rebound by N. Hilario
3:38.0,,,12-26,2,N. Hilario makes 2-pt shot from 3 ft
3:14.0,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson),2,14-26,,
2:48.0,,,14-26,,Turnover by N. Hilario (lost ball; steal by M. Plumlee)
2:36.0,B. Lopez makes 2-pt shot from 6 ft (assist by D. Williams),2,16-26,,
2:23.0,,,16-26,,P. Pierce misses 2-pt shot from 2 ft (block by M. Plumlee)
2:22.0,Defensive rebound by B. Lopez,,16-26,,
2:12.0,Brooklyn full timeout,,16-26,,
2:12.0,,,16-26,,R. Butler enters the game for P. Pierce
2:12.0,,,16-26,,G. Temple enters the game for N. Hilario
2:12.0,,,16-26,,K. Humphries enters the game for O. Porter
2:12.0,B. Bogdanovic enters the game for J. Johnson,,16-26,,
2:12.0,A. Anderson enters the game for J. Jack,,16-26,,
2:08.0,B. Lopez makes 2-pt shot from 12 ft (assist by D. Williams),2,18-26,,
1:42.0,,,18-28,2,J. Wall makes 2-pt shot from 15 ft (assist by M. Gortat)
