time,Dallas,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Thompson (M. Dellavedova gains possession),,,,Jump ball: T. Chandler vs. T. Thompson (M. Dellavedova gains possession)
11:45.0,,,0-0,,T. Thompson misses 2-pt shot at rim
11:43.0,Defensive rebound by R. Rondo,,0-0,,
11:26.0,D. Nowitzki makes 2-pt shot from 14 ft,2,2-0,,
11:07.0,,,2-0,,Turnover by K. Love (bad pass)
10:52.0,M. Ellis makes 2-pt shot at rim (assist by D. Nowitzki),2,4-0,,
10:40.0,,,4-0,,K. Irving misses 2-pt shot from 18 ft
10:39.0,Defensive rebound by D. Nowitzki,,4-0,,
10:28.0,M. Ellis misses 2-pt shot at rim,,4-0,,
10:25.0,,,4-0,,Defensive rebound by K. Irving
10:12.0,,,4-3,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Love)
9:51.0,D. Nowitzki makes 2-pt shot from 15 ft,2,6-3,,
9:30.0,,,6-3,,M. Dellavedova misses 2-pt shot from 20 ft
9:29.0,,,6-3,,Offensive rebound by K. Love
9:25.0,,,6-3,,K. Love misses 2-pt shot at rim (block by D. Nowitzki)
9:24.0,,,6-3,,Offensive rebound by K. Love
9:24.0,,,6-5,2,K. Love makes 2-pt shot at rim
9:03.0,D. Nowitzki misses 2-pt shot from 10 ft,,6-5,,
9:02.0,,,6-5,,Defensive rebound by K. Irving
8:55.0,,,6-5,,M. Miller misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by M. Ellis,,6-5,,
8:44.0,C. Parsons misses 3-pt shot from 24 ft,,6-5,,
8:43.0,Offensive rebound by C. Parsons,,6-5,,
8:23.0,C. Parsons misses 2-pt shot from 17 ft,,6-5,,
8:23.0,,,6-5,,Defensive rebound by Team
8:09.0,,,6-7,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
7:44.0,Shooting foul by M. Miller (drawn by T. Chandler),,6-7,,
7:44.0,T. Chandler makes free throw 1 of 2,1,7-7,,
7:44.0,R. Jefferson enters the game for D. Nowitzki,,7-7,,
7:44.0,T. Chandler makes free throw 2 of 2,1,8-7,,
7:29.0,,,8-7,,M. Dellavedova misses 2-pt shot from 13 ft
7:26.0,,,8-7,,Offensive rebound by K. Love
7:25.0,,,8-9,2,K. Love makes 2-pt shot at rim
7:10.0,R. Rondo misses 3-pt shot from 24 ft,,8-9,,
7:10.0,Offensive rebound by T. Chandler,,8-9,,
6:56.0,M. Ellis misses 3-pt shot from 27 ft,,8-9,,
6:55.0,,,8-9,,Defensive rebound by K. Love
6:46.0,,,8-9,,K. Love misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by T. Chandler,,8-9,,
6:32.0,M. Ellis makes 2-pt shot at rim (assist by T. Chandler),2,10-9,,
6:16.0,Personal foul by R. Jefferson (drawn by T. Thompson),,10-9,,
6:16.0,D. Harris enters the game for R. Rondo,,10-9,,
6:09.0,,,10-11,2,K. Love makes 2-pt shot from 10 ft
5:55.0,C. Parsons makes 2-pt shot at rim (assist by R. Jefferson),2,12-11,,
5:45.0,,,12-11,,Turnover by K. Irving (lost ball)
5:45.0,,,12-11,,Cleveland full timeout
5:45.0,,,12-11,,D. Waiters enters the game for M. Dellavedova
5:31.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Ellis),3,15-11,,
5:07.0,,,15-13,2,K. Love makes 2-pt shot at rim (assist by M. Miller)
4:57.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,17-13,,
4:41.0,,,17-13,,D. Waiters misses 2-pt shot from 6 ft
4:38.0,,,17-13,,Offensive rebound by T. Thompson
4:35.0,,,17-15,2,K. Love makes 2-pt shot from 20 ft (assist by T. Thompson)
4:19.0,M. Ellis misses 2-pt shot from 13 ft,,17-15,,
4:18.0,Offensive rebound by Team,,17-15,,
4:18.0,G. Smith enters the game for T. Chandler,,17-15,,
4:18.0,,,17-15,,S. Marion enters the game for M. Miller
4:13.0,C. Parsons misses 3-pt shot from 22 ft,,17-15,,
4:12.0,,,17-15,,Defensive rebound by K. Love
4:02.0,,,17-15,,K. Irving misses 2-pt shot from 16 ft
4:01.0,Defensive rebound by R. Jefferson,,17-15,,
3:50.0,Turnover by D. Harris (bad pass; steal by K. Irving),,17-15,,
3:44.0,,,17-15,,K. Irving misses 2-pt shot from 1 ft (block by D. Harris)
3:42.0,,,17-15,,Offensive rebound by Team
3:32.0,,,17-17,2,K. Irving makes 2-pt shot from 1 ft (assist by D. Waiters)
3:14.0,Shooting foul by S. Marion (drawn by M. Ellis),,17-17,,
3:14.0,M. Ellis makes free throw 1 of 2,1,18-17,,
3:14.0,,,18-17,,M. Dellavedova enters the game for K. Love
3:14.0,M. Ellis makes free throw 2 of 2,1,19-17,,
3:00.0,,,19-17,,Shooting foul by G. Smith (drawn by K. Irving)
3:00.0,,,19-18,1,K. Irving makes free throw 1 of 2
3:00.0,,,19-19,1,K. Irving makes free throw 2 of 2
2:42.0,M. Ellis makes 2-pt shot from 18 ft,2,21-19,,
2:30.0,,,21-21,2,T. Thompson makes 2-pt shot at rim (assist by S. Marion)
2:27.0,Dallas full timeout,,21-21,,
2:27.0,D. Nowitzki enters the game for C. Parsons,,21-21,,
2:27.0,R. Rondo enters the game for M. Ellis,,21-21,,
2:12.0,R. Rondo misses 2-pt shot from 18 ft,,21-21,,
2:11.0,,,21-21,,Defensive rebound by S. Marion
1:59.0,,,21-23,2,M. Dellavedova makes 2-pt shot from 1 ft
1:48.0,D. Harris makes 3-pt shot from 23 ft (assist by R. Rondo),3,24-23,,
1:27.0,,,24-23,,S. Marion misses 2-pt shot from 3 ft (block by D. Nowitzki)
1:26.0,Defensive rebound by D. Harris,,24-23,,
1:25.0,,,24-23,,Personal foul by M. Dellavedova (drawn by R. Rondo)
1:25.0,,,24-23,,M. Miller enters the game for K. Irving
