time,San Antonio,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Horford (T. Parker gains possession),,,,Jump ball: T. Duncan vs. A. Horford (T. Parker gains possession)
11:42.0,T. Duncan misses 2-pt shot from 20 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Carroll
11:13.0,,,0-0,,Turnover by D. Carroll (traveling)
10:56.0,K. Leonard makes 2-pt shot from 14 ft (assist by T. Parker),2,2-0,,
10:42.0,,,2-0,,D. Carroll misses 2-pt shot from 1 ft (block by T. Duncan)
10:40.0,Defensive rebound by K. Leonard,,2-0,,
10:31.0,K. Leonard misses 2-pt shot from 20 ft,,2-0,,
10:30.0,,,2-0,,Defensive rebound by K. Korver
10:26.0,,,2-0,,Turnover by K. Korver (bad pass)
10:14.0,T. Duncan misses 2-pt shot from 3 ft,,2-0,,
10:13.0,,,2-0,,Defensive rebound by J. Teague
10:00.0,,,2-2,2,J. Teague makes 2-pt shot from 1 ft
9:51.0,Turnover by K. Leonard (bad pass; steal by A. Horford),,2-2,,
9:45.0,,,2-2,,Turnover by P. Millsap (lost ball)
9:27.0,T. Splitter makes 2-pt shot from 3 ft (assist by T. Duncan),2,4-2,,
9:01.0,,,4-2,,D. Carroll misses 2-pt shot from 1 ft (block by T. Duncan)
8:59.0,Defensive rebound by T. Parker,,4-2,,
8:37.0,D. Green makes 3-pt shot from 22 ft (assist by K. Leonard),3,7-2,,
8:13.0,,,7-2,,A. Horford misses 2-pt shot from 18 ft
8:12.0,Defensive rebound by T. Splitter,,7-2,,
7:57.0,Shooting foul by D. Carroll (drawn by T. Splitter),,7-2,,
7:57.0,T. Splitter makes free throw 1 of 2,1,8-2,,
7:57.0,T. Splitter makes free throw 2 of 2,1,9-2,,
7:37.0,,,9-4,2,P. Millsap makes 2-pt shot from 17 ft
7:28.0,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan),2,11-4,,
7:17.0,,,11-4,,J. Teague misses 2-pt shot from 11 ft
7:15.0,Defensive rebound by T. Splitter,,11-4,,
7:02.0,T. Splitter makes 2-pt shot from 7 ft (assist by K. Leonard),2,13-4,,
6:43.0,,,13-4,,Turnover by K. Korver (bad pass; steal by K. Leonard)
6:37.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,16-4,,
6:35.0,,,16-4,,Atlanta full timeout
6:20.0,,,16-4,,P. Millsap misses 2-pt shot from 5 ft
6:20.0,Defensive rebound by K. Leonard,,16-4,,
6:10.0,T. Parker makes 2-pt shot from 13 ft (assist by K. Leonard),2,18-4,,
5:59.0,,,18-4,,Turnover by K. Korver (lost ball)
5:58.0,,,18-4,,P. Antic enters the game for A. Horford
5:58.0,,,18-4,,K. Bazemore enters the game for K. Korver
5:48.0,T. Parker makes 2-pt shot from 19 ft (assist by T. Duncan),2,20-4,,
5:25.0,,,20-6,2,J. Teague makes 2-pt shot from 1 ft (assist by P. Millsap)
5:09.0,K. Leonard makes 2-pt shot from 10 ft,2,22-6,,
4:56.0,,,22-6,,D. Carroll misses 2-pt shot from 9 ft
4:56.0,Defensive rebound by K. Leonard,,22-6,,
4:30.0,K. Leonard makes 2-pt shot from 9 ft,2,24-6,,
4:26.0,B. Diaw enters the game for T. Splitter,,24-6,,
4:26.0,M. Belinelli enters the game for D. Green,,24-6,,
4:19.0,,,24-6,,P. Millsap misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by M. Belinelli,,24-6,,
4:04.0,K. Leonard makes 2-pt shot from 12 ft,2,26-6,,
3:40.0,,,26-8,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
3:33.0,San Antonio full timeout,,26-8,,
3:33.0,,,26-8,,D. Schroder enters the game for J. Teague
3:33.0,A. Baynes enters the game for T. Duncan,,26-8,,
3:33.0,P. Mills enters the game for T. Parker,,26-8,,
3:21.0,Turnover by B. Diaw (bad pass; steal by P. Antic),,26-8,,
3:04.0,,,26-11,3,P. Antic makes 3-pt shot from 23 ft (assist by D. Schroder)
2:48.0,B. Diaw misses 2-pt shot from 17 ft,,26-11,,
2:46.0,,,26-11,,Defensive rebound by P. Millsap
2:24.0,,,26-11,,Turnover by D. Schroder (bad pass; steal by K. Leonard)
2:08.0,Turnover by A. Baynes (lost ball; steal by P. Antic),,26-11,,
2:01.0,,,26-11,,Turnover by P. Millsap (bad pass; steal by M. Belinelli)
1:58.0,Turnover by M. Belinelli (dbl dribble),,26-11,,
1:42.0,M. Bonner enters the game for B. Diaw,,26-11,,
1:42.0,,,26-11,,D. Carroll misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by Team,,26-11,,
1:29.0,,,26-11,,Personal foul by P. Antic (drawn by K. Leonard)
1:29.0,,,26-11,,K. Korver enters the game for D. Carroll
1:29.0,,,26-11,,A. Horford enters the game for P. Millsap
1:16.0,K. Leonard misses 2-pt shot from 15 ft,,26-11,,
1:14.0,Offensive rebound by M. Bonner,,26-11,,
1:14.0,M. Bonner misses 2-pt shot from 1 ft,,26-11,,
1:12.0,,,26-11,,Defensive rebound by P. Antic
1:01.0,,,26-13,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
0:48.0,M. Belinelli misses 3-pt shot from 24 ft,,26-13,,
0:47.0,,,26-13,,Defensive rebound by D. Schroder
0:36.0,,,26-13,,D. Schroder misses 2-pt shot from 1 ft
0:35.0,,,26-13,,Offensive rebound by A. Horford
0:16.0,Personal foul by M. Bonner (drawn by P. Antic),,26-13,,
0:16.0,D. Green enters the game for K. Leonard,,26-13,,
0:01.0,,,26-13,,Turnover by Team (shot clock)
0:00.0,M. Bonner misses 3-pt shot from 47 ft,,26-13,,
0:00.0,Offensive rebound by Team,,26-13,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-13,,D. Schroder misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by D. Green,,26-13,,
11:43.0,,,26-13,,Personal block foul by P. Antic (drawn by P. Mills)
11:30.0,D. Green makes 2-pt shot from 15 ft (assist by P. Mills),2,28-13,,
11:09.0,,,28-13,,A. Horford misses 2-pt shot from 6 ft
11:08.0,Defensive rebound by D. Green,,28-13,,
10:52.0,P. Mills misses 2-pt shot from 20 ft (block by D. Schroder),,28-13,,
10:50.0,,,28-13,,Defensive rebound by A. Horford
10:40.0,,,28-13,,P. Antic misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by B. Diaw,,28-13,,
10:31.0,Shooting foul by K. Korver (drawn by M. Belinelli),,28-13,,
10:31.0,M. Belinelli makes free throw 1 of 3,1,29-13,,
10:31.0,M. Belinelli makes free throw 2 of 3,1,30-13,,
10:31.0,,,30-13,,S. Mack enters the game for K. Bazemore
10:31.0,M. Belinelli makes free throw 3 of 3,1,31-13,,
10:23.0,Personal foul by M. Belinelli (drawn by K. Korver),,31-13,,
10:09.0,,,31-15,2,D. Schroder makes 2-pt shot from 8 ft (assist by S. Mack)
9:56.0,,,31-15,,Personal foul by S. Mack (drawn by M. Belinelli)
9:49.0,M. Belinelli makes 2-pt shot from 2 ft,2,33-15,,
9:38.0,,,33-18,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
9:13.0,M. Belinelli makes 3-pt shot from 27 ft (assist by P. Mills),3,36-18,,
8:53.0,,,36-20,2,A. Horford makes 2-pt shot from 3 ft
8:41.0,D. Green misses 2-pt shot from 20 ft,,36-20,,
8:39.0,,,36-20,,Defensive rebound by S. Mack
8:29.0,,,36-23,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
8:28.0,San Antonio full timeout,,36-23,,
8:28.0,,,36-23,,E. Brand enters the game for P. Antic
8:28.0,T. Parker enters the game for A. Baynes,,36-23,,
8:28.0,T. Splitter enters the game for P. Mills,,36-23,,
8:18.0,D. Green misses 3-pt shot from 24 ft,,36-23,,
8:15.0,Offensive rebound by T. Splitter,,36-23,,
8:03.0,T. Splitter makes 2-pt shot from 3 ft (assist by T. Parker),2,38-23,,
7:45.0,,,38-23,,Turnover by K. Korver (bad pass)
7:28.0,M. Belinelli makes 2-pt shot from 17 ft,2,40-23,,
7:15.0,,,40-25,2,D. Schroder makes 2-pt shot from 8 ft
7:03.0,Shooting foul by D. Schroder (drawn by T. Parker),,40-25,,
7:03.0,T. Parker makes free throw 1 of 2,1,41-25,,
7:03.0,,,41-25,,P. Millsap enters the game for A. Horford
7:03.0,,,41-25,,J. Teague enters the game for K. Korver
7:03.0,,,41-25,,D. Carroll enters the game for S. Mack
7:03.0,T. Duncan enters the game for B. Diaw,,41-25,,
7:03.0,T. Parker makes free throw 2 of 2,1,42-25,,
6:46.0,,,42-27,2,E. Brand makes 2-pt shot from 15 ft (assist by J. Teague)
6:25.0,T. Parker misses 2-pt shot from 21 ft,,42-27,,
6:24.0,Offensive rebound by T. Splitter,,42-27,,
6:24.0,Shooting foul by E. Brand (drawn by T. Splitter),,42-27,,
6:24.0,T. Splitter misses free throw 1 of 2,,42-27,,
6:24.0,Offensive rebound by Team,,42-27,,
6:24.0,K. Leonard enters the game for D. Green,,42-27,,
6:24.0,T. Splitter makes free throw 2 of 2,1,43-27,,
6:09.0,,,43-27,,P. Millsap misses 3-pt shot from 23 ft
6:07.0,Defensive rebound by M. Belinelli,,43-27,,
5:56.0,Shooting foul by D. Carroll (drawn by T. Duncan),,43-27,,
5:56.0,Official timeout,,43-27,,
5:56.0,T. Duncan makes free throw 1 of 2,1,44-27,,
5:56.0,T. Duncan makes free throw 2 of 2,1,45-27,,
5:42.0,,,45-27,,Shooting foul by T. Parker (drawn by P. Millsap)
5:42.0,,,45-28,1,P. Millsap makes free throw 1 of 2
5:42.0,,,45-29,1,P. Millsap makes free throw 2 of 2
5:27.0,Turnover by T. Parker (lost ball; steal by D. Schroder),,45-29,,
5:18.0,,,45-32,3,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap)
5:17.0,San Antonio full timeout,,45-32,,
5:06.0,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Duncan),3,48-32,,
4:51.0,,,48-32,,E. Brand misses 2-pt shot from 17 ft
4:49.0,Defensive rebound by K. Leonard,,48-32,,
4:41.0,Turnover by K. Leonard (lost ball; steal by P. Millsap),,48-32,,
4:33.0,,,48-35,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague)
4:07.0,T. Splitter misses 2-pt shot from 7 ft,,48-35,,
4:04.0,,,48-35,,Defensive rebound by E. Brand
3:54.0,,,48-35,,Turnover by J. Teague (bad pass; steal by K. Leonard)
3:42.0,Turnover by M. Belinelli (bad pass; steal by E. Brand),,48-35,,
3:28.0,,,48-35,,P. Millsap misses 2-pt shot from 3 ft
3:25.0,Defensive rebound by T. Splitter,,48-35,,
3:15.0,T. Duncan misses 2-pt shot from 2 ft,,48-35,,
3:15.0,Offensive rebound by T. Splitter,,48-35,,
3:15.0,T. Splitter makes 2-pt shot at rim,2,50-35,,
3:15.0,,,50-35,,Atlanta full timeout
3:15.0,,,50-35,,A. Horford enters the game for D. Schroder
3:15.0,,,50-35,,K. Korver enters the game for E. Brand
3:15.0,D. Green enters the game for M. Belinelli,,50-35,,
3:01.0,,,50-37,2,A. Horford makes 2-pt shot from 19 ft (assist by K. Korver)
2:45.0,T. Duncan makes 2-pt shot from 2 ft (assist by D. Green),2,52-37,,
2:23.0,,,52-37,,P. Millsap misses 2-pt shot from 11 ft
2:21.0,Defensive rebound by K. Leonard,,52-37,,
2:17.0,T. Splitter makes 2-pt shot at rim (assist by K. Leonard),2,54-37,,
2:06.0,,,54-37,,K. Korver misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by K. Leonard,,54-37,,
2:04.0,,,54-37,,Loose ball foul by P. Millsap (drawn by K. Leonard)
2:04.0,K. Leonard misses free throw 1 of 2,,54-37,,
2:04.0,Offensive rebound by Team,,54-37,,
2:04.0,K. Leonard makes free throw 2 of 2,1,55-37,,
1:54.0,,,55-37,,Turnover by J. Teague (bad pass)
1:42.0,Turnover by T. Parker (lost ball; steal by J. Teague),,55-37,,
1:42.0,Personal foul by T. Splitter (drawn by P. Millsap),,55-37,,
1:26.0,,,55-37,,Turnover by J. Teague (bad pass; steal by K. Leonard)
1:18.0,K. Leonard makes 2-pt shot from 9 ft,2,57-37,,
1:08.0,,,57-37,,J. Teague misses 2-pt shot from 3 ft
1:07.0,,,57-37,,Offensive rebound by P. Millsap
1:07.0,,,57-39,2,P. Millsap makes 2-pt shot at rim
0:45.0,T. Duncan misses 2-pt shot from 13 ft,,57-39,,
0:44.0,,,57-39,,Defensive rebound by Team
0:40.0,,,57-39,,Shooting foul by K. Leonard (drawn by D. Carroll)
0:40.0,,,57-40,1,D. Carroll makes free throw 1 of 2
0:40.0,,,57-41,1,D. Carroll makes free throw 2 of 2
0:28.0,T. Splitter makes 2-pt shot from 3 ft (assist by T. Duncan),2,59-41,,
0:07.0,,,59-41,,D. Carroll misses 3-pt shot from 23 ft
0:06.0,Defensive rebound by T. Duncan,,59-41,,
0:02.0,K. Leonard misses 3-pt shot from 24 ft,,59-41,,
0:00.0,,,59-41,,Defensive rebound by D. Carroll
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,59-41,,Turnover by K. Korver (bad pass; steal by T. Duncan)
11:41.0,T. Duncan makes 2-pt shot at rim (assist by D. Green),2,61-41,,
11:22.0,,,61-41,,Offensive foul by P. Millsap
11:22.0,,,61-41,,Turnover by P. Millsap (offensive foul)
11:07.0,D. Green misses 3-pt shot from 23 ft,,61-41,,
11:05.0,,,61-41,,Defensive rebound by Team
10:50.0,,,61-43,2,D. Carroll makes 2-pt shot at rim (assist by P. Millsap)
10:31.0,Turnover by T. Splitter (bad pass; steal by K. Korver),,61-43,,
10:26.0,,,61-43,,J. Teague misses 2-pt shot at rim
10:24.0,Defensive rebound by D. Green,,61-43,,
10:19.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,63-43,,
10:16.0,,,63-43,,Technical foul by Team
10:16.0,D. Green makes technical free throw,1,64-43,,
10:06.0,,,64-43,,Turnover by J. Teague (bad pass; steal by D. Green)
9:58.0,T. Parker misses 2-pt shot from 3 ft,,64-43,,
