time,Oklahoma City,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. H. Whiteside (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. H. Whiteside (S. Ibaka gains possession)
11:38.0,R. Westbrook misses 2-pt shot from 12 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by C. Bosh
11:23.0,,,0-2,2,H. Whiteside makes 2-pt shot at rim (assist by M. Chalmers)
11:03.0,K. Durant misses 2-pt shot from 18 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by C. Bosh
10:51.0,,,0-4,2,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Wade)
10:35.0,Turnover by A. Roberson (bad pass; steal by C. Bosh),,0-4,,
10:25.0,,,0-4,,D. Wade misses 2-pt shot from 12 ft
10:24.0,Defensive rebound by K. Durant,,0-4,,
10:14.0,K. Durant makes 2-pt shot from 17 ft,2,2-4,,
9:47.0,,,2-4,,Turnover by L. Deng (bad pass; steal by R. Westbrook)
9:44.0,Turnover by S. Ibaka (lost ball),,2-4,,
9:39.0,,,2-4,,Turnover by M. Chalmers (bad pass; steal by A. Roberson)
9:37.0,A. Roberson misses 2-pt shot from 1 ft,,2-4,,
9:36.0,Offensive rebound by R. Westbrook,,2-4,,
9:34.0,R. Westbrook makes 2-pt shot at rim,2,4-4,,
9:10.0,,,4-4,,Turnover by D. Wade (bad pass; steal by R. Westbrook)
9:05.0,S. Ibaka makes 2-pt shot at rim (assist by K. Durant),2,6-4,,
8:52.0,,,6-4,,Turnover by M. Chalmers (lost ball; steal by A. Roberson)
8:52.0,,,6-4,,Personal foul by M. Chalmers (drawn by A. Roberson)
8:39.0,S. Adams misses 2-pt shot from 1 ft,,6-4,,
8:38.0,,,6-4,,Defensive rebound by H. Whiteside
8:26.0,,,6-4,,Turnover by H. Whiteside (bad pass)
8:26.0,,,6-4,,Loose ball foul by C. Bosh (drawn by S. Ibaka)
8:17.0,S. Ibaka misses 2-pt shot from 20 ft,,6-4,,
8:16.0,,,6-4,,Defensive rebound by Team
8:16.0,Loose ball foul by S. Adams (drawn by H. Whiteside),,6-4,,
8:03.0,,,6-4,,L. Deng misses 2-pt shot from 19 ft
8:02.0,Defensive rebound by A. Roberson,,6-4,,
7:45.0,S. Ibaka misses 3-pt shot from 23 ft,,6-4,,
7:44.0,,,6-4,,Defensive rebound by L. Deng
7:32.0,,,6-6,2,C. Bosh makes 2-pt shot from 16 ft
7:27.0,,,6-6,,Violation by L. Deng (kicked ball)
7:20.0,K. Durant misses 3-pt shot from 24 ft,,6-6,,
7:19.0,,,6-6,,Defensive rebound by D. Wade
7:06.0,,,6-8,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
6:41.0,R. Westbrook misses 2-pt shot from 16 ft,,6-8,,
6:40.0,Offensive rebound by R. Westbrook,,6-8,,
6:37.0,R. Westbrook misses 3-pt shot from 22 ft,,6-8,,
6:36.0,,,6-8,,Defensive rebound by Team
6:36.0,Loose ball foul by A. Roberson (drawn by H. Whiteside),,6-8,,
6:25.0,,,6-8,,Shooting foul by A. Roberson (drawn by D. Wade)
6:25.0,,,6-8,,D. Wade misses free throw 1 of 2
6:25.0,,,6-8,,Offensive rebound by Team
6:25.0,D. Waiters enters the game for A. Roberson,,6-8,,
6:25.0,,,6-9,1,D. Wade makes free throw 2 of 2
6:04.0,S. Adams makes 2-pt shot from 4 ft (assist by K. Durant),2,8-9,,
5:48.0,,,8-9,,Miami full timeout
5:37.0,S. Adams misses 2-pt shot at rim,,8-9,,
5:36.0,Jump ball: S. Adams vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: S. Adams vs. H. Whiteside (L. Deng gains possession)
5:36.0,,,8-9,,Offensive rebound by Team
5:15.0,,,8-11,2,D. Wade makes 2-pt shot from 8 ft
5:09.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,10-11,,
4:50.0,,,10-13,2,H. Whiteside makes 2-pt shot at rim (assist by L. Deng)
4:36.0,S. Ibaka misses 2-pt shot from 10 ft,,10-13,,
4:35.0,,,10-13,,Defensive rebound by Team
4:35.0,A. Morrow enters the game for K. Durant,,10-13,,
4:35.0,,,10-13,,D. Granger enters the game for C. Bosh
4:15.0,Personal foul by D. Waiters (drawn by D. Wade),,10-13,,
4:15.0,,,10-13,,S. Napier enters the game for D. Wade
3:58.0,,,10-13,,L. Deng misses 2-pt shot from 9 ft
3:57.0,,,10-13,,Offensive rebound by H. Whiteside
3:56.0,,,10-15,2,H. Whiteside makes 2-pt shot from 1 ft
3:40.0,D. Waiters misses 2-pt shot from 16 ft,,10-15,,
3:39.0,,,10-15,,Defensive rebound by L. Deng
3:32.0,,,10-17,2,M. Chalmers makes 2-pt shot from 1 ft
3:32.0,,,10-17,,Shooting foul by S. Adams (drawn by M. Chalmers)
3:32.0,K. Perkins enters the game for S. Adams,,10-17,,
3:32.0,,,10-17,,C. Bosh enters the game for L. Deng
3:32.0,,,10-18,1,M. Chalmers makes free throw 1 of 1
3:22.0,R. Westbrook makes 2-pt shot at rim,2,12-18,,
3:05.0,,,12-18,,C. Bosh misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by A. Morrow,,12-18,,
2:58.0,R. Westbrook misses 2-pt shot from 3 ft,,12-18,,
2:57.0,,,12-18,,Defensive rebound by Team
2:57.0,Personal foul by K. Perkins (drawn by S. Napier),,12-18,,
2:57.0,Oklahoma City full timeout,,12-18,,
2:57.0,,,12-18,,C. Andersen enters the game for H. Whiteside
2:57.0,,,12-19,1,S. Napier makes free throw 1 of 2
2:57.0,,,12-20,1,S. Napier makes free throw 2 of 2
2:46.0,Shooting foul by C. Andersen (drawn by D. Waiters),,12-20,,
2:46.0,D. Waiters misses free throw 1 of 2,,12-20,,
2:46.0,Offensive rebound by Team,,12-20,,
2:46.0,R. Jackson enters the game for R. Westbrook,,12-20,,
2:46.0,D. Waiters makes free throw 2 of 2,1,13-20,,
2:33.0,,,13-20,,Turnover by D. Granger (bad pass)
2:07.0,S. Ibaka misses 3-pt shot from 24 ft,,13-20,,
2:06.0,,,13-20,,Defensive rebound by S. Napier
1:58.0,,,13-20,,Shooting foul by K. Perkins (drawn by C. Bosh)
1:58.0,,,13-21,1,C. Bosh makes free throw 1 of 2
1:58.0,,,13-21,,N. Cole enters the game for M. Chalmers
1:58.0,K. Durant enters the game for S. Ibaka,,13-21,,
1:58.0,,,13-22,1,C. Bosh makes free throw 2 of 2
1:38.0,A. Morrow makes 3-pt shot from 24 ft (assist by K. Durant),3,16-22,,
1:19.0,,,16-22,,C. Andersen misses 2-pt shot from 15 ft
1:18.0,,,16-22,,Offensive rebound by C. Bosh
1:13.0,,,16-24,2,C. Bosh makes 2-pt shot at rim
1:02.0,K. Durant makes 2-pt shot at rim,2,18-24,,
1:02.0,Shooting foul by D. Granger (drawn by K. Durant),,18-24,,
1:02.0,K. Durant makes free throw 1 of 1,1,19-24,,
0:56.0,,,19-24,,Turnover by S. Napier (bad pass; steal by A. Morrow)
0:48.0,R. Jackson makes 2-pt shot from 1 ft,2,21-24,,
0:27.0,,,21-24,,Turnover by C. Bosh (bad pass)
0:06.0,A. Morrow makes 3-pt shot from 22 ft (assist by R. Jackson),3,24-24,,
0:00.0,,,24-27,3,S. Napier makes 3-pt shot from 24 ft (assist by N. Cole)
0:00.0,End of 1st quarter,,,,End of 1st quarter
