time,Atlanta,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Pekovic (R. Rubio gains possession),,,,Jump ball: A. Horford vs. N. Pekovic (R. Rubio gains possession)
11:46.0,,,0-2,2,N. Pekovic makes 2-pt shot from 7 ft (assist by A. Wiggins)
11:29.0,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap),3,3-2,,
11:14.0,,,3-2,,A. Wiggins misses 2-pt shot from 6 ft
11:13.0,Defensive rebound by K. Korver,,3-2,,
11:05.0,K. Korver misses 3-pt shot from 25 ft (block by A. Wiggins),,3-2,,
11:03.0,,,3-2,,Defensive rebound by T. Young
10:45.0,,,3-2,,T. Young misses 2-pt shot from 7 ft
10:44.0,Defensive rebound by K. Korver,,3-2,,
10:37.0,Turnover by A. Horford (lost ball; steal by T. Young),,3-2,,
10:30.0,,,3-2,,Turnover by R. Rubio (lost ball; steal by J. Teague)
10:20.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,5-2,,
9:58.0,,,5-2,,N. Pekovic misses 2-pt shot from 8 ft
9:57.0,Defensive rebound by D. Carroll,,5-2,,
9:41.0,A. Horford makes 2-pt shot from 14 ft (assist by K. Korver),2,7-2,,
9:26.0,,,7-2,,Turnover by R. Rubio (lost ball)
9:10.0,P. Millsap misses 2-pt shot from 16 ft,,7-2,,
9:09.0,Offensive rebound by Team,,7-2,,
9:02.0,Turnover by A. Horford (lost ball),,7-2,,
8:51.0,,,7-2,,K. Martin misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by Team,,7-2,,
8:41.0,D. Carroll misses 3-pt shot from 25 ft,,7-2,,
8:40.0,Offensive rebound by A. Horford,,7-2,,
8:32.0,D. Carroll misses 2-pt shot from 3 ft,,7-2,,
8:31.0,Offensive rebound by P. Millsap,,7-2,,
8:31.0,P. Millsap makes 2-pt shot at rim,2,9-2,,
8:31.0,,,9-2,,Minnesota full timeout
8:19.0,,,9-4,2,A. Wiggins makes 2-pt shot at rim (assist by K. Martin)
8:09.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,11-4,,
