time,Philadelphia,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. N. Noel (D. West gains possession),,,,Jump ball: R. Hibbert vs. N. Noel (D. West gains possession)
11:32.0,,,0-0,,R. Hibbert misses 2-pt shot from 20 ft
11:31.0,,,0-0,,Offensive rebound by D. West
11:29.0,,,0-2,2,D. West makes 2-pt shot at rim
11:04.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,2-2,,
10:48.0,,,2-4,2,R. Hibbert makes 2-pt shot from 4 ft
10:33.0,J. Richardson misses 2-pt shot from 19 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by D. West
10:19.0,,,2-4,,R. Hibbert misses 2-pt shot from 19 ft
10:19.0,Defensive rebound by N. Noel,,2-4,,
10:08.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,2-4,,
10:07.0,,,2-4,,Defensive rebound by G. Hill
10:02.0,,,2-6,2,G. Hill makes 2-pt shot from 2 ft
9:47.0,N. Noel misses 2-pt shot from 14 ft,,2-6,,
9:46.0,,,2-6,,Defensive rebound by D. West
9:41.0,Personal block foul by J. Richardson (drawn by S. Hill),,2-6,,
9:27.0,,,2-6,,Turnover by R. Hibbert (lost ball; steal by N. Noel)
9:20.0,Turnover by L. Mbah a Moute (lost ball; steal by G. Hill),,2-6,,
9:06.0,,,2-6,,Shooting foul by N. Noel (drawn by R. Hibbert)
9:06.0,,,2-7,1,R. Hibbert makes free throw 1 of 2
9:06.0,,,2-8,1,R. Hibbert makes free throw 2 of 2
8:54.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,2-8,,
8:53.0,,,2-8,,Defensive rebound by G. Hill
8:49.0,,,2-8,,Turnover by G. Hill (lost ball; steal by I. Canaan)
8:41.0,J. Richardson makes 3-pt shot from 24 ft (assist by I. Canaan),3,5-8,,
8:20.0,,,5-8,,S. Hill misses 2-pt shot from 1 ft
8:19.0,Defensive rebound by N. Noel,,5-8,,
8:10.0,R. Covington misses 3-pt shot from 25 ft,,5-8,,
8:09.0,,,5-8,,Defensive rebound by R. Hibbert
7:55.0,Personal foul by L. Mbah a Moute (drawn by D. West),,5-8,,
7:48.0,,,5-10,2,G. Hill makes 2-pt shot from 19 ft
7:40.0,I. Canaan misses 3-pt shot from 27 ft,,5-10,,
7:39.0,,,5-10,,Defensive rebound by S. Hill
7:32.0,,,5-10,,Shooting foul by R. Covington (drawn by D. Rudez)
7:32.0,,,5-11,1,D. Rudez makes free throw 1 of 3
7:32.0,,,5-12,1,D. Rudez makes free throw 2 of 3
7:32.0,,,5-13,1,D. Rudez makes free throw 3 of 3
7:32.0,Philadelphia full timeout,,5-13,,
7:15.0,R. Covington misses 2-pt shot from 13 ft,,5-13,,
7:13.0,,,5-13,,Defensive rebound by R. Hibbert
7:13.0,Jump ball: R. Covington vs. R. Hibbert (S. Hill gains possession),,,,Jump ball: R. Covington vs. R. Hibbert (S. Hill gains possession)
6:47.0,,,5-13,,G. Hill misses 3-pt shot from 22 ft
6:46.0,Defensive rebound by R. Covington,,5-13,,
6:34.0,I. Canaan misses 2-pt shot from 12 ft,,5-13,,
6:33.0,,,5-13,,Defensive rebound by R. Hibbert
6:26.0,Personal foul by I. Canaan (drawn by G. Hill),,5-13,,
6:26.0,,,5-13,,G. Hill misses free throw 1 of 2
6:26.0,,,5-13,,Offensive rebound by Team
6:26.0,,,5-13,,G. Hill misses free throw 2 of 2
6:24.0,Defensive rebound by R. Covington,,5-13,,
6:04.0,J. Richardson makes 2-pt shot from 12 ft,2,7-13,,
5:45.0,,,7-15,2,S. Hill makes 2-pt shot at rim (assist by D. West)
5:38.0,,,7-15,,Personal foul by D. Rudez (drawn by J. Richardson)
5:38.0,J. Grant enters the game for R. Covington,,7-15,,
5:27.0,Turnover by L. Mbah a Moute (bad pass; steal by R. Hibbert),,7-15,,
5:06.0,,,7-15,,G. Hill misses 3-pt shot from 23 ft
5:04.0,,,7-15,,Offensive rebound by R. Hibbert
5:04.0,,,7-15,,R. Hibbert misses 2-pt shot at rim
5:02.0,Defensive rebound by J. Grant,,7-15,,
4:55.0,Shooting foul by S. Hill (drawn by J. Grant),,7-15,,
4:55.0,J. Grant makes free throw 1 of 2,1,8-15,,
4:55.0,,,8-15,,C. Miles enters the game for D. Rudez
4:55.0,T. Robinson enters the game for L. Mbah a Moute,,8-15,,
4:55.0,I. Smith enters the game for J. Richardson,,8-15,,
4:55.0,H. Thompson enters the game for I. Canaan,,8-15,,
