time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. J. Hill (J. Lin gains possession),,,,Jump ball: G. Dieng vs. J. Hill (J. Lin gains possession)
11:39.0,Personal foul by M. Williams (drawn by C. Boozer),,0-0,,
11:28.0,,,0-0,,J. Lin misses 3-pt shot from 23 ft
11:26.0,Defensive rebound by C. Brewer,,0-0,,
11:21.0,Turnover by A. Wiggins (step out of bounds),,0-0,,
10:59.0,,,0-0,,J. Lin misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by C. Brewer,,0-0,,
10:50.0,M. Williams makes 3-pt shot from 25 ft (assist by C. Brewer),3,3-0,,
10:34.0,,,3-2,2,K. Bryant makes 2-pt shot from 18 ft (assist by W. Johnson)
10:12.0,T. Young misses 2-pt shot from 14 ft,,3-2,,
10:09.0,,,3-2,,Defensive rebound by W. Johnson
10:01.0,,,3-5,3,W. Johnson makes 3-pt shot from 22 ft (assist by K. Bryant)
9:41.0,M. Williams makes 2-pt shot from 15 ft (assist by G. Dieng),2,5-5,,
9:33.0,,,5-7,2,J. Lin makes 2-pt shot from 17 ft
9:16.0,G. Dieng misses 2-pt shot from 12 ft,,5-7,,
9:12.0,,,5-7,,Defensive rebound by J. Lin
9:11.0,,,5-7,,Shooting foul by G. Dieng (drawn by J. Hill)
9:11.0,,,5-8,1,J. Hill makes free throw 1 of 2
9:11.0,,,5-9,1,J. Hill makes free throw 2 of 2
8:57.0,Turnover by M. Williams (bad pass; steal by J. Lin),,5-9,,
8:56.0,Personal foul by G. Dieng (drawn by J. Hill),,5-9,,
8:56.0,A. Bennett enters the game for G. Dieng,,5-9,,
8:44.0,,,5-9,,W. Johnson misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by A. Wiggins,,5-9,,
8:32.0,A. Bennett misses 2-pt shot from 18 ft,,5-9,,
8:30.0,,,5-9,,Defensive rebound by J. Lin
8:15.0,,,5-11,2,C. Boozer makes 2-pt shot from 3 ft (assist by J. Lin)
7:58.0,A. Wiggins makes 2-pt shot from 1 ft (assist by M. Williams),2,7-11,,
7:58.0,Shooting foul by J. Hill (drawn by A. Wiggins),,7-11,,
7:58.0,A. Wiggins makes free throw 1 of 1,1,8-11,,
7:43.0,,,8-11,,J. Lin misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by A. Wiggins,,8-11,,
7:32.0,T. Young misses 2-pt shot from 1 ft,,8-11,,
7:30.0,Offensive rebound by A. Bennett,,8-11,,
7:26.0,A. Bennett makes 2-pt shot from 1 ft,2,10-11,,
7:08.0,,,10-13,2,C. Boozer makes 2-pt shot from 1 ft (assist by K. Bryant)
6:55.0,A. Wiggins misses 2-pt shot from 9 ft,,10-13,,
6:54.0,,,10-13,,Defensive rebound by C. Boozer
6:40.0,,,10-13,,C. Boozer misses 2-pt shot from 16 ft
6:38.0,Defensive rebound by C. Brewer,,10-13,,
6:30.0,M. Williams makes 3-pt shot from 24 ft (assist by C. Brewer),3,13-13,,
6:09.0,,,13-15,2,C. Boozer makes 2-pt shot at rim (assist by J. Lin)
5:52.0,C. Brewer misses 3-pt shot from 23 ft,,13-15,,
5:50.0,,,13-15,,Defensive rebound by K. Bryant
5:45.0,,,13-15,,Turnover by W. Johnson (lost ball)
5:45.0,,,13-15,,LA Lakers full timeout
5:33.0,T. Young makes 2-pt shot at rim (assist by M. Williams),2,15-15,,
5:07.0,,,15-17,2,J. Hill makes 2-pt shot from 3 ft
4:52.0,A. Wiggins misses 3-pt shot from 23 ft,,15-17,,
4:50.0,Offensive rebound by C. Brewer,,15-17,,
4:47.0,Turnover by A. Bennett (lost ball),,15-17,,
4:47.0,,,15-17,,N. Young enters the game for W. Johnson
4:24.0,,,15-17,,Shooting foul by A. Wiggins (drawn by K. Bryant)
4:24.0,,,15-18,1,K. Bryant makes free throw 1 of 2
4:24.0,,,15-19,1,K. Bryant makes free throw 2 of 2
4:14.0,Turnover by A. Wiggins (lost ball; steal by K. Bryant),,15-19,,
4:10.0,,,15-21,2,K. Bryant makes 2-pt shot at rim (assist by J. Lin)
4:10.0,Minnesota full timeout,,15-21,,
4:10.0,,,15-21,,E. Davis enters the game for C. Boozer
4:02.0,,,15-21,,Personal foul by E. Davis (drawn by T. Young)
4:00.0,,,15-21,,R. Price enters the game for J. Lin
3:52.0,M. Williams makes 3-pt shot from 24 ft (assist by A. Bennett),3,18-21,,
3:28.0,,,18-23,2,K. Bryant makes 2-pt shot from 14 ft
3:17.0,A. Bennett misses 2-pt shot from 19 ft,,18-23,,
3:15.0,Offensive rebound by C. Brewer,,18-23,,
3:10.0,A. Wiggins misses 2-pt shot from 17 ft,,18-23,,
3:08.0,,,18-23,,Defensive rebound by E. Davis
2:54.0,,,18-23,,Turnover by J. Hill (bad pass; steal by A. Wiggins)
2:49.0,Shooting foul by E. Davis (drawn by A. Bennett),,18-23,,
2:49.0,A. Bennett misses free throw 1 of 2,,18-23,,
2:49.0,Offensive rebound by Team,,18-23,,
2:49.0,S. Muhammad enters the game for C. Brewer,,18-23,,
2:49.0,A. Bennett makes free throw 2 of 2,1,19-23,,
2:35.0,,,19-25,2,N. Young makes 2-pt shot from 17 ft (assist by E. Davis)
2:35.0,,,19-25,,Shooting foul by S. Muhammad (drawn by N. Young)
2:35.0,,,19-25,,R. Sacre enters the game for J. Hill
2:35.0,,,19-26,1,N. Young makes free throw 1 of 1
2:22.0,S. Muhammad misses 2-pt shot from 9 ft,,19-26,,
2:20.0,,,19-26,,Defensive rebound by K. Bryant
2:17.0,,,19-26,,Turnover by K. Bryant (bad pass; steal by S. Muhammad)
2:10.0,A. Wiggins misses 3-pt shot from 23 ft,,19-26,,
2:06.0,,,19-26,,Defensive rebound by E. Davis
1:47.0,,,19-26,,K. Bryant misses 2-pt shot from 13 ft
1:46.0,Defensive rebound by A. Bennett,,19-26,,
1:41.0,Turnover by A. Bennett (bad pass; steal by K. Bryant),,19-26,,
1:36.0,,,19-28,2,K. Bryant makes 2-pt shot from 13 ft
1:19.0,Turnover by T. Young (bad pass; steal by K. Bryant),,19-28,,
1:14.0,,,19-30,2,K. Bryant makes 2-pt shot from 1 ft
1:00.0,Turnover by M. Williams (bad pass),,19-30,,
1:00.0,,,19-30,,W. Ellington enters the game for K. Bryant
0:39.0,,,19-30,,R. Price misses 2-pt shot from 18 ft
0:38.0,,,19-30,,Offensive rebound by R. Price
0:35.0,,,19-30,,Turnover by R. Price (lost ball; steal by M. Williams)
0:29.0,M. Williams misses 3-pt shot from 25 ft,,19-30,,
0:29.0,Offensive rebound by M. Williams,,19-30,,
0:29.0,,,19-30,,Loose ball foul by N. Young (drawn by M. Williams)
0:25.0,A. Bennett makes 2-pt shot from 20 ft (assist by M. Williams),2,21-30,,
0:06.0,,,21-30,,Turnover by R. Price (bad pass; steal by S. Muhammad)
0:05.0,,,21-30,,Personal foul by N. Young (drawn by S. Muhammad)
0:05.0,S. Muhammad makes free throw 1 of 2,1,22-30,,
0:05.0,R. Hummel enters the game for T. Young,,22-30,,
0:05.0,C. Budinger enters the game for A. Wiggins,,22-30,,
0:05.0,S. Muhammad makes free throw 2 of 2,1,23-30,,
0:02.0,,,23-30,,N. Young misses 3-pt shot from 27 ft
0:00.0,,,23-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Offensive foul by R. Hummel,,23-30,,
11:49.0,Turnover by R. Hummel (offensive foul),,23-30,,
11:33.0,,,23-30,,N. Young misses 2-pt shot from 21 ft
11:32.0,Defensive rebound by R. Hummel,,23-30,,
11:21.0,R. Hummel misses 2-pt shot from 20 ft,,23-30,,
11:20.0,Offensive rebound by Team,,23-30,,
11:20.0,Z. LaVine enters the game for M. Williams,,23-30,,
11:17.0,A. Bennett misses 2-pt shot from 17 ft,,23-30,,
11:13.0,,,23-30,,Defensive rebound by E. Davis
10:54.0,,,23-30,,R. Sacre misses 2-pt shot from 7 ft
10:51.0,Defensive rebound by A. Bennett,,23-30,,
10:43.0,C. Budinger misses 3-pt shot from 24 ft,,23-30,,
10:41.0,,,23-30,,Defensive rebound by E. Davis
10:31.0,,,23-30,,Turnover by N. Young (lost ball)
10:20.0,,,23-30,,Personal foul by R. Price (drawn by Z. LaVine)
10:11.0,S. Muhammad misses 2-pt shot from 9 ft,,23-30,,
10:10.0,,,23-30,,Defensive rebound by R. Price
9:58.0,,,23-30,,W. Ellington misses 2-pt shot from 16 ft
9:57.0,,,23-30,,Offensive rebound by E. Davis
9:48.0,,,23-30,,R. Sacre misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by C. Budinger,,23-30,,
9:46.0,,,23-30,,Personal foul by E. Davis (drawn by R. Hummel)
9:46.0,,,23-30,,W. Johnson enters the game for E. Davis
9:22.0,Turnover by Team (shot clock),,23-30,,
9:03.0,,,23-32,2,R. Sacre makes 2-pt shot from 14 ft
8:42.0,A. Bennett makes 2-pt shot at rim (assist by S. Muhammad),2,25-32,,
8:42.0,Shooting foul by N. Young (drawn by A. Bennett),,25-32,,
8:42.0,Official timeout,,25-32,,
8:42.0,,,25-32,,C. Boozer enters the game for N. Young
8:42.0,A. Bennett misses free throw 1 of 1,,25-32,,
8:41.0,,,25-32,,Defensive rebound by W. Johnson
8:29.0,,,25-35,3,W. Ellington makes 3-pt shot from 25 ft
8:15.0,Z. LaVine makes 2-pt shot from 19 ft,2,27-35,,
7:59.0,,,27-37,2,R. Sacre makes 2-pt shot from 7 ft (assist by W. Ellington)
7:34.0,Z. LaVine misses 2-pt shot from 19 ft,,27-37,,
7:34.0,Offensive rebound by Team,,27-37,,
7:34.0,,,27-37,,Loose ball foul by W. Johnson (drawn by A. Bennett)
7:34.0,C. Brewer enters the game for S. Muhammad,,27-37,,
7:25.0,A. Bennett makes 2-pt shot from 14 ft (assist by C. Brewer),2,29-37,,
7:10.0,,,29-37,,Shooting foul by A. Bennett (drawn by C. Boozer)
7:10.0,,,29-37,,C. Boozer misses free throw 1 of 2
7:10.0,,,29-37,,Offensive rebound by Team
7:10.0,G. Dieng enters the game for A. Bennett,,29-37,,
7:10.0,T. Young enters the game for R. Hummel,,29-37,,
7:10.0,,,29-38,1,C. Boozer makes free throw 2 of 2
7:03.0,,,29-38,,Personal foul by R. Price (drawn by Z. LaVine)
