time,Orlando,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. N. Vucevic (A. Johnson gains possession),,,,Jump ball: J. Valanciunas vs. N. Vucevic (A. Johnson gains possession)
11:42.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 16 ft
11:19.0,T. Harris makes 2-pt shot from 20 ft,2,2-2,,
11:03.0,,,2-2,,Turnover by J. Valanciunas (lost ball)
10:52.0,V. Oladipo makes 2-pt shot from 3 ft,2,4-2,,
10:35.0,,,4-2,,T. Ross misses 2-pt shot from 14 ft
10:34.0,Defensive rebound by C. Frye,,4-2,,
10:24.0,T. Harris makes 2-pt shot from 12 ft,2,6-2,,
9:58.0,,,6-5,3,T. Ross makes 3-pt shot from 25 ft
9:38.0,N. Vucevic misses 2-pt shot from 3 ft,,6-5,,
9:37.0,,,6-5,,Defensive rebound by J. Valanciunas
9:30.0,,,6-5,,Turnover by K. Lowry (bad pass; steal by E. Fournier)
9:26.0,T. Harris makes 2-pt shot at rim (assist by E. Fournier),2,8-5,,
9:05.0,,,8-5,,Shooting foul by T. Harris (drawn by L. Fields)
9:05.0,,,8-6,1,L. Fields makes free throw 1 of 2
9:05.0,,,8-6,,L. Fields misses free throw 2 of 2
9:04.0,Defensive rebound by C. Frye,,8-6,,
8:49.0,N. Vucevic makes 2-pt shot from 14 ft (assist by T. Harris),2,10-6,,
8:32.0,,,10-6,,L. Fields misses 2-pt shot from 7 ft
8:30.0,,,10-6,,Offensive rebound by A. Johnson
8:28.0,,,10-8,2,A. Johnson makes 2-pt shot from 4 ft
8:17.0,Turnover by T. Harris (bad pass; steal by K. Lowry),,10-8,,
8:12.0,,,10-10,2,L. Fields makes 2-pt shot from 1 ft (assist by K. Lowry)
7:58.0,C. Frye misses 2-pt shot from 17 ft,,10-10,,
7:57.0,,,10-10,,Defensive rebound by T. Ross
7:47.0,,,10-10,,A. Johnson misses 2-pt shot from 1 ft (block by C. Frye)
7:44.0,Defensive rebound by V. Oladipo,,10-10,,
7:41.0,T. Harris misses 3-pt shot from 25 ft,,10-10,,
7:40.0,Offensive rebound by E. Fournier,,10-10,,
7:35.0,C. Frye misses 3-pt shot from 26 ft,,10-10,,
7:34.0,,,10-10,,Defensive rebound by T. Ross
7:24.0,,,10-10,,K. Lowry misses 2-pt shot from 16 ft
7:24.0,Defensive rebound by Team,,10-10,,
7:24.0,,,10-10,,Loose ball foul by J. Valanciunas (drawn by C. Frye)
7:10.0,E. Fournier misses 2-pt shot from 6 ft,,10-10,,
7:08.0,,,10-10,,Defensive rebound by J. Valanciunas
6:56.0,,,10-10,,A. Johnson misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by Team,,10-10,,
6:40.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier),2,12-10,,
6:20.0,,,12-10,,K. Lowry misses 2-pt shot from 17 ft
6:19.0,Defensive rebound by C. Frye,,12-10,,
6:05.0,T. Harris misses 2-pt shot from 9 ft,,12-10,,
6:04.0,,,12-10,,Defensive rebound by T. Ross
5:49.0,,,12-12,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
5:33.0,V. Oladipo misses 2-pt shot from 14 ft,,12-12,,
5:31.0,,,12-12,,Defensive rebound by J. Valanciunas
5:14.0,,,12-15,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
4:54.0,N. Vucevic misses 2-pt shot from 5 ft (block by J. Valanciunas),,12-15,,
4:52.0,,,12-15,,Defensive rebound by L. Fields
4:47.0,,,12-17,2,A. Johnson makes 2-pt shot from 2 ft (assist by L. Fields)
4:42.0,Orlando full timeout,,12-17,,
4:42.0,,,12-17,,J. Johnson enters the game for T. Ross
4:42.0,,,12-17,,P. Patterson enters the game for A. Johnson
4:42.0,,,12-17,,L. Williams enters the game for L. Fields
4:42.0,B. Gordon enters the game for C. Frye,,12-17,,
4:35.0,Turnover by E. Fournier (offensive foul),,12-17,,
4:35.0,Offensive foul by E. Fournier,,12-17,,
4:26.0,,,12-19,2,J. Johnson makes 2-pt shot at rim (assist by P. Patterson)
4:14.0,Shooting foul by K. Lowry (drawn by E. Fournier),,12-19,,
4:14.0,E. Fournier makes free throw 1 of 2,1,13-19,,
