time,Phoenix,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (B. Jennings gains possession)
11:50.0,,,0-0,,Turnover by B. Jennings (bad pass; steal by M. Plumlee)
11:45.0,Turnover by G. Dragic (offensive foul),,0-0,,
11:45.0,Offensive foul by G. Dragic,,0-0,,
11:37.0,,,0-0,,Turnover by G. Monroe (lost ball; steal by E. Bledsoe)
11:35.0,,,0-0,,Personal foul by A. Drummond (drawn by M. Morris)
11:25.0,Offensive foul by M. Morris,,0-0,,
11:25.0,Turnover by M. Morris (offensive foul),,0-0,,
11:01.0,,,0-2,2,J. Smith makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope)
10:45.0,M. Plumlee misses 2-pt shot from 11 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by A. Drummond
10:31.0,,,0-2,,B. Jennings misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by M. Morris,,0-2,,
10:20.0,M. Morris misses 3-pt shot from 23 ft,,0-2,,
10:19.0,,,0-2,,Defensive rebound by A. Drummond
10:03.0,,,0-2,,B. Jennings misses 2-pt shot from 7 ft
10:01.0,,,0-2,,Offensive rebound by A. Drummond
10:00.0,,,0-2,,A. Drummond misses 2-pt shot from 3 ft
9:59.0,,,0-2,,Offensive rebound by G. Monroe
9:58.0,,,0-2,,G. Monroe misses 2-pt shot from 1 ft
9:57.0,,,0-2,,Offensive rebound by B. Jennings
9:46.0,,,0-4,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
9:24.0,G. Dragic makes 2-pt shot from 18 ft (assist by M. Plumlee),2,2-4,,
9:09.0,,,2-4,,A. Drummond misses 2-pt shot from 4 ft
9:08.0,Defensive rebound by M. Plumlee,,2-4,,
8:56.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Dragic),2,4-4,,
8:37.0,,,4-6,2,G. Monroe makes 2-pt shot from 6 ft
8:19.0,G. Dragic misses 2-pt shot from 7 ft,,4-6,,
8:18.0,Offensive rebound by M. Morris,,4-6,,
8:14.0,M. Morris makes 2-pt shot at rim (assist by M. Morris),2,6-6,,
8:02.0,,,6-6,,G. Monroe misses 2-pt shot from 7 ft
8:01.0,,,6-6,,Offensive rebound by A. Drummond
8:00.0,,,6-6,,A. Drummond misses 2-pt shot at rim
8:00.0,Defensive rebound by G. Dragic,,6-6,,
8:00.0,,,6-6,,Personal foul by J. Smith (drawn by G. Dragic)
7:47.0,E. Bledsoe misses 2-pt shot from 14 ft,,6-6,,
7:46.0,,,6-6,,Defensive rebound by A. Drummond
