time,Denver,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Nurkic (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. J. Nurkic (Z. Randolph gains possession)
11:41.0,,,0-2,2,C. Lee makes 2-pt shot from 17 ft (assist by B. Udrih)
11:25.0,D. Arthur misses 2-pt shot from 2 ft,,0-2,,
11:23.0,Offensive rebound by D. Arthur,,0-2,,
11:22.0,D. Arthur misses 2-pt shot from 1 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by J. Green
11:09.0,,,0-2,,M. Gasol misses 2-pt shot from 8 ft
11:04.0,Defensive rebound by W. Chandler,,0-2,,
10:56.0,W. Chandler misses 2-pt shot from 11 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by J. Green
10:39.0,,,0-4,2,C. Lee makes 2-pt shot from 2 ft
10:30.0,J. Nelson makes 3-pt shot from 24 ft,3,3-4,,
10:12.0,,,3-6,2,Z. Randolph makes 2-pt shot from 15 ft
9:55.0,R. Foye misses 3-pt shot from 26 ft,,3-6,,
9:54.0,,,3-6,,Defensive rebound by M. Gasol
9:45.0,,,3-6,,M. Gasol misses 2-pt shot from 19 ft
9:44.0,,,3-6,,Offensive rebound by Z. Randolph
9:31.0,,,3-6,,Z. Randolph misses 2-pt shot from 1 ft
9:30.0,,,3-6,,Offensive rebound by Z. Randolph
9:30.0,,,3-8,2,Z. Randolph makes 2-pt shot from 1 ft
9:30.0,,,3-8,,Shooting foul by J. Nurkic (drawn by Z. Randolph)
9:30.0,J. Hickson enters the game for J. Nurkic,,3-8,,
9:30.0,,,3-9,1,Z. Randolph makes free throw 1 of 1
9:05.0,D. Arthur misses 2-pt shot from 13 ft,,3-9,,
9:04.0,,,3-9,,Defensive rebound by C. Lee
9:01.0,,,3-9,,Offensive charge foul by J. Green
9:01.0,,,3-9,,Turnover by J. Green (offensive foul)
9:01.0,J. Nurkic enters the game for J. Hickson,,3-9,,
8:50.0,J. Nelson misses 3-pt shot from 26 ft,,3-9,,
8:49.0,Offensive rebound by W. Chandler,,3-9,,
8:49.0,,,3-9,,Loose ball foul by J. Green (drawn by W. Chandler)
8:49.0,,,3-9,,T. Allen enters the game for J. Green
8:43.0,Offensive foul by J. Nelson,,3-9,,
8:43.0,Turnover by J. Nelson (offensive foul),,3-9,,
8:28.0,,,3-9,,C. Lee misses 2-pt shot from 10 ft
8:26.0,Defensive rebound by J. Nurkic,,3-9,,
8:21.0,R. Foye misses 2-pt shot from 4 ft,,3-9,,
8:18.0,Offensive rebound by W. Chandler,,3-9,,
8:18.0,W. Chandler misses 2-pt shot from 1 ft,,3-9,,
8:15.0,,,3-9,,Defensive rebound by Z. Randolph
8:06.0,,,3-11,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
7:52.0,R. Foye misses 3-pt shot from 25 ft,,3-11,,
7:52.0,,,3-11,,Defensive rebound by B. Udrih
7:45.0,,,3-11,,C. Lee misses 2-pt shot from 13 ft
7:44.0,,,3-11,,Offensive rebound by B. Udrih
7:35.0,,,3-11,,Turnover by B. Udrih (bad pass; steal by W. Chandler)
7:30.0,W. Chandler misses 2-pt shot from 2 ft,,3-11,,
7:30.0,,,3-11,,Defensive rebound by Team
7:18.0,,,3-11,,Turnover by Z. Randolph (lost ball; steal by D. Arthur)
7:13.0,D. Arthur misses 2-pt shot from 5 ft,,3-11,,
7:11.0,,,3-11,,Defensive rebound by Z. Randolph
7:01.0,,,3-11,,M. Gasol misses 2-pt shot from 16 ft
7:01.0,Defensive rebound by W. Chandler,,3-11,,
6:43.0,J. Nelson makes 2-pt shot from 9 ft,2,5-11,,
6:20.0,,,5-11,,Z. Randolph misses 2-pt shot from 1 ft
6:19.0,,,5-11,,Offensive rebound by Z. Randolph
6:19.0,,,5-11,,Z. Randolph misses 2-pt shot from 1 ft
6:16.0,,,5-11,,Offensive rebound by Z. Randolph
6:16.0,,,5-11,,Z. Randolph misses 2-pt shot from 2 ft
6:14.0,Defensive rebound by J. Nelson,,5-11,,
6:02.0,Turnover by J. Nurkic (lost ball; steal by M. Gasol),,5-11,,
5:54.0,,,5-11,,T. Allen misses 2-pt shot from 1 ft (block by W. Chandler)
5:53.0,,,5-11,,Offensive rebound by Team
5:53.0,,,5-11,,Memphis full timeout
5:53.0,,,5-11,,N. Calathes enters the game for B. Udrih
5:53.0,J. Hickson enters the game for D. Arthur,,5-11,,
5:47.0,,,5-11,,M. Gasol misses 2-pt shot from 19 ft
5:40.0,,,5-11,,Offensive rebound by Z. Randolph
5:38.0,,,5-13,2,N. Calathes makes 2-pt shot from 4 ft
5:14.0,R. Foye makes 3-pt shot from 23 ft (assist by J. Nelson),3,8-13,,
4:59.0,,,8-13,,Turnover by M. Gasol (bad pass)
4:41.0,J. Nelson makes 2-pt shot from 1 ft,2,10-13,,
4:27.0,,,10-13,,Turnover by T. Allen (bad pass; steal by R. Foye)
4:23.0,R. Foye makes 2-pt shot at rim,2,12-13,,
4:23.0,,,12-13,,Memphis full timeout
4:10.0,,,12-13,,Turnover by M. Gasol (lost ball; steal by J. Nelson)
4:07.0,Turnover by W. Chandler (bad pass),,12-13,,
3:54.0,,,12-13,,N. Calathes misses 3-pt shot from 22 ft
