time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (T. Lawson gains possession)
11:46.0,A. Afflalo misses 2-pt shot from 16 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by N. Batum
11:33.0,,,0-2,2,W. Matthews makes 2-pt shot from 11 ft
11:09.0,T. Lawson misses 2-pt shot from 17 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by D. Lillard
11:03.0,,,0-2,,W. Matthews misses 3-pt shot from 22 ft
11:02.0,Defensive rebound by W. Chandler,,0-2,,
10:47.0,W. Chandler makes 3-pt shot from 23 ft (assist by T. Lawson),3,3-2,,
10:22.0,,,3-2,,L. Aldridge misses 2-pt shot from 16 ft
10:21.0,,,3-2,,Offensive rebound by Team
10:21.0,Loose ball foul by T. Mozgov (drawn by R. Lopez),,3-2,,
10:11.0,,,3-4,2,R. Lopez makes 2-pt shot from 7 ft
9:58.0,K. Faried misses 2-pt shot from 18 ft,,3-4,,
9:57.0,,,3-4,,Defensive rebound by L. Aldridge
9:34.0,,,3-4,,L. Aldridge misses 2-pt shot from 18 ft
9:34.0,Defensive rebound by T. Lawson,,3-4,,
9:24.0,K. Faried makes 2-pt shot from 2 ft (assist by W. Chandler),2,5-4,,
9:07.0,,,5-6,2,N. Batum makes 2-pt shot at rim (assist by L. Aldridge)
8:54.0,T. Lawson misses 2-pt shot at rim,,5-6,,
8:52.0,,,5-6,,Defensive rebound by L. Aldridge
8:48.0,,,5-6,,W. Matthews misses 2-pt shot from 1 ft (block by K. Faried)
8:45.0,Defensive rebound by A. Afflalo,,5-6,,
8:42.0,A. Afflalo makes 2-pt shot at rim,2,7-6,,
8:25.0,Def 3 sec tech foul by A. Afflalo,,7-6,,
8:25.0,,,7-7,1,D. Lillard makes technical free throw
8:16.0,,,7-9,2,N. Batum makes 2-pt shot from 20 ft (assist by R. Lopez)
8:02.0,W. Chandler misses 3-pt shot from 23 ft,,7-9,,
8:01.0,,,7-9,,Defensive rebound by W. Matthews
7:51.0,,,7-12,3,N. Batum makes 3-pt shot from 23 ft (assist by L. Aldridge)
7:35.0,T. Mozgov misses 2-pt shot from 8 ft,,7-12,,
7:34.0,,,7-12,,Defensive rebound by N. Batum
7:22.0,,,7-14,2,W. Matthews makes 2-pt shot from 6 ft
7:10.0,K. Faried makes 2-pt shot from 2 ft (assist by T. Lawson),2,9-14,,
7:10.0,Shooting foul by R. Lopez (drawn by K. Faried),,9-14,,
7:10.0,K. Faried makes free throw 1 of 1,1,10-14,,
7:02.0,Personal foul by K. Faried (drawn by D. Lillard),,10-14,,
6:58.0,,,10-14,,Offensive foul by N. Batum
6:58.0,,,10-14,,Turnover by N. Batum (offensive foul)
6:42.0,T. Mozgov misses 2-pt shot from 2 ft (block by R. Lopez),,10-14,,
6:40.0,Offensive rebound by K. Faried,,10-14,,
6:40.0,K. Faried makes 2-pt shot from 1 ft,2,12-14,,
6:22.0,Personal foul by K. Faried (drawn by L. Aldridge),,12-14,,
6:22.0,J. Hickson enters the game for K. Faried,,12-14,,
6:15.0,,,12-14,,R. Lopez misses 2-pt shot from 3 ft (block by T. Mozgov)
6:13.0,Defensive rebound by J. Hickson,,12-14,,
6:05.0,J. Hickson makes 2-pt shot from 2 ft (assist by T. Lawson),2,14-14,,
5:56.0,,,14-14,,Portland full timeout
5:39.0,,,14-14,,W. Matthews misses 3-pt shot from 25 ft
5:37.0,,,14-14,,Offensive rebound by Team
5:37.0,,,14-14,,C. Kaman enters the game for R. Lopez
5:30.0,,,14-16,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard)
5:16.0,A. Afflalo makes 2-pt shot from 1 ft (assist by J. Hickson),2,16-16,,
5:02.0,,,16-16,,L. Aldridge misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by T. Lawson,,16-16,,
4:54.0,W. Chandler misses 2-pt shot from 19 ft,,16-16,,
4:52.0,Offensive rebound by J. Hickson,,16-16,,
4:51.0,J. Hickson misses 2-pt shot from 2 ft (block by C. Kaman),,16-16,,
4:49.0,Offensive rebound by T. Mozgov,,16-16,,
4:49.0,T. Mozgov misses 2-pt shot from 1 ft,,16-16,,
4:49.0,,,16-16,,Defensive rebound by D. Lillard
4:37.0,,,16-16,,C. Kaman misses 2-pt shot from 3 ft
4:35.0,,,16-16,,Offensive rebound by L. Aldridge
4:33.0,,,16-16,,L. Aldridge misses 2-pt shot from 3 ft (block by T. Mozgov)
4:31.0,,,16-16,,Offensive rebound by C. Kaman
4:29.0,,,16-16,,C. Kaman misses 2-pt shot from 1 ft
4:28.0,,,16-16,,Offensive rebound by D. Lillard
4:24.0,,,16-16,,W. Matthews misses 3-pt shot from 24 ft
4:23.0,,,16-16,,Offensive rebound by N. Batum
4:18.0,,,16-19,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard)
4:05.0,T. Lawson makes 2-pt shot from 2 ft,2,18-19,,
3:56.0,,,18-22,3,D. Lillard makes 3-pt shot from 23 ft (assist by L. Aldridge)
3:42.0,Turnover by T. Mozgov (lost ball; steal by D. Lillard),,18-22,,
3:37.0,,,18-24,2,L. Aldridge makes 2-pt shot at rim (assist by N. Batum)
3:36.0,Denver full timeout,,18-24,,
3:36.0,,,18-24,,S. Blake enters the game for D. Lillard
3:36.0,,,18-24,,C. McCollum enters the game for W. Matthews
3:36.0,D. Gallinari enters the game for W. Chandler,,18-24,,
3:36.0,J. McGee enters the game for T. Mozgov,,18-24,,
3:36.0,R. Foye enters the game for A. Afflalo,,18-24,,
3:29.0,Shooting foul by L. Aldridge (drawn by J. Hickson),,18-24,,
3:29.0,J. Hickson misses free throw 1 of 2,,18-24,,
3:29.0,Offensive rebound by Team,,18-24,,
3:29.0,J. Hickson makes free throw 2 of 2,1,19-24,,
3:08.0,,,19-24,,C. McCollum misses 2-pt shot from 22 ft
3:07.0,Defensive rebound by D. Gallinari,,19-24,,
2:47.0,J. Hickson misses 2-pt shot from 3 ft (block by C. Kaman),,19-24,,
2:46.0,Offensive rebound by J. McGee,,19-24,,
2:46.0,J. McGee makes 2-pt shot at rim,2,21-24,,
2:33.0,,,21-24,,N. Batum misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by J. McGee,,21-24,,
2:27.0,Offensive foul by J. Hickson,,21-24,,
2:27.0,Turnover by J. Hickson (offensive foul),,21-24,,
2:10.0,,,21-26,2,L. Aldridge makes 2-pt shot from 3 ft
2:02.0,T. Lawson makes 2-pt shot from 1 ft,2,23-26,,
1:58.0,,,23-26,,Turnover by L. Aldridge (bad pass; steal by T. Lawson)
1:56.0,T. Lawson makes 2-pt shot from 1 ft,2,25-26,,
1:41.0,,,25-26,,L. Aldridge misses 2-pt shot from 2 ft
1:39.0,,,25-26,,Offensive rebound by L. Aldridge
1:35.0,,,25-26,,C. McCollum misses 3-pt shot from 24 ft
1:34.0,,,25-26,,Offensive rebound by N. Batum
1:34.0,Personal foul by J. Hickson (drawn by N. Batum),,25-26,,
1:29.0,,,25-28,2,C. Kaman makes 2-pt shot from 17 ft (assist by S. Blake)
1:13.0,R. Foye misses 3-pt shot from 24 ft,,25-28,,
1:12.0,,,25-28,,Defensive rebound by C. Kaman
1:00.0,,,25-30,2,C. Kaman makes 2-pt shot from 1 ft
