time,Milwaukee,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. L. Sanders (G. Antetokounmpo gains possession),,,,Jump ball: C. Bosh vs. L. Sanders (G. Antetokounmpo gains possession)
11:46.0,L. Sanders misses 2-pt shot from 14 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by M. Chalmers
11:23.0,,,0-0,,C. Bosh misses 2-pt shot from 17 ft
11:22.0,,,0-0,,Offensive rebound by S. Williams
11:21.0,,,0-0,,S. Williams misses 2-pt shot from 4 ft
11:20.0,Defensive rebound by G. Antetokounmpo,,0-0,,
10:58.0,,,0-0,,Violation by N. Cole (kicked ball)
10:55.0,Shooting foul by S. Williams (drawn by J. Parker),,0-0,,
10:55.0,J. Parker makes free throw 1 of 2,1,1-0,,
10:55.0,J. Parker makes free throw 2 of 2,1,2-0,,
10:38.0,,,2-2,2,S. Williams makes 2-pt shot from 18 ft
10:19.0,L. Sanders misses 2-pt shot from 5 ft (block by C. Bosh),,2-2,,
10:18.0,,,2-2,,Defensive rebound by S. Williams
10:05.0,,,2-2,,Turnover by N. Cole (bad pass)
9:44.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,2-2,,
9:43.0,,,2-2,,Defensive rebound by Team
9:32.0,,,2-2,,L. Deng misses 2-pt shot from 18 ft
9:31.0,Defensive rebound by L. Sanders,,2-2,,
9:18.0,B. Knight makes 3-pt shot from 25 ft (assist by J. Dudley),3,5-2,,
8:56.0,,,5-2,,N. Cole misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by B. Knight,,5-2,,
8:52.0,Offensive charge foul by G. Antetokounmpo,,5-2,,
8:52.0,Turnover by G. Antetokounmpo (offensive foul),,5-2,,
8:40.0,,,5-4,2,L. Deng makes 2-pt shot from 10 ft (assist by M. Chalmers)
8:31.0,J. Parker makes 2-pt shot at rim (assist by B. Knight),2,7-4,,
8:08.0,,,7-6,2,M. Chalmers makes 2-pt shot from 1 ft
7:46.0,J. Parker makes 2-pt shot from 17 ft,2,9-6,,
7:26.0,,,9-6,,C. Bosh misses 2-pt shot from 12 ft
7:25.0,Defensive rebound by G. Antetokounmpo,,9-6,,
7:18.0,G. Antetokounmpo makes 2-pt shot at rim,2,11-6,,
7:18.0,Shooting foul by S. Williams (drawn by G. Antetokounmpo),,11-6,,
7:18.0,,,11-6,,J. Ennis enters the game for M. Chalmers
7:18.0,,,11-6,,C. Andersen enters the game for S. Williams
7:18.0,G. Antetokounmpo misses free throw 1 of 1,,11-6,,
7:17.0,Offensive rebound by L. Sanders,,11-6,,
7:16.0,L. Sanders makes 2-pt shot at rim,2,13-6,,
7:02.0,Personal foul by B. Knight (drawn by N. Cole),,13-6,,
6:49.0,,,13-8,2,C. Bosh makes 2-pt shot from 1 ft
6:33.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Ennis),,13-8,,
6:27.0,,,13-10,2,N. Cole makes 2-pt shot from 2 ft (assist by J. Ennis)
6:08.0,L. Sanders makes 2-pt shot from 15 ft (assist by J. Dudley),2,15-10,,
5:49.0,,,15-12,2,J. Ennis makes 2-pt shot from 15 ft (assist by C. Bosh)
