time,Portland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Lopez (D. Rose gains possession),,,,Jump ball: P. Gasol vs. R. Lopez (D. Rose gains possession)
11:43.0,,,0-0,,P. Gasol misses 2-pt shot from 11 ft
11:42.0,Defensive rebound by D. Lillard,,0-0,,
11:27.0,R. Lopez misses 2-pt shot from 16 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by P. Gasol
11:09.0,,,0-0,,J. Butler misses 2-pt shot from 21 ft
11:08.0,Defensive rebound by D. Lillard,,0-0,,
10:54.0,L. Aldridge makes 2-pt shot from 16 ft,2,2-0,,
10:37.0,,,2-2,2,P. Gasol makes 2-pt shot from 6 ft
10:16.0,N. Batum misses 2-pt shot from 20 ft,,2-2,,
10:15.0,Offensive rebound by R. Lopez,,2-2,,
10:15.0,R. Lopez misses 2-pt shot from 2 ft,,2-2,,
10:14.0,Offensive rebound by R. Lopez,,2-2,,
10:11.0,L. Aldridge makes 2-pt shot from 8 ft (assist by R. Lopez),2,4-2,,
10:06.0,,,4-2,,Chicago full timeout
10:06.0,,,4-2,,K. Hinrich enters the game for M. Dunleavy
9:56.0,,,4-2,,P. Gasol misses 2-pt shot from 6 ft (block by W. Matthews)
9:56.0,,,4-2,,Offensive rebound by Team
9:55.0,,,4-2,,Turnover by P. Gasol (bad pass)
9:36.0,L. Aldridge makes 2-pt shot from 11 ft,2,6-2,,
9:21.0,,,6-4,2,D. Rose makes 2-pt shot from 4 ft
9:21.0,,,6-4,,Shooting foul by D. Lillard (drawn by D. Rose)
9:21.0,,,6-5,1,D. Rose makes free throw 1 of 1
9:02.0,L. Aldridge misses 2-pt shot from 15 ft,,6-5,,
9:01.0,,,6-5,,Defensive rebound by D. Rose
8:56.0,,,6-7,2,D. Rose makes 2-pt shot from 1 ft
8:42.0,W. Matthews makes 2-pt shot from 9 ft,2,8-7,,
8:27.0,,,8-9,2,D. Rose makes 2-pt shot from 13 ft
8:08.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Lillard),2,10-9,,
7:44.0,,,10-11,2,D. Rose makes 2-pt shot from 9 ft
7:29.0,D. Lillard misses 3-pt shot from 24 ft,,10-11,,
7:28.0,Offensive rebound by L. Aldridge,,10-11,,
7:27.0,L. Aldridge makes 2-pt shot at rim,2,12-11,,
7:11.0,,,12-11,,D. Rose misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by W. Matthews,,12-11,,
7:00.0,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Lillard),3,15-11,,
6:52.0,,,15-11,,Chicago full timeout
6:52.0,,,15-11,,M. Dunleavy enters the game for K. Hinrich
6:43.0,,,15-11,,D. Rose misses 2-pt shot from 12 ft
6:42.0,,,15-11,,Offensive rebound by P. Gasol
6:42.0,,,15-13,2,P. Gasol makes 2-pt shot from 1 ft
6:22.0,N. Batum misses 3-pt shot from 22 ft,,15-13,,
6:20.0,,,15-13,,Defensive rebound by P. Gasol
6:07.0,,,15-13,,Turnover by T. Gibson (lost ball; steal by L. Aldridge)
6:04.0,Turnover by D. Lillard (bad pass),,15-13,,
5:52.0,,,15-13,,Shooting foul by R. Lopez (drawn by P. Gasol)
5:52.0,,,15-13,,P. Gasol misses free throw 1 of 2
5:52.0,,,15-13,,Offensive rebound by Team
5:52.0,S. Blake enters the game for W. Matthews,,15-13,,
5:52.0,,,15-14,1,P. Gasol makes free throw 2 of 2
5:37.0,N. Batum misses 3-pt shot from 23 ft,,15-14,,
5:36.0,,,15-14,,Defensive rebound by P. Gasol
5:28.0,,,15-14,,P. Gasol misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by N. Batum,,15-14,,
5:14.0,D. Lillard makes 3-pt shot from 25 ft,3,18-14,,
4:59.0,,,18-14,,P. Gasol misses 2-pt shot from 18 ft
4:59.0,Defensive rebound by Team,,18-14,,
4:59.0,C. Kaman enters the game for R. Lopez,,18-14,,
4:41.0,C. Kaman makes 2-pt shot from 14 ft (assist by N. Batum),2,20-14,,
4:15.0,,,20-17,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by D. Rose)
4:07.0,L. Aldridge makes 2-pt shot at rim (assist by N. Batum),2,22-17,,
3:39.0,,,22-17,,P. Gasol misses 2-pt shot from 16 ft
3:38.0,Defensive rebound by S. Blake,,22-17,,
3:21.0,Turnover by D. Lillard (lost ball; steal by D. Rose),,22-17,,
3:19.0,,,22-17,,Shooting foul by S. Blake (drawn by D. Rose)
3:19.0,,,22-18,1,D. Rose makes free throw 1 of 2
3:19.0,,,22-18,,N. Mirotic enters the game for T. Gibson
3:19.0,,,22-19,1,D. Rose makes free throw 2 of 2
3:05.0,,,22-19,,Personal foul by N. Mirotic (drawn by L. Aldridge)
3:05.0,,,22-19,,K. Hinrich enters the game for D. Rose
3:05.0,Portland full timeout,,22-19,,
3:05.0,A. Crabbe enters the game for N. Batum,,22-19,,
3:05.0,W. Matthews enters the game for D. Lillard,,22-19,,
2:59.0,Turnover by S. Blake (bad pass; steal by K. Hinrich),,22-19,,
2:55.0,,,22-21,2,K. Hinrich makes 2-pt shot from 1 ft (assist by J. Butler)
2:40.0,L. Aldridge makes 2-pt shot from 21 ft (assist by A. Crabbe),2,24-21,,
2:14.0,,,24-21,,J. Butler misses 2-pt shot from 20 ft
2:13.0,Defensive rebound by C. Kaman,,24-21,,
1:57.0,L. Aldridge makes 2-pt shot from 13 ft,2,26-21,,
1:45.0,,,26-21,,K. Hinrich misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by W. Matthews,,26-21,,
1:29.0,L. Aldridge makes 2-pt shot from 20 ft,2,28-21,,
1:13.0,,,28-21,,M. Dunleavy misses 3-pt shot from 25 ft
1:12.0,,,28-21,,Offensive rebound by J. Butler
1:09.0,,,28-21,,N. Mirotic misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by S. Blake,,28-21,,
0:56.0,L. Aldridge misses 2-pt shot from 19 ft,,28-21,,
0:54.0,,,28-21,,Defensive rebound by M. Dunleavy
0:45.0,,,28-21,,P. Gasol misses 2-pt shot from 2 ft
0:43.0,Defensive rebound by L. Aldridge,,28-21,,
0:34.0,Turnover by S. Blake (step out of bounds),,28-21,,
0:34.0,,,28-21,,A. Brooks enters the game for M. Dunleavy
0:34.0,M. Leonard enters the game for L. Aldridge,,28-21,,
0:16.0,,,28-24,3,K. Hinrich makes 3-pt shot from 24 ft (assist by A. Brooks)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Turnover by S. Blake (lost ball),,28-24,,
11:38.0,,,28-24,,T. Gibson misses 2-pt shot from 11 ft
11:37.0,Defensive rebound by A. Crabbe,,28-24,,
11:29.0,Turnover by C. Kaman (bad pass; steal by J. Butler),,28-24,,
11:23.0,,,28-24,,K. Hinrich misses 2-pt shot from 22 ft
11:21.0,,,28-24,,Offensive rebound by N. Mirotic
11:21.0,,,28-24,,N. Mirotic misses 2-pt shot from 1 ft
11:20.0,,,28-24,,Offensive rebound by T. Gibson
11:20.0,,,28-24,,T. Gibson misses 2-pt shot from 1 ft
11:19.0,,,28-24,,Offensive rebound by N. Mirotic
11:19.0,,,28-24,,Shooting foul by M. Leonard (drawn by N. Mirotic)
11:19.0,,,28-25,1,N. Mirotic makes free throw 1 of 2
11:19.0,,,28-26,1,N. Mirotic makes free throw 2 of 2
11:02.0,Turnover by W. Matthews (bad pass; steal by N. Mirotic),,28-26,,
10:57.0,,,28-26,,Shooting foul by M. Leonard (drawn by N. Mirotic)
10:57.0,,,28-27,1,N. Mirotic makes free throw 1 of 2
10:57.0,,,28-28,1,N. Mirotic makes free throw 2 of 2
10:52.0,,,28-28,,Personal foul by A. Brooks (drawn by S. Blake)
10:35.0,M. Leonard misses 3-pt shot from 26 ft,,28-28,,
10:34.0,,,28-28,,Defensive rebound by A. Brooks
10:25.0,,,28-30,2,T. Gibson makes 2-pt shot from 16 ft (assist by N. Mirotic)
10:11.0,W. Matthews makes 2-pt shot from 13 ft (assist by C. Kaman),2,30-30,,
9:54.0,,,30-32,2,A. Brooks makes 2-pt shot from 12 ft
9:35.0,M. Leonard misses 2-pt shot from 14 ft,,30-32,,
9:34.0,,,30-32,,Defensive rebound by N. Mirotic
9:29.0,,,30-32,,N. Mirotic misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by C. Kaman,,30-32,,
9:17.0,S. Blake misses 2-pt shot from 14 ft,,30-32,,
9:16.0,,,30-32,,Defensive rebound by T. Gibson
9:13.0,,,30-34,2,N. Mirotic makes 2-pt shot at rim (assist by A. Brooks)
9:11.0,Portland full timeout,,30-34,,
9:11.0,N. Batum enters the game for W. Matthews,,30-34,,
9:11.0,D. Lillard enters the game for S. Blake,,30-34,,
9:11.0,,,30-34,,M. Dunleavy enters the game for J. Butler
8:53.0,C. Kaman misses 2-pt shot from 8 ft,,30-34,,
8:52.0,,,30-34,,Defensive rebound by N. Mirotic
