time,Memphis,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Horford (M. Conley gains possession),,,,Jump ball: M. Gasol vs. A. Horford (M. Conley gains possession)
11:43.0,Turnover by M. Gasol (bad pass; steal by A. Horford),,0-0,,
11:28.0,,,0-3,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
11:09.0,M. Gasol misses 2-pt shot from 20 ft,,0-3,,
11:08.0,,,0-3,,Defensive rebound by D. Carroll
10:46.0,,,0-5,2,K. Korver makes 2-pt shot from 19 ft (assist by P. Millsap)
10:30.0,Turnover by T. Allen (bad pass; steal by J. Teague),,0-5,,
10:25.0,,,0-7,2,J. Teague makes 2-pt shot at rim
10:09.0,Turnover by C. Lee (lost ball; steal by D. Carroll),,0-7,,
9:56.0,,,0-7,,A. Horford misses 2-pt shot from 17 ft
9:54.0,,,0-7,,Offensive rebound by D. Carroll
9:41.0,,,0-7,,Turnover by P. Millsap (bad pass; steal by T. Allen)
9:36.0,C. Lee makes 2-pt shot from 16 ft (assist by M. Conley),2,2-7,,
9:10.0,,,2-7,,D. Carroll misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by M. Gasol,,2-7,,
8:59.0,C. Lee misses 2-pt shot from 18 ft,,2-7,,
8:57.0,,,2-7,,Defensive rebound by P. Millsap
8:51.0,,,2-7,,Turnover by P. Millsap (bad pass; steal by C. Lee)
8:47.0,T. Allen makes 2-pt shot from 2 ft (assist by C. Lee),2,4-7,,
8:23.0,,,4-7,,P. Millsap misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by M. Gasol,,4-7,,
8:15.0,M. Conley makes 2-pt shot from 1 ft,2,6-7,,
7:48.0,,,6-7,,A. Horford misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by M. Conley,,6-7,,
7:34.0,M. Gasol makes 2-pt shot from 11 ft,2,8-7,,
7:33.0,,,8-7,,Atlanta full timeout
7:33.0,J. Leuer enters the game for J. Stokes,,8-7,,
7:20.0,Personal foul by J. Leuer (drawn by K. Korver),,8-7,,
7:14.0,,,8-7,,Turnover by J. Teague (bad pass)
6:57.0,M. Conley misses 2-pt shot from 11 ft,,8-7,,
6:56.0,,,8-7,,Defensive rebound by A. Horford
6:33.0,,,8-10,3,J. Teague makes 3-pt shot from 22 ft (assist by A. Horford)
6:11.0,Turnover by J. Leuer (bad pass; steal by D. Carroll),,8-10,,
6:05.0,,,8-10,,Turnover by D. Carroll (bad pass; steal by M. Gasol)
6:00.0,T. Allen misses 2-pt shot from 1 ft,,8-10,,
5:58.0,Offensive rebound by C. Lee,,8-10,,
5:58.0,C. Lee misses 2-pt shot from 3 ft,,8-10,,
5:57.0,Offensive rebound by T. Allen,,8-10,,
5:54.0,M. Conley makes 2-pt shot from 3 ft (assist by T. Allen),2,10-10,,
5:37.0,,,10-10,,Shooting foul by J. Leuer (drawn by P. Millsap)
5:37.0,,,10-11,1,P. Millsap makes free throw 1 of 2
5:37.0,T. Prince enters the game for J. Leuer,,10-11,,
5:37.0,,,10-11,,P. Antic enters the game for A. Horford
5:37.0,,,10-11,,T. Sefolosha enters the game for K. Korver
5:37.0,,,10-12,1,P. Millsap makes free throw 2 of 2
5:19.0,T. Allen makes 2-pt shot from 18 ft (assist by C. Lee),2,12-12,,
4:53.0,,,12-12,,Turnover by Team (shot clock)
4:46.0,M. Conley makes 3-pt shot from 24 ft,3,15-12,,
4:36.0,,,15-14,2,J. Teague makes 2-pt shot from 1 ft
4:22.0,T. Prince misses 2-pt shot from 20 ft,,15-14,,
4:21.0,Offensive rebound by M. Conley,,15-14,,
4:19.0,Turnover by M. Conley (lost ball),,15-14,,
4:10.0,,,15-14,,Turnover by J. Teague (bad pass; steal by M. Conley)
4:10.0,,,15-14,,Personal foul by P. Millsap (drawn by M. Conley)
3:49.0,M. Gasol misses 2-pt shot from 19 ft,,15-14,,
3:47.0,Offensive rebound by M. Conley,,15-14,,
3:36.0,M. Gasol makes 2-pt shot from 6 ft (assist by C. Lee),2,17-14,,
3:19.0,,,17-14,,P. Antic misses 3-pt shot from 25 ft
3:18.0,,,17-14,,Offensive rebound by P. Millsap
3:12.0,,,17-14,,Offensive foul by P. Antic
3:12.0,,,17-14,,Turnover by P. Antic (offensive foul)
3:12.0,Memphis full timeout,,17-14,,
3:12.0,,,17-14,,D. Schroder enters the game for J. Teague
3:12.0,V. Carter enters the game for T. Allen,,17-14,,
2:59.0,T. Prince makes 2-pt shot from 14 ft (assist by M. Conley),2,19-14,,
2:42.0,,,19-16,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by P. Millsap)
2:28.0,Turnover by C. Lee (bad pass; steal by T. Sefolosha),,19-16,,
2:24.0,,,19-18,2,D. Carroll makes 2-pt shot at rim (assist by T. Sefolosha)
2:13.0,Technical foul by V. Carter,,19-18,,
2:13.0,,,19-18,,T. Sefolosha misses technical free throw
2:13.0,Offensive rebound by Team,,19-18,,
2:13.0,K. Koufos enters the game for M. Gasol,,19-18,,
2:03.0,Turnover by V. Carter (lost ball; steal by T. Sefolosha),,19-18,,
1:58.0,,,19-18,,T. Sefolosha misses 2-pt shot from 1 ft
1:57.0,,,19-18,,Offensive rebound by D. Schroder
1:51.0,,,19-18,,Turnover by P. Antic (offensive foul)
1:51.0,,,19-18,,Offensive charge foul by P. Antic
1:51.0,,,19-18,,A. Horford enters the game for P. Antic
1:41.0,,,19-18,,K. Korver enters the game for D. Carroll
1:41.0,,,19-18,,M. Scott enters the game for P. Millsap
1:32.0,M. Conley misses 2-pt shot from 19 ft,,19-18,,
1:29.0,,,19-18,,Defensive rebound by T. Sefolosha
1:18.0,,,19-20,2,D. Schroder makes 2-pt shot from 6 ft
1:05.0,V. Carter misses 3-pt shot from 24 ft,,19-20,,
1:03.0,,,19-20,,Defensive rebound by M. Scott
0:56.0,,,19-20,,Turnover by D. Schroder (lost ball; steal by M. Conley)
0:44.0,T. Prince misses 2-pt shot from 18 ft,,19-20,,
0:43.0,,,19-20,,Defensive rebound by Team
0:43.0,Loose ball foul by K. Koufos (drawn by A. Horford),,19-20,,
0:43.0,B. Udrih enters the game for M. Conley,,19-20,,
0:43.0,Q. Pondexter enters the game for C. Lee,,19-20,,
0:27.0,,,19-23,3,M. Scott makes 3-pt shot from 25 ft (assist by T. Sefolosha)
0:08.0,Turnover by B. Udrih (lost ball; steal by D. Schroder),,19-23,,
0:08.0,Jump ball: D. Schroder vs. B. Udrih (A. Horford gains possession),,,,Jump ball: D. Schroder vs. B. Udrih (A. Horford gains possession)
0:00.0,,,19-23,,D. Schroder misses 3-pt shot from 25 ft (block by V. Carter)
0:00.0,Defensive rebound by B. Udrih,,19-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-25,2,A. Horford makes 2-pt shot from 10 ft (assist by M. Scott)
11:21.0,B. Udrih makes 2-pt shot from 17 ft,2,21-25,,
11:01.0,,,21-27,2,M. Scott makes 2-pt shot from 15 ft (assist by D. Schroder)
10:37.0,T. Prince makes 2-pt shot from 10 ft,2,23-27,,
10:21.0,,,23-27,,A. Horford misses 2-pt shot from 6 ft
10:19.0,Defensive rebound by V. Carter,,23-27,,
10:04.0,K. Koufos misses 2-pt shot from 13 ft (block by A. Horford),,23-27,,
10:04.0,Offensive rebound by Team,,23-27,,
10:04.0,,,23-27,,K. Bazemore enters the game for T. Sefolosha
9:56.0,B. Udrih misses 2-pt shot from 9 ft,,23-27,,
9:54.0,Offensive rebound by K. Koufos,,23-27,,
9:54.0,K. Koufos makes 2-pt shot at rim,2,25-27,,
9:42.0,,,25-27,,A. Horford misses 2-pt shot at rim
9:40.0,Defensive rebound by T. Prince,,25-27,,
9:36.0,Turnover by T. Prince (lost ball; steal by D. Schroder),,25-27,,
9:22.0,,,25-27,,K. Korver misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by Q. Pondexter,,25-27,,
9:11.0,Turnover by V. Carter (bad pass),,25-27,,
8:57.0,,,25-27,,Turnover by D. Schroder (bad pass; steal by T. Prince)
8:49.0,K. Koufos makes 2-pt shot at rim (assist by V. Carter),2,27-27,,
8:42.0,,,27-27,,Atlanta full timeout
8:42.0,J. Leuer enters the game for T. Prince,,27-27,,
8:32.0,,,27-27,,A. Horford misses 2-pt shot at rim
8:31.0,Defensive rebound by B. Udrih,,27-27,,
8:19.0,Turnover by B. Udrih (bad pass; steal by D. Schroder),,27-27,,
8:14.0,,,27-27,,Turnover by K. Bazemore (lost ball; steal by B. Udrih)
8:01.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Leuer),3,30-27,,
7:45.0,,,30-27,,Shooting foul by B. Udrih (drawn by D. Schroder)
7:45.0,,,30-27,,D. Schroder misses free throw 1 of 2
7:45.0,,,30-27,,Offensive rebound by Team
7:45.0,,,30-27,,P. Antic enters the game for A. Horford
7:45.0,,,30-28,1,D. Schroder makes free throw 2 of 2
7:30.0,B. Udrih misses 2-pt shot from 11 ft,,30-28,,
7:30.0,,,30-28,,Defensive rebound by Team
7:30.0,Loose ball foul by J. Leuer (drawn by D. Schroder),,30-28,,
7:30.0,,,30-28,,J. Teague enters the game for D. Schroder
7:11.0,,,30-31,3,M. Scott makes 3-pt shot from 23 ft (assist by J. Teague)
6:50.0,V. Carter misses 3-pt shot from 25 ft,,30-31,,
6:47.0,,,30-31,,Defensive rebound by J. Teague
6:42.0,,,30-31,,K. Korver misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by K. Koufos,,30-31,,
6:33.0,J. Leuer misses 2-pt shot from 17 ft,,30-31,,
6:32.0,,,30-31,,Defensive rebound by K. Korver
6:19.0,,,30-31,,J. Teague misses 2-pt shot from 5 ft
6:17.0,Defensive rebound by J. Leuer,,30-31,,
5:54.0,V. Carter misses 3-pt shot from 27 ft,,30-31,,
5:53.0,,,30-31,,Defensive rebound by P. Antic
5:39.0,,,30-31,,K. Korver misses 3-pt shot from 24 ft
