time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Speights (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. M. Speights (R. Westbrook gains possession)
11:46.0,S. Adams misses 2-pt shot from 11 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by M. Speights
11:31.0,,,0-0,,H. Barnes misses 2-pt shot from 2 ft
11:30.0,,,0-0,,Offensive rebound by H. Barnes
11:29.0,,,0-0,,H. Barnes misses 2-pt shot from 1 ft
11:28.0,Defensive rebound by S. Adams,,0-0,,
11:24.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,2-0,,
11:15.0,,,2-2,2,S. Curry makes 2-pt shot from 1 ft
10:52.0,R. Westbrook misses 2-pt shot from 12 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by S. Curry
10:45.0,,,2-4,2,S. Curry makes 2-pt shot from 9 ft
10:25.0,S. Adams misses 2-pt shot from 4 ft (block by K. Thompson),,2-4,,
10:23.0,,,2-4,,Defensive rebound by K. Thompson
10:15.0,,,2-4,,D. Green misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by K. Durant,,2-4,,
10:07.0,,,2-4,,Violation by D. Green (kicked ball)
10:05.0,Shooting foul by S. Curry (drawn by R. Westbrook),,2-4,,
10:05.0,R. Westbrook makes free throw 1 of 2,1,3-4,,
10:05.0,R. Westbrook makes free throw 2 of 2,1,4-4,,
9:48.0,,,4-6,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
9:48.0,,,4-6,,Shooting foul by A. Roberson (drawn by K. Thompson)
9:48.0,,,4-7,1,K. Thompson makes free throw 1 of 1
9:36.0,R. Westbrook misses 2-pt shot from 3 ft,,4-7,,
9:35.0,Offensive rebound by R. Westbrook,,4-7,,
9:33.0,R. Westbrook misses 2-pt shot from 3 ft,,4-7,,
9:32.0,,,4-7,,Defensive rebound by D. Green
9:26.0,,,4-10,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
9:19.0,Oklahoma City full timeout,,4-10,,
9:08.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,6-10,,
8:56.0,,,6-10,,Shooting foul by A. Roberson (drawn by K. Thompson)
8:56.0,,,6-11,1,K. Thompson makes free throw 1 of 2
8:56.0,P. Jones enters the game for A. Roberson,,6-11,,
8:56.0,,,6-12,1,K. Thompson makes free throw 2 of 2
8:53.0,,,6-12,,Personal foul by D. Green (drawn by R. Westbrook)
8:45.0,Turnover by K. Durant (lost ball; steal by S. Curry),,6-12,,
8:40.0,,,6-14,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
8:30.0,K. Durant misses 2-pt shot from 17 ft,,6-14,,
8:29.0,,,6-14,,Defensive rebound by D. Green
8:23.0,,,6-17,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
8:13.0,Oklahoma City full timeout,,6-17,,
8:08.0,,,6-17,,Def 3 sec tech foul by M. Speights
8:08.0,K. Durant makes technical free throw,1,7-17,,
8:01.0,Turnover by S. Ibaka (bad pass; steal by K. Thompson),,7-17,,
7:51.0,,,7-17,,M. Speights misses 2-pt shot from 7 ft
7:50.0,Defensive rebound by S. Ibaka,,7-17,,
