time,New York,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. H. Whiteside (J. Smith gains possession),,,,Jump ball: L. Amundson vs. H. Whiteside (J. Smith gains possession)
11:43.0,Turnover by J. Calderon (bad pass; steal by S. Napier),,0-0,,
11:24.0,,,0-0,,C. Bosh misses 2-pt shot from 8 ft
11:23.0,,,0-0,,Offensive rebound by H. Whiteside
11:19.0,,,0-0,,H. Whiteside misses 2-pt shot from 3 ft (block by L. Amundson)
11:18.0,Defensive rebound by J. Smith,,0-0,,
11:11.0,L. Galloway makes 2-pt shot from 15 ft,2,2-0,,
10:45.0,,,2-2,2,L. Deng makes 2-pt shot from 3 ft (assist by C. Bosh)
10:27.0,L. Galloway misses 2-pt shot from 8 ft,,2-2,,
10:26.0,,,2-2,,Defensive rebound by M. Chalmers
10:13.0,,,2-2,,Turnover by C. Bosh (bad pass; steal by L. Amundson)
9:56.0,J. Calderon misses 2-pt shot from 19 ft,,2-2,,
9:55.0,,,2-2,,Defensive rebound by H. Whiteside
9:51.0,,,2-2,,M. Chalmers misses 2-pt shot from 1 ft (block by L. Galloway)
9:50.0,,,2-2,,Offensive rebound by Team
9:32.0,,,2-2,,L. Deng misses 2-pt shot from 7 ft
9:31.0,Defensive rebound by L. Galloway,,2-2,,
9:24.0,L. Galloway misses 2-pt shot from 3 ft,,2-2,,
9:23.0,Offensive rebound by L. Amundson,,2-2,,
9:22.0,L. Amundson makes 2-pt shot at rim,2,4-2,,
9:08.0,,,4-5,3,C. Bosh makes 3-pt shot from 24 ft (assist by L. Deng)
8:51.0,L. Amundson makes 2-pt shot from 9 ft (assist by J. Smith),2,6-5,,
8:36.0,,,6-8,3,M. Chalmers makes 3-pt shot from 23 ft (assist by C. Bosh)
8:18.0,L. Amundson misses 2-pt shot from 4 ft,,6-8,,
8:17.0,,,6-8,,Defensive rebound by S. Napier
8:12.0,,,6-10,2,L. Deng makes 2-pt shot at rim (assist by S. Napier)
8:02.0,C. Anthony makes 3-pt shot from 23 ft (assist by J. Calderon),3,9-10,,
