time,Golden State,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. A. Bogut (J. Smith gains possession),,,,Jump ball: L. Amundson vs. A. Bogut (J. Smith gains possession)
11:40.0,,,0-0,,J. Calderon misses 2-pt shot from 20 ft
11:39.0,Defensive rebound by A. Bogut,,0-0,,
11:22.0,A. Bogut makes 2-pt shot from 5 ft,2,2-0,,
11:05.0,,,2-2,2,J. Smith makes 2-pt shot from 15 ft (assist by L. Amundson)
10:56.0,Turnover by D. Green (bad pass; steal by L. Galloway),,2-2,,
10:49.0,,,2-2,,L. Thomas misses 2-pt shot from 2 ft
10:48.0,,,2-2,,Offensive rebound by L. Amundson
10:34.0,,,2-4,2,J. Smith makes 2-pt shot from 19 ft (assist by L. Amundson)
10:21.0,K. Thompson misses 2-pt shot from 18 ft,,2-4,,
10:20.0,,,2-4,,Defensive rebound by J. Smith
10:07.0,,,2-6,2,L. Thomas makes 2-pt shot from 11 ft (assist by J. Calderon)
9:51.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green),3,5-6,,
9:34.0,,,5-6,,Shooting foul by D. Green (drawn by J. Smith)
9:34.0,,,5-7,1,J. Smith makes free throw 1 of 2
9:34.0,,,5-8,1,J. Smith makes free throw 2 of 2
9:28.0,K. Thompson misses 2-pt shot from 23 ft,,5-8,,
9:26.0,,,5-8,,Defensive rebound by J. Smith
9:06.0,,,5-10,2,L. Amundson makes 2-pt shot from 4 ft (assist by J. Calderon)
8:56.0,S. Curry makes 3-pt shot from 26 ft,3,8-10,,
8:36.0,,,8-10,,J. Calderon misses 2-pt shot from 21 ft
8:35.0,Defensive rebound by A. Bogut,,8-10,,
8:23.0,D. Green misses 2-pt shot from 20 ft,,8-10,,
8:22.0,Offensive rebound by S. Curry,,8-10,,
8:18.0,S. Curry misses 3-pt shot from 24 ft,,8-10,,
8:17.0,,,8-10,,Defensive rebound by L. Thomas
8:11.0,,,8-10,,L. Galloway misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by D. Green,,8-10,,
8:04.0,S. Curry misses 2-pt shot from 10 ft,,8-10,,
8:03.0,,,8-10,,Defensive rebound by J. Smith
7:48.0,,,8-10,,L. Galloway misses 2-pt shot from 20 ft
7:47.0,Defensive rebound by S. Curry,,8-10,,
7:33.0,D. Green misses 3-pt shot from 23 ft,,8-10,,
7:32.0,,,8-10,,Defensive rebound by L. Amundson
7:22.0,,,8-10,,J. Calderon misses 3-pt shot from 24 ft (block by D. Green)
7:21.0,Defensive rebound by K. Thompson,,8-10,,
7:16.0,H. Barnes makes 2-pt shot at rim (assist by D. Green),2,10-10,,
6:59.0,,,10-10,,J. Smith misses 2-pt shot from 14 ft (block by A. Bogut)
6:58.0,Defensive rebound by S. Curry,,10-10,,
6:49.0,K. Thompson misses 2-pt shot from 1 ft,,10-10,,
6:48.0,Offensive rebound by A. Bogut,,10-10,,
6:48.0,A. Bogut makes 2-pt shot from 1 ft,2,12-10,,
6:47.0,,,12-10,,New York full timeout
6:25.0,,,12-10,,L. Galloway misses 2-pt shot from 17 ft
6:24.0,Defensive rebound by A. Bogut,,12-10,,
6:08.0,Shooting foul by L. Amundson (drawn by H. Barnes),,12-10,,
6:08.0,H. Barnes makes free throw 1 of 2,1,13-10,,
6:08.0,H. Barnes makes free throw 2 of 2,1,14-10,,
5:50.0,,,14-10,,L. Amundson misses 2-pt shot from 1 ft (block by A. Bogut)
5:49.0,Defensive rebound by D. Green,,14-10,,
5:41.0,S. Curry misses 2-pt shot from 22 ft,,14-10,,
5:40.0,,,14-10,,Defensive rebound by L. Amundson
5:33.0,,,14-10,,Turnover by J. Calderon (bad pass; steal by H. Barnes)
5:31.0,,,14-10,,Personal foul by L. Amundson (drawn by H. Barnes)
5:31.0,,,14-10,,A. Stoudemire enters the game for L. Amundson
5:31.0,,,14-10,,T. Hardaway enters the game for J. Calderon
5:18.0,K. Thompson misses 2-pt shot at rim,,14-10,,
5:17.0,,,14-10,,Defensive rebound by T. Hardaway
