time,LA Clippers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:32.0,,,0-0,,P. Gasol misses 2-pt shot from 14 ft
12:00.0,Jump ball: P. Gasol vs. D. Jordan (A. Brooks gains possession),,,,Jump ball: P. Gasol vs. D. Jordan (A. Brooks gains possession)
11:31.0,Defensive rebound by M. Barnes,,0-0,,
11:09.0,C. Paul makes 2-pt shot from 13 ft,2,2-0,,
10:51.0,,,2-0,,P. Gasol misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by D. Jordan,,2-0,,
10:33.0,C. Paul misses 3-pt shot from 25 ft,,2-0,,
10:32.0,,,2-0,,Defensive rebound by A. Brooks
10:24.0,,,2-3,3,J. Butler makes 3-pt shot from 24 ft (assist by J. Noah)
10:03.0,J. Redick misses 3-pt shot from 23 ft,,2-3,,
10:02.0,Offensive rebound by J. Redick,,2-3,,
9:54.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,5-3,,
9:37.0,,,5-3,,J. Butler misses 2-pt shot from 3 ft (block by M. Barnes)
9:34.0,Defensive rebound by S. Hawes,,5-3,,
9:19.0,S. Hawes makes 2-pt shot from 6 ft,2,7-3,,
8:59.0,,,7-3,,Shooting foul by S. Hawes (drawn by J. Noah)
8:59.0,,,7-4,1,J. Noah makes free throw 1 of 2
8:59.0,,,7-4,,J. Noah misses free throw 2 of 2
8:57.0,Defensive rebound by D. Jordan,,7-4,,
8:46.0,Shooting foul by J. Noah (drawn by D. Jordan),,7-4,,
8:46.0,D. Jordan misses free throw 1 of 2,,7-4,,
8:46.0,Offensive rebound by Team,,7-4,,
8:46.0,D. Jordan misses free throw 2 of 2,,7-4,,
8:44.0,,,7-4,,Defensive rebound by P. Gasol
8:34.0,,,7-4,,A. Brooks misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by D. Jordan,,7-4,,
8:23.0,Turnover by J. Redick (step out of bounds),,7-4,,
8:18.0,,,7-7,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by A. Brooks)
8:05.0,S. Hawes misses 3-pt shot from 24 ft,,7-7,,
8:04.0,Offensive rebound by D. Jordan,,7-7,,
8:02.0,D. Jordan misses 2-pt shot at rim,,7-7,,
8:02.0,Offensive rebound by D. Jordan,,7-7,,
8:02.0,Shooting foul by M. Dunleavy (drawn by D. Jordan),,7-7,,
8:02.0,D. Jordan misses free throw 1 of 2,,7-7,,
8:02.0,Offensive rebound by Team,,7-7,,
8:02.0,D. Jordan makes free throw 2 of 2,1,8-7,,
7:46.0,,,8-7,,Turnover by J. Butler (lost ball; steal by S. Hawes)
