time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. T. Zeller (J. Crowder gains possession),,,,Jump ball: J. Valanciunas vs. T. Zeller (J. Crowder gains possession)
11:35.0,T. Zeller makes 2-pt shot from 8 ft,2,2-0,,
11:16.0,,,2-2,2,J. Johnson makes 2-pt shot from 3 ft
11:01.0,E. Turner misses 2-pt shot from 5 ft,,2-2,,
11:00.0,Offensive rebound by E. Turner,,2-2,,
10:59.0,E. Turner misses 2-pt shot from 2 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by J. Valanciunas
10:52.0,,,2-2,,J. Johnson misses 2-pt shot from 1 ft
10:49.0,Defensive rebound by T. Zeller,,2-2,,
10:44.0,J. Crowder makes 2-pt shot from 15 ft,2,4-2,,
10:20.0,,,4-2,,J. Valanciunas misses 2-pt shot from 5 ft
10:19.0,Defensive rebound by J. Sullinger,,4-2,,
10:03.0,T. Zeller misses 2-pt shot from 7 ft,,4-2,,
10:02.0,,,4-2,,Defensive rebound by K. Lowry
9:53.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
9:53.0,,,4-4,,Shooting foul by T. Zeller (drawn by J. Valanciunas)
9:53.0,,,4-5,1,J. Valanciunas makes free throw 1 of 1
9:39.0,J. Sullinger misses 2-pt shot from 16 ft,,4-5,,
9:38.0,Offensive rebound by Team,,4-5,,
9:31.0,E. Turner misses 2-pt shot from 19 ft,,4-5,,
9:30.0,,,4-5,,Defensive rebound by A. Johnson
9:13.0,,,4-5,,A. Johnson misses 2-pt shot from 6 ft
9:12.0,,,4-5,,Offensive rebound by J. Johnson
9:10.0,,,4-5,,J. Johnson misses 2-pt shot from 2 ft
9:09.0,,,4-5,,Offensive rebound by J. Johnson
9:07.0,,,4-5,,J. Johnson misses 2-pt shot from 2 ft
9:06.0,,,4-5,,Offensive rebound by J. Valanciunas
9:04.0,,,4-7,2,J. Valanciunas makes 2-pt shot from 5 ft
8:52.0,A. Bradley makes 3-pt shot from 25 ft,3,7-7,,
8:33.0,,,7-7,,T. Ross misses 2-pt shot from 5 ft
8:32.0,Defensive rebound by E. Turner,,7-7,,
8:16.0,T. Zeller makes 2-pt shot from 7 ft (assist by A. Bradley),2,9-7,,
7:46.0,,,9-7,,J. Valanciunas misses 2-pt shot from 6 ft
7:45.0,Defensive rebound by J. Sullinger,,9-7,,
7:38.0,Shooting foul by J. Valanciunas (drawn by J. Crowder),,9-7,,
7:38.0,J. Crowder misses free throw 1 of 2,,9-7,,
7:38.0,Offensive rebound by Team,,9-7,,
7:38.0,J. Crowder misses free throw 2 of 2,,9-7,,
7:36.0,,,9-7,,Defensive rebound by J. Johnson
7:29.0,Personal foul by A. Bradley (drawn by J. Johnson),,9-7,,
7:20.0,,,9-7,,Turnover by J. Johnson (lost ball; steal by J. Sullinger)
7:12.0,J. Sullinger makes 2-pt shot from 3 ft (assist by E. Turner),2,11-7,,
6:55.0,,,11-7,,T. Ross misses 2-pt shot from 13 ft
6:55.0,Defensive rebound by J. Sullinger,,11-7,,
6:46.0,A. Bradley makes 2-pt shot from 17 ft,2,13-7,,
6:44.0,,,13-7,,Toronto full timeout
6:26.0,,,13-7,,J. Valanciunas misses 2-pt shot from 5 ft
6:25.0,Defensive rebound by J. Sullinger,,13-7,,
6:09.0,J. Sullinger misses 2-pt shot from 17 ft,,13-7,,
6:08.0,,,13-7,,Defensive rebound by K. Lowry
6:00.0,,,13-7,,K. Lowry misses 2-pt shot from 23 ft
5:59.0,Defensive rebound by T. Zeller,,13-7,,
5:46.0,T. Zeller misses 2-pt shot from 6 ft (block by J. Valanciunas),,13-7,,
5:45.0,,,13-7,,Defensive rebound by T. Ross
5:39.0,,,13-7,,K. Lowry misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by J. Sullinger,,13-7,,
5:25.0,A. Bradley misses 2-pt shot from 20 ft,,13-7,,
5:24.0,,,13-7,,Defensive rebound by J. Johnson
5:14.0,,,13-9,2,J. Johnson makes 2-pt shot from 5 ft
4:55.0,J. Crowder makes 2-pt shot from 12 ft (assist by E. Turner),2,15-9,,
4:34.0,,,15-9,,Offensive charge foul by J. Valanciunas
4:34.0,,,15-9,,Turnover by J. Valanciunas (offensive foul)
4:34.0,K. Olynyk enters the game for T. Zeller,,15-9,,
4:34.0,,,15-9,,T. Hansbrough enters the game for J. Valanciunas
4:34.0,,,15-9,,L. Williams enters the game for T. Ross
4:27.0,,,15-9,,Personal foul by T. Hansbrough (drawn by J. Sullinger)
4:21.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Crowder),2,17-9,,
4:01.0,Personal foul by K. Olynyk (drawn by A. Johnson),,17-9,,
3:53.0,,,17-11,2,A. Johnson makes 2-pt shot from 5 ft (assist by K. Lowry)
3:36.0,J. Sullinger misses 2-pt shot from 3 ft (block by A. Johnson),,17-11,,
3:33.0,,,17-11,,Defensive rebound by L. Williams
3:24.0,,,17-11,,Turnover by K. Lowry (lost ball)
3:11.0,J. Crowder misses 2-pt shot at rim (block by A. Johnson),,17-11,,
3:09.0,Offensive rebound by J. Sullinger,,17-11,,
3:06.0,J. Sullinger makes 2-pt shot from 2 ft,2,19-11,,
3:02.0,,,19-11,,Shooting foul by E. Turner (drawn by L. Williams)
3:02.0,,,19-11,,L. Williams misses free throw 1 of 2
3:02.0,,,19-11,,Offensive rebound by Team
3:02.0,,,19-11,,P. Patterson enters the game for A. Johnson
