time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. A. Bogut (T. Ariza gains possession),,,,Jump ball: T. Black vs. A. Bogut (T. Ariza gains possession)
11:45.0,,,0-0,,K. Papanikolaou misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by A. Bogut,,0-0,,
11:30.0,Offensive foul by S. Curry,,0-0,,
11:30.0,Turnover by S. Curry (offensive foul),,0-0,,
11:16.0,Violation by A. Bogut (kicked ball),,0-0,,
11:05.0,,,0-0,,K. Papanikolaou misses 3-pt shot from 22 ft
11:04.0,Defensive rebound by S. Curry,,0-0,,
10:45.0,K. Thompson misses 3-pt shot from 24 ft,,0-0,,
10:43.0,,,0-0,,Defensive rebound by J. Harden
10:38.0,,,0-0,,T. Ariza misses 3-pt shot from 24 ft
10:36.0,,,0-0,,Offensive rebound by K. Papanikolaou
10:25.0,,,0-0,,I. Canaan misses 3-pt shot from 24 ft
10:23.0,,,0-0,,Offensive rebound by T. Black
10:10.0,,,0-0,,J. Harden misses 3-pt shot from 25 ft
10:08.0,,,0-0,,Offensive rebound by K. Papanikolaou
9:56.0,,,0-0,,J. Harden misses 2-pt shot from 20 ft
9:54.0,Defensive rebound by S. Curry,,0-0,,
9:49.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,2-0,,
9:24.0,,,2-0,,T. Ariza misses 2-pt shot from 1 ft
9:23.0,,,2-0,,Offensive rebound by T. Black
9:22.0,,,2-0,,Turnover by Team (shot clock)
9:12.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,4-0,,
8:53.0,,,4-2,2,T. Black makes 2-pt shot at rim (assist by K. Papanikolaou)
8:38.0,Turnover by K. Thompson (offensive foul),,4-2,,
8:38.0,Offensive charge foul by K. Thompson,,4-2,,
8:29.0,,,4-2,,Turnover by I. Canaan (bad pass)
8:09.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut),2,6-2,,
7:58.0,,,6-2,,Turnover by J. Harden (lost ball)
7:49.0,S. Curry makes 2-pt shot from 2 ft,2,8-2,,
7:42.0,,,8-5,3,I. Canaan makes 3-pt shot from 24 ft
7:27.0,H. Barnes misses 3-pt shot from 24 ft,,8-5,,
7:26.0,,,8-5,,Defensive rebound by I. Canaan
7:20.0,,,8-5,,Shooting foul by K. Thompson (drawn by J. Harden)
7:20.0,,,8-6,1,J. Harden makes free throw 1 of 2
7:20.0,L. Barbosa enters the game for K. Thompson,,8-6,,
7:20.0,,,8-6,,J. Harden misses free throw 2 of 2
7:20.0,Defensive rebound by A. Bogut,,8-6,,
7:08.0,S. Curry makes 3-pt shot from 25 ft,3,11-6,,
6:57.0,,,11-8,2,J. Harden makes 2-pt shot from 16 ft
6:40.0,S. Curry misses 2-pt shot from 13 ft,,11-8,,
6:39.0,,,11-8,,Defensive rebound by T. Black
