time,Dallas,pts.away,score,pts.home,Houston
2:38.0,,,16-28,,Defensive rebound by C. Capela
2:34.0,,,16-28,,J. Harden misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by A. Stoudemire,,16-28,,
2:30.0,,,16-28,,Personal block foul by P. Prigioni (drawn by M. Ellis)
2:30.0,,,16-28,,Houston full timeout
2:30.0,C. Parsons enters the game for D. Nowitzki,,16-28,,
2:30.0,M. Ellis misses free throw 1 of 2,,16-28,,
2:30.0,Offensive rebound by Team,,16-28,,
2:30.0,M. Ellis makes free throw 2 of 2,1,17-28,,
2:15.0,,,17-28,,J. Harden misses 3-pt shot from 25 ft
2:14.0,,,17-28,,Offensive rebound by J. Smith
2:11.0,,,17-30,2,J. Smith makes 2-pt shot from 2 ft
1:50.0,D. Harris misses 3-pt shot from 23 ft,,17-30,,
1:49.0,,,17-30,,Defensive rebound by C. Capela
1:42.0,,,17-30,,Shooting foul by A. Aminu (drawn by J. Smith)
1:42.0,,,17-30,,J. Smith misses free throw 1 of 2
1:42.0,,,17-30,,Offensive rebound by Team
1:42.0,J. Barea enters the game for M. Ellis,,17-30,,
1:42.0,,,17-30,,J. Smith misses free throw 2 of 2
1:41.0,Defensive rebound by A. Stoudemire,,17-30,,
1:18.0,A. Stoudemire misses 2-pt shot from 13 ft,,17-30,,
1:17.0,,,17-30,,Defensive rebound by C. Capela
1:12.0,,,17-30,,Shooting foul by C. Parsons (drawn by J. Harden)
1:12.0,,,17-31,1,J. Harden makes free throw 1 of 2
1:12.0,,,17-31,,J. Harden misses free throw 2 of 2
1:12.0,Defensive rebound by A. Stoudemire,,17-31,,
0:57.0,Turnover by A. Stoudemire (traveling),,17-31,,
0:54.0,Personal take foul by J. Barea (drawn by C. Capela),,17-31,,
0:54.0,,,17-31,,C. Capela misses free throw 1 of 2
0:54.0,,,17-31,,Offensive rebound by Team
0:54.0,,,17-32,1,C. Capela makes free throw 2 of 2
0:33.0,J. Barea makes 2-pt shot from 12 ft,2,19-32,,
0:22.0,,,19-32,,J. Harden misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by J. Barea,,19-32,,
0:00.0,A. Stoudemire misses 2-pt shot from 2 ft (block by J. Smith),,19-32,,
0:00.0,Offensive rebound by Team,,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by D. Harris (bad pass),,19-32,,
11:41.0,,,19-32,,Turnover by P. Prigioni (traveling)
11:29.0,A. Aminu misses 3-pt shot from 24 ft,,19-32,,
11:28.0,,,19-32,,Defensive rebound by T. Ariza
11:16.0,,,19-32,,Shooting foul by A. Stoudemire (drawn by D. Howard)
11:16.0,,,19-32,,D. Howard misses free throw 1 of 2
11:16.0,,,19-32,,Offensive rebound by Team
11:16.0,,,19-33,1,D. Howard makes free throw 2 of 2
10:55.0,A. Stoudemire misses 2-pt shot from 14 ft,,19-33,,
10:54.0,,,19-33,,Defensive rebound by J. Smith
10:49.0,,,19-33,,Turnover by J. Smith (bad pass)
10:35.0,A. Stoudemire misses 2-pt shot from 4 ft (block by J. Smith),,19-33,,
10:33.0,,,19-33,,Defensive rebound by J. Smith
10:28.0,,,19-33,,P. Prigioni misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by D. Harris,,19-33,,
10:23.0,J. Barea makes 2-pt shot from 1 ft (assist by D. Harris),2,21-33,,
10:14.0,,,21-33,,D. Howard misses 2-pt shot from 2 ft (block by A. Aminu)
10:14.0,Defensive rebound by Team,,21-33,,
9:56.0,Shooting foul by D. Howard (drawn by A. Stoudemire),,21-33,,
9:56.0,A. Stoudemire makes free throw 1 of 2,1,22-33,,
9:56.0,,,22-33,,T. Jones enters the game for D. Howard
9:56.0,A. Stoudemire makes free throw 2 of 2,1,23-33,,
9:54.0,Personal foul by J. Barea (drawn by P. Prigioni),,23-33,,
9:44.0,,,23-33,,J. Smith misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by D. Harris,,23-33,,
9:33.0,J. Barea makes 2-pt shot from 14 ft,2,25-33,,
9:22.0,,,25-35,2,J. Smith makes 2-pt shot from 1 ft (assist by T. Ariza)
9:04.0,D. Harris misses 3-pt shot from 24 ft,,25-35,,
9:03.0,,,25-35,,Defensive rebound by J. Smith
8:54.0,,,25-35,,J. Smith misses 2-pt shot from 7 ft
8:53.0,,,25-35,,Offensive rebound by Team
8:53.0,Loose ball foul by A. Stoudemire (drawn by T. Jones),,25-35,,
8:53.0,,,25-35,,Houston full timeout
8:53.0,T. Chandler enters the game for A. Aminu,,25-35,,
8:53.0,D. Nowitzki enters the game for A. Stoudemire,,25-35,,
8:35.0,,,25-35,,C. Brewer misses 2-pt shot from 21 ft
8:34.0,Defensive rebound by J. Barea,,25-35,,
8:20.0,C. Parsons makes 2-pt shot from 2 ft,2,27-35,,
8:01.0,,,27-35,,J. Smith misses 2-pt shot from 7 ft
8:01.0,Defensive rebound by Team,,27-35,,
8:01.0,,,27-35,,Loose ball foul by T. Jones (drawn by D. Nowitzki)
7:47.0,C. Parsons misses 2-pt shot from 4 ft,,27-35,,
7:45.0,Offensive rebound by T. Chandler,,27-35,,
7:45.0,T. Chandler misses 2-pt shot from 1 ft,,27-35,,
7:45.0,Offensive rebound by T. Chandler,,27-35,,
7:45.0,Shooting foul by T. Jones (drawn by T. Chandler),,27-35,,
7:45.0,,,27-35,,Technical foul by T. Ariza
7:45.0,Technical foul by C. Parsons,,27-35,,
7:45.0,T. Chandler misses free throw 1 of 2,,27-35,,
7:45.0,Offensive rebound by Team,,27-35,,
7:45.0,,,27-35,,J. Terry enters the game for P. Prigioni
7:45.0,,,27-35,,J. Harden enters the game for C. Brewer
7:45.0,M. Ellis enters the game for D. Harris,,27-35,,
7:45.0,R. Rondo enters the game for J. Barea,,27-35,,
7:45.0,T. Chandler makes free throw 2 of 2,1,28-35,,
7:33.0,,,28-37,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
7:26.0,C. Parsons makes 2-pt shot at rim (assist by R. Rondo),2,30-37,,
7:14.0,,,30-37,,J. Smith misses 2-pt shot from 4 ft
7:13.0,Defensive rebound by D. Nowitzki,,30-37,,
7:05.0,C. Parsons misses 3-pt shot from 25 ft,,30-37,,
7:05.0,,,30-37,,Defensive rebound by Team
6:50.0,,,30-37,,Turnover by J. Smith (lost ball; steal by M. Ellis)
6:40.0,R. Rondo makes 2-pt shot from 17 ft,2,32-37,,
6:27.0,,,32-37,,C. Capela enters the game for J. Smith
6:27.0,R. Jefferson enters the game for C. Parsons,,32-37,,
6:27.0,,,32-37,,Houston full timeout
