time,Sacramento,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: D. Favors vs. J. Thompson (D. Cousins gains possession)
11:36.0,R. Gay misses 2-pt shot from 20 ft,,0-0,,
11:35.0,Offensive rebound by Team,,0-0,,
11:35.0,,,0-0,,Loose ball foul by E. Millsap (drawn by B. McLemore)
11:28.0,B. McLemore misses 3-pt shot from 24 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by E. Kanter
11:14.0,,,0-2,2,G. Hayward makes 2-pt shot from 22 ft (assist by D. Favors)
10:55.0,D. Cousins misses 2-pt shot from 4 ft,,0-2,,
10:54.0,Offensive rebound by D. Cousins,,0-2,,
10:44.0,D. Cousins makes 2-pt shot from 4 ft,2,2-2,,
10:31.0,,,2-2,,E. Kanter misses 2-pt shot from 19 ft
10:29.0,Defensive rebound by R. Sessions,,2-2,,
10:19.0,R. Sessions misses 2-pt shot from 3 ft (block by D. Favors),,2-2,,
10:19.0,Offensive rebound by Team,,2-2,,
10:09.0,R. Gay misses 2-pt shot from 3 ft,,2-2,,
10:09.0,,,2-2,,Defensive rebound by Team
9:55.0,Personal foul by R. Gay (drawn by G. Hayward),,2-2,,
9:45.0,,,2-5,3,G. Hayward makes 3-pt shot from 24 ft (assist by E. Kanter)
9:23.0,D. Cousins makes 2-pt shot from 16 ft,2,4-5,,
9:11.0,,,4-5,,G. Hayward misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by D. Cousins,,4-5,,
8:48.0,J. Thompson misses 2-pt shot from 19 ft,,4-5,,
8:45.0,,,4-5,,Defensive rebound by E. Millsap
8:30.0,,,4-5,,D. Favors misses 2-pt shot from 18 ft
8:28.0,,,4-5,,Offensive rebound by E. Kanter
8:28.0,,,4-7,2,E. Kanter makes 2-pt shot from 1 ft
8:10.0,D. Cousins misses 2-pt shot at rim,,4-7,,
8:09.0,,,4-7,,Defensive rebound by Team
7:48.0,,,4-7,,D. Favors misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by B. McLemore,,4-7,,
7:39.0,B. McLemore misses 2-pt shot from 6 ft,,4-7,,
7:37.0,Offensive rebound by R. Sessions,,4-7,,
7:30.0,R. Gay misses 3-pt shot from 22 ft,,4-7,,
7:29.0,,,4-7,,Defensive rebound by D. Favors
7:13.0,,,4-7,,D. Favors misses 2-pt shot from 15 ft
7:08.0,,,4-7,,Offensive rebound by E. Kanter
7:08.0,,,4-7,,E. Kanter misses 2-pt shot from 2 ft
7:06.0,,,4-7,,Offensive rebound by G. Hayward
6:57.0,,,4-7,,Shooting foul by J. Thompson (drawn by E. Kanter)
6:57.0,,,4-8,1,E. Kanter makes free throw 1 of 2
6:57.0,,,4-9,1,E. Kanter makes free throw 2 of 2
6:45.0,B. McLemore misses 3-pt shot from 24 ft,,4-9,,
6:43.0,,,4-9,,Defensive rebound by D. Favors
6:34.0,,,4-11,2,E. Kanter makes 2-pt shot from 1 ft (assist by E. Millsap)
6:33.0,,,4-11,,Violation by Team (delay of game)
6:32.0,Sacramento full timeout,,4-11,,
6:16.0,Shooting foul by D. Exum (drawn by R. Sessions),,4-11,,
6:16.0,R. Sessions makes free throw 1 of 2,1,5-11,,
6:16.0,,,5-11,,T. Burke enters the game for D. Exum
6:16.0,,,5-11,,R. Gobert enters the game for E. Kanter
6:16.0,R. Sessions makes free throw 2 of 2,1,6-11,,
6:02.0,,,6-13,2,D. Favors makes 2-pt shot at rim
5:52.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. Sessions),2,8-13,,
5:36.0,,,8-13,,Turnover by D. Favors (lost ball)
5:24.0,R. Gay misses 3-pt shot from 23 ft,,8-13,,
5:22.0,,,8-13,,Defensive rebound by G. Hayward
5:06.0,,,8-15,2,G. Hayward makes 2-pt shot from 10 ft
4:48.0,D. Cousins misses 2-pt shot from 4 ft (block by D. Favors),,8-15,,
4:45.0,,,8-15,,Defensive rebound by T. Burke
4:43.0,,,8-17,2,G. Hayward makes 2-pt shot at rim (assist by T. Burke)
4:18.0,D. Cousins misses 2-pt shot from 10 ft,,8-17,,
