time,Atlanta,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (D. Rose gains possession),,,,Jump ball: P. Gasol vs. A. Horford (D. Rose gains possession)
11:43.0,,,0-0,,J. Butler misses 2-pt shot from 17 ft
11:42.0,,,0-0,,Offensive rebound by T. Gibson
11:39.0,,,0-0,,P. Gasol misses 2-pt shot from 16 ft
11:38.0,Defensive rebound by P. Millsap,,0-0,,
11:22.0,D. Carroll misses 2-pt shot from 20 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by D. Rose
11:12.0,,,0-0,,Turnover by T. Gibson (bad pass; steal by J. Teague)
11:04.0,P. Millsap misses 2-pt shot from 1 ft (block by T. Gibson),,0-0,,
11:02.0,,,0-0,,Defensive rebound by P. Gasol
11:00.0,,,0-0,,Turnover by M. Dunleavy (bad pass)
10:36.0,D. Carroll misses 2-pt shot from 1 ft,,0-0,,
10:35.0,,,0-0,,Defensive rebound by P. Gasol
10:28.0,,,0-0,,M. Dunleavy misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by P. Millsap,,0-0,,
10:27.0,,,0-0,,Personal foul by P. Gasol (drawn by P. Millsap)
10:10.0,D. Carroll misses 3-pt shot from 23 ft,,0-0,,
10:09.0,Offensive rebound by A. Horford,,0-0,,
10:09.0,A. Horford makes 2-pt shot from 1 ft,2,2-0,,
9:53.0,,,2-0,,M. Dunleavy misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by A. Horford,,2-0,,
9:37.0,J. Teague misses 2-pt shot from 14 ft,,2-0,,
9:36.0,,,2-0,,Defensive rebound by D. Rose
9:31.0,,,2-0,,Turnover by D. Rose (bad pass)
9:18.0,P. Millsap misses 2-pt shot from 16 ft,,2-0,,
9:17.0,,,2-0,,Defensive rebound by P. Gasol
9:07.0,,,2-0,,Turnover by P. Gasol (bad pass; steal by P. Millsap)
8:57.0,J. Teague makes 2-pt shot from 8 ft,2,4-0,,
8:45.0,,,4-2,2,D. Rose makes 2-pt shot at rim
8:40.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,6-2,,
8:26.0,,,6-2,,T. Gibson misses 2-pt shot from 2 ft (block by A. Horford)
8:24.0,Defensive rebound by K. Korver,,6-2,,
8:16.0,A. Horford makes 2-pt shot from 16 ft,2,8-2,,
7:58.0,,,8-2,,D. Rose misses 3-pt shot from 25 ft (block by J. Teague)
7:56.0,Defensive rebound by J. Teague,,8-2,,
7:55.0,J. Teague makes 2-pt shot from 2 ft,2,10-2,,
7:55.0,,,10-2,,Chicago full timeout
7:39.0,,,10-4,2,J. Butler makes 2-pt shot from 11 ft (assist by P. Gasol)
7:30.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,12-4,,
7:10.0,,,12-4,,D. Rose misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by P. Millsap,,12-4,,
6:59.0,A. Horford makes 2-pt shot from 12 ft (assist by J. Teague),2,14-4,,
6:42.0,,,14-4,,Turnover by P. Gasol (bad pass; steal by P. Millsap)
6:33.0,A. Horford misses 2-pt shot from 2 ft,,14-4,,
6:31.0,Offensive rebound by P. Millsap,,14-4,,
6:31.0,P. Millsap makes 2-pt shot from 1 ft,2,16-4,,
6:10.0,Violation by P. Millsap (kicked ball),,16-4,,
6:05.0,,,16-6,2,J. Butler makes 2-pt shot from 1 ft
5:40.0,Turnover by P. Millsap (bad pass; steal by P. Gasol),,16-6,,
5:35.0,,,16-6,,Turnover by D. Rose (lost ball)
5:35.0,,,16-6,,Chicago full timeout
5:35.0,,,16-6,,A. Brooks enters the game for D. Rose
5:18.0,Turnover by J. Teague (bad pass; steal by M. Dunleavy),,16-6,,
5:13.0,,,16-6,,Turnover by P. Gasol (lost ball)
