time,Houston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Howard (J. Terry gains possession),,,,Jump ball: A. Davis vs. D. Howard (J. Terry gains possession)
11:46.0,Turnover by J. Terry (bad pass),,0-0,,
11:35.0,,,0-0,,Shooting foul by J. Harden (drawn by E. Gordon)
11:35.0,,,0-0,,E. Gordon misses free throw 1 of 2
11:35.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-1,1,E. Gordon makes free throw 2 of 2
11:18.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,2-1,,
10:55.0,,,2-1,,Q. Pondexter misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by Team,,2-1,,
10:37.0,Turnover by J. Harden (bad pass; steal by O. Asik),,2-1,,
10:31.0,,,2-3,2,Q. Pondexter makes 2-pt shot from 1 ft
10:22.0,T. Ariza misses 2-pt shot from 21 ft,,2-3,,
10:21.0,,,2-3,,Defensive rebound by A. Davis
10:06.0,,,2-3,,A. Davis misses 2-pt shot from 15 ft
10:05.0,Defensive rebound by D. Howard,,2-3,,
9:53.0,D. Howard misses 2-pt shot from 4 ft (block by T. Evans),,2-3,,
9:53.0,Offensive rebound by Team,,2-3,,
9:45.0,,,2-3,,Personal foul by T. Evans (drawn by J. Harden)
9:36.0,Turnover by J. Terry (lost ball; steal by Q. Pondexter),,2-3,,
9:32.0,,,2-5,2,A. Davis makes 2-pt shot at rim (assist by Q. Pondexter)
9:26.0,Turnover by J. Terry (bad pass; steal by A. Davis),,2-5,,
9:15.0,,,2-8,3,T. Evans makes 3-pt shot from 26 ft
9:04.0,J. Harden makes 2-pt shot at rim,2,4-8,,
8:51.0,,,4-10,2,T. Evans makes 2-pt shot from 2 ft
8:33.0,,,4-10,,Personal foul by A. Davis (drawn by D. Motiejunas)
8:21.0,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Terry),2,6-10,,
8:06.0,,,6-10,,A. Davis misses 2-pt shot from 2 ft (block by D. Howard)
8:02.0,,,6-10,,Offensive rebound by O. Asik
8:02.0,,,6-12,2,O. Asik makes 2-pt shot at rim
7:51.0,T. Ariza makes 2-pt shot from 22 ft (assist by D. Howard),2,8-12,,
7:34.0,,,8-14,2,A. Davis makes 2-pt shot from 15 ft (assist by T. Evans)
7:22.0,D. Motiejunas misses 2-pt shot from 10 ft,,8-14,,
7:22.0,,,8-14,,Defensive rebound by Team
7:22.0,J. Dorsey enters the game for D. Howard,,8-14,,
7:10.0,,,8-14,,E. Gordon misses 3-pt shot from 26 ft
7:09.0,Defensive rebound by T. Ariza,,8-14,,
7:00.0,J. Harden makes 2-pt shot from 1 ft,2,10-14,,
6:40.0,,,10-14,,Shooting foul by J. Terry (drawn by A. Davis)
6:40.0,,,10-15,1,A. Davis makes free throw 1 of 2
6:40.0,,,10-15,,A. Davis misses free throw 2 of 2
6:40.0,Defensive rebound by D. Motiejunas,,10-15,,
6:20.0,D. Motiejunas misses 3-pt shot from 23 ft,,10-15,,
6:19.0,,,10-15,,Defensive rebound by O. Asik
6:06.0,,,10-17,2,T. Evans makes 2-pt shot from 20 ft
5:51.0,,,10-17,,Personal foul by E. Gordon (drawn by D. Motiejunas)
5:51.0,,,10-17,,New Orleans full timeout
5:51.0,P. Prigioni enters the game for J. Terry,,10-17,,
5:39.0,J. Dorsey makes 2-pt shot from 5 ft (assist by D. Motiejunas),2,12-17,,
5:25.0,,,12-17,,Turnover by T. Evans (bad pass; steal by T. Ariza)
5:13.0,P. Prigioni misses 3-pt shot from 26 ft,,12-17,,
5:11.0,Offensive rebound by Team,,12-17,,
5:11.0,,,12-17,,A. Ajinca enters the game for O. Asik
5:11.0,,,12-17,,D. Cunningham enters the game for Q. Pondexter
5:04.0,D. Motiejunas misses 3-pt shot from 24 ft,,12-17,,
5:02.0,Offensive rebound by P. Prigioni,,12-17,,
4:51.0,J. Harden misses 2-pt shot from 10 ft (block by A. Ajinca),,12-17,,
4:49.0,,,12-17,,Defensive rebound by T. Evans
4:42.0,,,12-19,2,A. Ajinca makes 2-pt shot from 18 ft (assist by T. Evans)
4:29.0,Offensive foul by J. Dorsey,,12-19,,
4:29.0,Turnover by J. Dorsey (offensive foul),,12-19,,
4:29.0,C. Brewer enters the game for T. Ariza,,12-19,,
4:16.0,,,12-21,2,T. Evans makes 2-pt shot from 1 ft
4:07.0,C. Brewer misses 2-pt shot from 1 ft (block by D. Cunningham),,12-21,,
4:05.0,,,12-21,,Defensive rebound by A. Ajinca
3:56.0,,,12-24,3,T. Evans makes 3-pt shot from 26 ft
3:55.0,Houston full timeout,,12-24,,
3:55.0,J. Smith enters the game for D. Motiejunas,,12-24,,
3:36.0,J. Dorsey makes 2-pt shot from 2 ft (assist by P. Prigioni),2,14-24,,
3:25.0,,,14-26,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Gordon)
3:14.0,J. Harden misses 3-pt shot from 25 ft,,14-26,,
3:13.0,,,14-26,,Defensive rebound by T. Evans
3:10.0,,,14-26,,Turnover by T. Evans (bad pass; steal by J. Harden)
2:51.0,J. Smith makes 2-pt shot from 2 ft (assist by P. Prigioni),2,16-26,,
2:31.0,,,16-28,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
2:16.0,J. Smith misses 2-pt shot from 11 ft (block by A. Davis),,16-28,,
2:14.0,Offensive rebound by J. Smith,,16-28,,
2:11.0,J. Smith misses 2-pt shot from 1 ft,,16-28,,
2:10.0,Offensive rebound by J. Smith,,16-28,,
1:47.0,J. Smith misses 3-pt shot from 25 ft,,16-28,,
1:46.0,,,16-28,,Defensive rebound by A. Davis
1:33.0,,,16-30,2,D. Cunningham makes 2-pt shot from 21 ft (assist by A. Ajinca)
1:19.0,Turnover by P. Prigioni (bad pass; steal by T. Evans),,16-30,,
1:15.0,,,16-32,2,D. Cunningham makes 2-pt shot at rim (assist by T. Evans)
1:14.0,Houston full timeout,,16-32,,
1:14.0,,,16-32,,N. Cole enters the game for E. Gordon
1:02.0,C. Brewer misses 2-pt shot from 2 ft (block by A. Ajinca),,16-32,,
1:01.0,Offensive rebound by Team,,16-32,,
0:57.0,J. Dorsey misses 2-pt shot from 7 ft (block by A. Ajinca),,16-32,,
0:54.0,Offensive rebound by J. Dorsey,,16-32,,
0:53.0,J. Dorsey makes 2-pt shot from 1 ft,2,18-32,,
0:31.0,,,18-32,,N. Cole misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by P. Prigioni,,18-32,,
0:24.0,Shooting foul by A. Ajinca (drawn by J. Harden),,18-32,,
0:24.0,J. Harden makes free throw 1 of 2,1,19-32,,
0:24.0,T. Ariza enters the game for P. Prigioni,,19-32,,
0:24.0,J. Harden misses free throw 2 of 2,,19-32,,
0:23.0,,,19-32,,Defensive rebound by A. Davis
0:01.0,,,19-34,2,T. Evans makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,19-34,,Shooting foul by D. Howard (drawn by A. Ajinca)
11:40.0,,,19-35,1,A. Ajinca makes free throw 1 of 2
11:40.0,,,19-36,1,A. Ajinca makes free throw 2 of 2
11:23.0,J. Smith makes 2-pt shot at rim (assist by T. Ariza),2,21-36,,
11:04.0,Personal foul by D. Howard (drawn by A. Ajinca),,21-36,,
10:56.0,,,21-36,,A. Davis misses 2-pt shot from 19 ft
10:54.0,Defensive rebound by D. Howard,,21-36,,
10:46.0,Turnover by T. Ariza (bad pass),,21-36,,
10:33.0,,,21-38,2,A. Davis makes 2-pt shot from 11 ft (assist by N. Cole)
10:17.0,C. Brewer misses 2-pt shot from 9 ft,,21-38,,
10:15.0,,,21-38,,Defensive rebound by A. Davis
10:04.0,,,21-38,,Shooting foul by J. Smith (drawn by A. Davis)
10:04.0,,,21-38,,A. Davis misses free throw 1 of 2
10:04.0,,,21-38,,Offensive rebound by Team
10:04.0,,,21-38,,A. Davis misses free throw 2 of 2
10:03.0,Defensive rebound by D. Howard,,21-38,,
9:50.0,J. Smith misses 3-pt shot from 26 ft,,21-38,,
9:48.0,,,21-38,,Defensive rebound by Q. Pondexter
9:44.0,,,21-38,,D. Cunningham misses 2-pt shot at rim
9:41.0,Defensive rebound by T. Ariza,,21-38,,
9:36.0,J. Smith makes 2-pt shot at rim (assist by D. Howard),2,23-38,,
9:16.0,,,23-40,2,N. Cole makes 2-pt shot from 10 ft (assist by A. Ajinca)
8:59.0,D. Howard makes 2-pt shot at rim (assist by P. Prigioni),2,25-40,,
8:48.0,,,25-40,,New Orleans full timeout
8:48.0,J. Terry enters the game for P. Prigioni,,25-40,,
8:48.0,,,25-40,,O. Asik enters the game for A. Davis
8:48.0,,,25-40,,E. Gordon enters the game for A. Ajinca
8:41.0,,,25-40,,N. Cole misses 2-pt shot from 12 ft
8:40.0,Defensive rebound by Team,,25-40,,
8:40.0,,,25-40,,Violation by O. Asik (kicked ball)
8:28.0,Turnover by J. Smith (bad pass),,25-40,,
8:16.0,Personal foul by C. Brewer (drawn by E. Gordon),,25-40,,
8:16.0,D. Motiejunas enters the game for D. Howard,,25-40,,
8:12.0,,,25-40,,Offensive foul by O. Asik
8:12.0,,,25-40,,Turnover by O. Asik (offensive foul)
8:00.0,D. Motiejunas makes 2-pt shot from 8 ft (assist by T. Ariza),2,27-40,,
7:37.0,,,27-42,2,O. Asik makes 2-pt shot from 1 ft (assist by D. Cunningham)
7:19.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by C. Brewer),2,29-42,,
6:59.0,,,29-42,,Shooting foul by J. Smith (drawn by Q. Pondexter)
6:59.0,,,29-43,1,Q. Pondexter makes free throw 1 of 2
6:59.0,J. Harden enters the game for J. Smith,,29-43,,
6:59.0,,,29-43,,Q. Pondexter misses free throw 2 of 2
6:57.0,Defensive rebound by J. Harden,,29-43,,
6:50.0,Shooting foul by N. Cole (drawn by J. Terry),,29-43,,
6:50.0,J. Terry makes free throw 1 of 2,1,30-43,,
6:50.0,,,30-43,,A. Davis enters the game for O. Asik
6:50.0,J. Terry makes free throw 2 of 2,1,31-43,,
6:37.0,Personal foul by T. Ariza (drawn by A. Davis),,31-43,,
6:37.0,,,31-44,1,A. Davis makes free throw 1 of 2
6:37.0,,,31-44,,A. Davis misses free throw 2 of 2
6:36.0,Defensive rebound by D. Motiejunas,,31-44,,
6:23.0,T. Ariza misses 2-pt shot at rim,,31-44,,
6:21.0,Offensive rebound by D. Motiejunas,,31-44,,
6:21.0,D. Motiejunas misses 2-pt shot at rim,,31-44,,
6:21.0,Offensive rebound by T. Ariza,,31-44,,
6:21.0,T. Ariza makes 2-pt shot from 1 ft,2,33-44,,
6:21.0,Shooting foul by D. Cunningham (drawn by T. Ariza),,33-44,,
6:21.0,T. Ariza makes free throw 1 of 1,1,34-44,,
5:57.0,,,34-44,,N. Cole misses 2-pt shot from 8 ft
5:56.0,Defensive rebound by C. Brewer,,34-44,,
5:48.0,C. Brewer misses 3-pt shot from 24 ft,,34-44,,
5:46.0,Offensive rebound by D. Motiejunas,,34-44,,
5:40.0,Turnover by D. Motiejunas (bad pass; steal by A. Davis),,34-44,,
5:40.0,,,34-44,,New Orleans full timeout
5:40.0,Official timeout,,34-44,,
5:40.0,,,34-44,,T. Evans enters the game for N. Cole
5:23.0,,,34-44,,D. Cunningham misses 2-pt shot from 7 ft
5:21.0,Defensive rebound by J. Harden,,34-44,,
5:19.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,36-44,,
4:58.0,,,36-44,,A. Davis misses 2-pt shot from 6 ft
4:55.0,,,36-44,,Offensive rebound by Team
4:51.0,,,36-44,,D. Cunningham misses 3-pt shot from 26 ft
4:48.0,,,36-44,,Offensive rebound by A. Davis
4:40.0,,,36-44,,E. Gordon misses 2-pt shot from 5 ft
4:38.0,Defensive rebound by J. Harden,,36-44,,
4:38.0,,,36-44,,Personal foul by D. Cunningham (drawn by J. Harden)
4:27.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,38-44,,
4:09.0,,,38-44,,Q. Pondexter misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by T. Ariza,,38-44,,
4:03.0,Turnover by C. Brewer (lost ball),,38-44,,
4:03.0,,,38-44,,N. Cole enters the game for Q. Pondexter
3:47.0,,,38-44,,N. Cole misses 3-pt shot from 27 ft
3:45.0,Defensive rebound by D. Motiejunas,,38-44,,
3:38.0,J. Harden misses 2-pt shot from 7 ft,,38-44,,
3:37.0,,,38-44,,Defensive rebound by Team
3:21.0,Def 3 sec tech foul by C. Brewer,,38-44,,
3:21.0,,,38-45,1,A. Davis makes technical free throw
3:18.0,,,38-45,,Turnover by T. Evans (lost ball; steal by C. Brewer)
3:14.0,Turnover by C. Brewer (bad pass; steal by T. Evans),,38-45,,
3:00.0,,,38-45,,E. Gordon misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by T. Ariza,,38-45,,
2:54.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,40-45,,
2:36.0,,,40-45,,N. Cole misses 2-pt shot from 12 ft
2:34.0,,,40-45,,Offensive rebound by A. Davis
2:28.0,,,40-48,3,T. Evans makes 3-pt shot from 23 ft (assist by E. Gordon)
2:15.0,Houston full timeout,,40-48,,
