time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. Z. Pachulia (M. Carter-Williams gains possession),,,,Jump ball: R. Hibbert vs. Z. Pachulia (M. Carter-Williams gains possession)
11:40.0,,,0-2,2,K. Middleton makes 2-pt shot from 16 ft (assist by Z. Pachulia)
11:15.0,L. Scola misses 2-pt shot from 4 ft,,0-2,,
11:15.0,Offensive rebound by Team,,0-2,,
11:15.0,Turnover by Team (shot clock),,0-2,,
10:59.0,,,0-2,,Turnover by K. Middleton (lost ball; steal by C. Miles)
10:47.0,D. Rudez enters the game for C. Miles,,0-2,,
10:35.0,D. Rudez misses 2-pt shot from 10 ft,,0-2,,
10:35.0,Offensive rebound by Team,,0-2,,
10:35.0,Turnover by Team (shot clock),,0-2,,
10:14.0,,,0-4,2,Z. Pachulia makes 2-pt shot at rim (assist by M. Carter-Williams)
10:03.0,Turnover by G. Hill (lost ball),,0-4,,
9:53.0,,,0-4,,Turnover by M. Carter-Williams (traveling)
9:33.0,L. Scola misses 2-pt shot from 15 ft,,0-4,,
9:33.0,Offensive rebound by Team,,0-4,,
9:33.0,,,0-4,,Loose ball foul by M. Carter-Williams (drawn by R. Hibbert)
9:23.0,Turnover by L. Scola (bad pass; steal by E. Ilyasova),,0-4,,
9:19.0,,,0-4,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:17.0,,,0-4,,Offensive rebound by Z. Pachulia
9:17.0,,,0-6,2,Z. Pachulia makes 2-pt shot at rim
9:00.0,Shooting foul by E. Ilyasova (drawn by G. Hill),,0-6,,
9:00.0,G. Hill misses free throw 1 of 2,,0-6,,
9:00.0,Offensive rebound by Team,,0-6,,
9:00.0,G. Hill makes free throw 2 of 2,1,1-6,,
8:43.0,,,1-6,,E. Ilyasova misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by G. Hill,,1-6,,
8:31.0,D. Rudez misses 3-pt shot from 24 ft,,1-6,,
8:30.0,,,1-6,,Defensive rebound by M. Carter-Williams
8:20.0,,,1-8,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
8:03.0,S. Hill misses 3-pt shot from 24 ft,,1-8,,
8:01.0,,,1-8,,Defensive rebound by E. Ilyasova
7:55.0,,,1-10,2,M. Carter-Williams makes 2-pt shot at rim
7:55.0,Indiana full timeout,,1-10,,
7:55.0,C. Miles enters the game for D. Rudez,,1-10,,
7:45.0,Turnover by G. Hill (bad pass; steal by Z. Pachulia),,1-10,,
7:27.0,,,1-10,,M. Carter-Williams misses 2-pt shot from 3 ft
7:24.0,Defensive rebound by G. Hill,,1-10,,
7:19.0,S. Hill makes 3-pt shot from 23 ft (assist by C. Miles),3,4-10,,
7:01.0,,,4-10,,K. Middleton misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by S. Hill,,4-10,,
6:45.0,Turnover by S. Hill (lost ball; steal by E. Ilyasova),,4-10,,
6:45.0,Personal foul by S. Hill (drawn by E. Ilyasova),,4-10,,
6:33.0,,,4-12,2,K. Middleton makes 2-pt shot from 16 ft (assist by Z. Pachulia)
6:15.0,G. Hill makes 3-pt shot from 26 ft,3,7-12,,
6:04.0,,,7-12,,Shooting foul by S. Hill (drawn by K. Middleton)
6:04.0,,,7-13,1,K. Middleton makes free throw 1 of 2
6:04.0,D. Rudez enters the game for S. Hill,,7-13,,
6:04.0,,,7-14,1,K. Middleton makes free throw 2 of 2
5:39.0,C. Miles misses 3-pt shot from 25 ft,,7-14,,
5:38.0,,,7-14,,Defensive rebound by Z. Pachulia
5:16.0,,,7-14,,Z. Pachulia misses 2-pt shot from 10 ft
5:15.0,,,7-14,,Offensive rebound by G. Antetokounmpo
5:15.0,,,7-14,,Shooting foul by C. Miles (drawn by G. Antetokounmpo)
5:15.0,,,7-14,,G. Antetokounmpo misses free throw 1 of 2
5:15.0,,,7-14,,Offensive rebound by Team
5:15.0,,,7-15,1,G. Antetokounmpo makes free throw 2 of 2
4:54.0,L. Scola makes 2-pt shot at rim (assist by G. Hill),2,9-15,,
4:39.0,,,9-17,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
4:27.0,G. Hill misses 2-pt shot from 1 ft,,9-17,,
4:25.0,,,9-17,,Defensive rebound by E. Ilyasova
4:17.0,,,9-20,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
4:17.0,Indiana full timeout,,9-20,,
4:17.0,C. Watson enters the game for R. Hibbert,,9-20,,
4:17.0,I. Mahinmi enters the game for G. Hill,,9-20,,
4:00.0,Turnover by C. Watson (lost ball; steal by M. Carter-Williams),,9-20,,
3:53.0,,,9-20,,Turnover by K. Middleton (bad pass; steal by L. Scola)
3:47.0,Shooting foul by Z. Pachulia (drawn by I. Mahinmi),,9-20,,
3:47.0,I. Mahinmi misses free throw 1 of 2,,9-20,,
3:47.0,Offensive rebound by Team,,9-20,,
3:47.0,I. Mahinmi misses free throw 2 of 2,,9-20,,
3:46.0,,,9-20,,Defensive rebound by Z. Pachulia
3:30.0,,,9-22,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by M. Carter-Williams)
3:20.0,D. Rudez misses 3-pt shot from 27 ft,,9-22,,
3:16.0,,,9-22,,Defensive rebound by E. Ilyasova
3:11.0,,,9-24,2,E. Ilyasova makes 2-pt shot at rim
2:53.0,C. Miles misses 2-pt shot from 1 ft,,9-24,,
2:52.0,Offensive rebound by L. Scola,,9-24,,
2:52.0,L. Scola misses 2-pt shot from 1 ft,,9-24,,
2:51.0,Offensive rebound by I. Mahinmi,,9-24,,
2:49.0,I. Mahinmi misses 2-pt shot from 1 ft,,9-24,,
2:47.0,Offensive rebound by L. Scola,,9-24,,
2:47.0,L. Scola makes 2-pt shot from 1 ft,2,11-24,,
2:35.0,,,11-27,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
2:16.0,C. Watson misses 3-pt shot from 22 ft,,11-27,,
2:14.0,,,11-27,,Defensive rebound by Z. Pachulia
2:07.0,,,11-29,2,K. Middleton makes 2-pt shot from 16 ft
2:07.0,Indiana full timeout,,11-29,,
2:07.0,,,11-29,,O. Mayo enters the game for K. Middleton
2:07.0,,,11-29,,J. Bayless enters the game for M. Carter-Williams
2:07.0,L. Allen enters the game for L. Scola,,11-29,,
1:54.0,Offensive charge foul by C. Miles,,11-29,,
1:54.0,Turnover by C. Miles (offensive foul),,11-29,,
1:30.0,,,11-31,2,Z. Pachulia makes 2-pt shot at rim (assist by J. Bayless)
1:11.0,L. Allen misses 2-pt shot from 16 ft,,11-31,,
1:10.0,,,11-31,,Defensive rebound by O. Mayo
1:01.0,,,11-34,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by O. Mayo)
0:41.0,C. Miles makes 2-pt shot from 1 ft,2,13-34,,
0:30.0,,,13-34,,Offensive charge foul by O. Mayo
0:30.0,,,13-34,,Turnover by O. Mayo (offensive foul)
0:30.0,,,13-34,,J. Henson enters the game for Z. Pachulia
0:30.0,,,13-34,,J. Dudley enters the game for E. Ilyasova
0:30.0,G. Hill enters the game for C. Miles,,13-34,,
0:13.0,C. Watson makes 2-pt shot from 17 ft (assist by L. Allen),2,15-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,L. Allen misses 2-pt shot from 2 ft (block by J. Henson),,15-34,,
11:37.0,Offensive rebound by G. Hill,,15-34,,
11:30.0,C. Watson makes 3-pt shot from 25 ft (assist by G. Hill),3,18-34,,
11:22.0,,,18-34,,O. Mayo misses 3-pt shot from 23 ft
11:20.0,Defensive rebound by C. Watson,,18-34,,
11:14.0,L. Allen misses 2-pt shot from 8 ft,,18-34,,
11:13.0,,,18-34,,Defensive rebound by K. Middleton
10:53.0,,,18-34,,O. Mayo misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by C. Watson,,18-34,,
10:38.0,D. Rudez makes 3-pt shot from 28 ft (assist by C. Watson),3,21-34,,
10:22.0,,,21-36,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
10:03.0,Shooting foul by K. Middleton (drawn by C. Watson),,21-36,,
10:03.0,C. Watson makes free throw 1 of 2,1,22-36,,
10:03.0,C. Watson makes free throw 2 of 2,1,23-36,,
9:50.0,,,23-36,,Turnover by O. Mayo (bad pass; steal by G. Hill)
9:42.0,D. Rudez misses 3-pt shot from 26 ft,,23-36,,
9:41.0,,,23-36,,Defensive rebound by J. Dudley
9:22.0,,,23-39,3,J. Bayless makes 3-pt shot from 26 ft (assist by J. Henson)
9:07.0,L. Allen misses 2-pt shot from 1 ft,,23-39,,
9:05.0,,,23-39,,Defensive rebound by K. Middleton
8:56.0,,,23-41,2,J. Henson makes 2-pt shot from 7 ft (assist by O. Mayo)
8:32.0,,,23-41,,Personal foul by J. Henson (drawn by I. Mahinmi)
8:32.0,Official timeout,,23-41,,
8:32.0,,,23-41,,T. Ennis enters the game for O. Mayo
8:32.0,C. Miles enters the game for G. Hill,,23-41,,
8:32.0,S. Hill enters the game for D. Rudez,,23-41,,
8:23.0,Turnover by S. Hill (bad pass; steal by J. Henson),,23-41,,
8:18.0,,,23-41,,K. Middleton misses 2-pt shot from 1 ft
8:16.0,,,23-41,,Offensive rebound by J. Henson
8:16.0,,,23-41,,J. Henson misses 2-pt shot at rim
8:13.0,Defensive rebound by C. Miles,,23-41,,
8:02.0,C. Miles makes 2-pt shot from 16 ft,2,25-41,,
7:45.0,,,25-41,,K. Middleton misses 2-pt shot from 14 ft
7:44.0,Defensive rebound by L. Allen,,25-41,,
7:32.0,,,25-41,,Personal foul by T. Ennis (drawn by C. Watson)
7:23.0,C. Miles makes 3-pt shot from 26 ft (assist by C. Watson),3,28-41,,
7:17.0,Personal foul by C. Watson (drawn by T. Ennis),,28-41,,
7:11.0,,,28-41,,J. Bayless misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by S. Hill,,28-41,,
7:03.0,C. Miles makes 3-pt shot from 24 ft (assist by C. Watson),3,31-41,,
7:02.0,,,31-41,,Milwaukee full timeout
7:02.0,,,31-41,,G. Antetokounmpo enters the game for K. Middleton
7:02.0,,,31-41,,M. Carter-Williams enters the game for J. Bayless
6:41.0,,,31-41,,M. Carter-Williams misses 3-pt shot from 26 ft
6:39.0,Defensive rebound by I. Mahinmi,,31-41,,
6:18.0,C. Miles makes 3-pt shot from 26 ft,3,34-41,,
5:54.0,,,34-43,2,J. Dudley makes 2-pt shot at rim (assist by T. Ennis)
5:39.0,Turnover by C. Watson (lost ball),,34-43,,
5:39.0,,,34-43,,E. Ilyasova enters the game for J. Dudley
5:20.0,,,34-43,,M. Carter-Williams misses 2-pt shot from 8 ft
5:19.0,Defensive rebound by S. Hill,,34-43,,
5:16.0,Turnover by S. Hill (lost ball; steal by M. Carter-Williams),,34-43,,
5:12.0,,,34-45,2,E. Ilyasova makes 2-pt shot from 1 ft
5:05.0,C. Watson misses 2-pt shot from 21 ft,,34-45,,
5:04.0,,,34-45,,Defensive rebound by M. Carter-Williams
4:55.0,,,34-48,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. Ennis)
4:37.0,Turnover by L. Allen (lost ball; steal by M. Carter-Williams),,34-48,,
4:34.0,,,34-50,2,M. Carter-Williams makes 2-pt shot at rim
4:34.0,Indiana full timeout,,34-50,,
4:34.0,G. Hill enters the game for I. Mahinmi,,34-50,,
4:34.0,L. Scola enters the game for C. Watson,,34-50,,
4:34.0,R. Hibbert enters the game for L. Allen,,34-50,,
4:34.0,,,34-50,,Z. Pachulia enters the game for J. Henson
4:15.0,R. Hibbert makes 2-pt shot from 1 ft (assist by L. Scola),2,36-50,,
3:58.0,,,36-50,,Z. Pachulia misses 2-pt shot from 15 ft
3:57.0,Defensive rebound by C. Miles,,36-50,,
3:40.0,G. Hill makes 3-pt shot from 28 ft (assist by S. Hill),3,39-50,,
3:17.0,,,39-52,2,Z. Pachulia makes 2-pt shot at rim (assist by E. Ilyasova)
2:55.0,C. Miles misses 2-pt shot from 8 ft,,39-52,,
2:54.0,,,39-52,,Defensive rebound by Z. Pachulia
2:40.0,Shooting block foul by S. Hill (drawn by M. Carter-Williams),,39-52,,
2:40.0,,,39-52,,M. Carter-Williams misses free throw 1 of 2
2:40.0,,,39-52,,Offensive rebound by Team
2:40.0,C. Watson enters the game for S. Hill,,39-52,,
2:40.0,,,39-52,,K. Middleton enters the game for T. Ennis
2:40.0,,,39-53,1,M. Carter-Williams makes free throw 2 of 2
2:32.0,,,39-53,,Personal foul by M. Carter-Williams (drawn by C. Watson)
2:31.0,Turnover by C. Watson (offensive foul),,39-53,,
2:31.0,Offensive foul by C. Watson,,39-53,,
2:14.0,,,39-53,,K. Middleton misses 2-pt shot from 17 ft
2:13.0,Defensive rebound by L. Scola,,39-53,,
2:06.0,L. Scola makes 2-pt shot at rim (assist by C. Watson),2,41-53,,
1:51.0,,,41-55,2,G. Antetokounmpo makes 2-pt shot from 9 ft
1:37.0,Shooting foul by E. Ilyasova (drawn by C. Miles),,41-55,,
1:37.0,C. Miles makes free throw 1 of 2,1,42-55,,
1:37.0,C. Miles makes free throw 2 of 2,1,43-55,,
1:26.0,,,43-57,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
1:08.0,L. Scola misses 2-pt shot from 1 ft,,43-57,,
1:06.0,,,43-57,,Defensive rebound by M. Carter-Williams
1:00.0,,,43-57,,M. Carter-Williams misses 2-pt shot from 5 ft (block by R. Hibbert)
1:00.0,,,43-57,,Offensive rebound by Team
1:00.0,D. Rudez enters the game for C. Watson,,43-57,,
0:59.0,,,43-57,,Shooting foul by G. Hill (drawn by Z. Pachulia)
0:59.0,,,43-58,1,Z. Pachulia makes free throw 1 of 2
0:59.0,,,43-59,1,Z. Pachulia makes free throw 2 of 2
0:44.0,,,43-59,,Personal block foul by G. Antetokounmpo (drawn by C. Miles)
0:44.0,C. Miles makes free throw 1 of 2,1,44-59,,
0:44.0,C. Miles makes free throw 2 of 2,1,45-59,,
0:34.0,,,45-59,,M. Carter-Williams misses 2-pt shot from 4 ft
0:33.0,Defensive rebound by D. Rudez,,45-59,,
0:10.0,G. Hill misses 3-pt shot from 25 ft,,45-59,,
0:09.0,Offensive rebound by L. Scola,,45-59,,
0:05.0,L. Scola makes 2-pt shot from 1 ft,2,47-59,,
0:05.0,Shooting foul by G. Antetokounmpo (drawn by L. Scola),,47-59,,
0:05.0,L. Scola misses free throw 1 of 1,,47-59,,
0:04.0,,,47-59,,Defensive rebound by E. Ilyasova
0:00.0,,,47-59,,G. Antetokounmpo misses 3-pt shot from 29 ft (block by L. Scola)
0:00.0,,,47-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-59,,Personal foul by M. Carter-Williams (drawn by G. Hill)
11:32.0,,,47-59,,Shooting block foul by K. Middleton (drawn by C. Miles)
11:32.0,C. Miles makes free throw 1 of 2,1,48-59,,
11:32.0,C. Miles makes free throw 2 of 2,1,49-59,,
11:20.0,,,49-61,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Ilyasova)
10:57.0,L. Scola misses 2-pt shot from 2 ft,,49-61,,
10:57.0,Offensive rebound by L. Scola,,49-61,,
10:57.0,,,49-61,,Loose ball foul by Z. Pachulia (drawn by L. Scola)
10:47.0,G. Hill misses 3-pt shot from 25 ft,,49-61,,
10:46.0,,,49-61,,Defensive rebound by G. Antetokounmpo
10:38.0,,,49-61,,Shooting foul by G. Hill (drawn by M. Carter-Williams)
10:38.0,,,49-62,1,M. Carter-Williams makes free throw 1 of 2
10:38.0,,,49-62,,M. Carter-Williams misses free throw 2 of 2
10:36.0,Defensive rebound by R. Hibbert,,49-62,,
10:28.0,G. Hill makes 2-pt shot at rim,2,51-62,,
10:23.0,,,51-62,,M. Carter-Williams misses flagrant free throw 1 of 2
10:23.0,,,51-62,,Offensive rebound by Team
10:23.0,,,51-63,1,M. Carter-Williams makes flagrant free throw 2 of 2
10:16.0,Personal foul by L. Scola (drawn by E. Ilyasova),,51-63,,
10:07.0,,,51-65,2,G. Antetokounmpo makes 2-pt shot from 19 ft
9:55.0,Turnover by G. Hill (bad pass; steal by Z. Pachulia),,51-65,,
9:52.0,,,51-67,2,K. Middleton makes 2-pt shot at rim (assist by Z. Pachulia)
9:31.0,Shooting foul by E. Ilyasova (drawn by C. Miles),,51-67,,
9:31.0,C. Miles makes free throw 1 of 2,1,52-67,,
9:31.0,C. Miles misses free throw 2 of 2,,52-67,,
9:29.0,Offensive rebound by R. Hibbert,,52-67,,
9:29.0,R. Hibbert misses 2-pt shot from 1 ft,,52-67,,
9:27.0,,,52-67,,Defensive rebound by Z. Pachulia
9:07.0,,,52-67,,Turnover by Z. Pachulia (bad pass)
8:52.0,R. Hibbert makes 2-pt shot from 16 ft (assist by G. Hill),2,54-67,,
8:35.0,Personal foul by G. Hill (drawn by E. Ilyasova),,54-67,,
8:28.0,,,54-70,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Middleton)
8:19.0,C. Miles misses 2-pt shot at rim,,54-70,,
8:19.0,Offensive rebound by L. Scola,,54-70,,
8:19.0,,,54-70,,Loose ball foul by Z. Pachulia (drawn by L. Scola)
8:19.0,L. Scola makes free throw 1 of 2,1,55-70,,
8:19.0,L. Scola misses free throw 2 of 2,,55-70,,
8:18.0,,,55-70,,Defensive rebound by G. Antetokounmpo
8:04.0,,,55-70,,Z. Pachulia misses 2-pt shot from 12 ft
8:03.0,Defensive rebound by S. Hill,,55-70,,
7:57.0,S. Hill makes 2-pt shot at rim,2,57-70,,
7:42.0,,,57-70,,M. Carter-Williams misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by Team,,57-70,,
7:41.0,,,57-70,,Loose ball foul by Z. Pachulia (drawn by R. Hibbert)
7:41.0,R. Hibbert makes free throw 1 of 2,1,58-70,,
7:41.0,,,58-70,,J. Henson enters the game for Z. Pachulia
7:41.0,R. Hibbert makes free throw 2 of 2,1,59-70,,
7:30.0,,,59-72,2,J. Henson makes 2-pt shot from 9 ft (assist by M. Carter-Williams)
7:21.0,C. Miles misses 3-pt shot from 24 ft,,59-72,,
7:20.0,Offensive rebound by C. Miles,,59-72,,
7:18.0,Shooting foul by J. Henson (drawn by C. Miles),,59-72,,
7:18.0,C. Miles misses free throw 1 of 2,,59-72,,
7:18.0,Offensive rebound by Team,,59-72,,
7:18.0,C. Miles makes free throw 2 of 2,1,60-72,,
7:04.0,,,60-74,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
6:54.0,,,60-74,,Personal foul by J. Henson (drawn by R. Hibbert)
6:54.0,R. Hibbert makes free throw 1 of 2,1,61-74,,
6:54.0,R. Hibbert makes free throw 2 of 2,1,62-74,,
6:40.0,,,62-74,,J. Henson misses 2-pt shot from 7 ft
6:39.0,Defensive rebound by R. Hibbert,,62-74,,
6:34.0,Offensive foul by G. Hill,,62-74,,
6:34.0,Turnover by G. Hill (offensive foul),,62-74,,
6:34.0,C. Watson enters the game for G. Hill,,62-74,,
6:23.0,,,62-74,,M. Carter-Williams misses 2-pt shot from 1 ft
6:23.0,,,62-74,,Offensive rebound by M. Carter-Williams
6:23.0,,,62-74,,Shooting foul by R. Hibbert (drawn by M. Carter-Williams)
6:23.0,,,62-75,1,M. Carter-Williams makes free throw 1 of 2
6:23.0,,,62-76,1,M. Carter-Williams makes free throw 2 of 2
6:11.0,C. Watson misses 2-pt shot at rim,,62-76,,
6:09.0,Offensive rebound by L. Scola,,62-76,,
6:09.0,L. Scola makes 2-pt shot at rim,2,64-76,,
5:56.0,,,64-76,,Turnover by M. Carter-Williams (lost ball; steal by C. Watson)
5:36.0,S. Hill misses 2-pt shot from 1 ft (block by J. Henson),,64-76,,
5:34.0,,,64-76,,Defensive rebound by E. Ilyasova
5:29.0,,,64-76,,Shooting foul by R. Hibbert (drawn by J. Henson)
5:29.0,,,64-76,,Milwaukee full timeout
5:29.0,,,64-76,,J. Dudley enters the game for E. Ilyasova
5:29.0,,,64-76,,J. Bayless enters the game for M. Carter-Williams
5:29.0,D. Rudez enters the game for C. Miles,,64-76,,
5:29.0,,,64-77,1,J. Henson makes free throw 1 of 2
5:29.0,,,64-78,1,J. Henson makes free throw 2 of 2
5:12.0,Turnover by L. Scola (traveling),,64-78,,
4:59.0,,,64-78,,K. Middleton misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by L. Scola,,64-78,,
4:45.0,S. Hill misses 2-pt shot from 17 ft,,64-78,,
4:44.0,,,64-78,,Defensive rebound by G. Antetokounmpo
4:37.0,,,64-78,,Turnover by J. Dudley (lost ball)
4:31.0,Shooting foul by J. Bayless (drawn by C. Watson),,64-78,,
4:31.0,C. Watson misses free throw 1 of 2,,64-78,,
4:31.0,Offensive rebound by Team,,64-78,,
4:31.0,C. Watson makes free throw 2 of 2,1,65-78,,
4:22.0,,,65-78,,K. Middleton misses 2-pt shot at rim
4:19.0,Defensive rebound by C. Watson,,65-78,,
4:08.0,Offensive foul by S. Hill,,65-78,,
4:08.0,Turnover by S. Hill (offensive foul),,65-78,,
4:08.0,C. Miles enters the game for S. Hill,,65-78,,
3:53.0,,,65-78,,J. Bayless misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by D. Rudez,,65-78,,
3:41.0,Shooting foul by K. Middleton (drawn by C. Watson),,65-78,,
3:41.0,C. Watson makes free throw 1 of 2,1,66-78,,
3:41.0,L. Allen enters the game for L. Scola,,66-78,,
3:41.0,C. Watson makes free throw 2 of 2,1,67-78,,
3:41.0,Technical foul by S. Hill,,67-78,,
3:41.0,,,67-79,1,K. Middleton makes technical free throw
3:21.0,,,67-82,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Dudley)
3:16.0,Indiana full timeout,,67-82,,
3:02.0,Turnover by C. Miles (lost ball; steal by J. Henson),,67-82,,
2:53.0,,,67-82,,J. Dudley misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by C. Watson,,67-82,,
2:41.0,R. Hibbert misses 2-pt shot from 16 ft,,67-82,,
2:39.0,,,67-82,,Defensive rebound by J. Henson
2:18.0,,,67-82,,J. Dudley misses 2-pt shot from 13 ft
2:17.0,Defensive rebound by C. Watson,,67-82,,
2:10.0,Offensive charge foul by C. Watson,,67-82,,
2:10.0,Turnover by C. Watson (offensive foul),,67-82,,
2:10.0,I. Mahinmi enters the game for R. Hibbert,,67-82,,
2:10.0,,,67-82,,O. Mayo enters the game for K. Middleton
1:54.0,Personal foul by I. Mahinmi (drawn by J. Henson),,67-82,,
1:54.0,,,67-82,,J. Henson misses free throw 1 of 2
1:54.0,,,67-82,,Offensive rebound by Team
1:54.0,,,67-82,,J. Henson misses free throw 2 of 2
1:52.0,Defensive rebound by D. Rudez,,67-82,,
1:38.0,D. Rudez misses 3-pt shot from 22 ft,,67-82,,
1:35.0,Offensive rebound by C. Watson,,67-82,,
1:32.0,C. Miles misses 3-pt shot from 23 ft,,67-82,,
1:32.0,,,67-82,,Defensive rebound by Team
1:18.0,,,67-82,,G. Antetokounmpo misses 2-pt shot from 18 ft
1:17.0,Defensive rebound by I. Mahinmi,,67-82,,
1:07.0,C. Miles makes 2-pt shot from 4 ft,2,69-82,,
0:55.0,,,69-82,,Offensive foul by J. Henson
0:55.0,,,69-82,,Turnover by J. Henson (offensive foul)
0:42.0,C. Watson makes 2-pt shot at rim,2,71-82,,
0:29.0,,,71-85,3,O. Mayo makes 3-pt shot from 24 ft (assist by J. Bayless)
0:07.0,C. Miles makes 3-pt shot from 27 ft,3,74-85,,
0:01.0,,,74-85,,Turnover by J. Bayless (lost ball; steal by L. Allen)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,74-87,2,G. Antetokounmpo makes 2-pt shot at rim
11:36.0,,,74-87,,Personal foul by J. Bayless (drawn by C. Watson)
11:29.0,G. Hill makes 3-pt shot from 23 ft (assist by C. Watson),3,77-87,,
11:29.0,Shooting foul by O. Mayo (drawn by G. Hill),,77-87,,
11:29.0,G. Hill makes free throw 1 of 1,1,78-87,,
11:11.0,,,78-89,2,G. Antetokounmpo makes 2-pt shot from 13 ft
10:46.0,I. Mahinmi misses 2-pt shot from 3 ft,,78-89,,
10:45.0,Offensive rebound by Team,,78-89,,
10:41.0,,,78-89,,Personal foul by O. Mayo (drawn by G. Hill)
10:30.0,Shooting foul by O. Mayo (drawn by I. Mahinmi),,78-89,,
10:30.0,I. Mahinmi misses free throw 1 of 2,,78-89,,
10:30.0,Offensive rebound by Team,,78-89,,
10:30.0,I. Mahinmi makes free throw 2 of 2,1,79-89,,
10:24.0,Personal foul by D. Rudez (drawn by G. Antetokounmpo),,79-89,,
10:14.0,,,79-91,2,E. Ilyasova makes 2-pt shot at rim
9:56.0,,,79-91,,Personal foul by J. Bayless (drawn by C. Watson)
9:56.0,C. Watson makes free throw 1 of 2,1,80-91,,
9:56.0,,,80-91,,M. Carter-Williams enters the game for J. Bayless
9:56.0,C. Watson makes free throw 2 of 2,1,81-91,,
9:37.0,,,81-91,,Turnover by Z. Pachulia (traveling)
9:37.0,,,81-91,,Violation by Team (delay of game)
9:23.0,,,81-91,,Personal block foul by M. Carter-Williams (drawn by C. Watson)
9:23.0,C. Watson makes free throw 1 of 2,1,82-91,,
9:23.0,C. Watson makes free throw 2 of 2,1,83-91,,
9:09.0,Shooting block foul by I. Mahinmi (drawn by E. Ilyasova),,83-91,,
9:09.0,,,83-92,1,E. Ilyasova makes free throw 1 of 2
9:09.0,,,83-92,,E. Ilyasova misses free throw 2 of 2
