time,Washington,pts.away,score,pts.home,Atlanta
0:01.0,,,18-29,,Defensive rebound by P. Antic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,18-29,,Personal foul by D. Schroder (drawn by G. Temple)
11:42.0,O. Porter misses 2-pt shot at rim,,18-29,,
11:41.0,,,18-29,,Defensive rebound by A. Horford
11:30.0,,,18-31,2,D. Schroder makes 2-pt shot from 2 ft
11:16.0,Shooting foul by P. Antic (drawn by B. Beal),,18-31,,
11:16.0,B. Beal misses free throw 1 of 2,,18-31,,
11:16.0,Offensive rebound by Team,,18-31,,
11:16.0,B. Beal makes free throw 2 of 2,1,19-31,,
10:55.0,Def 3 sec tech foul by K. Humphries,,19-31,,
10:55.0,,,19-32,1,D. Schroder makes technical free throw
10:55.0,,,19-32,,M. Scott enters the game for P. Antic
10:47.0,,,19-34,2,A. Horford makes 2-pt shot from 20 ft (assist by D. Schroder)
10:32.0,O. Porter misses 2-pt shot from 19 ft,,19-34,,
10:30.0,,,19-34,,Defensive rebound by D. Schroder
10:09.0,,,19-34,,Turnover by D. Schroder (lost ball; steal by B. Beal)
10:05.0,Shooting foul by K. Bazemore (drawn by B. Beal),,19-34,,
10:05.0,B. Beal makes free throw 1 of 2,1,20-34,,
10:05.0,B. Beal makes free throw 2 of 2,1,21-34,,
9:47.0,,,21-34,,Turnover by K. Bazemore (traveling)
9:33.0,G. Temple misses 2-pt shot from 21 ft,,21-34,,
9:31.0,,,21-34,,Defensive rebound by M. Scott
9:22.0,,,21-34,,A. Horford misses 2-pt shot from 19 ft
9:20.0,,,21-34,,Offensive rebound by K. Bazemore
9:17.0,,,21-34,,D. Carroll misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by K. Humphries,,21-34,,
9:11.0,B. Beal makes 2-pt shot from 1 ft,2,23-34,,
8:54.0,,,23-36,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott)
8:40.0,K. Seraphin makes 2-pt shot from 6 ft,2,25-36,,
8:29.0,,,25-36,,D. Schroder misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by G. Temple,,25-36,,
8:12.0,,,25-36,,Personal foul by D. Schroder (drawn by K. Humphries)
8:12.0,Official timeout,,25-36,,
8:12.0,,,25-36,,K. Korver enters the game for K. Bazemore
8:12.0,,,25-36,,J. Teague enters the game for D. Schroder
8:01.0,O. Porter misses 3-pt shot from 24 ft,,25-36,,
7:59.0,,,25-36,,Defensive rebound by M. Scott
7:40.0,Personal take foul by O. Porter (drawn by D. Carroll),,25-36,,
7:29.0,,,25-36,,M. Scott misses 2-pt shot from 11 ft
7:27.0,Defensive rebound by O. Porter,,25-36,,
7:21.0,,,25-36,,Personal foul by M. Scott (drawn by G. Temple)
7:21.0,G. Temple makes free throw 1 of 2,1,26-36,,
7:21.0,,,26-36,,P. Millsap enters the game for A. Horford
7:21.0,P. Pierce enters the game for O. Porter,,26-36,,
7:21.0,G. Temple makes free throw 2 of 2,1,27-36,,
7:05.0,,,27-39,3,M. Scott makes 3-pt shot from 23 ft (assist by J. Teague)
6:49.0,B. Beal misses 2-pt shot from 18 ft,,27-39,,
6:47.0,,,27-39,,Defensive rebound by P. Millsap
6:35.0,,,27-39,,J. Teague misses 2-pt shot from 4 ft
6:33.0,Defensive rebound by K. Seraphin,,27-39,,
