time,Oklahoma City,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Horford (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Horford (S. Ibaka gains possession)
11:38.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,2-0,,
11:15.0,,,2-0,,P. Millsap misses 2-pt shot from 1 ft (block by S. Ibaka)
11:15.0,,,2-0,,Offensive rebound by Team
11:12.0,,,2-0,,P. Millsap misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by R. Westbrook,,2-0,,
11:04.0,S. Ibaka misses 3-pt shot from 24 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by D. Carroll
10:52.0,,,2-3,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
10:30.0,S. Ibaka misses 2-pt shot from 20 ft,,2-3,,
10:29.0,,,2-3,,Defensive rebound by D. Carroll
10:15.0,,,2-3,,A. Horford misses 2-pt shot from 20 ft
10:14.0,Defensive rebound by S. Ibaka,,2-3,,
10:04.0,S. Ibaka misses 2-pt shot from 11 ft,,2-3,,
10:03.0,,,2-3,,Defensive rebound by A. Horford
9:55.0,,,2-3,,Turnover by J. Teague (lost ball; steal by R. Westbrook)
9:41.0,Shooting foul by J. Teague (drawn by R. Westbrook),,2-3,,
9:41.0,R. Westbrook misses free throw 1 of 2,,2-3,,
9:41.0,Offensive rebound by Team,,2-3,,
9:41.0,R. Westbrook misses free throw 2 of 2,,2-3,,
9:40.0,,,2-3,,Defensive rebound by D. Carroll
9:27.0,,,2-5,2,A. Horford makes 2-pt shot from 21 ft (assist by D. Carroll)
9:14.0,K. Durant makes 2-pt shot from 20 ft (assist by R. Westbrook),2,4-5,,
8:56.0,,,4-7,2,D. Carroll makes 2-pt shot from 1 ft
8:37.0,S. Ibaka misses 2-pt shot from 3 ft (block by A. Horford),,4-7,,
8:37.0,Offensive rebound by Team,,4-7,,
8:37.0,Turnover by R. Westbrook (back court),,4-7,,
8:24.0,,,4-9,2,J. Teague makes 2-pt shot from 8 ft (assist by K. Korver)
8:03.0,S. Adams makes 2-pt shot at rim (assist by A. Roberson),2,6-9,,
7:39.0,,,6-12,3,P. Millsap makes 3-pt shot from 23 ft (assist by D. Carroll)
7:23.0,K. Durant makes 3-pt shot from 22 ft (assist by S. Ibaka),3,9-12,,
7:09.0,,,9-12,,A. Horford misses 2-pt shot at rim
7:08.0,Defensive rebound by S. Ibaka,,9-12,,
7:02.0,R. Westbrook makes 2-pt shot from 19 ft,2,11-12,,
6:49.0,Personal foul by A. Roberson (drawn by K. Korver),,11-12,,
6:42.0,,,11-12,,Turnover by K. Korver (bad pass)
6:26.0,K. Durant makes 3-pt shot from 23 ft (assist by R. Westbrook),3,14-12,,
6:13.0,,,14-12,,Turnover by K. Korver (bad pass; steal by R. Westbrook)
6:09.0,R. Westbrook makes 2-pt shot at rim,2,16-12,,
6:09.0,,,16-12,,Atlanta full timeout
5:55.0,Personal foul by R. Westbrook (drawn by J. Teague),,16-12,,
5:49.0,,,16-14,2,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford)
5:27.0,R. Westbrook misses 2-pt shot from 17 ft,,16-14,,
5:26.0,,,16-14,,Defensive rebound by P. Millsap
5:13.0,,,16-14,,D. Carroll misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by S. Ibaka,,16-14,,
4:58.0,A. Roberson makes 3-pt shot from 22 ft (assist by K. Durant),3,19-14,,
4:44.0,,,19-14,,Turnover by K. Korver (lost ball; steal by A. Roberson)
4:39.0,R. Westbrook misses 2-pt shot from 4 ft (block by P. Millsap),,19-14,,
4:39.0,Offensive rebound by Team,,19-14,,
4:39.0,,,19-14,,T. Sefolosha enters the game for A. Horford
4:39.0,,,19-14,,P. Antic enters the game for K. Korver
4:39.0,D. Waiters enters the game for K. Durant,,19-14,,
4:35.0,S. Ibaka misses 2-pt shot from 19 ft,,19-14,,
4:27.0,Offensive rebound by R. Westbrook,,19-14,,
4:27.0,R. Westbrook misses 2-pt shot from 5 ft,,19-14,,
4:27.0,,,19-14,,Defensive rebound by Team
4:27.0,Loose ball foul by S. Adams (drawn by P. Millsap),,19-14,,
4:10.0,,,19-14,,J. Teague misses 2-pt shot from 20 ft
4:09.0,Defensive rebound by A. Roberson,,19-14,,
3:58.0,D. Waiters misses 2-pt shot from 2 ft,,19-14,,
3:57.0,,,19-14,,Defensive rebound by P. Millsap
3:32.0,,,19-16,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Teague)
3:08.0,Shooting foul by D. Carroll (drawn by R. Westbrook),,19-16,,
3:08.0,R. Westbrook makes free throw 1 of 2,1,20-16,,
3:08.0,R. Jackson enters the game for A. Roberson,,20-16,,
3:08.0,,,20-16,,D. Schroder enters the game for J. Teague
3:08.0,R. Westbrook makes free throw 2 of 2,1,21-16,,
2:50.0,,,21-16,,Shooting foul by S. Adams (drawn by P. Antic)
2:50.0,Oklahoma City full timeout,,21-16,,
2:50.0,,,21-16,,M. Scott enters the game for D. Carroll
2:50.0,,,21-16,,K. Korver enters the game for P. Millsap
2:50.0,K. Perkins enters the game for S. Adams,,21-16,,
2:50.0,,,21-17,1,P. Antic makes free throw 1 of 3
2:50.0,,,21-18,1,P. Antic makes free throw 2 of 3
2:50.0,,,21-19,1,P. Antic makes free throw 3 of 3
2:31.0,K. Perkins misses 2-pt shot from 6 ft,,21-19,,
2:28.0,Offensive rebound by K. Perkins,,21-19,,
2:27.0,K. Perkins misses 2-pt shot from 1 ft,,21-19,,
2:26.0,,,21-19,,Defensive rebound by P. Antic
2:21.0,,,21-21,2,D. Schroder makes 2-pt shot from 1 ft
2:06.0,R. Westbrook makes 2-pt shot from 1 ft,2,23-21,,
1:48.0,,,23-21,,P. Antic misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by D. Waiters,,23-21,,
1:37.0,D. Waiters misses 2-pt shot from 1 ft,,23-21,,
1:35.0,Offensive rebound by S. Ibaka,,23-21,,
1:23.0,Turnover by R. Westbrook (bad pass; steal by M. Scott),,23-21,,
1:13.0,,,23-21,,P. Antic misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by S. Ibaka,,23-21,,
1:02.0,K. Perkins makes 2-pt shot at rim (assist by R. Westbrook),2,25-21,,
0:45.0,,,25-21,,M. Scott misses 2-pt shot at rim
0:44.0,Defensive rebound by S. Ibaka,,25-21,,
0:39.0,Shooting foul by P. Antic (drawn by R. Westbrook),,25-21,,
0:39.0,R. Westbrook makes free throw 1 of 2,1,26-21,,
0:39.0,K. Durant enters the game for S. Ibaka,,26-21,,
0:39.0,R. Westbrook makes free throw 2 of 2,1,27-21,,
0:32.0,,,27-21,,Shooting foul by D. Waiters (drawn by D. Schroder)
0:32.0,,,27-22,1,D. Schroder makes free throw 1 of 2
0:32.0,,,27-22,,K. Bazemore enters the game for M. Scott
0:32.0,A. Morrow enters the game for K. Perkins,,27-22,,
0:32.0,,,27-23,1,D. Schroder makes free throw 2 of 2
0:29.0,R. Westbrook makes 3-pt shot from 24 ft,3,30-23,,
0:05.0,,,30-23,,K. Bazemore misses 2-pt shot from 1 ft
0:04.0,Defensive rebound by Team,,30-23,,
0:04.0,,,30-23,,D. Carroll enters the game for P. Antic
0:00.0,D. Waiters misses 3-pt shot from 22 ft,,30-23,,
0:00.0,Offensive rebound by Team,,30-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,30-23,,K. Korver misses 3-pt shot from 25 ft (block by D. Waiters)
11:48.0,Jump ball: P. Antic vs. K. Perkins (D. Schroder gains possession),,,,Jump ball: P. Antic vs. K. Perkins (D. Schroder gains possession)
11:48.0,,,30-23,,Offensive rebound by Team
11:34.0,,,30-23,,Turnover by M. Scott (lost ball; steal by R. Jackson)
11:11.0,A. Morrow misses 3-pt shot from 23 ft,,30-23,,
11:10.0,,,30-23,,Defensive rebound by T. Sefolosha
11:00.0,,,30-25,2,M. Scott makes 2-pt shot from 1 ft (assist by P. Antic)
10:46.0,K. Durant misses 3-pt shot from 25 ft,,30-25,,
10:45.0,,,30-25,,Defensive rebound by K. Korver
10:32.0,,,30-25,,M. Scott misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by K. Perkins,,30-25,,
10:21.0,D. Waiters misses 2-pt shot from 18 ft,,30-25,,
10:19.0,,,30-25,,Defensive rebound by T. Sefolosha
10:10.0,,,30-25,,M. Scott misses 2-pt shot from 4 ft
10:08.0,Defensive rebound by K. Perkins,,30-25,,
9:57.0,R. Jackson misses 2-pt shot from 11 ft,,30-25,,
9:56.0,,,30-25,,Defensive rebound by D. Schroder
9:48.0,,,30-25,,K. Korver misses 2-pt shot from 17 ft
9:46.0,Defensive rebound by R. Jackson,,30-25,,
9:32.0,K. Durant misses 2-pt shot from 1 ft,,30-25,,
9:31.0,,,30-25,,Defensive rebound by P. Antic
9:27.0,,,30-25,,K. Korver misses 3-pt shot from 25 ft
9:25.0,,,30-25,,Offensive rebound by M. Scott
9:24.0,,,30-25,,M. Scott misses 2-pt shot at rim
9:22.0,Defensive rebound by K. Perkins,,30-25,,
9:10.0,K. Durant misses 2-pt shot at rim,,30-25,,
9:08.0,,,30-25,,Defensive rebound by T. Sefolosha
9:04.0,,,30-25,,Turnover by D. Schroder (bad pass; steal by R. Jackson)
8:58.0,Shooting foul by P. Antic (drawn by K. Perkins),,30-25,,
8:58.0,Official timeout,,30-25,,
8:58.0,,,30-25,,A. Horford enters the game for P. Antic
8:58.0,,,30-25,,K. Bazemore enters the game for T. Sefolosha
8:58.0,K. Perkins makes free throw 1 of 2,1,31-25,,
8:58.0,K. Perkins misses free throw 2 of 2,,31-25,,
8:56.0,,,31-25,,Defensive rebound by A. Horford
8:41.0,,,31-27,2,A. Horford makes 2-pt shot at rim (assist by K. Korver)
8:27.0,Turnover by A. Morrow (offensive foul),,31-27,,
8:27.0,Offensive foul by A. Morrow,,31-27,,
8:22.0,,,31-27,,Turnover by K. Korver (bad pass; steal by K. Durant)
8:16.0,K. Durant makes 2-pt shot at rim,2,33-27,,
7:59.0,,,33-27,,D. Schroder misses 2-pt shot from 15 ft (block by K. Perkins)
7:56.0,,,33-27,,Offensive rebound by K. Korver
7:50.0,,,33-30,3,K. Korver makes 3-pt shot from 28 ft (assist by D. Schroder)
7:31.0,A. Morrow misses 3-pt shot from 22 ft,,33-30,,
7:29.0,,,33-30,,Defensive rebound by A. Horford
7:12.0,,,33-30,,D. Schroder misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by K. Perkins,,33-30,,
6:59.0,K. Durant misses 2-pt shot from 18 ft,,33-30,,
6:58.0,,,33-30,,Defensive rebound by A. Horford
6:34.0,,,33-30,,D. Schroder misses 3-pt shot from 24 ft
6:34.0,,,33-30,,Offensive rebound by Team
6:34.0,,,33-30,,Turnover by Team (shot clock)
6:34.0,R. Westbrook enters the game for A. Morrow,,33-30,,
6:34.0,,,33-30,,J. Teague enters the game for D. Schroder
6:34.0,,,33-30,,P. Millsap enters the game for M. Scott
6:34.0,S. Ibaka enters the game for K. Perkins,,33-30,,
6:19.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,35-30,,
6:11.0,,,35-30,,Atlanta full timeout
6:11.0,,,35-30,,D. Carroll enters the game for K. Korver
6:01.0,,,35-30,,P. Millsap misses 2-pt shot from 20 ft
5:59.0,Defensive rebound by S. Ibaka,,35-30,,
5:44.0,D. Waiters makes 2-pt shot from 19 ft,2,37-30,,
5:30.0,,,37-30,,Turnover by P. Millsap (lost ball; steal by D. Waiters)
5:25.0,D. Waiters makes 2-pt shot at rim,2,39-30,,
5:07.0,,,39-32,2,K. Bazemore makes 2-pt shot from 16 ft (assist by J. Teague)
5:07.0,,,39-32,,Shooting foul by R. Jackson (drawn by K. Bazemore)
5:07.0,,,39-33,1,K. Bazemore makes free throw 1 of 1
4:56.0,R. Jackson makes 2-pt shot at rim (assist by K. Durant),2,41-33,,
4:48.0,,,41-36,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
4:32.0,R. Westbrook misses 2-pt shot from 3 ft (block by A. Horford),,41-36,,
4:31.0,,,41-36,,Defensive rebound by J. Teague
4:27.0,,,41-36,,J. Teague misses 2-pt shot from 1 ft
4:25.0,,,41-36,,Offensive rebound by A. Horford
