time,Detroit,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. U. Haslem (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. U. Haslem (R. Jackson gains possession)
11:43.0,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver),2,2-0,,
11:24.0,,,2-0,,L. Deng misses 2-pt shot from 19 ft
11:23.0,,,2-0,,Offensive rebound by U. Haslem
11:12.0,,,2-2,2,G. Dragic makes 2-pt shot from 2 ft
10:44.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,4-2,,
10:28.0,,,4-2,,Turnover by G. Dragic (bad pass)
10:14.0,R. Jackson makes 2-pt shot from 9 ft,2,6-2,,
9:57.0,,,6-2,,D. Wade misses 2-pt shot from 8 ft
9:56.0,,,6-2,,Offensive rebound by U. Haslem
9:55.0,,,6-4,2,U. Haslem makes 2-pt shot from 1 ft
9:39.0,Turnover by K. Caldwell-Pope (bad pass; steal by L. Deng),,6-4,,
9:15.0,,,6-6,2,D. Wade makes 2-pt shot from 7 ft
9:06.0,,,6-6,,Personal foul by U. Haslem (drawn by R. Jackson)
8:50.0,K. Caldwell-Pope makes 2-pt shot from 20 ft,2,8-6,,
8:29.0,,,8-6,,L. Deng misses 2-pt shot from 6 ft
8:28.0,Defensive rebound by A. Drummond,,8-6,,
8:21.0,A. Tolliver makes 3-pt shot from 23 ft (assist by R. Jackson),3,11-6,,
8:04.0,,,11-8,2,D. Wade makes 2-pt shot from 5 ft
7:52.0,R. Jackson misses 2-pt shot from 5 ft,,11-8,,
7:51.0,Offensive rebound by A. Drummond,,11-8,,
7:49.0,A. Drummond makes 2-pt shot at rim,2,13-8,,
7:31.0,,,13-8,,Turnover by H. Walker (traveling)
7:16.0,A. Drummond makes 2-pt shot from 6 ft (assist by A. Tolliver),2,15-8,,
7:15.0,,,15-8,,Miami full timeout
7:06.0,,,15-8,,Shooting foul by A. Drummond (drawn by D. Wade)
7:06.0,,,15-8,,D. Wade misses free throw 1 of 2
7:06.0,,,15-8,,Offensive rebound by Team
7:06.0,,,15-9,1,D. Wade makes free throw 2 of 2
6:48.0,A. Drummond makes 2-pt shot from 4 ft,2,17-9,,
6:33.0,,,17-9,,U. Haslem misses 2-pt shot from 14 ft
6:32.0,,,17-9,,Offensive rebound by D. Wade
6:28.0,,,17-9,,D. Wade misses 2-pt shot from 3 ft
6:27.0,,,17-9,,Offensive rebound by D. Wade
6:25.0,,,17-9,,D. Wade misses 2-pt shot from 2 ft
6:24.0,,,17-9,,Offensive rebound by U. Haslem
6:19.0,,,17-9,,H. Walker misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by A. Drummond,,17-9,,
6:11.0,Turnover by R. Jackson (lost ball; steal by H. Walker),,17-9,,
6:07.0,,,17-11,2,D. Wade makes 2-pt shot at rim (assist by U. Haslem)
5:54.0,R. Jackson misses 2-pt shot from 15 ft (block by G. Dragic),,17-11,,
5:53.0,,,17-11,,Defensive rebound by U. Haslem
5:49.0,,,17-11,,Shooting foul by K. Caldwell-Pope (drawn by L. Deng)
5:49.0,,,17-12,1,L. Deng makes free throw 1 of 2
5:49.0,,,17-13,1,L. Deng makes free throw 2 of 2
5:30.0,R. Jackson makes 2-pt shot from 19 ft,2,19-13,,
5:14.0,,,19-13,,D. Wade misses 2-pt shot at rim (block by A. Drummond)
5:12.0,,,19-13,,Offensive rebound by U. Haslem
5:07.0,,,19-13,,L. Deng misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by A. Drummond,,19-13,,
5:00.0,A. Drummond misses 2-pt shot from 2 ft,,19-13,,
4:59.0,,,19-13,,Defensive rebound by L. Deng
4:54.0,,,19-13,,G. Dragic misses 2-pt shot from 1 ft
4:53.0,,,19-13,,Offensive rebound by D. Wade
4:53.0,,,19-15,2,D. Wade makes 2-pt shot at rim
4:44.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,19-15,,
4:43.0,,,19-15,,Defensive rebound by L. Deng
4:30.0,,,19-15,,G. Dragic misses 2-pt shot from 19 ft
4:29.0,Defensive rebound by A. Drummond,,19-15,,
4:10.0,R. Jackson makes 3-pt shot from 24 ft (assist by A. Tolliver),3,22-15,,
3:52.0,,,22-17,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
3:29.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,22-17,,
3:28.0,Offensive rebound by A. Drummond,,22-17,,
3:23.0,R. Jackson makes 3-pt shot from 24 ft (assist by C. Butler),3,25-17,,
3:03.0,,,25-17,,G. Dragic misses 2-pt shot from 1 ft
3:02.0,,,25-17,,Offensive rebound by U. Haslem
3:01.0,,,25-19,2,U. Haslem makes 2-pt shot from 1 ft
2:57.0,Detroit full timeout,,25-19,,
2:57.0,,,25-19,,M. Chalmers enters the game for H. Walker
2:57.0,,,25-19,,J. Ennis enters the game for D. Wade
2:57.0,T. Prince enters the game for C. Butler,,25-19,,
2:40.0,Offensive charge foul by R. Jackson,,25-19,,
2:40.0,Turnover by R. Jackson (offensive foul),,25-19,,
2:15.0,,,25-19,,M. Chalmers misses 3-pt shot from 24 ft
2:15.0,,,25-19,,Offensive rebound by Team
2:15.0,Loose ball foul by A. Drummond (drawn by G. Dragic),,25-19,,
2:15.0,J. Anthony enters the game for A. Drummond,,25-19,,
2:15.0,J. Meeks enters the game for K. Caldwell-Pope,,25-19,,
2:05.0,,,25-21,2,L. Deng makes 2-pt shot from 8 ft
1:50.0,A. Tolliver misses 3-pt shot from 24 ft,,25-21,,
1:49.0,,,25-21,,Defensive rebound by G. Dragic
1:36.0,,,25-23,2,J. Ennis makes 2-pt shot at rim (assist by L. Deng)
1:24.0,T. Prince misses 2-pt shot from 19 ft,,25-23,,
1:23.0,,,25-23,,Defensive rebound by M. Chalmers
1:02.0,,,25-23,,L. Deng misses 2-pt shot from 5 ft (block by J. Anthony)
1:01.0,,,25-23,,Offensive rebound by J. Ennis
0:59.0,,,25-23,,M. Chalmers misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by J. Anthony,,25-23,,
0:49.0,T. Prince misses 2-pt shot from 8 ft,,25-23,,
0:46.0,,,25-23,,Defensive rebound by Team
0:46.0,S. Dinwiddie enters the game for R. Jackson,,25-23,,
0:46.0,,,25-23,,T. Johnson enters the game for L. Deng
0:46.0,,,25-23,,H. Walker enters the game for U. Haslem
0:46.0,,,25-23,,M. Beasley enters the game for G. Dragic
0:32.0,Loose ball foul by A. Tolliver (drawn by H. Walker),,25-23,,
0:20.0,,,25-25,2,M. Beasley makes 2-pt shot from 15 ft
0:05.0,S. Dinwiddie misses 3-pt shot from 24 ft,,25-25,,
0:04.0,Offensive rebound by T. Prince,,25-25,,
0:03.0,T. Prince misses 2-pt shot from 3 ft,,25-25,,
0:00.0,Offensive rebound by J. Anthony,,25-25,,
0:00.0,J. Anthony makes 2-pt shot from 1 ft,2,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-25,,M. Beasley misses 2-pt shot from 4 ft
11:41.0,Defensive rebound by J. Anthony,,27-25,,
11:22.0,J. Meeks misses 2-pt shot from 19 ft,,27-25,,
11:21.0,,,27-25,,Defensive rebound by M. Chalmers
11:20.0,,,27-25,,Turnover by M. Chalmers (bad pass)
10:59.0,S. Dinwiddie misses 2-pt shot from 5 ft,,27-25,,
10:58.0,,,27-25,,Defensive rebound by M. Chalmers
10:35.0,,,27-25,,M. Beasley misses 2-pt shot from 18 ft
10:34.0,Defensive rebound by T. Prince,,27-25,,
10:17.0,J. Meeks misses 2-pt shot from 13 ft,,27-25,,
10:16.0,,,27-25,,Defensive rebound by T. Johnson
10:14.0,,,27-25,,Shooting foul by S. Dinwiddie (drawn by J. Ennis)
10:14.0,,,27-25,,J. Ennis misses free throw 1 of 2
10:14.0,,,27-25,,Offensive rebound by Team
10:14.0,,,27-25,,J. Ennis misses free throw 2 of 2
10:13.0,Defensive rebound by S. Williams,,27-25,,
10:02.0,J. Meeks misses 3-pt shot from 25 ft,,27-25,,
10:01.0,,,27-25,,Defensive rebound by J. Ennis
9:46.0,,,27-25,,T. Johnson misses 2-pt shot from 16 ft
9:45.0,Defensive rebound by S. Dinwiddie,,27-25,,
9:30.0,Turnover by T. Prince (bad pass),,27-25,,
9:16.0,,,27-27,2,M. Chalmers makes 2-pt shot from 12 ft
9:06.0,Turnover by S. Dinwiddie (bad pass),,27-27,,
8:51.0,,,27-30,3,H. Walker makes 3-pt shot from 26 ft (assist by M. Chalmers)
8:45.0,Detroit full timeout,,27-30,,
8:32.0,S. Dinwiddie misses 2-pt shot from 2 ft,,27-30,,
8:31.0,Offensive rebound by J. Anthony,,27-30,,
8:18.0,S. Williams misses 3-pt shot from 24 ft,,27-30,,
8:17.0,,,27-30,,Defensive rebound by M. Chalmers
7:56.0,,,27-32,2,M. Beasley makes 2-pt shot from 8 ft
7:35.0,J. Anthony misses 2-pt shot from 7 ft,,27-32,,
7:31.0,Offensive rebound by S. Williams,,27-32,,
7:25.0,S. Williams misses 2-pt shot from 3 ft,,27-32,,
7:23.0,,,27-32,,Defensive rebound by M. Chalmers
7:18.0,,,27-32,,J. Ennis misses 2-pt shot at rim (block by J. Anthony)
7:15.0,,,27-32,,Offensive rebound by J. Ennis
7:13.0,,,27-34,2,J. Ennis makes 2-pt shot from 1 ft
7:03.0,Shooting foul by H. Walker (drawn by S. Williams),,27-34,,
7:03.0,S. Williams makes free throw 1 of 2,1,28-34,,
7:03.0,S. Williams makes free throw 2 of 2,1,29-34,,
6:51.0,,,29-34,,M. Beasley misses 2-pt shot from 8 ft (block by J. Anthony)
6:51.0,,,29-34,,Offensive rebound by Team
6:51.0,,,29-34,,D. Wade enters the game for J. Ennis
6:51.0,K. Caldwell-Pope enters the game for J. Meeks,,29-34,,
6:49.0,,,29-34,,Turnover by D. Wade (lost ball; steal by K. Caldwell-Pope)
6:44.0,T. Prince makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,31-34,,
6:44.0,,,31-34,,Shooting block foul by H. Walker (drawn by T. Prince)
6:44.0,,,31-34,,L. Deng enters the game for H. Walker
6:44.0,T. Prince makes free throw 1 of 1,1,32-34,,
6:21.0,,,32-34,,M. Beasley misses 2-pt shot from 1 ft
6:20.0,Defensive rebound by K. Caldwell-Pope,,32-34,,
6:10.0,S. Dinwiddie misses 2-pt shot from 18 ft,,32-34,,
6:06.0,Offensive rebound by J. Anthony,,32-34,,
6:06.0,J. Anthony misses 2-pt shot from 1 ft,,32-34,,
6:05.0,,,32-34,,Defensive rebound by M. Chalmers
