time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Howard (J. Terry gains possession),,,,Jump ball: T. Duncan vs. D. Howard (J. Terry gains possession)
11:40.0,,,0-2,2,D. Howard makes 2-pt shot from 7 ft (assist by J. Harden)
11:16.0,D. Green misses 2-pt shot from 6 ft (block by D. Howard),,0-2,,
11:15.0,,,0-2,,Defensive rebound by T. Jones
11:07.0,,,0-4,2,J. Terry makes 2-pt shot at rim
10:49.0,,,0-4,,Personal foul by D. Howard (drawn by T. Duncan)
10:42.0,T. Duncan misses 2-pt shot from 18 ft,,0-4,,
10:41.0,,,0-4,,Defensive rebound by D. Howard
10:35.0,,,0-6,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
10:35.0,,,0-6,,Shooting foul by A. Baynes (drawn by T. Ariza)
10:35.0,,,0-7,1,T. Ariza makes free throw 1 of 1
10:13.0,T. Duncan misses 2-pt shot from 17 ft,,0-7,,
10:11.0,Offensive rebound by A. Baynes,,0-7,,
9:56.0,T. Parker misses 2-pt shot from 8 ft,,0-7,,
9:55.0,,,0-7,,Defensive rebound by D. Howard
9:52.0,,,0-9,2,T. Ariza makes 2-pt shot at rim (assist by D. Howard)
9:41.0,,,0-9,,Personal foul by T. Ariza (drawn by K. Leonard)
9:24.0,Turnover by Team (shot clock),,0-9,,
9:08.0,,,0-9,,Turnover by J. Harden (bad pass; steal by D. Green)
9:03.0,T. Parker misses 2-pt shot from 1 ft (block by J. Terry),,0-9,,
9:03.0,Offensive rebound by Team,,0-9,,
8:58.0,K. Leonard misses 3-pt shot from 25 ft,,0-9,,
8:57.0,,,0-9,,Defensive rebound by T. Jones
8:38.0,,,0-12,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
8:20.0,A. Baynes makes 2-pt shot from 4 ft (assist by T. Duncan),2,2-12,,
7:56.0,,,2-12,,J. Terry misses 2-pt shot from 7 ft
7:54.0,Defensive rebound by T. Duncan,,2-12,,
