time,LA Lakers,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Hill (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. J. Hill (K. Humphries gains possession)
11:42.0,,,0-0,,M. Gortat misses 2-pt shot from 5 ft
11:41.0,Defensive rebound by C. Boozer,,0-0,,
11:21.0,J. Hill makes 2-pt shot from 1 ft (assist by J. Lin),2,2-0,,
11:12.0,,,2-2,2,P. Pierce makes 2-pt shot at rim (assist by J. Wall)
10:54.0,J. Lin misses 2-pt shot from 17 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by K. Humphries
10:41.0,,,2-4,2,K. Humphries makes 2-pt shot from 18 ft (assist by P. Pierce)
10:18.0,K. Bryant makes 2-pt shot from 19 ft (assist by J. Lin),2,4-4,,
10:10.0,,,4-7,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
9:53.0,K. Bryant makes 2-pt shot from 18 ft (assist by J. Lin),2,6-7,,
9:40.0,,,6-7,,B. Beal misses 2-pt shot from 21 ft
9:38.0,Defensive rebound by J. Lin,,6-7,,
9:26.0,K. Bryant misses 2-pt shot from 18 ft,,6-7,,
9:25.0,Offensive rebound by J. Hill,,6-7,,
9:23.0,Shooting foul by J. Wall (drawn by J. Hill),,6-7,,
9:23.0,J. Hill makes free throw 1 of 2,1,7-7,,
9:23.0,J. Hill makes free throw 2 of 2,1,8-7,,
9:08.0,,,8-7,,P. Pierce misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by W. Johnson,,8-7,,
8:57.0,C. Boozer makes 2-pt shot from 16 ft,2,10-7,,
8:41.0,,,10-9,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
8:27.0,J. Lin misses 3-pt shot from 27 ft,,10-9,,
8:26.0,,,10-9,,Defensive rebound by M. Gortat
8:18.0,,,10-9,,P. Pierce misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by W. Johnson,,10-9,,
8:04.0,C. Boozer misses 2-pt shot from 14 ft (block by K. Humphries),,10-9,,
8:00.0,,,10-9,,Defensive rebound by K. Humphries
7:58.0,,,10-11,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
7:58.0,,,10-11,,Shooting foul by C. Boozer (drawn by M. Gortat)
7:58.0,,,10-12,1,M. Gortat makes free throw 1 of 1
7:53.0,Turnover by J. Lin (bad pass; steal by B. Beal),,10-12,,
7:48.0,,,10-14,2,B. Beal makes 2-pt shot at rim
7:29.0,W. Johnson misses 3-pt shot from 24 ft,,10-14,,
7:28.0,,,10-14,,Defensive rebound by K. Humphries
7:22.0,,,10-16,2,J. Wall makes 2-pt shot from 16 ft
7:06.0,J. Lin misses 2-pt shot from 7 ft,,10-16,,
7:05.0,Offensive rebound by J. Lin,,10-16,,
6:59.0,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin),2,12-16,,
6:49.0,,,12-16,,J. Wall misses 3-pt shot from 27 ft
6:48.0,Defensive rebound by C. Boozer,,12-16,,
6:32.0,W. Johnson makes 3-pt shot from 25 ft,3,15-16,,
6:17.0,,,15-16,,Turnover by K. Humphries (bad pass; steal by W. Johnson)
6:08.0,J. Lin misses 3-pt shot from 26 ft,,15-16,,
6:07.0,,,15-16,,Defensive rebound by K. Humphries
6:02.0,,,15-16,,Turnover by J. Wall (bad pass)
6:02.0,E. Davis enters the game for C. Boozer,,15-16,,
5:47.0,Turnover by K. Bryant (bad pass),,15-16,,
5:47.0,,,15-16,,Washington full timeout
5:29.0,,,15-18,2,B. Beal makes 2-pt shot from 2 ft
5:13.0,K. Bryant misses 2-pt shot from 18 ft,,15-18,,
5:12.0,,,15-18,,Defensive rebound by K. Humphries
5:00.0,,,15-18,,B. Beal misses 2-pt shot from 12 ft
4:59.0,Defensive rebound by J. Lin,,15-18,,
4:55.0,K. Bryant misses 2-pt shot at rim,,15-18,,
4:52.0,,,15-18,,Defensive rebound by P. Pierce
4:47.0,,,15-18,,B. Beal misses 3-pt shot from 22 ft
4:45.0,,,15-18,,Offensive rebound by K. Humphries
4:41.0,,,15-18,,J. Wall misses 3-pt shot from 25 ft
4:39.0,,,15-18,,Offensive rebound by B. Beal
4:28.0,,,15-18,,J. Wall misses 3-pt shot from 25 ft
