time,Atlanta,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. A. Horford (D. Schroder gains possession),,,,Jump ball: J. Hill vs. A. Horford (D. Schroder gains possession)
11:45.0,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore),2,2-0,,
11:24.0,,,2-3,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Clarkson)
11:08.0,D. Schroder misses 3-pt shot from 24 ft,,2-3,,
11:07.0,,,2-3,,Defensive rebound by T. Black
11:00.0,,,2-5,2,J. Clarkson makes 2-pt shot from 20 ft
10:34.0,K. Korver misses 2-pt shot from 12 ft,,2-5,,
10:34.0,Offensive rebound by Team,,2-5,,
10:34.0,Turnover by Team (shot clock),,2-5,,
10:17.0,,,2-5,,J. Clarkson misses 2-pt shot from 20 ft
10:15.0,,,2-5,,Offensive rebound by T. Black
10:09.0,,,2-5,,T. Black misses 2-pt shot from 2 ft (block by K. Bazemore)
10:09.0,,,2-5,,Offensive rebound by Team
10:05.0,Personal foul by K. Bazemore (drawn by W. Ellington),,2-5,,
9:49.0,,,2-5,,J. Hill misses 2-pt shot from 18 ft
9:48.0,Defensive rebound by Team,,2-5,,
9:36.0,A. Horford misses 2-pt shot from 14 ft,,2-5,,
9:35.0,,,2-5,,Defensive rebound by J. Hill
9:21.0,,,2-5,,Turnover by W. Ellington (bad pass)
9:05.0,D. Schroder misses 2-pt shot from 2 ft,,2-5,,
9:04.0,,,2-5,,Defensive rebound by T. Black
8:59.0,,,2-5,,W. Ellington misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by A. Horford,,2-5,,
8:51.0,A. Horford misses 2-pt shot from 1 ft (block by W. Johnson),,2-5,,
8:50.0,Offensive rebound by P. Antic,,2-5,,
8:49.0,P. Antic misses 2-pt shot from 2 ft,,2-5,,
8:48.0,Offensive rebound by P. Antic,,2-5,,
