time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Noah,,,,Jump ball: T. Mozgov vs. J. Noah
11:41.0,L. James misses 2-pt shot from 19 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Rose
11:23.0,,,0-0,,D. Rose misses 2-pt shot from 2 ft (block by T. Mozgov)
11:21.0,Defensive rebound by T. Thompson,,0-0,,
11:13.0,K. Irving misses 2-pt shot from 15 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by J. Noah
10:57.0,,,0-0,,T. Gibson misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by K. Irving,,0-0,,
10:46.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,3-0,,
10:33.0,,,3-0,,M. Dunleavy misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by K. Irving,,3-0,,
10:15.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,5-0,,
9:56.0,,,5-2,2,J. Butler makes 2-pt shot from 17 ft
9:38.0,L. James makes 2-pt shot from 22 ft,2,7-2,,
9:23.0,,,7-4,2,D. Rose makes 2-pt shot from 14 ft
9:23.0,,,7-4,,Shooting foul by T. Mozgov (drawn by D. Rose)
9:23.0,,,7-5,1,D. Rose makes free throw 1 of 1
9:10.0,K. Irving misses 2-pt shot from 15 ft,,7-5,,
9:09.0,,,7-5,,Defensive rebound by J. Noah
9:01.0,,,7-5,,T. Gibson misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by L. James,,7-5,,
8:52.0,T. Thompson makes 2-pt shot from 11 ft (assist by T. Mozgov),2,9-5,,
8:37.0,,,9-5,,D. Rose misses 2-pt shot from 15 ft
8:36.0,Defensive rebound by I. Shumpert,,9-5,,
8:30.0,L. James misses 2-pt shot from 6 ft (block by J. Noah),,9-5,,
8:28.0,Offensive rebound by I. Shumpert,,9-5,,
8:25.0,I. Shumpert misses 3-pt shot from 24 ft,,9-5,,
8:25.0,,,9-5,,Defensive rebound by T. Gibson
8:04.0,,,9-8,3,J. Butler makes 3-pt shot from 24 ft (assist by T. Gibson)
7:49.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,11-8,,
7:30.0,,,11-10,2,J. Noah makes 2-pt shot from 8 ft
7:10.0,Turnover by L. James (bad pass; steal by J. Butler),,11-10,,
7:04.0,,,11-10,,D. Rose misses 2-pt shot from 1 ft
