time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession)
11:44.0,,,0-0,,Shooting foul by H. Whiteside (drawn by N. Hilario)
11:44.0,,,0-1,1,N. Hilario makes free throw 1 of 2
11:44.0,,,0-2,1,N. Hilario makes free throw 2 of 2
11:21.0,T. Johnson makes 2-pt shot from 7 ft,2,2-2,,
11:08.0,,,2-2,,P. Pierce misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by G. Dragic,,2-2,,
10:57.0,U. Haslem misses 2-pt shot from 19 ft,,2-2,,
10:56.0,,,2-2,,Defensive rebound by M. Gortat
10:51.0,Personal foul by U. Haslem (drawn by N. Hilario),,2-2,,
10:43.0,,,2-4,2,N. Hilario makes 2-pt shot from 4 ft
10:22.0,U. Haslem makes 2-pt shot from 14 ft,2,4-4,,
10:13.0,,,4-7,3,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall)
9:55.0,G. Dragic misses 2-pt shot from 18 ft,,4-7,,
9:54.0,,,4-7,,Defensive rebound by M. Gortat
9:44.0,,,4-10,3,B. Beal makes 3-pt shot from 26 ft (assist by P. Pierce)
9:43.0,Miami full timeout,,4-10,,
9:29.0,Turnover by T. Johnson (bad pass; steal by J. Wall),,4-10,,
9:26.0,,,4-10,,Shooting foul by G. Dragic (drawn by J. Wall)
9:26.0,,,4-11,1,J. Wall makes free throw 1 of 2
9:26.0,,,4-12,1,J. Wall makes free throw 2 of 2
9:10.0,H. Walker misses 3-pt shot from 23 ft,,4-12,,
9:09.0,Offensive rebound by Team,,4-12,,
9:09.0,,,4-12,,Loose ball foul by N. Hilario (drawn by H. Whiteside)
8:53.0,H. Walker makes 2-pt shot from 14 ft (assist by G. Dragic),2,6-12,,
8:42.0,,,6-14,2,M. Gortat makes 2-pt shot from 7 ft
8:31.0,H. Walker misses 3-pt shot from 25 ft,,6-14,,
8:30.0,,,6-14,,Defensive rebound by M. Gortat
8:21.0,,,6-14,,B. Beal misses 3-pt shot from 26 ft
8:20.0,,,6-14,,Offensive rebound by J. Wall
8:15.0,,,6-14,,P. Pierce misses 3-pt shot from 27 ft
8:14.0,Defensive rebound by U. Haslem,,6-14,,
8:05.0,Turnover by G. Dragic (bad pass; steal by J. Wall),,6-14,,
8:01.0,,,6-16,2,J. Wall makes 2-pt shot from 1 ft
7:45.0,H. Whiteside makes 2-pt shot from 12 ft (assist by G. Dragic),2,8-16,,
7:32.0,,,8-18,2,P. Pierce makes 2-pt shot from 12 ft (assist by J. Wall)
7:13.0,H. Whiteside misses 2-pt shot from 16 ft,,8-18,,
7:12.0,,,8-18,,Defensive rebound by P. Pierce
7:02.0,,,8-18,,N. Hilario misses 2-pt shot from 10 ft
7:01.0,,,8-18,,Offensive rebound by M. Gortat
6:54.0,,,8-18,,N. Hilario misses 2-pt shot at rim (block by U. Haslem)
6:52.0,Defensive rebound by U. Haslem,,8-18,,
6:45.0,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson),3,11-18,,
6:35.0,,,11-20,2,P. Pierce makes 2-pt shot from 1 ft (assist by N. Hilario)
6:22.0,U. Haslem misses 2-pt shot from 16 ft,,11-20,,
6:21.0,,,11-20,,Defensive rebound by M. Gortat
6:07.0,,,11-22,2,N. Hilario makes 2-pt shot from 17 ft
5:53.0,G. Dragic makes 2-pt shot from 2 ft,2,13-22,,
5:42.0,,,13-22,,J. Wall misses 3-pt shot from 26 ft
5:41.0,Defensive rebound by T. Johnson,,13-22,,
5:20.0,G. Dragic misses 2-pt shot from 14 ft,,13-22,,
5:19.0,,,13-22,,Defensive rebound by M. Gortat
5:09.0,,,13-24,2,M. Gortat makes 2-pt shot at rim (assist by N. Hilario)
5:08.0,Miami full timeout,,13-24,,
5:08.0,M. Beasley enters the game for H. Whiteside,,13-24,,
5:08.0,,,13-24,,G. Temple enters the game for B. Beal
5:08.0,,,13-24,,O. Porter enters the game for P. Pierce
4:49.0,M. Beasley misses 2-pt shot from 13 ft,,13-24,,
4:48.0,,,13-24,,Defensive rebound by J. Wall
4:30.0,,,13-26,2,O. Porter makes 2-pt shot from 12 ft (assist by M. Gortat)
4:12.0,H. Walker misses 2-pt shot from 17 ft,,13-26,,
4:11.0,,,13-26,,Defensive rebound by M. Gortat
3:59.0,Violation by G. Dragic (kicked ball),,13-26,,
3:59.0,,,13-26,,Washington full timeout
3:59.0,,,13-26,,D. Gooden enters the game for N. Hilario
3:43.0,,,13-29,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall)
3:29.0,S. Napier enters the game for G. Dragic,,13-29,,
3:29.0,J. Ennis enters the game for H. Walker,,13-29,,
3:29.0,Jump ball: U. Haslem vs. O. Porter (J. Ennis gains possession),,,,Jump ball: U. Haslem vs. O. Porter (J. Ennis gains possession)
3:20.0,M. Beasley misses 3-pt shot from 25 ft,,13-29,,
3:19.0,,,13-29,,Defensive rebound by J. Wall
3:00.0,,,13-31,2,M. Gortat makes 2-pt shot from 4 ft (assist by O. Porter)
2:45.0,S. Napier misses 2-pt shot from 18 ft,,13-31,,
2:44.0,,,13-31,,Defensive rebound by M. Gortat
2:38.0,,,13-34,3,D. Gooden makes 3-pt shot from 22 ft (assist by J. Wall)
2:22.0,J. Ennis misses 2-pt shot from 1 ft (block by M. Gortat),,13-34,,
2:20.0,,,13-34,,Defensive rebound by M. Gortat
2:15.0,C. Andersen enters the game for U. Haslem,,13-34,,
1:58.0,,,13-36,2,D. Gooden makes 2-pt shot from 17 ft (assist by J. Wall)
1:47.0,,,13-36,,Personal foul by G. Temple (drawn by T. Johnson)
1:47.0,,,13-36,,R. Sessions enters the game for J. Wall
1:35.0,S. Napier misses 2-pt shot from 21 ft,,13-36,,
1:34.0,Offensive rebound by C. Andersen,,13-36,,
1:32.0,Shooting foul by R. Sessions (drawn by C. Andersen),,13-36,,
1:32.0,C. Andersen makes free throw 1 of 2,1,14-36,,
1:32.0,C. Andersen makes free throw 2 of 2,1,15-36,,
1:26.0,,,15-36,,Offensive foul by O. Porter
1:26.0,,,15-36,,Turnover by O. Porter (offensive foul)
1:15.0,T. Johnson misses 3-pt shot from 26 ft,,15-36,,
1:14.0,,,15-36,,Defensive rebound by R. Sessions
1:00.0,,,15-36,,D. Gooden misses 3-pt shot from 26 ft
1:00.0,,,15-36,,Offensive rebound by M. Gortat
1:00.0,,,15-38,2,M. Gortat makes 2-pt shot from 1 ft
0:52.0,Offensive foul by C. Andersen,,15-38,,
0:52.0,Turnover by C. Andersen (offensive foul),,15-38,,
0:35.0,,,15-38,,G. Temple misses 3-pt shot from 24 ft
0:35.0,,,15-38,,Offensive rebound by D. Gooden
0:35.0,,,15-40,2,D. Gooden makes 2-pt shot at rim
0:15.0,S. Napier makes 3-pt shot from 24 ft (assist by M. Beasley),3,18-40,,
0:00.0,,,18-40,,R. Sessions misses 3-pt shot from 25 ft
0:00.0,,,18-40,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,18-40,,Shooting block foul by K. Seraphin (drawn by J. Ennis)
11:50.0,J. Ennis makes free throw 1 of 2,1,19-40,,
11:50.0,J. Ennis makes free throw 2 of 2,1,20-40,,
11:31.0,,,20-40,,D. Gooden misses 2-pt shot from 20 ft
11:30.0,Defensive rebound by J. Ennis,,20-40,,
11:24.0,J. Ennis makes 3-pt shot from 26 ft,3,23-40,,
11:09.0,,,23-40,,O. Porter misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by C. Andersen,,23-40,,
10:59.0,C. Andersen misses 2-pt shot at rim,,23-40,,
10:58.0,,,23-40,,Defensive rebound by D. Gooden
10:47.0,,,23-40,,K. Seraphin misses 2-pt shot from 15 ft
10:46.0,Defensive rebound by T. Johnson,,23-40,,
10:28.0,M. Beasley misses 2-pt shot from 21 ft,,23-40,,
10:27.0,,,23-40,,Defensive rebound by D. Gooden
10:10.0,,,23-42,2,K. Seraphin makes 2-pt shot from 5 ft (assist by G. Temple)
9:57.0,Offensive foul by M. Beasley,,23-42,,
9:57.0,Turnover by M. Beasley (offensive foul),,23-42,,
9:57.0,,,23-42,,B. Beal enters the game for G. Temple
9:38.0,,,23-42,,D. Gooden misses 2-pt shot from 18 ft
9:38.0,,,23-42,,Offensive rebound by K. Seraphin
9:34.0,,,23-44,2,O. Porter makes 2-pt shot from 1 ft (assist by K. Seraphin)
9:18.0,J. Ennis makes 3-pt shot from 23 ft (assist by S. Napier),3,26-44,,
8:52.0,,,26-46,2,K. Seraphin makes 2-pt shot from 16 ft
8:36.0,Official timeout,,26-46,,
8:36.0,H. Whiteside enters the game for T. Johnson,,26-46,,
8:36.0,G. Dragic enters the game for M. Beasley,,26-46,,
8:36.0,H. Walker enters the game for C. Andersen,,26-46,,
8:30.0,Turnover by J. Ennis (bad pass; steal by R. Sessions),,26-46,,
8:22.0,,,26-46,,D. Gooden misses 3-pt shot from 25 ft
8:21.0,,,26-46,,Offensive rebound by O. Porter
8:17.0,,,26-46,,R. Sessions misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by H. Walker,,26-46,,
8:05.0,S. Napier misses 3-pt shot from 23 ft,,26-46,,
8:05.0,,,26-46,,Defensive rebound by R. Sessions
7:48.0,,,26-46,,Shooting foul by H. Walker (drawn by R. Sessions)
7:48.0,,,26-48,2,R. Sessions makes 2-pt shot from 4 ft
7:48.0,,,26-49,1,R. Sessions makes free throw 1 of 1
7:41.0,,,26-49,,Personal foul by O. Porter (drawn by J. Ennis)
7:41.0,,,26-49,,N. Hilario enters the game for D. Gooden
7:28.0,Turnover by G. Dragic (bad pass; steal by K. Seraphin),,26-49,,
7:26.0,,,26-49,,Turnover by R. Sessions (bad pass)
7:22.0,Shooting foul by B. Beal (drawn by S. Napier),,26-49,,
