time,Detroit,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Drummond (B. Jennings gains possession),,,,Jump ball: T. Chandler vs. A. Drummond (B. Jennings gains possession)
11:38.0,B. Jennings misses 2-pt shot from 9 ft,,0-0,,
11:37.0,Offensive rebound by A. Drummond,,0-0,,
11:35.0,A. Drummond misses 2-pt shot from 2 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by D. Nowitzki
11:27.0,,,0-0,,D. Nowitzki misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by K. Singler,,0-0,,
11:17.0,B. Jennings makes 2-pt shot at rim (assist by A. Drummond),2,2-0,,
11:01.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by M. Ellis)
10:45.0,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,4-2,,
10:23.0,,,4-2,,D. Nowitzki misses 2-pt shot from 14 ft
10:22.0,Defensive rebound by K. Caldwell-Pope,,4-2,,
10:17.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Jennings),3,7-2,,
10:00.0,,,7-2,,T. Chandler misses 2-pt shot at rim
9:58.0,Defensive rebound by A. Drummond,,7-2,,
9:57.0,Shooting foul by D. Nowitzki (drawn by K. Caldwell-Pope),,7-2,,
9:57.0,K. Caldwell-Pope misses free throw 1 of 2,,7-2,,
9:57.0,Offensive rebound by Team,,7-2,,
9:57.0,K. Caldwell-Pope makes free throw 2 of 2,1,8-2,,
9:38.0,,,8-4,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
9:13.0,K. Singler misses 2-pt shot from 2 ft,,8-4,,
9:12.0,,,8-4,,Defensive rebound by R. Rondo
9:07.0,,,8-4,,Turnover by R. Rondo (bad pass; steal by A. Drummond)
9:00.0,K. Singler makes 2-pt shot from 1 ft,2,10-4,,
8:44.0,,,10-4,,M. Ellis misses 3-pt shot from 22 ft
8:43.0,Defensive rebound by G. Monroe,,10-4,,
8:39.0,B. Jennings makes 2-pt shot at rim (assist by G. Monroe),2,12-4,,
8:38.0,,,12-4,,Dallas full timeout
8:26.0,,,12-4,,Shooting foul by K. Singler (drawn by C. Parsons)
8:26.0,,,12-5,1,C. Parsons makes free throw 1 of 3
8:26.0,,,12-6,1,C. Parsons makes free throw 2 of 3
8:26.0,,,12-7,1,C. Parsons makes free throw 3 of 3
8:09.0,Turnover by G. Monroe (lost ball; steal by R. Rondo),,12-7,,
8:06.0,,,12-7,,Turnover by R. Rondo (bad pass; steal by K. Caldwell-Pope)
8:00.0,G. Monroe misses 2-pt shot from 4 ft,,12-7,,
7:59.0,Offensive rebound by G. Monroe,,12-7,,
7:55.0,Turnover by G. Monroe (lost ball; steal by R. Rondo),,12-7,,
7:49.0,,,12-9,2,C. Parsons makes 2-pt shot from 1 ft
7:27.0,B. Jennings misses 2-pt shot from 8 ft,,12-9,,
7:26.0,Offensive rebound by B. Jennings,,12-9,,
7:24.0,B. Jennings misses 2-pt shot from 9 ft,,12-9,,
7:22.0,,,12-9,,Defensive rebound by M. Ellis
7:16.0,,,12-9,,C. Parsons misses 2-pt shot at rim
7:15.0,Defensive rebound by G. Monroe,,12-9,,
7:08.0,K. Singler misses 2-pt shot from 7 ft,,12-9,,
7:07.0,Offensive rebound by A. Drummond,,12-9,,
7:04.0,A. Drummond misses 2-pt shot from 3 ft,,12-9,,
7:02.0,,,12-9,,Defensive rebound by T. Chandler
6:54.0,,,12-11,2,T. Chandler makes 2-pt shot at rim (assist by D. Nowitzki)
6:36.0,G. Monroe makes 2-pt shot from 1 ft (assist by B. Jennings),2,14-11,,
6:36.0,Shooting foul by T. Chandler (drawn by G. Monroe),,14-11,,
6:36.0,Technical foul by A. Drummond,,14-11,,
6:36.0,,,14-12,1,D. Nowitzki makes technical free throw
6:36.0,,,14-12,,D. Harris enters the game for R. Rondo
6:36.0,,,14-12,,C. Villanueva enters the game for D. Nowitzki
6:36.0,G. Monroe makes free throw 1 of 1,1,15-12,,
6:23.0,,,15-12,,C. Villanueva misses 2-pt shot from 10 ft
6:22.0,Defensive rebound by A. Drummond,,15-12,,
6:15.0,B. Jennings makes 2-pt shot from 3 ft,2,17-12,,
6:03.0,,,17-14,2,T. Chandler makes 2-pt shot at rim (assist by D. Harris)
5:42.0,G. Monroe makes 2-pt shot at rim (assist by B. Jennings),2,19-14,,
5:42.0,,,19-14,,Dallas full timeout
5:24.0,,,19-14,,C. Parsons misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by G. Monroe,,19-14,,
5:08.0,B. Jennings misses 3-pt shot from 24 ft,,19-14,,
5:07.0,,,19-14,,Defensive rebound by C. Parsons
5:03.0,,,19-16,2,M. Ellis makes 2-pt shot at rim (assist by C. Parsons)
4:47.0,B. Jennings misses 2-pt shot from 2 ft,,19-16,,
4:46.0,Offensive rebound by A. Drummond,,19-16,,
4:46.0,A. Drummond misses 2-pt shot from 2 ft,,19-16,,
4:45.0,,,19-16,,Defensive rebound by C. Villanueva
4:40.0,,,19-16,,Shooting foul by K. Singler (drawn by D. Harris)
4:40.0,,,19-17,1,D. Harris makes free throw 1 of 2
4:40.0,,,19-17,,G. Smith enters the game for T. Chandler
4:40.0,C. Butler enters the game for K. Singler,,19-17,,
4:40.0,J. Jerebko enters the game for A. Drummond,,19-17,,
4:40.0,,,19-18,1,D. Harris makes free throw 2 of 2
4:24.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by G. Monroe),2,21-18,,
4:12.0,,,21-18,,Turnover by M. Ellis (bad pass; steal by J. Jerebko)
4:12.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Harris),,21-18,,
4:02.0,,,21-18,,Turnover by D. Harris (lost ball; steal by J. Jerebko)
4:02.0,Turnover by J. Jerebko (lost ball; steal by G. Smith),,21-18,,
3:56.0,,,21-18,,C. Villanueva misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by K. Caldwell-Pope,,21-18,,
3:46.0,Turnover by B. Jennings (bad pass; steal by C. Parsons),,21-18,,
3:43.0,,,21-18,,Shooting foul by K. Caldwell-Pope (drawn by M. Ellis)
3:43.0,,,21-20,2,M. Ellis makes 2-pt shot from 1 ft (assist by C. Parsons)
3:43.0,,,21-21,1,M. Ellis makes free throw 1 of 1
3:39.0,Detroit full timeout,,21-21,,
3:39.0,J. Meeks enters the game for K. Caldwell-Pope,,21-21,,
3:34.0,Offensive foul by J. Jerebko,,21-21,,
3:34.0,Turnover by J. Jerebko (offensive foul),,21-21,,
3:22.0,,,21-21,,C. Villanueva misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by C. Butler,,21-21,,
3:08.0,,,21-21,,Personal block foul by D. Harris (drawn by B. Jennings)
2:58.0,C. Butler makes 3-pt shot from 24 ft (assist by B. Jennings),3,24-21,,
2:38.0,,,24-21,,C. Parsons misses 2-pt shot from 6 ft
2:37.0,Defensive rebound by B. Jennings,,24-21,,
2:22.0,G. Monroe makes 2-pt shot from 9 ft,2,26-21,,
2:13.0,,,26-23,2,D. Harris makes 2-pt shot from 1 ft
1:48.0,B. Jennings misses 2-pt shot from 14 ft,,26-23,,
1:47.0,Offensive rebound by J. Jerebko,,26-23,,
1:43.0,G. Monroe makes 2-pt shot at rim (assist by J. Meeks),2,28-23,,
1:32.0,,,28-23,,G. Smith misses 2-pt shot from 2 ft (block by G. Monroe)
1:31.0,Defensive rebound by G. Monroe,,28-23,,
1:22.0,C. Butler misses 2-pt shot at rim,,28-23,,
1:21.0,Offensive rebound by J. Jerebko,,28-23,,
1:20.0,,,28-23,,Personal foul by C. Parsons (drawn by B. Jennings)
1:20.0,,,28-23,,R. Rondo enters the game for C. Parsons
1:20.0,,,28-23,,R. Jefferson enters the game for M. Ellis
1:20.0,,,28-23,,D. Nowitzki enters the game for C. Villanueva
1:20.0,D. Augustin enters the game for B. Jennings,,28-23,,
1:07.0,D. Augustin makes 3-pt shot from 24 ft (assist by J. Jerebko),3,31-23,,
0:56.0,Personal foul by J. Jerebko (drawn by D. Nowitzki),,31-23,,
0:56.0,A. Tolliver enters the game for J. Jerebko,,31-23,,
0:44.0,,,31-23,,D. Nowitzki misses 2-pt shot from 11 ft
0:43.0,Defensive rebound by G. Monroe,,31-23,,
0:28.0,G. Monroe misses 2-pt shot at rim,,31-23,,
0:27.0,,,31-23,,Defensive rebound by D. Nowitzki
0:06.0,,,31-26,3,D. Harris makes 3-pt shot from 24 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-26,,D. Nowitzki misses 2-pt shot from 10 ft
11:43.0,,,31-26,,Offensive rebound by G. Smith
11:38.0,,,31-26,,G. Smith misses 2-pt shot at rim (block by A. Drummond)
11:36.0,,,31-26,,Offensive rebound by R. Rondo
11:29.0,,,31-29,3,R. Jefferson makes 3-pt shot from 24 ft (assist by R. Rondo)
11:12.0,J. Meeks misses 3-pt shot from 24 ft,,31-29,,
11:11.0,,,31-29,,Defensive rebound by D. Nowitzki
10:56.0,,,31-31,2,R. Rondo makes 2-pt shot at rim (assist by D. Nowitzki)
10:41.0,,,31-31,,Personal foul by R. Rondo (drawn by J. Meeks)
10:35.0,,,31-31,,Shooting block foul by G. Smith (drawn by D. Augustin)
10:35.0,D. Augustin misses free throw 1 of 2,,31-31,,
10:35.0,Offensive rebound by Team,,31-31,,
10:35.0,D. Augustin makes free throw 2 of 2,1,32-31,,
10:24.0,Violation by A. Drummond (kicked ball),,32-31,,
10:13.0,,,32-31,,Offensive foul by J. Barea
10:13.0,,,32-31,,Turnover by J. Barea (offensive foul)
10:00.0,D. Augustin misses 2-pt shot from 21 ft,,32-31,,
10:00.0,,,32-31,,Defensive rebound by G. Smith
10:00.0,Loose ball foul by A. Drummond (drawn by G. Smith),,32-31,,
9:44.0,,,32-31,,Turnover by R. Rondo (bad pass; steal by D. Augustin)
9:41.0,D. Augustin misses 2-pt shot at rim,,32-31,,
9:40.0,,,32-31,,Defensive rebound by D. Nowitzki
9:29.0,,,32-31,,R. Jefferson misses 2-pt shot from 20 ft
9:28.0,Defensive rebound by A. Drummond,,32-31,,
9:18.0,J. Meeks makes 3-pt shot from 22 ft (assist by D. Augustin),3,35-31,,
