time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (O. Porter gains possession),,,,Jump ball: M. Gortat vs. N. Noel (O. Porter gains possession)
11:34.0,G. Temple misses 3-pt shot from 23 ft,,0-0,,
11:33.0,Offensive rebound by G. Temple,,0-0,,
11:26.0,N. Hilario misses 2-pt shot from 13 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by N. Noel
11:03.0,,,0-2,2,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by I. Canaan)
10:48.0,Turnover by G. Temple (bad pass; steal by L. Mbah a Moute),,0-2,,
10:44.0,,,0-4,2,I. Canaan makes 2-pt shot at rim
10:44.0,,,0-4,,Shooting foul by J. Wall (drawn by I. Canaan)
10:44.0,,,0-5,1,I. Canaan makes free throw 1 of 1
10:32.0,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall),2,2-5,,
10:10.0,Personal foul by N. Hilario (drawn by L. Mbah a Moute),,2-5,,
10:02.0,,,2-8,3,J. Richardson makes 3-pt shot from 26 ft (assist by L. Mbah a Moute)
9:47.0,N. Hilario makes 2-pt shot at rim (assist by O. Porter),2,4-8,,
9:18.0,,,4-10,2,R. Covington makes 2-pt shot from 5 ft (assist by L. Mbah a Moute)
9:13.0,J. Wall misses 2-pt shot from 16 ft,,4-10,,
9:09.0,,,4-10,,Defensive rebound by N. Noel
8:59.0,,,4-13,3,I. Canaan makes 3-pt shot from 23 ft
8:53.0,Washington full timeout,,4-13,,
8:44.0,O. Porter makes 2-pt shot from 18 ft (assist by N. Hilario),2,6-13,,
8:36.0,,,6-13,,N. Noel misses 2-pt shot from 16 ft
8:34.0,Defensive rebound by O. Porter,,6-13,,
8:25.0,Turnover by J. Wall (bad pass; steal by R. Covington),,6-13,,
8:15.0,,,6-13,,Turnover by R. Covington (palming)
7:58.0,J. Wall misses 2-pt shot from 20 ft,,6-13,,
7:56.0,,,6-13,,Defensive rebound by L. Mbah a Moute
7:51.0,,,6-13,,R. Covington misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by G. Temple,,6-13,,
7:40.0,N. Hilario misses 2-pt shot from 6 ft (block by N. Noel),,6-13,,
7:39.0,Offensive rebound by Team,,6-13,,
7:28.0,N. Hilario makes 2-pt shot from 14 ft (assist by O. Porter),2,8-13,,
7:05.0,,,8-16,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by N. Noel)
6:51.0,N. Hilario makes 2-pt shot from 19 ft (assist by G. Temple),2,10-16,,
6:30.0,,,10-19,3,J. Richardson makes 3-pt shot from 24 ft (assist by N. Noel)
6:11.0,O. Porter misses 2-pt shot from 2 ft,,10-19,,
6:08.0,Offensive rebound by O. Porter,,10-19,,
6:08.0,O. Porter misses 2-pt shot at rim,,10-19,,
6:07.0,,,10-19,,Defensive rebound by R. Covington
6:02.0,,,10-19,,I. Canaan misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by M. Gortat,,10-19,,
5:54.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,12-19,,
5:54.0,,,12-19,,Philadelphia full timeout
5:54.0,,,12-19,,H. Thompson enters the game for J. Richardson
5:39.0,Personal foul by N. Hilario (drawn by L. Mbah a Moute),,12-19,,
5:39.0,D. Gooden enters the game for N. Hilario,,12-19,,
