time,Atlanta,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Horford (J. Teague gains possession),,,,Jump ball: M. Gasol vs. A. Horford (J. Teague gains possession)
11:43.0,K. Korver makes 2-pt shot from 22 ft (assist by J. Teague),2,2-0,,
11:17.0,,,2-0,,C. Lee misses 2-pt shot from 7 ft
11:14.0,Defensive rebound by Team,,2-0,,
10:57.0,A. Horford misses 2-pt shot from 19 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by J. Green
10:37.0,Jump ball: M. Gasol vs. A. Horford (K. Korver gains possession),,,,Jump ball: M. Gasol vs. A. Horford (K. Korver gains possession)
10:37.0,,,2-0,,Turnover by M. Gasol (lost ball)
10:29.0,Turnover by K. Korver (bad pass; steal by M. Conley),,2-0,,
10:21.0,,,2-0,,Z. Randolph misses 2-pt shot from 14 ft
10:20.0,Defensive rebound by A. Horford,,2-0,,
10:13.0,Turnover by J. Teague (bad pass; steal by J. Green),,2-0,,
10:08.0,,,2-0,,Shooting foul by D. Carroll (drawn by J. Green)
10:08.0,,,2-1,1,J. Green makes free throw 1 of 2
10:08.0,,,2-2,1,J. Green makes free throw 2 of 2
9:53.0,D. Carroll misses 2-pt shot at rim,,2-2,,
9:51.0,,,2-2,,Defensive rebound by M. Conley
9:36.0,,,2-4,2,M. Gasol makes 2-pt shot from 16 ft (assist by M. Conley)
9:27.0,J. Teague makes 3-pt shot from 24 ft,3,5-4,,
9:03.0,,,5-4,,Z. Randolph misses 2-pt shot from 7 ft
9:02.0,Defensive rebound by A. Horford,,5-4,,
8:52.0,A. Horford misses 2-pt shot from 19 ft,,5-4,,
8:51.0,,,5-4,,Defensive rebound by M. Conley
8:39.0,,,5-6,2,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley)
8:26.0,P. Millsap misses 3-pt shot from 25 ft,,5-6,,
8:25.0,,,5-6,,Defensive rebound by M. Gasol
8:06.0,,,5-6,,Turnover by J. Green (bad pass; steal by D. Carroll)
8:04.0,Turnover by D. Carroll (lost ball),,5-6,,
7:47.0,,,5-8,2,M. Gasol makes 2-pt shot from 10 ft
7:38.0,Turnover by J. Teague (bad pass),,5-8,,
7:29.0,,,5-8,,Offensive foul by Z. Randolph
7:29.0,,,5-8,,Turnover by Z. Randolph (offensive foul)
7:18.0,P. Millsap makes 2-pt shot from 1 ft,2,7-8,,
7:06.0,,,7-10,2,C. Lee makes 2-pt shot from 8 ft
6:42.0,A. Horford misses 2-pt shot from 14 ft,,7-10,,
6:41.0,,,7-10,,Defensive rebound by Z. Randolph
6:21.0,,,7-10,,J. Green misses 2-pt shot from 6 ft
6:20.0,Defensive rebound by J. Teague,,7-10,,
6:13.0,D. Carroll misses 3-pt shot from 23 ft,,7-10,,
6:12.0,,,7-10,,Defensive rebound by Z. Randolph
6:01.0,,,7-10,,M. Gasol misses 2-pt shot at rim
5:58.0,Defensive rebound by P. Millsap,,7-10,,
5:52.0,K. Korver misses 3-pt shot from 23 ft,,7-10,,
5:51.0,,,7-10,,Defensive rebound by Z. Randolph
5:41.0,,,7-10,,Shooting foul by P. Millsap (drawn by M. Conley)
5:41.0,,,7-10,,Memphis full timeout
5:41.0,K. Bazemore enters the game for A. Horford,,7-10,,
5:41.0,P. Antic enters the game for K. Korver,,7-10,,
5:41.0,,,7-11,1,M. Conley makes free throw 1 of 2
5:41.0,,,7-12,1,M. Conley makes free throw 2 of 2
5:20.0,Turnover by P. Millsap (traveling),,7-12,,
5:07.0,,,7-12,,M. Conley misses 3-pt shot from 25 ft
5:06.0,,,7-12,,Offensive rebound by Z. Randolph
4:50.0,,,7-14,2,Z. Randolph makes 2-pt shot from 8 ft
4:30.0,P. Antic misses 3-pt shot from 25 ft,,7-14,,
4:29.0,,,7-14,,Defensive rebound by M. Gasol
4:15.0,,,7-16,2,C. Lee makes 2-pt shot from 10 ft
3:56.0,,,7-16,,Personal foul by M. Gasol (drawn by J. Teague)
3:56.0,,,7-16,,B. Udrih enters the game for M. Conley
3:56.0,,,7-16,,T. Allen enters the game for J. Green
3:56.0,D. Schroder enters the game for J. Teague,,7-16,,
3:56.0,M. Scott enters the game for P. Millsap,,7-16,,
3:42.0,D. Schroder makes 2-pt shot at rim,2,9-16,,
3:25.0,,,9-16,,T. Allen misses 2-pt shot from 6 ft
3:24.0,,,9-16,,Offensive rebound by Z. Randolph
3:22.0,,,9-16,,Z. Randolph misses 2-pt shot at rim
3:21.0,Defensive rebound by K. Bazemore,,9-16,,
3:14.0,K. Bazemore makes 2-pt shot from 7 ft (assist by M. Scott),2,11-16,,
2:50.0,,,11-18,2,T. Allen makes 2-pt shot at rim (assist by B. Udrih)
2:45.0,Atlanta full timeout,,11-18,,
2:45.0,,,11-18,,K. Koufos enters the game for M. Gasol
