time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (O. Asik gains possession),,,,Jump ball: A. Davis vs. M. Gasol (O. Asik gains possession)
11:44.0,,,0-0,,Shooting foul by M. Conley (drawn by J. Holiday)
11:44.0,,,0-1,1,J. Holiday makes free throw 1 of 2
11:44.0,,,0-2,1,J. Holiday makes free throw 2 of 2
11:26.0,Turnover by T. Allen (offensive goaltending),,0-2,,
11:10.0,,,0-4,2,O. Asik makes 2-pt shot at rim (assist by A. Davis)
10:43.0,T. Allen misses 2-pt shot from 2 ft (block by D. Cunningham),,0-4,,
10:42.0,,,0-4,,Defensive rebound by E. Gordon
10:34.0,,,0-7,3,J. Holiday makes 3-pt shot from 23 ft (assist by E. Gordon)
10:18.0,M. Gasol misses 2-pt shot from 16 ft,,0-7,,
10:17.0,,,0-7,,Defensive rebound by O. Asik
10:09.0,,,0-7,,Shooting foul by M. Gasol (drawn by O. Asik)
10:09.0,,,0-8,1,O. Asik makes free throw 1 of 2
10:09.0,,,0-9,1,O. Asik makes free throw 2 of 2
9:52.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,2-9,,
9:30.0,,,2-9,,J. Holiday misses 2-pt shot from 6 ft
9:29.0,,,2-9,,Offensive rebound by O. Asik
9:29.0,,,2-11,2,O. Asik makes 2-pt shot from 1 ft
9:14.0,Shooting foul by A. Davis (drawn by Z. Randolph),,2-11,,
9:14.0,Z. Randolph makes free throw 1 of 2,1,3-11,,
9:14.0,Z. Randolph makes free throw 2 of 2,1,4-11,,
9:03.0,,,4-13,2,E. Gordon makes 2-pt shot from 21 ft
8:52.0,M. Gasol misses 2-pt shot from 18 ft,,4-13,,
8:51.0,Offensive rebound by C. Lee,,4-13,,
8:45.0,Turnover by C. Lee (lost ball; steal by J. Holiday),,4-13,,
8:34.0,,,4-13,,E. Gordon misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by M. Conley,,4-13,,
8:28.0,M. Conley makes 2-pt shot from 2 ft,2,6-13,,
8:12.0,,,6-13,,A. Davis misses 2-pt shot from 19 ft
8:11.0,Defensive rebound by M. Conley,,6-13,,
8:02.0,,,6-13,,Personal foul by O. Asik (drawn by M. Gasol)
7:56.0,M. Conley makes 2-pt shot from 11 ft,2,8-13,,
7:41.0,,,8-13,,D. Cunningham misses 2-pt shot from 17 ft
7:40.0,Defensive rebound by M. Conley,,8-13,,
7:30.0,Z. Randolph misses 2-pt shot from 4 ft (block by O. Asik),,8-13,,
7:29.0,,,8-13,,Defensive rebound by D. Cunningham
