time,San Antonio,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Hill (T. Parker gains possession),,,,Jump ball: T. Duncan vs. J. Hill (T. Parker gains possession)
11:47.0,T. Duncan misses 2-pt shot from 1 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by J. Hill
11:23.0,,,0-2,2,J. Lin makes 2-pt shot at rim
10:56.0,T. Parker misses 2-pt shot from 8 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by J. Hill
10:36.0,,,0-4,2,C. Boozer makes 2-pt shot from 1 ft
10:20.0,D. Green misses 2-pt shot from 1 ft (block by K. Bryant),,0-4,,
10:17.0,,,0-4,,Defensive rebound by K. Bryant
10:12.0,,,0-4,,C. Boozer misses 2-pt shot from 11 ft
10:10.0,Defensive rebound by M. Bonner,,0-4,,
10:00.0,Turnover by K. Leonard (bad pass; steal by K. Bryant),,0-4,,
9:42.0,,,0-4,,J. Hill misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by T. Duncan,,0-4,,
9:34.0,T. Parker makes 2-pt shot from 1 ft,2,2-4,,
9:16.0,,,2-4,,C. Boozer misses 2-pt shot from 15 ft
9:15.0,Defensive rebound by M. Bonner,,2-4,,
9:06.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker),2,4-4,,
8:49.0,,,4-4,,J. Hill misses 2-pt shot from 18 ft
8:46.0,Defensive rebound by T. Duncan,,4-4,,
8:34.0,Turnover by K. Leonard (offensive foul),,4-4,,
8:34.0,Offensive charge foul by K. Leonard,,4-4,,
8:19.0,,,4-4,,K. Bryant misses 2-pt shot from 13 ft
8:19.0,Defensive rebound by Team,,4-4,,
8:10.0,K. Leonard misses 2-pt shot from 2 ft (block by K. Bryant),,4-4,,
8:08.0,,,4-4,,Defensive rebound by W. Johnson
8:03.0,,,4-7,3,J. Lin makes 3-pt shot from 25 ft (assist by W. Johnson)
7:43.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Duncan),3,7-7,,
7:23.0,,,7-7,,J. Lin misses 2-pt shot from 1 ft
7:22.0,Defensive rebound by K. Leonard,,7-7,,
7:15.0,M. Bonner misses 3-pt shot from 24 ft,,7-7,,
7:13.0,,,7-7,,Defensive rebound by J. Lin
7:06.0,,,7-9,2,J. Hill makes 2-pt shot from 14 ft
6:43.0,T. Parker misses 2-pt shot from 20 ft,,7-9,,
6:42.0,,,7-9,,Defensive rebound by C. Boozer
6:34.0,,,7-9,,W. Johnson misses 2-pt shot from 18 ft
6:33.0,Defensive rebound by T. Duncan,,7-9,,
6:23.0,D. Green makes 3-pt shot from 26 ft (assist by T. Parker),3,10-9,,
6:01.0,,,10-11,2,C. Boozer makes 2-pt shot from 2 ft (assist by J. Lin)
6:01.0,San Antonio full timeout,,10-11,,
6:01.0,M. Ginobili enters the game for D. Green,,10-11,,
5:41.0,K. Leonard makes 2-pt shot at rim (assist by T. Parker),2,12-11,,
5:26.0,,,12-11,,K. Bryant misses 2-pt shot from 1 ft (block by K. Leonard)
5:21.0,Defensive rebound by K. Leonard,,12-11,,
5:17.0,M. Ginobili misses 2-pt shot from 1 ft,,12-11,,
5:16.0,,,12-11,,Defensive rebound by C. Boozer
5:12.0,,,12-11,,J. Lin misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by K. Leonard,,12-11,,
4:53.0,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili),2,14-11,,
4:40.0,,,14-13,2,C. Boozer makes 2-pt shot from 17 ft (assist by K. Bryant)
4:16.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker),3,17-13,,
3:49.0,,,17-13,,J. Hill misses 2-pt shot from 5 ft
3:48.0,Defensive rebound by T. Duncan,,17-13,,
3:42.0,Shooting foul by W. Johnson (drawn by M. Ginobili),,17-13,,
3:42.0,M. Ginobili makes free throw 1 of 2,1,18-13,,
3:42.0,C. Joseph enters the game for T. Parker,,18-13,,
3:42.0,B. Diaw enters the game for M. Bonner,,18-13,,
3:42.0,,,18-13,,E. Davis enters the game for J. Hill
3:42.0,,,18-13,,J. Clarkson enters the game for J. Lin
3:42.0,M. Ginobili makes free throw 2 of 2,1,19-13,,
3:27.0,,,19-13,,K. Bryant misses 2-pt shot from 12 ft
3:25.0,Defensive rebound by K. Leonard,,19-13,,
3:17.0,Turnover by T. Duncan (lost ball; steal by C. Boozer),,19-13,,
3:08.0,,,19-15,2,C. Boozer makes 2-pt shot from 1 ft (assist by W. Johnson)
3:07.0,Turnover by C. Joseph (lost ball),,19-15,,
3:07.0,D. Green enters the game for K. Leonard,,19-15,,
2:49.0,,,19-17,2,W. Johnson makes 2-pt shot from 18 ft (assist by C. Boozer)
2:39.0,C. Joseph makes 2-pt shot at rim (assist by M. Ginobili),2,21-17,,
2:21.0,,,21-17,,E. Davis misses 2-pt shot at rim
2:19.0,Defensive rebound by T. Duncan,,21-17,,
2:03.0,D. Green makes 3-pt shot from 24 ft (assist by M. Ginobili),3,24-17,,
1:45.0,,,24-19,2,E. Davis makes 2-pt shot from 2 ft (assist by K. Bryant)
1:33.0,T. Duncan makes 2-pt shot from 2 ft (assist by C. Joseph),2,26-19,,
1:33.0,Shooting foul by E. Davis (drawn by T. Duncan),,26-19,,
1:33.0,,,26-19,,LA Lakers full timeout
1:33.0,T. Duncan makes free throw 1 of 1,1,27-19,,
1:10.0,,,27-19,,Turnover by C. Boozer (bad pass; steal by D. Green)
0:59.0,B. Diaw misses 2-pt shot from 3 ft,,27-19,,
0:57.0,,,27-19,,Defensive rebound by E. Davis
0:48.0,,,27-19,,Turnover by J. Clarkson (lost ball; steal by B. Diaw)
0:42.0,C. Joseph misses 2-pt shot from 2 ft (block by J. Clarkson),,27-19,,
0:32.0,Offensive rebound by D. Green,,27-19,,
0:28.0,D. Green misses 2-pt shot from 2 ft,,27-19,,
0:28.0,Offensive rebound by Team,,27-19,,
0:28.0,A. Baynes enters the game for T. Duncan,,27-19,,
0:03.0,B. Diaw makes 2-pt shot from 17 ft (assist by M. Ginobili),2,29-19,,
0:01.0,,,29-19,,Shooting foul by D. Green (drawn by K. Bryant)
0:01.0,,,29-20,1,K. Bryant makes free throw 1 of 3
0:01.0,,,29-21,1,K. Bryant makes free throw 2 of 3
0:01.0,,,29-22,1,K. Bryant makes free throw 3 of 3
0:01.0,C. Joseph misses 3-pt shot from 36 ft,,29-22,,
0:00.0,Offensive rebound by Team,,29-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,29-22,,Shooting foul by D. Green (drawn by R. Kelly)
11:41.0,,,29-23,1,R. Kelly makes free throw 1 of 2
11:41.0,,,29-24,1,R. Kelly makes free throw 2 of 2
11:22.0,M. Ginobili makes 3-pt shot from 23 ft (assist by B. Diaw),3,32-24,,
11:00.0,,,32-26,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
10:44.0,M. Ginobili misses 3-pt shot from 23 ft,,32-26,,
