time,Golden State,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Hill (H. Barnes gains possession),,,,Jump ball: A. Bogut vs. J. Hill (H. Barnes gains possession)
11:37.0,K. Thompson misses 2-pt shot from 18 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Lin
11:22.0,,,0-0,,C. Boozer misses 2-pt shot from 3 ft
11:20.0,,,0-0,,Offensive rebound by J. Hill
11:20.0,,,0-2,2,J. Hill makes 2-pt shot from 1 ft
11:14.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,2-2,,
10:59.0,,,2-2,,J. Hill misses 2-pt shot from 19 ft
10:58.0,,,2-2,,Offensive rebound by W. Johnson
10:50.0,,,2-2,,K. Bryant misses 3-pt shot from 27 ft
10:48.0,Defensive rebound by K. Thompson,,2-2,,
10:35.0,A. Bogut makes 2-pt shot from 2 ft (assist by H. Barnes),2,4-2,,
10:19.0,,,4-4,2,K. Bryant makes 2-pt shot from 21 ft (assist by C. Boozer)
10:04.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,6-4,,
9:46.0,,,6-4,,K. Bryant misses 2-pt shot from 22 ft
9:45.0,Defensive rebound by D. Green,,6-4,,
9:38.0,S. Curry misses 2-pt shot from 22 ft,,6-4,,
9:37.0,,,6-4,,Defensive rebound by K. Bryant
9:29.0,,,6-4,,J. Hill misses 2-pt shot from 13 ft
9:27.0,Defensive rebound by D. Green,,6-4,,
9:23.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,8-4,,
9:23.0,Shooting foul by K. Bryant (drawn by K. Thompson),,8-4,,
9:23.0,K. Thompson makes free throw 1 of 1,1,9-4,,
9:08.0,,,9-4,,J. Lin misses 2-pt shot from 15 ft
9:06.0,Defensive rebound by D. Green,,9-4,,
9:03.0,H. Barnes misses 2-pt shot from 3 ft,,9-4,,
8:59.0,,,9-4,,Defensive rebound by C. Boozer
8:51.0,,,9-6,2,K. Bryant makes 2-pt shot from 17 ft
8:40.0,A. Bogut makes 2-pt shot from 4 ft (assist by S. Curry),2,11-6,,
8:27.0,,,11-6,,K. Bryant misses 2-pt shot from 9 ft (block by K. Thompson)
8:25.0,Defensive rebound by A. Bogut,,11-6,,
8:21.0,Shooting foul by C. Boozer (drawn by K. Thompson),,11-6,,
8:21.0,K. Thompson makes free throw 1 of 2,1,12-6,,
8:21.0,K. Thompson makes free throw 2 of 2,1,13-6,,
8:14.0,,,13-6,,W. Johnson misses 3-pt shot from 27 ft
8:14.0,,,13-6,,Offensive rebound by Team
8:12.0,,,13-6,,C. Boozer misses 2-pt shot from 17 ft
8:11.0,Defensive rebound by A. Bogut,,13-6,,
8:06.0,D. Green makes 2-pt shot from 3 ft (assist by S. Curry),2,15-6,,
7:45.0,,,15-6,,C. Boozer misses 2-pt shot from 2 ft
7:43.0,,,15-6,,Offensive rebound by C. Boozer
7:42.0,,,15-6,,C. Boozer misses 2-pt shot from 1 ft (block by A. Bogut)
7:40.0,Defensive rebound by K. Thompson,,15-6,,
7:36.0,K. Thompson misses 3-pt shot from 28 ft,,15-6,,
7:34.0,,,15-6,,Defensive rebound by K. Bryant
7:24.0,,,15-8,2,K. Bryant makes 2-pt shot from 16 ft
7:08.0,A. Bogut makes 2-pt shot from 8 ft (assist by S. Curry),2,17-8,,
6:49.0,,,17-10,2,J. Hill makes 2-pt shot from 7 ft (assist by K. Bryant)
6:44.0,Turnover by S. Curry (bad pass),,17-10,,
6:30.0,,,17-10,,W. Johnson misses 2-pt shot from 16 ft
6:29.0,Defensive rebound by A. Bogut,,17-10,,
6:19.0,A. Bogut misses 2-pt shot from 2 ft,,17-10,,
6:17.0,,,17-10,,Defensive rebound by J. Hill
6:11.0,,,17-12,2,K. Bryant makes 2-pt shot from 19 ft
5:58.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Green),3,20-12,,
5:48.0,,,20-12,,LA Lakers full timeout
5:48.0,,,20-12,,E. Davis enters the game for C. Boozer
5:48.0,A. Iguodala enters the game for H. Barnes,,20-12,,
5:41.0,,,20-12,,K. Bryant misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by A. Bogut,,20-12,,
5:29.0,A. Bogut makes 2-pt shot from 4 ft (assist by S. Curry),2,22-12,,
5:16.0,,,22-12,,E. Davis misses 2-pt shot from 10 ft
5:11.0,Defensive rebound by A. Bogut,,22-12,,
5:01.0,Shooting foul by J. Lin (drawn by K. Thompson),,22-12,,
5:01.0,K. Thompson makes free throw 1 of 2,1,23-12,,
5:01.0,K. Thompson makes free throw 2 of 2,1,24-12,,
4:45.0,,,24-12,,Turnover by K. Bryant (bad pass)
4:35.0,S. Curry makes 3-pt shot from 26 ft,3,27-12,,
4:18.0,,,27-12,,W. Johnson misses 2-pt shot from 21 ft
4:16.0,Defensive rebound by A. Bogut,,27-12,,
4:04.0,A. Bogut makes 2-pt shot from 5 ft,2,29-12,,
3:53.0,,,29-12,,Shooting foul by D. Green (drawn by K. Bryant)
3:53.0,,,29-12,,K. Bryant misses free throw 1 of 2
3:53.0,,,29-12,,Offensive rebound by Team
3:53.0,L. Barbosa enters the game for K. Thompson,,29-12,,
3:53.0,,,29-12,,R. Price enters the game for J. Lin
3:53.0,,,29-12,,R. Kelly enters the game for J. Hill
3:53.0,,,29-13,1,K. Bryant makes free throw 2 of 2
3:30.0,S. Curry misses 2-pt shot from 11 ft,,29-13,,
3:27.0,,,29-13,,Defensive rebound by R. Kelly
3:10.0,,,29-13,,W. Johnson misses 2-pt shot from 17 ft
3:09.0,Defensive rebound by A. Bogut,,29-13,,
2:49.0,A. Iguodala makes 3-pt shot from 22 ft (assist by L. Barbosa),3,32-13,,
2:28.0,,,32-15,2,K. Bryant makes 2-pt shot from 17 ft
2:16.0,,,32-15,,Personal foul by W. Johnson (drawn by A. Iguodala)
2:16.0,Golden State full timeout,,32-15,,
2:16.0,,,32-15,,J. Clarkson enters the game for W. Johnson
2:16.0,M. Speights enters the game for D. Green,,32-15,,
2:16.0,H. Barnes enters the game for A. Bogut,,32-15,,
2:01.0,M. Speights misses 2-pt shot from 8 ft,,32-15,,
1:59.0,,,32-15,,Defensive rebound by K. Bryant
1:48.0,,,32-18,3,K. Bryant makes 3-pt shot from 24 ft
1:32.0,M. Speights misses 2-pt shot from 21 ft,,32-18,,
1:31.0,,,32-18,,Defensive rebound by E. Davis
1:22.0,,,32-18,,K. Bryant misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by A. Iguodala,,32-18,,
1:12.0,H. Barnes misses 3-pt shot from 25 ft,,32-18,,
1:11.0,Offensive rebound by A. Iguodala,,32-18,,
1:07.0,S. Curry misses 3-pt shot from 23 ft,,32-18,,
1:06.0,Offensive rebound by M. Speights,,32-18,,
1:04.0,M. Speights makes 2-pt shot from 3 ft,2,34-18,,
0:39.0,,,34-18,,K. Bryant misses 2-pt shot from 13 ft
0:37.0,,,34-18,,Offensive rebound by E. Davis
0:35.0,,,34-21,3,K. Bryant makes 3-pt shot from 26 ft
0:11.0,A. Iguodala misses 3-pt shot from 26 ft,,34-21,,
0:10.0,,,34-21,,Defensive rebound by J. Clarkson
0:00.0,,,34-23,2,E. Davis makes 2-pt shot at rim (assist by K. Bryant)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,,,34-23,,R. Kelly misses 2-pt shot from 6 ft
11:52.0,,,34-23,,Offensive rebound by R. Kelly
11:52.0,,,34-23,,Shooting foul by H. Barnes (drawn by R. Kelly)
11:52.0,,,34-24,1,R. Kelly makes free throw 1 of 2
11:52.0,,,34-25,1,R. Kelly makes free throw 2 of 2
11:32.0,L. Barbosa misses 2-pt shot from 2 ft (block by E. Davis),,34-25,,
11:30.0,Offensive rebound by Team,,34-25,,
11:28.0,H. Barnes misses 2-pt shot from 11 ft,,34-25,,
11:26.0,,,34-25,,Defensive rebound by R. Kelly
