time,Boston,pts.away,score,pts.home,Philadelphia
4:14.0,J. Green misses free throw 1 of 2,,14-18,,
4:14.0,Offensive rebound by Team,,14-18,,
4:14.0,J. Green makes free throw 2 of 2,1,15-18,,
3:54.0,,,15-18,,H. Sims misses 2-pt shot from 10 ft
3:53.0,Defensive rebound by E. Turner,,15-18,,
3:42.0,Turnover by K. Olynyk (step out of bounds),,15-18,,
3:30.0,,,15-18,,K. McDaniels misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by E. Turner,,15-18,,
3:17.0,A. Bradley misses 3-pt shot from 25 ft,,15-18,,
3:15.0,,,15-18,,Defensive rebound by T. Wroten
3:07.0,,,15-18,,J. Grant misses 2-pt shot from 2 ft
3:04.0,,,15-18,,Offensive rebound by K. McDaniels
3:04.0,,,15-20,2,K. McDaniels makes 2-pt shot at rim
2:42.0,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner),2,17-20,,
2:42.0,Shooting foul by H. Sims (drawn by A. Bradley),,17-20,,
2:42.0,,,17-20,,A. Shved enters the game for M. Carter-Williams
2:42.0,G. Wallace enters the game for J. Green,,17-20,,
2:42.0,A. Bradley misses free throw 1 of 1,,17-20,,
2:41.0,,,17-20,,Defensive rebound by H. Sims
2:22.0,,,17-20,,K. McDaniels misses 3-pt shot from 25 ft
2:20.0,,,17-20,,Offensive rebound by T. Wroten
2:17.0,,,17-20,,A. Shved misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by K. Olynyk,,17-20,,
2:08.0,K. Olynyk makes 3-pt shot from 25 ft,3,20-20,,
1:45.0,,,20-20,,Turnover by T. Wroten (bad pass; steal by K. Olynyk)
1:42.0,K. Olynyk misses 3-pt shot from 24 ft,,20-20,,
1:40.0,Offensive rebound by B. Bass,,20-20,,
1:37.0,K. Olynyk makes 3-pt shot from 25 ft (assist by B. Bass),3,23-20,,
1:13.0,,,23-20,,A. Shved misses 2-pt shot from 2 ft (block by K. Olynyk)
1:13.0,,,23-20,,Offensive rebound by Team
1:12.0,,,23-20,,Turnover by T. Wroten (bad pass; steal by G. Wallace)
1:08.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,25-20,,
1:08.0,,,25-20,,Philadelphia full timeout
0:53.0,,,25-22,2,A. Shved makes 2-pt shot from 1 ft
0:53.0,,,25-22,,Shooting foul by K. Olynyk (drawn by A. Shved)
0:53.0,,,25-23,1,A. Shved makes free throw 1 of 1
0:38.0,B. Bass misses 2-pt shot from 16 ft,,25-23,,
0:36.0,,,25-23,,Defensive rebound by A. Shved
0:36.0,Personal foul by G. Wallace (drawn by A. Shved),,25-23,,
