time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession)
11:41.0,,,0-0,,K. Anderson misses 2-pt shot from 14 ft
11:40.0,Defensive rebound by D. Jordan,,0-0,,
11:26.0,Turnover by C. Paul (lost ball; steal by T. Parker),,0-0,,
11:22.0,,,0-0,,Shooting foul by C. Paul (drawn by T. Parker)
11:22.0,,,0-1,1,T. Parker makes free throw 1 of 2
11:22.0,,,0-2,1,T. Parker makes free throw 2 of 2
11:09.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,3-2,,
11:07.0,,,3-2,,San Antonio full timeout
10:45.0,,,3-4,2,T. Splitter makes 2-pt shot from 6 ft
10:27.0,B. Griffin misses 2-pt shot from 11 ft,,3-4,,
10:24.0,Offensive rebound by D. Jordan,,3-4,,
10:17.0,Shooting foul by T. Splitter (drawn by J. Redick),,3-4,,
10:17.0,J. Redick misses free throw 1 of 2,,3-4,,
10:17.0,Offensive rebound by Team,,3-4,,
10:17.0,J. Redick makes free throw 2 of 2,1,4-4,,
10:01.0,,,4-6,2,T. Parker makes 2-pt shot from 11 ft (assist by D. Green)
9:53.0,C. Paul makes 2-pt shot from 12 ft,2,6-6,,
9:37.0,,,6-6,,T. Duncan misses 2-pt shot from 11 ft
9:36.0,Defensive rebound by C. Paul,,6-6,,
9:25.0,M. Barnes misses 3-pt shot from 22 ft,,6-6,,
9:24.0,Offensive rebound by D. Jordan,,6-6,,
9:16.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,9-6,,
9:08.0,,,9-6,,T. Parker misses 2-pt shot from 13 ft
9:06.0,Defensive rebound by M. Barnes,,9-6,,
8:52.0,J. Redick makes 3-pt shot from 22 ft (assist by M. Barnes),3,12-6,,
8:52.0,Shooting foul by K. Anderson (drawn by J. Redick),,12-6,,
8:52.0,J. Redick makes free throw 1 of 1,1,13-6,,
8:38.0,,,13-8,2,T. Parker makes 2-pt shot from 5 ft
8:31.0,M. Barnes misses 2-pt shot from 3 ft (block by D. Green),,13-8,,
8:30.0,Offensive rebound by J. Redick,,13-8,,
8:27.0,C. Paul makes 3-pt shot from 23 ft (assist by J. Redick),3,16-8,,
8:08.0,,,16-10,2,T. Duncan makes 2-pt shot at rim (assist by T. Splitter)
7:50.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,18-10,,
7:33.0,,,18-10,,T. Duncan misses 2-pt shot from 1 ft
7:32.0,Defensive rebound by D. Jordan,,18-10,,
7:23.0,J. Redick misses 2-pt shot from 19 ft,,18-10,,
7:22.0,,,18-10,,Defensive rebound by T. Splitter
7:08.0,,,18-12,2,K. Anderson makes 2-pt shot at rim (assist by T. Splitter)
6:51.0,B. Griffin makes 2-pt shot from 1 ft,2,20-12,,
