time,Utah,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. T. Mozgov (K. Love gains possession),,,,Jump ball: D. Favors vs. T. Mozgov (K. Love gains possession)
11:43.0,,,0-0,,J. Smith misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by T. Burke,,0-0,,
11:23.0,D. Favors misses 2-pt shot from 14 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by L. James
11:13.0,,,0-2,2,K. Irving makes 2-pt shot from 11 ft
10:52.0,E. Kanter misses 2-pt shot from 17 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by T. Mozgov
10:44.0,,,0-4,2,K. Irving makes 2-pt shot at rim (assist by L. James)
10:28.0,D. Favors makes 2-pt shot from 14 ft (assist by T. Burke),2,2-4,,
10:07.0,,,2-4,,K. Love misses 2-pt shot from 16 ft
10:06.0,Defensive rebound by E. Kanter,,2-4,,
9:57.0,G. Hayward makes 2-pt shot from 11 ft,2,4-4,,
9:39.0,,,4-4,,J. Smith misses 3-pt shot from 25 ft
9:37.0,,,4-4,,Offensive rebound by L. James
9:34.0,,,4-7,3,K. Love makes 3-pt shot from 22 ft (assist by L. James)
9:19.0,T. Burke misses 3-pt shot from 23 ft,,4-7,,
9:18.0,,,4-7,,Defensive rebound by J. Smith
9:12.0,,,4-7,,Turnover by L. James (bad pass; steal by D. Favors)
8:55.0,T. Burke misses 2-pt shot from 6 ft,,4-7,,
8:53.0,Offensive rebound by G. Hayward,,4-7,,
8:48.0,T. Burke misses 2-pt shot from 10 ft,,4-7,,
8:46.0,,,4-7,,Defensive rebound by L. James
8:40.0,,,4-7,,K. Love misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by E. Kanter,,4-7,,
8:27.0,E. Kanter misses 2-pt shot from 1 ft (block by T. Mozgov),,4-7,,
8:26.0,Offensive rebound by Team,,4-7,,
8:18.0,J. Ingles misses 3-pt shot from 24 ft,,4-7,,
8:18.0,,,4-7,,Defensive rebound by J. Smith
8:09.0,,,4-9,2,L. James makes 2-pt shot at rim (assist by J. Smith)
7:58.0,Shooting foul by T. Mozgov (drawn by E. Kanter),,4-9,,
7:58.0,E. Kanter makes free throw 1 of 2,1,5-9,,
7:58.0,E. Kanter makes free throw 2 of 2,1,6-9,,
7:47.0,,,6-9,,L. James misses 2-pt shot from 15 ft
7:45.0,Defensive rebound by E. Kanter,,6-9,,
7:32.0,D. Favors makes 2-pt shot from 11 ft,2,8-9,,
7:07.0,,,8-9,,Turnover by J. Smith (bad pass; steal by T. Burke)
6:58.0,J. Ingles misses 3-pt shot from 25 ft,,8-9,,
6:57.0,,,8-9,,Defensive rebound by K. Love
6:49.0,,,8-11,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
6:30.0,Turnover by G. Hayward (bad pass),,8-11,,
6:13.0,,,8-11,,Shooting foul by J. Ingles (drawn by K. Love)
6:13.0,,,8-12,1,K. Love makes free throw 1 of 2
6:13.0,,,8-13,1,K. Love makes free throw 2 of 2
6:13.0,Utah full timeout,,8-13,,
6:13.0,R. Gobert enters the game for E. Kanter,,8-13,,
5:58.0,D. Favors makes 2-pt shot from 6 ft (assist by R. Gobert),2,10-13,,
5:47.0,,,10-13,,Turnover by K. Love (bad pass; steal by G. Hayward)
5:39.0,G. Hayward misses 2-pt shot from 6 ft,,10-13,,
5:37.0,Offensive rebound by R. Gobert,,10-13,,
5:35.0,R. Gobert makes 2-pt shot at rim,2,12-13,,
5:17.0,,,12-13,,L. James misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by J. Ingles,,12-13,,
5:10.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,15-13,,
4:51.0,,,15-16,3,K. Irving makes 3-pt shot from 24 ft
4:42.0,T. Burke makes 2-pt shot from 1 ft,2,17-16,,
4:35.0,,,17-18,2,L. James makes 2-pt shot at rim
4:35.0,,,17-18,,Shooting foul by D. Favors (drawn by L. James)
4:35.0,,,17-18,,T. Thompson enters the game for T. Mozgov
4:35.0,,,17-19,1,L. James makes free throw 1 of 1
4:22.0,Turnover by T. Burke (bad pass; steal by J. Smith),,17-19,,
4:01.0,,,17-19,,Shooting foul by R. Gobert (drawn by L. James)
4:01.0,,,17-20,1,L. James makes free throw 1 of 2
4:01.0,D. Exum enters the game for T. Burke,,17-20,,
4:01.0,,,17-21,1,L. James makes free throw 2 of 2
3:49.0,G. Hayward misses 3-pt shot from 24 ft,,17-21,,
3:48.0,,,17-21,,Defensive rebound by L. James
3:33.0,,,17-21,,K. Love misses 3-pt shot from 22 ft
3:32.0,Defensive rebound by J. Ingles,,17-21,,
3:13.0,G. Hayward misses 2-pt shot from 4 ft,,17-21,,
3:10.0,Offensive rebound by G. Hayward,,17-21,,
3:08.0,Turnover by G. Hayward (lost ball; steal by L. James),,17-21,,
3:07.0,,,17-21,,Shooting foul by D. Exum (drawn by J. Smith)
3:07.0,,,17-22,1,J. Smith makes free throw 1 of 2
3:07.0,,,17-22,,S. Marion enters the game for L. James
3:07.0,,,17-22,,J. Smith misses free throw 2 of 2
3:07.0,Defensive rebound by R. Gobert,,17-22,,
2:56.0,D. Favors misses 2-pt shot from 14 ft,,17-22,,
2:55.0,,,17-22,,Defensive rebound by J. Smith
2:41.0,,,17-24,2,K. Love makes 2-pt shot from 14 ft
2:27.0,Turnover by R. Gobert (lost ball; steal by K. Love),,17-24,,
2:19.0,,,17-24,,Shooting foul by D. Favors (drawn by K. Love)
2:19.0,,,17-24,,Cleveland full timeout
2:19.0,T. Booker enters the game for D. Favors,,17-24,,
2:19.0,E. Millsap enters the game for J. Ingles,,17-24,,
2:19.0,,,17-25,1,K. Love makes free throw 1 of 2
2:19.0,,,17-26,1,K. Love makes free throw 2 of 2
1:56.0,Shooting foul by K. Irving (drawn by G. Hayward),,17-26,,
1:56.0,G. Hayward makes free throw 1 of 2,1,18-26,,
1:56.0,,,18-26,,T. Mozgov enters the game for K. Love
1:56.0,G. Hayward makes free throw 2 of 2,1,19-26,,
1:32.0,,,19-26,,Shooting foul by E. Millsap (drawn by J. Smith)
1:32.0,,,19-27,1,J. Smith makes free throw 1 of 2
1:32.0,,,19-27,,M. Dellavedova enters the game for K. Irving
1:32.0,,,19-28,1,J. Smith makes free throw 2 of 2
1:19.0,E. Williams enters the game for D. Exum,,19-28,,
1:11.0,E. Williams misses 2-pt shot from 16 ft,,19-28,,
1:10.0,,,19-28,,Defensive rebound by S. Marion
1:03.0,,,19-31,3,J. Smith makes 3-pt shot from 26 ft (assist by M. Dellavedova)
0:42.0,T. Booker misses 2-pt shot from 14 ft,,19-31,,
0:40.0,,,19-31,,Defensive rebound by M. Dellavedova
0:30.0,,,19-31,,J. Smith misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by T. Booker,,19-31,,
0:10.0,Shooting foul by J. Smith (drawn by E. Williams),,19-31,,
0:10.0,E. Williams makes free throw 1 of 2,1,20-31,,
0:10.0,,,20-31,,L. James enters the game for S. Marion
0:10.0,,,20-31,,K. Love enters the game for T. Thompson
0:10.0,E. Williams misses free throw 2 of 2,,20-31,,
0:08.0,,,20-31,,Defensive rebound by K. Love
0:02.0,,,20-31,,L. James misses 2-pt shot from 8 ft
