time,Oklahoma City,pts.away,score,pts.home,Milwaukee
5:04.0,,,68-77,,Offensive rebound by Team
5:02.0,Loose ball foul by R. Jackson (drawn by E. Ilyasova),,68-77,,
4:43.0,,,68-77,,B. Knight misses 2-pt shot at rim
4:42.0,Defensive rebound by S. Ibaka,,68-77,,
4:33.0,,,68-77,,Personal foul by E. Ilyasova (drawn by R. Jackson)
4:24.0,S. Ibaka misses 3-pt shot from 26 ft,,68-77,,
4:23.0,,,68-77,,Defensive rebound by J. Bayless
4:04.0,,,68-79,2,O. Mayo makes 2-pt shot from 17 ft (assist by B. Knight)
3:54.0,R. Jackson makes 2-pt shot at rim,2,70-79,,
3:38.0,,,70-79,,O. Mayo misses 3-pt shot from 26 ft
3:36.0,,,70-79,,Offensive rebound by L. Sanders
3:36.0,,,70-81,2,L. Sanders makes 2-pt shot at rim
3:20.0,J. Lamb misses 2-pt shot from 15 ft,,70-81,,
3:19.0,,,70-81,,Defensive rebound by B. Knight
3:02.0,,,70-81,,O. Mayo misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by R. Jackson,,70-81,,
2:42.0,I. Smith misses 2-pt shot from 3 ft,,70-81,,
2:40.0,,,70-81,,Defensive rebound by J. Bayless
2:35.0,,,70-81,,Milwaukee full timeout
2:35.0,,,70-81,,G. Antetokounmpo enters the game for E. Ilyasova
2:26.0,,,70-81,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by S. Ibaka)
2:26.0,,,70-81,,Offensive rebound by Team
2:22.0,,,70-81,,O. Mayo misses 2-pt shot from 16 ft
2:21.0,Defensive rebound by I. Smith,,70-81,,
1:59.0,I. Smith makes 3-pt shot from 26 ft (assist by S. Ibaka),3,73-81,,
1:43.0,,,73-81,,Shooting foul by J. Lamb (drawn by B. Knight)
1:43.0,,,73-82,1,B. Knight makes free throw 1 of 2
1:43.0,,,73-82,,B. Knight misses free throw 2 of 2
1:42.0,Defensive rebound by S. Adams,,73-82,,
1:42.0,Oklahoma City full timeout,,73-82,,
1:34.0,I. Smith misses 3-pt shot from 24 ft,,73-82,,
1:25.0,Offensive rebound by I. Smith,,73-82,,
1:25.0,R. Jackson makes 2-pt shot from 1 ft,2,75-82,,
1:25.0,Shooting foul by L. Sanders (drawn by R. Jackson),,75-82,,
1:25.0,R. Jackson makes free throw 1 of 1,1,76-82,,
1:02.0,,,76-82,,Turnover by B. Knight (lost ball; steal by I. Smith)
0:58.0,Turnover by R. Jackson (bad pass; steal by J. Bayless),,76-82,,
0:39.0,,,76-82,,J. Bayless misses 2-pt shot from 17 ft
0:38.0,Defensive rebound by S. Adams,,76-82,,
0:38.0,Oklahoma City full timeout,,76-82,,
0:32.0,I. Smith misses 2-pt shot from 7 ft,,76-82,,
0:32.0,Offensive rebound by Team,,76-82,,
0:32.0,,,76-82,,Loose ball foul by O. Mayo (drawn by S. Ibaka)
0:32.0,S. Ibaka makes free throw 1 of 2,1,77-82,,
0:32.0,S. Ibaka makes free throw 2 of 2,1,78-82,,
0:29.0,Personal take foul by J. Lamb (drawn by O. Mayo),,78-82,,
0:29.0,,,78-82,,O. Mayo misses free throw 1 of 2
0:29.0,,,78-82,,Offensive rebound by Team
0:29.0,,,78-83,1,O. Mayo makes free throw 2 of 2
0:29.0,Oklahoma City full timeout,,78-83,,
0:21.0,R. Jackson misses 3-pt shot from 25 ft,,78-83,,
0:20.0,,,78-83,,Defensive rebound by G. Antetokounmpo
0:16.0,Personal take foul by I. Smith (drawn by B. Knight),,78-83,,
0:16.0,,,78-84,1,B. Knight makes free throw 1 of 2
0:16.0,,,78-85,1,B. Knight makes free throw 2 of 2
0:07.0,S. Ibaka misses 3-pt shot from 23 ft,,78-85,,
0:06.0,,,78-85,,Defensive rebound by B. Knight
0:00.0,End of 4th quarter,,,,End of 4th quarter
