time,Oklahoma City,pts.away,score,pts.home,Milwaukee
0:54.0,L. Thomas misses 2-pt shot at rim (block by G. Antetokounmpo),,18-13,,
0:54.0,Offensive rebound by Team,,18-13,,
0:54.0,J. Lamb enters the game for L. Thomas,,18-13,,
0:50.0,A. Morrow makes 2-pt shot from 9 ft,2,20-13,,
0:41.0,,,20-15,2,B. Knight makes 2-pt shot at rim
0:21.0,S. Telfair makes 2-pt shot from 6 ft,2,22-15,,
0:08.0,,,22-15,,Offensive charge foul by B. Knight
0:08.0,,,22-15,,Turnover by B. Knight (offensive foul)
0:01.0,S. Telfair misses 2-pt shot from 1 ft (block by J. Henson),,22-15,,
0:00.0,,,22-15,,Defensive rebound by G. Antetokounmpo
0:00.0,,,22-15,,O. Mayo misses 3-pt shot from 39 ft
0:00.0,,,22-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,22-15,,G. Antetokounmpo misses 2-pt shot at rim
11:35.0,Defensive rebound by K. Perkins,,22-15,,
11:23.0,,,22-15,,Def 3 sec tech foul by G. Antetokounmpo
11:23.0,A. Morrow misses technical free throw,,22-15,,
11:23.0,Offensive rebound by Team,,22-15,,
11:18.0,N. Collison misses 2-pt shot at rim (block by L. Sanders),,22-15,,
11:18.0,Offensive rebound by Team,,22-15,,
11:14.0,N. Collison misses 2-pt shot from 18 ft,,22-15,,
11:12.0,Offensive rebound by J. Lamb,,22-15,,
11:12.0,J. Lamb misses 2-pt shot at rim,,22-15,,
11:11.0,,,22-15,,Defensive rebound by N. Wolters
10:58.0,,,22-15,,G. Antetokounmpo misses 2-pt shot from 17 ft
10:58.0,,,22-15,,Offensive rebound by Team
10:58.0,R. Jackson enters the game for A. Morrow,,22-15,,
10:54.0,,,22-15,,G. Antetokounmpo misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by K. Perkins,,22-15,,
10:43.0,R. Jackson makes 3-pt shot from 26 ft (assist by S. Telfair),3,25-15,,
10:19.0,,,25-15,,Shooting foul by S. Telfair (drawn by J. Bayless)
10:19.0,,,25-16,1,J. Bayless makes free throw 1 of 2
10:19.0,,,25-17,1,J. Bayless makes free throw 2 of 2
10:03.0,K. Perkins makes 2-pt shot at rim (assist by J. Lamb),2,27-17,,
9:46.0,,,27-19,2,O. Mayo makes 2-pt shot at rim
9:30.0,Turnover by K. Perkins (lost ball),,27-19,,
9:19.0,,,27-19,,Offensive foul by L. Sanders
9:19.0,,,27-19,,Turnover by L. Sanders (offensive foul)
9:04.0,R. Jackson makes 2-pt shot at rim,2,29-19,,
8:46.0,,,29-21,2,J. Bayless makes 2-pt shot at rim
8:31.0,N. Collison misses 3-pt shot from 27 ft,,29-21,,
8:29.0,,,29-21,,Defensive rebound by L. Sanders
8:18.0,,,29-23,2,G. Antetokounmpo makes 2-pt shot at rim
8:11.0,Oklahoma City full timeout,,29-23,,
8:11.0,S. Ibaka enters the game for K. Perkins,,29-23,,
8:11.0,,,29-23,,Z. Pachulia enters the game for L. Sanders
8:11.0,,,29-23,,J. Dudley enters the game for O. Mayo
7:51.0,S. Telfair misses 3-pt shot from 26 ft,,29-23,,
7:50.0,,,29-23,,Defensive rebound by J. Bayless
7:31.0,,,29-23,,G. Antetokounmpo misses 2-pt shot from 17 ft
7:29.0,,,29-23,,Offensive rebound by Z. Pachulia
7:27.0,,,29-25,2,Z. Pachulia makes 2-pt shot at rim
7:14.0,S. Adams enters the game for N. Collison,,29-25,,
7:14.0,Jump ball: S. Ibaka vs. Z. Pachulia,,,,Jump ball: S. Ibaka vs. Z. Pachulia
7:12.0,Oklahoma City full timeout,,29-25,,
7:12.0,Turnover by J. Lamb (back court),,29-25,,
6:57.0,,,29-27,2,Z. Pachulia makes 2-pt shot from 9 ft (assist by J. Dudley)
6:35.0,R. Jackson misses 2-pt shot at rim,,29-27,,
6:35.0,Offensive rebound by S. Adams,,29-27,,
