time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Lopez (D. Green gains possession),,,,Jump ball: A. Bogut vs. R. Lopez (D. Green gains possession)
11:44.0,K. Thompson makes 2-pt shot from 20 ft,2,2-0,,
11:28.0,,,2-0,,D. Lillard misses 2-pt shot from 19 ft
11:27.0,Defensive rebound by K. Thompson,,2-0,,
11:21.0,D. Green misses 3-pt shot from 26 ft,,2-0,,
11:20.0,,,2-0,,Defensive rebound by D. Wright
11:10.0,,,2-0,,R. Lopez misses 2-pt shot from 15 ft
11:09.0,Defensive rebound by S. Curry,,2-0,,
11:04.0,S. Curry misses 3-pt shot from 25 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by D. Wright
10:53.0,,,2-0,,D. Lillard misses 2-pt shot from 11 ft
10:52.0,,,2-0,,Offensive rebound by R. Lopez
10:50.0,,,2-0,,R. Lopez misses 2-pt shot from 3 ft
10:49.0,Defensive rebound by A. Bogut,,2-0,,
10:40.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut),3,5-0,,
10:12.0,,,5-3,3,D. Lillard makes 3-pt shot from 28 ft (assist by A. Gee)
9:58.0,A. Bogut misses 2-pt shot from 3 ft (block by R. Lopez),,5-3,,
9:56.0,,,5-3,,Defensive rebound by D. Lillard
9:51.0,,,5-3,,D. Wright misses 2-pt shot from 4 ft (block by K. Thompson)
9:49.0,Defensive rebound by D. Green,,5-3,,
9:42.0,H. Barnes makes 3-pt shot from 25 ft (assist by K. Thompson),3,8-3,,
9:20.0,,,8-6,3,A. Afflalo makes 3-pt shot from 27 ft (assist by D. Lillard)
9:08.0,K. Thompson misses 3-pt shot from 26 ft,,8-6,,
9:06.0,,,8-6,,Defensive rebound by D. Wright
8:59.0,,,8-6,,A. Gee misses 2-pt shot from 1 ft
8:58.0,Defensive rebound by A. Bogut,,8-6,,
8:47.0,S. Curry makes 2-pt shot from 20 ft (assist by A. Bogut),2,10-6,,
8:27.0,,,10-6,,A. Afflalo misses 2-pt shot from 17 ft
8:25.0,,,10-6,,Offensive rebound by R. Lopez
8:20.0,,,10-8,2,A. Afflalo makes 2-pt shot from 12 ft (assist by R. Lopez)
8:01.0,K. Thompson misses 2-pt shot from 16 ft (block by D. Lillard),,10-8,,
8:00.0,,,10-8,,Defensive rebound by D. Lillard
7:48.0,,,10-10,2,R. Lopez makes 2-pt shot from 5 ft (assist by D. Wright)
7:39.0,S. Curry misses 2-pt shot from 2 ft,,10-10,,
7:37.0,,,10-10,,Defensive rebound by R. Lopez
7:30.0,,,10-10,,A. Afflalo misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by S. Curry,,10-10,,
7:22.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,12-10,,
6:56.0,,,12-13,3,D. Wright makes 3-pt shot from 25 ft (assist by A. Afflalo)
6:31.0,K. Thompson misses 2-pt shot from 2 ft,,12-13,,
6:29.0,Offensive rebound by A. Bogut,,12-13,,
6:29.0,A. Bogut makes 2-pt shot at rim,2,14-13,,
6:10.0,,,14-15,2,D. Wright makes 2-pt shot from 4 ft
5:55.0,Turnover by A. Bogut (bad pass; steal by D. Lillard),,14-15,,
5:44.0,,,14-17,2,A. Gee makes 2-pt shot from 2 ft
5:33.0,S. Curry makes 2-pt shot from 19 ft,2,16-17,,
5:32.0,,,16-17,,Portland full timeout
5:32.0,J. Holiday enters the game for K. Thompson,,16-17,,
5:13.0,,,16-19,2,D. Wright makes 2-pt shot from 4 ft (assist by A. Afflalo)
4:54.0,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut),2,18-19,,
4:44.0,,,18-22,3,D. Lillard makes 3-pt shot from 25 ft
4:33.0,S. Curry misses 2-pt shot from 19 ft,,18-22,,
4:33.0,,,18-22,,Defensive rebound by Team
4:33.0,,,18-22,,C. McCollum enters the game for A. Afflalo
4:33.0,,,18-22,,J. Freeland enters the game for R. Lopez
4:33.0,A. Iguodala enters the game for H. Barnes,,18-22,,
4:13.0,,,18-24,2,D. Lillard makes 2-pt shot from 14 ft
4:04.0,Turnover by A. Bogut (traveling),,18-24,,
3:47.0,,,18-24,,C. McCollum misses 3-pt shot from 23 ft
3:46.0,Defensive rebound by A. Bogut,,18-24,,
3:39.0,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala),2,20-24,,
3:20.0,,,20-26,2,A. Gee makes 2-pt shot from 1 ft
3:14.0,Offensive foul by D. Green,,20-26,,
3:14.0,Turnover by D. Green (offensive foul),,20-26,,
3:14.0,,,20-26,,A. Crabbe enters the game for A. Gee
3:14.0,,,20-26,,M. Leonard enters the game for D. Wright
3:14.0,F. Ezeli enters the game for A. Bogut,,20-26,,
2:58.0,Personal foul by S. Curry (drawn by D. Lillard),,20-26,,
2:58.0,Golden State full timeout,,20-26,,
2:58.0,,,20-26,,Portland full timeout
2:53.0,,,20-26,,Shooting foul by F. Ezeli (drawn by D. Lillard)
2:53.0,,,20-27,1,D. Lillard makes free throw 1 of 2
2:53.0,,,20-28,1,D. Lillard makes free throw 2 of 2
2:38.0,A. Iguodala misses 2-pt shot from 10 ft,,20-28,,
2:37.0,Offensive rebound by F. Ezeli,,20-28,,
2:33.0,S. Curry makes 2-pt shot from 1 ft (assist by F. Ezeli),2,22-28,,
2:23.0,,,22-28,,D. Lillard misses 3-pt shot from 25 ft
2:21.0,,,22-28,,Offensive rebound by D. Lillard
2:11.0,,,22-28,,C. McCollum misses 2-pt shot from 1 ft (block by F. Ezeli)
2:09.0,Defensive rebound by J. Holiday,,22-28,,
2:03.0,Turnover by A. Iguodala (lost ball; steal by C. McCollum),,22-28,,
2:03.0,Personal foul by J. Holiday (drawn by C. McCollum),,22-28,,
2:03.0,L. Barbosa enters the game for S. Curry,,22-28,,
1:49.0,,,22-28,,C. McCollum misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by D. Green,,22-28,,
1:43.0,Shooting foul by M. Leonard (drawn by L. Barbosa),,22-28,,
1:43.0,L. Barbosa makes free throw 1 of 2,1,23-28,,
1:43.0,H. Barnes enters the game for D. Green,,23-28,,
1:43.0,L. Barbosa makes free throw 2 of 2,1,24-28,,
1:25.0,,,24-28,,A. Crabbe misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by H. Barnes,,24-28,,
1:15.0,J. Holiday misses 3-pt shot from 23 ft,,24-28,,
1:14.0,,,24-28,,Defensive rebound by C. McCollum
1:05.0,,,24-28,,M. Leonard misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by H. Barnes,,24-28,,
0:52.0,H. Barnes makes 2-pt shot from 18 ft,2,26-28,,
0:34.0,,,26-28,,D. Lillard misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by L. Barbosa,,26-28,,
0:23.0,J. Holiday misses 3-pt shot from 25 ft,,26-28,,
0:22.0,,,26-28,,Defensive rebound by M. Leonard
0:01.0,,,26-28,,Shooting foul by F. Ezeli (drawn by D. Lillard)
