time,Milwaukee,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. L. Sanders (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. L. Sanders (N. Hilario gains possession)
11:41.0,,,0-0,,Shooting foul by J. Parker (drawn by N. Hilario)
11:41.0,,,0-1,1,N. Hilario makes free throw 1 of 2
11:41.0,,,0-2,1,N. Hilario makes free throw 2 of 2
11:28.0,Turnover by L. Sanders (bad pass; steal by G. Temple),,0-2,,
11:24.0,,,0-4,2,G. Temple makes 2-pt shot from 1 ft
11:02.0,K. Middleton misses 2-pt shot from 3 ft,,0-4,,
11:01.0,,,0-4,,Defensive rebound by J. Wall
10:51.0,Personal foul by K. Middleton (drawn by J. Wall),,0-4,,
10:44.0,,,0-4,,J. Wall misses 2-pt shot from 4 ft
10:43.0,Defensive rebound by L. Sanders,,0-4,,
10:35.0,B. Knight misses 2-pt shot from 12 ft,,0-4,,
10:34.0,,,0-4,,Defensive rebound by J. Wall
10:26.0,,,0-4,,P. Pierce misses 2-pt shot from 11 ft
10:26.0,,,0-4,,Offensive rebound by M. Gortat
10:24.0,,,0-4,,Turnover by M. Gortat (bad pass)
10:11.0,J. Parker misses 3-pt shot from 24 ft,,0-4,,
10:10.0,,,0-4,,Defensive rebound by P. Pierce
9:53.0,,,0-6,2,J. Wall makes 2-pt shot from 11 ft (assist by G. Temple)
9:34.0,B. Knight makes 2-pt shot from 1 ft,2,2-6,,
9:21.0,,,2-6,,Shooting foul by J. Dudley (drawn by P. Pierce)
9:21.0,,,2-7,1,P. Pierce makes free throw 1 of 2
9:21.0,,,2-8,1,P. Pierce makes free throw 2 of 2
9:04.0,Turnover by J. Parker (lost ball; steal by N. Hilario),,2-8,,
8:56.0,,,2-8,,Shooting foul by L. Sanders (drawn by M. Gortat)
8:56.0,,,2-8,,M. Gortat misses free throw 1 of 2
8:56.0,,,2-8,,Offensive rebound by Team
8:56.0,,,2-8,,M. Gortat misses free throw 2 of 2
8:55.0,Defensive rebound by L. Sanders,,2-8,,
8:43.0,J. Dudley misses 3-pt shot from 22 ft,,2-8,,
8:41.0,Offensive rebound by L. Sanders,,2-8,,
8:39.0,J. Dudley makes 2-pt shot from 1 ft (assist by L. Sanders),2,4-8,,
8:22.0,,,4-8,,J. Wall misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by K. Middleton,,4-8,,
8:13.0,,,4-8,,Personal foul by G. Temple (drawn by B. Knight)
7:59.0,K. Middleton misses 3-pt shot from 25 ft,,4-8,,
7:58.0,,,4-8,,Defensive rebound by M. Gortat
7:47.0,,,4-10,2,M. Gortat makes 2-pt shot from 5 ft (assist by P. Pierce)
7:25.0,L. Sanders misses 2-pt shot from 17 ft,,4-10,,
7:25.0,Offensive rebound by J. Parker,,4-10,,
7:21.0,J. Parker misses 2-pt shot from 13 ft,,4-10,,
7:20.0,Offensive rebound by L. Sanders,,4-10,,
7:17.0,Turnover by L. Sanders (lost ball; steal by M. Gortat),,4-10,,
7:11.0,,,4-10,,J. Wall misses 2-pt shot from 1 ft
7:10.0,,,4-10,,Offensive rebound by N. Hilario
7:08.0,,,4-10,,N. Hilario misses 2-pt shot from 1 ft (block by J. Dudley)
7:08.0,Defensive rebound by B. Knight,,4-10,,
6:57.0,B. Knight makes 2-pt shot from 13 ft,2,6-10,,
6:45.0,,,6-12,2,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario)
6:32.0,B. Knight makes 3-pt shot from 25 ft (assist by K. Middleton),3,9-12,,
6:18.0,,,9-14,2,N. Hilario makes 2-pt shot at rim
6:08.0,J. Dudley misses 3-pt shot from 26 ft,,9-14,,
6:07.0,,,9-14,,Defensive rebound by G. Temple
6:00.0,,,9-16,2,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce)
5:53.0,Milwaukee full timeout,,9-16,,
5:53.0,Z. Pachulia enters the game for L. Sanders,,9-16,,
5:53.0,O. Mayo enters the game for K. Middleton,,9-16,,
5:53.0,J. Henson enters the game for J. Parker,,9-16,,
5:33.0,O. Mayo misses 2-pt shot from 16 ft,,9-16,,
5:32.0,,,9-16,,Defensive rebound by M. Gortat
5:08.0,,,9-18,2,N. Hilario makes 2-pt shot from 21 ft (assist by M. Gortat)
4:52.0,Z. Pachulia misses 2-pt shot from 14 ft,,9-18,,
4:51.0,,,9-18,,Defensive rebound by J. Wall
4:41.0,Personal foul by O. Mayo (drawn by M. Gortat),,9-18,,
4:41.0,,,9-19,1,M. Gortat makes free throw 1 of 2
4:41.0,,,9-19,,K. Humphries enters the game for N. Hilario
4:41.0,,,9-19,,O. Porter enters the game for P. Pierce
4:41.0,,,9-20,1,M. Gortat makes free throw 2 of 2
4:20.0,B. Knight misses 3-pt shot from 24 ft,,9-20,,
4:19.0,,,9-20,,Defensive rebound by J. Wall
4:15.0,,,9-20,,Turnover by M. Gortat (offensive foul)
4:15.0,,,9-20,,Offensive foul by M. Gortat
4:15.0,G. Antetokounmpo enters the game for J. Dudley,,9-20,,
4:05.0,Turnover by G. Antetokounmpo (step out of bounds),,9-20,,
3:53.0,,,9-20,,Turnover by J. Wall (bad pass; steal by G. Antetokounmpo)
3:49.0,B. Knight makes 2-pt shot at rim (assist by G. Antetokounmpo),2,11-20,,
3:36.0,Personal foul by O. Mayo (drawn by G. Temple),,11-20,,
3:36.0,,,11-21,1,G. Temple makes free throw 1 of 2
3:36.0,,,11-21,,G. Temple misses free throw 2 of 2
3:35.0,Defensive rebound by Z. Pachulia,,11-21,,
3:21.0,O. Mayo misses 2-pt shot from 16 ft,,11-21,,
3:20.0,,,11-21,,Defensive rebound by M. Gortat
2:58.0,,,11-23,2,G. Temple makes 2-pt shot from 19 ft (assist by K. Humphries)
2:44.0,,,11-23,,Personal foul by J. Wall (drawn by B. Knight)
2:44.0,,,11-23,,Washington full timeout
2:44.0,J. Bayless enters the game for O. Mayo,,11-23,,
2:37.0,Turnover by G. Antetokounmpo (step out of bounds),,11-23,,
2:26.0,,,11-23,,Shooting foul by Z. Pachulia (drawn by O. Porter)
2:26.0,,,11-24,1,O. Porter makes free throw 1 of 2
2:26.0,,,11-24,,G. Rice enters the game for G. Temple
2:26.0,,,11-25,1,O. Porter makes free throw 2 of 2
2:11.0,B. Knight misses 2-pt shot from 13 ft,,11-25,,
2:10.0,Offensive rebound by Z. Pachulia,,11-25,,
2:09.0,Turnover by Z. Pachulia (traveling),,11-25,,
2:09.0,,,11-25,,D. Gooden enters the game for M. Gortat
