time,San Antonio,pts.away,score,pts.home,Washington
0:37.0,Offensive rebound by Team,,89-99,,
0:37.0,,,89-99,,Loose ball foul by B. Beal (drawn by T. Duncan)
0:37.0,T. Duncan misses free throw 1 of 2,,89-99,,
0:37.0,Offensive rebound by Team,,89-99,,
0:37.0,,,89-99,,R. Butler enters the game for K. Seraphin
0:37.0,P. Mills enters the game for T. Parker,,89-99,,
0:37.0,A. Daye enters the game for M. Ginobili,,89-99,,
0:37.0,K. Anderson enters the game for D. Green,,89-99,,
0:37.0,T. Duncan makes free throw 2 of 2,1,90-99,,
0:14.0,,,90-99,,J. Wall misses 2-pt shot from 18 ft
0:13.0,,,90-99,,Offensive rebound by R. Butler
0:13.0,,,90-101,2,R. Butler makes 2-pt shot at rim
0:08.0,A. Daye misses 3-pt shot from 26 ft,,90-101,,
0:06.0,Offensive rebound by K. Anderson,,90-101,,
0:02.0,A. Daye makes 3-pt shot from 22 ft (assist by K. Anderson),3,93-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
