time,San Antonio,pts.away,score,pts.home,Washington
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,24-31,,K. Humphries misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by Team,,24-31,,
11:25.0,T. Parker misses 2-pt shot from 10 ft,,24-31,,
11:24.0,,,24-31,,Defensive rebound by K. Seraphin
11:05.0,,,24-31,,M. Webster misses 2-pt shot from 12 ft
11:04.0,Defensive rebound by J. Ayres,,24-31,,
10:46.0,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills),3,27-31,,
10:23.0,,,27-33,2,K. Humphries makes 2-pt shot from 15 ft (assist by A. Miller)
10:01.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili),3,30-33,,
9:40.0,,,30-35,2,K. Humphries makes 2-pt shot from 16 ft (assist by A. Miller)
9:25.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Bonner),3,33-35,,
9:11.0,,,33-35,,Turnover by B. Beal (bad pass)
9:11.0,D. Green enters the game for M. Ginobili,,33-35,,
8:57.0,D. Green misses 3-pt shot from 27 ft,,33-35,,
8:56.0,,,33-35,,Defensive rebound by K. Seraphin
8:43.0,,,33-37,2,K. Seraphin makes 2-pt shot from 17 ft (assist by M. Webster)
8:41.0,San Antonio full timeout,,33-37,,
8:41.0,C. Joseph enters the game for P. Mills,,33-37,,
8:23.0,M. Bonner misses 3-pt shot from 23 ft,,33-37,,
8:22.0,,,33-37,,Defensive rebound by K. Seraphin
8:06.0,,,33-37,,Turnover by B. Beal (bad pass)
7:44.0,T. Parker misses 2-pt shot from 2 ft (block by B. Beal),,33-37,,
7:43.0,Offensive rebound by Team,,33-37,,
7:42.0,T. Parker misses 3-pt shot from 22 ft,,33-37,,
7:42.0,Offensive rebound by Team,,33-37,,
7:42.0,Turnover by Team (shot clock),,33-37,,
7:32.0,,,33-37,,B. Beal misses 2-pt shot from 2 ft (block by C. Joseph)
7:30.0,,,33-37,,Offensive rebound by B. Beal
7:27.0,,,33-37,,Shooting foul by M. Bonner (drawn by K. Seraphin)
7:27.0,,,33-38,1,K. Seraphin makes free throw 1 of 2
7:27.0,T. Splitter enters the game for M. Bonner,,33-38,,
7:27.0,,,33-38,,R. Butler enters the game for M. Webster
7:27.0,,,33-39,1,K. Seraphin makes free throw 2 of 2
7:07.0,D. Green misses 2-pt shot from 2 ft,,33-39,,
7:06.0,,,33-39,,Defensive rebound by B. Beal
6:49.0,,,33-41,2,B. Beal makes 2-pt shot from 17 ft (assist by R. Butler)
6:32.0,T. Parker misses 2-pt shot from 19 ft,,33-41,,
6:31.0,,,33-41,,Defensive rebound by R. Butler
6:17.0,,,33-43,2,K. Humphries makes 2-pt shot from 15 ft (assist by B. Beal)
5:55.0,Shooting foul by K. Seraphin (drawn by C. Joseph),,33-43,,
5:55.0,Official timeout,,33-43,,
5:55.0,T. Duncan enters the game for J. Ayres,,33-43,,
5:55.0,P. Mills enters the game for T. Parker,,33-43,,
5:55.0,C. Joseph makes free throw 1 of 2,1,34-43,,
5:55.0,C. Joseph makes free throw 2 of 2,1,35-43,,
5:44.0,,,35-43,,Shooting foul by C. Joseph (drawn by K. Seraphin)
5:44.0,,,35-44,1,K. Seraphin makes free throw 1 of 2
5:44.0,,,35-44,,J. Wall enters the game for A. Miller
5:44.0,,,35-44,,P. Pierce enters the game for B. Beal
5:44.0,,,35-45,1,K. Seraphin makes free throw 2 of 2
5:31.0,P. Mills misses 2-pt shot from 3 ft,,35-45,,
5:30.0,Offensive rebound by T. Duncan,,35-45,,
5:23.0,D. Green makes 2-pt shot from 3 ft (assist by T. Duncan),2,37-45,,
5:05.0,,,37-45,,P. Pierce misses 2-pt shot from 15 ft
5:04.0,Defensive rebound by T. Duncan,,37-45,,
4:41.0,D. Green misses 3-pt shot from 25 ft,,37-45,,
4:40.0,,,37-45,,Defensive rebound by P. Pierce
4:23.0,,,37-45,,P. Pierce misses 3-pt shot from 26 ft
4:22.0,,,37-45,,Offensive rebound by K. Humphries
4:20.0,,,37-45,,K. Humphries misses 2-pt shot from 3 ft
4:19.0,Defensive rebound by T. Duncan,,37-45,,
4:03.0,P. Mills makes 3-pt shot from 26 ft (assist by T. Splitter),3,40-45,,
3:47.0,,,40-45,,R. Butler misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by T. Duncan,,40-45,,
3:42.0,P. Mills misses 3-pt shot from 27 ft,,40-45,,
3:40.0,Offensive rebound by D. Green,,40-45,,
