time,Minnesota,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Pekovic vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: N. Pekovic vs. N. Vucevic (E. Payton gains possession)
11:43.0,,,0-0,,T. Harris misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by R. Rubio,,0-0,,
11:31.0,N. Pekovic makes 2-pt shot from 1 ft (assist by A. Wiggins),2,2-0,,
11:17.0,,,2-2,2,E. Fournier makes 2-pt shot from 2 ft
10:59.0,T. Young misses 2-pt shot from 14 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by N. Vucevic
10:47.0,,,2-2,,C. Frye misses 2-pt shot from 14 ft
10:45.0,Defensive rebound by A. Wiggins,,2-2,,
10:29.0,N. Pekovic makes 2-pt shot from 6 ft,2,4-2,,
10:09.0,,,4-2,,Turnover by T. Harris (lost ball)
9:54.0,R. Rubio makes 2-pt shot from 20 ft,2,6-2,,
9:37.0,,,6-2,,Turnover by E. Payton (bad pass; steal by A. Wiggins)
9:30.0,T. Young misses 2-pt shot from 19 ft,,6-2,,
9:29.0,,,6-2,,Defensive rebound by C. Frye
9:15.0,,,6-2,,N. Vucevic misses 2-pt shot from 7 ft
9:14.0,Defensive rebound by T. Young,,6-2,,
9:06.0,R. Rubio makes 2-pt shot from 17 ft,2,8-2,,
8:44.0,,,8-2,,T. Harris misses 2-pt shot from 2 ft
8:43.0,,,8-2,,Offensive rebound by T. Harris
8:43.0,,,8-4,2,T. Harris makes 2-pt shot from 2 ft
8:24.0,A. Wiggins misses 2-pt shot from 2 ft,,8-4,,
8:22.0,Offensive rebound by A. Wiggins,,8-4,,
8:22.0,A. Wiggins misses 2-pt shot from 1 ft,,8-4,,
8:20.0,,,8-4,,Defensive rebound by C. Frye
8:09.0,,,8-4,,E. Payton misses 2-pt shot from 8 ft
8:06.0,Defensive rebound by N. Pekovic,,8-4,,
8:06.0,Turnover by R. Rubio (bad pass),,8-4,,
7:48.0,,,8-4,,E. Fournier misses 2-pt shot from 7 ft
7:47.0,Defensive rebound by R. Rubio,,8-4,,
7:40.0,T. Young makes 2-pt shot from 1 ft (assist by R. Rubio),2,10-4,,
7:33.0,,,10-6,2,E. Fournier makes 2-pt shot at rim (assist by E. Payton)
