time,Dallas,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Thompson (B. McLemore gains possession),,,,Jump ball: T. Chandler vs. J. Thompson (B. McLemore gains possession)
11:45.0,,,0-2,2,D. Cousins makes 2-pt shot at rim (assist by R. Gay)
11:23.0,A. Aminu misses 2-pt shot from 2 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by D. Cousins
11:18.0,,,0-4,2,D. Cousins makes 2-pt shot at rim
11:02.0,C. Parsons misses 2-pt shot from 5 ft (block by J. Thompson),,0-4,,
10:59.0,,,0-4,,Defensive rebound by D. Cousins
10:57.0,,,0-4,,Turnover by D. Cousins (bad pass; steal by M. Ellis)
10:54.0,A. Aminu makes 2-pt shot at rim (assist by J. Barea),2,2-4,,
10:31.0,,,2-4,,R. Gay misses 2-pt shot from 16 ft
10:30.0,Defensive rebound by T. Chandler,,2-4,,
10:16.0,Turnover by T. Chandler (lost ball; steal by J. Thompson),,2-4,,
10:12.0,,,2-4,,Offensive charge foul by D. Collison
10:12.0,,,2-4,,Turnover by D. Collison (offensive foul)
10:00.0,C. Parsons misses 2-pt shot from 15 ft,,2-4,,
9:59.0,,,2-4,,Defensive rebound by J. Thompson
9:54.0,,,2-6,2,R. Gay makes 2-pt shot from 1 ft (assist by B. McLemore)
9:36.0,,,2-6,,Personal foul by B. McLemore (drawn by A. Aminu)
9:29.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,4-6,,
9:26.0,Violation by Team (delay of game),,4-6,,
9:16.0,,,4-6,,Shooting foul by T. Chandler (drawn by D. Cousins)
9:16.0,,,4-6,,D. Cousins misses free throw 1 of 2
9:16.0,,,4-6,,Offensive rebound by Team
9:16.0,,,4-7,1,D. Cousins makes free throw 2 of 2
9:03.0,J. Barea makes 3-pt shot from 23 ft (assist by M. Ellis),3,7-7,,
8:39.0,,,7-7,,R. Gay misses 2-pt shot from 14 ft
8:39.0,Defensive rebound by J. Barea,,7-7,,
8:25.0,C. Parsons misses 3-pt shot from 24 ft,,7-7,,
8:24.0,Offensive rebound by T. Chandler,,7-7,,
8:24.0,T. Chandler makes 2-pt shot at rim,2,9-7,,
8:08.0,,,9-7,,B. McLemore misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by M. Ellis,,9-7,,
8:05.0,,,9-7,,Personal foul by B. McLemore (drawn by M. Ellis)
8:05.0,,,9-7,,N. Stauskas enters the game for B. McLemore
7:51.0,M. Ellis makes 2-pt shot from 4 ft,2,11-7,,
7:32.0,,,11-7,,D. Cousins misses 2-pt shot from 19 ft
7:31.0,Defensive rebound by T. Chandler,,11-7,,
7:21.0,C. Parsons misses 2-pt shot from 10 ft,,11-7,,
7:20.0,,,11-7,,Defensive rebound by D. Cousins
7:14.0,,,11-7,,R. Gay misses 3-pt shot from 22 ft
7:13.0,Defensive rebound by T. Chandler,,11-7,,
6:59.0,,,11-7,,Violation by D. Cousins (def goaltending)
6:59.0,M. Ellis makes 2-pt shot from 6 ft (assist by C. Parsons),2,13-7,,
6:40.0,,,13-7,,Shooting foul by A. Aminu (drawn by D. Cousins)
6:40.0,,,13-8,1,D. Cousins makes free throw 1 of 2
6:40.0,D. Powell enters the game for T. Chandler,,13-8,,
6:40.0,,,13-9,1,D. Cousins makes free throw 2 of 2
6:18.0,J. Barea misses 3-pt shot from 27 ft,,13-9,,
6:18.0,,,13-9,,Defensive rebound by R. Gay
6:12.0,,,13-9,,Shooting foul by D. Powell (drawn by D. Cousins)
6:12.0,,,13-11,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Gay)
6:12.0,,,13-12,1,D. Cousins makes free throw 1 of 1
5:58.0,Turnover by M. Ellis (bad pass),,13-12,,
5:58.0,,,13-12,,Sacramento full timeout
5:58.0,G. Smith enters the game for D. Powell,,13-12,,
5:39.0,,,13-15,3,N. Stauskas makes 3-pt shot from 24 ft (assist by D. Cousins)
5:23.0,A. Aminu misses 2-pt shot from 3 ft,,13-15,,
5:22.0,,,13-15,,Defensive rebound by N. Stauskas
5:17.0,,,13-17,2,D. Collison makes 2-pt shot from 2 ft (assist by N. Stauskas)
4:58.0,,,13-17,,Personal foul by D. Collison (drawn by J. Barea)
4:58.0,C. Villanueva enters the game for C. Parsons,,13-17,,
4:58.0,D. Harris enters the game for J. Barea,,13-17,,
4:58.0,,,13-17,,R. Sessions enters the game for D. Collison
4:58.0,T. Chandler enters the game for G. Smith,,13-17,,
4:45.0,D. Harris makes 3-pt shot from 25 ft,3,16-17,,
4:23.0,,,16-17,,Turnover by D. Cousins (bad pass; steal by M. Ellis)
4:19.0,M. Ellis makes 2-pt shot from 1 ft,2,18-17,,
4:03.0,,,18-17,,R. Gay misses 3-pt shot from 24 ft
4:03.0,Defensive rebound by T. Chandler,,18-17,,
3:56.0,,,18-17,,Violation by R. Gay (kicked ball)
3:56.0,,,18-17,,D. Williams enters the game for J. Thompson
3:48.0,C. Villanueva misses 3-pt shot from 25 ft,,18-17,,
3:47.0,,,18-17,,Defensive rebound by D. Cousins
3:42.0,,,18-19,2,D. Williams makes 2-pt shot at rim (assist by R. Sessions)
