time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. D. Jordan (S. Hawes gains possession),,,,Jump ball: J. Dorsey vs. D. Jordan (S. Hawes gains possession)
11:45.0,,,0-0,,M. Barnes misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by T. Ariza,,0-0,,
11:24.0,T. Ariza misses 3-pt shot from 24 ft,,0-0,,
11:22.0,Offensive rebound by J. Dorsey,,0-0,,
11:06.0,Turnover by P. Beverley (bad pass; steal by D. Jordan),,0-0,,
10:57.0,Personal foul by J. Harden (drawn by D. Jordan),,0-0,,
10:42.0,,,0-2,2,M. Barnes makes 2-pt shot from 2 ft (assist by J. Redick)
10:33.0,Turnover by T. Ariza (bad pass; steal by C. Paul),,0-2,,
10:17.0,,,0-2,,Offensive foul by D. Jordan
10:17.0,,,0-2,,Turnover by D. Jordan (offensive foul)
9:53.0,J. Dorsey makes 2-pt shot from 1 ft (assist by P. Beverley),2,2-2,,
9:36.0,,,2-4,2,J. Redick makes 2-pt shot from 20 ft (assist by D. Jordan)
9:17.0,P. Beverley misses 2-pt shot from 3 ft,,2-4,,
9:15.0,Offensive rebound by P. Beverley,,2-4,,
9:11.0,T. Ariza misses 3-pt shot from 25 ft,,2-4,,
9:09.0,,,2-4,,Defensive rebound by S. Hawes
8:58.0,,,2-4,,C. Paul misses 3-pt shot from 25 ft
8:58.0,,,2-4,,Offensive rebound by S. Hawes
8:58.0,,,2-6,2,S. Hawes makes 2-pt shot at rim
8:58.0,Away from play foul by J. Dorsey (drawn by S. Hawes),,2-6,,
8:58.0,,,2-7,1,D. Jordan makes free throw 1 of 1
8:38.0,J. Harden makes 2-pt shot from 20 ft,2,4-7,,
8:28.0,,,4-7,,Shooting foul by J. Dorsey (drawn by S. Hawes)
8:28.0,,,4-7,,S. Hawes misses free throw 1 of 2
8:28.0,,,4-7,,Offensive rebound by Team
8:28.0,,,4-8,1,S. Hawes makes free throw 2 of 2
8:17.0,Turnover by P. Beverley (bad pass; steal by M. Barnes),,4-8,,
8:00.0,,,4-10,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
7:44.0,D. Motiejunas makes 2-pt shot from 10 ft (assist by T. Ariza),2,6-10,,
7:35.0,,,6-10,,S. Hawes misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by P. Beverley,,6-10,,
