time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession)
11:46.0,M. Bonner misses 3-pt shot from 24 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by C. Paul
11:30.0,,,0-0,,Shooting foul by T. Duncan (drawn by J. Redick)
11:30.0,,,0-1,1,J. Redick makes free throw 1 of 2
11:30.0,,,0-2,1,J. Redick makes free throw 2 of 2
11:11.0,T. Duncan misses 2-pt shot from 17 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by D. Jordan
11:00.0,Personal foul by M. Bonner (drawn by J. Redick),,0-2,,
10:54.0,,,0-2,,J. Crawford misses 3-pt shot from 25 ft (block by K. Leonard)
10:51.0,Defensive rebound by T. Duncan,,0-2,,
10:33.0,T. Parker misses 2-pt shot from 20 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by B. Griffin
10:17.0,,,0-4,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
9:56.0,K. Leonard makes 2-pt shot from 10 ft (assist by T. Parker),2,2-4,,
9:42.0,,,2-6,2,J. Redick makes 2-pt shot from 13 ft (assist by C. Paul)
9:28.0,T. Parker makes 2-pt shot from 9 ft,2,4-6,,
9:16.0,,,4-6,,J. Redick misses 2-pt shot from 18 ft
9:15.0,Defensive rebound by T. Duncan,,4-6,,
8:57.0,M. Bonner misses 2-pt shot from 7 ft,,4-6,,
8:56.0,Offensive rebound by T. Duncan,,4-6,,
8:47.0,D. Green misses 3-pt shot from 25 ft,,4-6,,
8:42.0,,,4-6,,Defensive rebound by D. Jordan
8:31.0,,,4-6,,J. Redick misses 3-pt shot from 25 ft
8:27.0,,,4-6,,Offensive rebound by D. Jordan
8:22.0,,,4-6,,Turnover by J. Crawford (bad pass)
7:59.0,K. Leonard misses 3-pt shot from 25 ft,,4-6,,
7:57.0,,,4-6,,Defensive rebound by D. Jordan
7:55.0,,,4-6,,Turnover by D. Jordan (bad pass; steal by M. Bonner)
7:48.0,T. Parker misses 3-pt shot from 24 ft,,4-6,,
7:46.0,,,4-6,,Defensive rebound by D. Jordan
7:34.0,,,4-8,2,C. Paul makes 2-pt shot from 17 ft
7:08.0,Turnover by T. Parker (bad pass; steal by B. Griffin),,4-8,,
7:02.0,,,4-8,,J. Crawford misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by K. Leonard,,4-8,,
6:50.0,Shooting foul by B. Griffin (drawn by K. Leonard),,4-8,,
6:50.0,K. Leonard makes free throw 1 of 2,1,5-8,,
6:50.0,K. Leonard makes free throw 2 of 2,1,6-8,,
6:39.0,,,6-10,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick)
6:21.0,T. Duncan misses 2-pt shot from 5 ft,,6-10,,
6:19.0,Offensive rebound by Team,,6-10,,
