time,Charlotte,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. C. Zeller (A. Jefferson gains possession),,,,Jump ball: N. Noel vs. C. Zeller (A. Jefferson gains possession)
11:37.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by J. Sampson
11:17.0,,,0-0,,R. Covington misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by B. Roberts,,0-0,,
10:59.0,,,0-0,,Personal foul by R. Covington (drawn by M. Kidd-Gilchrist)
10:52.0,A. Jefferson makes 2-pt shot at rim (assist by G. Henderson),2,2-0,,
10:39.0,,,2-0,,Shooting foul by G. Henderson (drawn by J. Sampson)
10:39.0,,,2-1,1,J. Sampson makes free throw 1 of 2
10:39.0,,,2-1,,J. Sampson misses free throw 2 of 2
10:37.0,Defensive rebound by M. Kidd-Gilchrist,,2-1,,
10:20.0,,,2-1,,Personal foul by J. Sampson (drawn by G. Henderson)
10:14.0,G. Henderson misses 2-pt shot from 15 ft,,2-1,,
10:13.0,Offensive rebound by M. Kidd-Gilchrist,,2-1,,
10:10.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,4-1,,
10:02.0,Personal foul by C. Zeller (drawn by N. Noel),,4-1,,
9:52.0,,,4-1,,L. Mbah a Moute misses 2-pt shot from 4 ft (block by C. Zeller)
9:50.0,Defensive rebound by A. Jefferson,,4-1,,
9:39.0,G. Henderson misses 2-pt shot from 6 ft (block by R. Covington),,4-1,,
9:37.0,,,4-1,,Defensive rebound by R. Covington
9:34.0,,,4-1,,R. Covington misses 2-pt shot from 2 ft
9:34.0,,,4-1,,Offensive rebound by R. Covington
9:34.0,,,4-1,,Shooting foul by A. Jefferson (drawn by R. Covington)
9:34.0,,,4-1,,R. Covington misses free throw 1 of 2
9:34.0,,,4-1,,Offensive rebound by Team
9:34.0,,,4-2,1,R. Covington makes free throw 2 of 2
9:16.0,B. Roberts makes 2-pt shot from 17 ft (assist by G. Henderson),2,6-2,,
9:02.0,,,6-4,2,N. Noel makes 2-pt shot from 15 ft (assist by J. Sampson)
8:44.0,A. Jefferson misses 2-pt shot from 6 ft,,6-4,,
8:43.0,,,6-4,,Defensive rebound by N. Noel
8:35.0,,,6-6,2,N. Noel makes 2-pt shot from 17 ft (assist by R. Covington)
8:24.0,A. Jefferson makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,8-6,,
8:15.0,,,8-9,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by T. Frazier)
8:03.0,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson),2,10-9,,
7:52.0,,,10-11,2,L. Mbah a Moute makes 2-pt shot from 17 ft
7:40.0,,,10-11,,Personal foul by T. Frazier (drawn by B. Roberts)
7:40.0,,,10-11,,Personal foul by J. Sampson (drawn by G. Henderson)
7:40.0,,,10-11,,H. Thompson enters the game for J. Sampson
7:29.0,B. Roberts misses 2-pt shot from 20 ft,,10-11,,
7:27.0,Offensive rebound by Team,,10-11,,
7:11.0,C. Zeller misses 2-pt shot from 18 ft,,10-11,,
7:09.0,,,10-11,,Defensive rebound by L. Mbah a Moute
7:03.0,,,10-11,,Shooting foul by C. Zeller (drawn by L. Mbah a Moute)
7:03.0,,,10-12,1,L. Mbah a Moute makes free throw 1 of 2
7:03.0,M. Williams enters the game for C. Zeller,,10-12,,
7:03.0,,,10-13,1,L. Mbah a Moute makes free throw 2 of 2
6:48.0,G. Henderson misses 2-pt shot from 15 ft,,10-13,,
6:46.0,,,10-13,,Defensive rebound by N. Noel
6:40.0,,,10-13,,T. Frazier misses 2-pt shot from 18 ft
6:36.0,Defensive rebound by A. Jefferson,,10-13,,
6:25.0,A. Jefferson makes 2-pt shot from 8 ft (assist by G. Henderson),2,12-13,,
6:24.0,,,12-13,,Philadelphia full timeout
6:00.0,,,12-13,,N. Noel misses 2-pt shot from 12 ft
5:58.0,Defensive rebound by M. Williams,,12-13,,
5:38.0,M. Williams makes 2-pt shot from 5 ft (assist by G. Henderson),2,14-13,,
5:20.0,,,14-13,,H. Thompson misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by M. Williams,,14-13,,
5:04.0,G. Henderson makes 2-pt shot from 2 ft (assist by M. Williams),2,16-13,,
4:50.0,,,16-13,,Turnover by T. Frazier (bad pass)
4:50.0,,,16-13,,J. Grant enters the game for R. Covington
4:50.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,16-13,,
4:39.0,B. Roberts makes 3-pt shot from 25 ft (assist by A. Jefferson),3,19-13,,
4:21.0,,,19-13,,T. Frazier misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by M. Williams,,19-13,,
4:08.0,A. Jefferson misses 2-pt shot from 14 ft,,19-13,,
4:07.0,,,19-13,,Defensive rebound by N. Noel
