time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (J. Terry gains possession),,,,Jump ball: D. Howard vs. D. Jordan (J. Terry gains possession)
11:43.0,,,0-0,,D. Howard misses 2-pt shot from 2 ft (block by D. Jordan)
11:43.0,,,0-0,,Offensive rebound by Team
11:40.0,,,0-0,,T. Ariza misses 2-pt shot from 2 ft
11:39.0,,,0-0,,Offensive rebound by T. Ariza
11:36.0,,,0-0,,Turnover by T. Ariza (lost ball; steal by M. Barnes)
11:16.0,B. Griffin makes 2-pt shot from 6 ft,2,2-0,,
11:16.0,,,2-0,,Violation by D. Howard (def goaltending)
11:03.0,,,2-2,2,D. Howard makes 2-pt shot at rim (assist by T. Jones)
10:59.0,Shooting foul by T. Jones (drawn by B. Griffin),,2-2,,
10:59.0,B. Griffin makes free throw 1 of 2,1,3-2,,
10:59.0,B. Griffin makes free throw 2 of 2,1,4-2,,
10:38.0,,,4-2,,T. Ariza misses 3-pt shot from 25 ft
10:37.0,,,4-2,,Offensive rebound by T. Jones
10:34.0,,,4-2,,Turnover by T. Jones (bad pass; steal by D. Jordan)
10:29.0,B. Griffin makes 2-pt shot at rim (assist by A. Rivers),2,6-2,,
10:15.0,,,6-2,,Shooting foul by D. Jordan (drawn by D. Howard)
10:15.0,,,6-2,,D. Howard misses free throw 1 of 2
10:15.0,,,6-2,,Offensive rebound by Team
10:15.0,,,6-2,,D. Howard misses free throw 2 of 2
10:15.0,Defensive rebound by B. Griffin,,6-2,,
9:54.0,M. Barnes misses 3-pt shot from 23 ft,,6-2,,
9:53.0,,,6-2,,Defensive rebound by D. Howard
9:42.0,Personal block foul by J. Redick (drawn by J. Terry),,6-2,,
9:36.0,,,6-2,,T. Ariza misses 3-pt shot from 26 ft
9:34.0,,,6-2,,Offensive rebound by T. Jones
9:30.0,,,6-2,,Shooting foul by D. Jordan (drawn by T. Ariza)
9:30.0,,,6-3,1,T. Ariza makes free throw 1 of 2
9:30.0,G. Davis enters the game for D. Jordan,,6-3,,
9:30.0,,,6-4,1,T. Ariza makes free throw 2 of 2
9:11.0,J. Redick misses 3-pt shot from 25 ft,,6-4,,
9:10.0,,,6-4,,Defensive rebound by Team
8:59.0,,,6-6,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
8:42.0,G. Davis makes 2-pt shot from 13 ft (assist by J. Redick),2,8-6,,
8:27.0,,,8-6,,Shooting foul by G. Davis (drawn by J. Harden)
8:27.0,,,8-7,1,J. Harden makes free throw 1 of 2
8:27.0,,,8-8,1,J. Harden makes free throw 2 of 2
8:16.0,,,8-8,,Personal foul by J. Harden (drawn by M. Barnes)
8:11.0,J. Redick misses 2-pt shot from 18 ft,,8-8,,
8:10.0,,,8-8,,Defensive rebound by D. Howard
