time,Chicago,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. B. Lopez (J. Butler gains possession),,,,Jump ball: P. Gasol vs. B. Lopez (J. Butler gains possession)
11:37.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,2-0,,
11:19.0,,,2-0,,M. Brown misses 2-pt shot from 19 ft
11:18.0,,,2-0,,Offensive rebound by B. Lopez
11:17.0,,,2-0,,Shooting foul by P. Gasol (drawn by B. Lopez)
11:17.0,,,2-1,1,B. Lopez makes free throw 1 of 2
11:17.0,,,2-2,1,B. Lopez makes free throw 2 of 2
11:05.0,P. Gasol misses 2-pt shot from 18 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by D. Williams
10:41.0,,,2-2,,T. Young misses 2-pt shot from 13 ft
10:40.0,Defensive rebound by P. Gasol,,2-2,,
10:35.0,D. Rose makes 2-pt shot from 2 ft,2,4-2,,
10:23.0,,,4-2,,B. Lopez misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by M. Dunleavy,,4-2,,
10:15.0,D. Rose misses 2-pt shot from 22 ft,,4-2,,
10:14.0,,,4-2,,Defensive rebound by M. Brown
10:06.0,,,4-4,2,M. Brown makes 2-pt shot from 1 ft
9:57.0,,,4-4,,Personal foul by J. Johnson (drawn by T. Gibson)
9:51.0,Turnover by D. Rose (bad pass; steal by T. Young),,4-4,,
9:48.0,,,4-4,,Shooting foul by M. Dunleavy (drawn by M. Brown)
9:48.0,,,4-5,1,M. Brown makes free throw 1 of 2
9:48.0,,,4-6,1,M. Brown makes free throw 2 of 2
9:35.0,D. Rose misses 2-pt shot from 1 ft,,4-6,,
9:34.0,,,4-6,,Defensive rebound by T. Young
9:23.0,,,4-6,,D. Williams misses 2-pt shot from 7 ft
9:22.0,Defensive rebound by D. Rose,,4-6,,
9:00.0,T. Gibson misses 2-pt shot from 16 ft,,4-6,,
8:58.0,,,4-6,,Defensive rebound by B. Lopez
8:49.0,,,4-6,,M. Brown misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by J. Butler,,4-6,,
8:29.0,T. Gibson makes 2-pt shot from 2 ft,2,6-6,,
8:10.0,,,6-8,2,B. Lopez makes 2-pt shot from 16 ft
7:59.0,P. Gasol misses 2-pt shot from 5 ft,,6-8,,
7:58.0,,,6-8,,Defensive rebound by D. Williams
7:47.0,,,6-8,,M. Brown misses 2-pt shot from 1 ft (block by P. Gasol)
7:46.0,Defensive rebound by J. Butler,,6-8,,
7:30.0,P. Gasol misses 2-pt shot from 13 ft,,6-8,,
7:29.0,,,6-8,,Defensive rebound by T. Young
7:18.0,,,6-10,2,T. Young makes 2-pt shot from 1 ft
6:59.0,J. Butler misses 3-pt shot from 24 ft,,6-10,,
6:58.0,,,6-10,,Defensive rebound by M. Brown
6:48.0,,,6-12,2,M. Brown makes 2-pt shot from 5 ft
6:25.0,M. Dunleavy misses 3-pt shot from 24 ft,,6-12,,
6:24.0,,,6-12,,Defensive rebound by T. Young
6:15.0,,,6-12,,D. Williams misses 2-pt shot from 4 ft
6:14.0,Defensive rebound by P. Gasol,,6-12,,
6:09.0,D. Rose misses 2-pt shot from 1 ft,,6-12,,
6:08.0,Offensive rebound by M. Dunleavy,,6-12,,
6:06.0,M. Dunleavy misses 2-pt shot from 1 ft,,6-12,,
6:04.0,Offensive rebound by M. Dunleavy,,6-12,,
5:54.0,P. Gasol makes 2-pt shot from 1 ft,2,8-12,,
5:35.0,,,8-12,,M. Brown misses 2-pt shot from 12 ft
5:34.0,Defensive rebound by J. Butler,,8-12,,
5:26.0,,,8-12,,Def 3 sec tech foul by B. Lopez
5:26.0,,,8-12,,Brooklyn full timeout
5:26.0,J. Butler misses technical free throw,,8-12,,
5:26.0,Offensive rebound by Team,,8-12,,
5:15.0,P. Gasol misses 2-pt shot from 6 ft (block by B. Lopez),,8-12,,
5:14.0,,,8-12,,Defensive rebound by B. Lopez
4:59.0,,,8-12,,Turnover by J. Johnson (bad pass; steal by M. Dunleavy)
4:53.0,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose),2,10-12,,
4:38.0,,,10-12,,B. Lopez misses 2-pt shot from 20 ft
4:37.0,Defensive rebound by T. Gibson,,10-12,,
4:19.0,J. Butler makes 3-pt shot from 23 ft,3,13-12,,
4:06.0,,,13-12,,D. Williams misses 2-pt shot from 14 ft
4:05.0,Defensive rebound by J. Butler,,13-12,,
3:53.0,P. Gasol misses 2-pt shot from 2 ft,,13-12,,
3:52.0,Offensive rebound by P. Gasol,,13-12,,
3:50.0,,,13-12,,Personal foul by T. Young (drawn by P. Gasol)
3:50.0,,,13-12,,B. Bogdanovic enters the game for M. Brown
3:50.0,N. Mirotic enters the game for T. Gibson,,13-12,,
3:50.0,A. Brooks enters the game for D. Rose,,13-12,,
3:44.0,P. Gasol misses 2-pt shot from 18 ft,,13-12,,
3:43.0,,,13-12,,Defensive rebound by B. Lopez
3:20.0,,,13-14,2,J. Johnson makes 2-pt shot from 5 ft
2:56.0,A. Brooks makes 3-pt shot from 23 ft (assist by M. Dunleavy),3,16-14,,
2:35.0,,,16-14,,J. Johnson misses 3-pt shot from 25 ft
2:34.0,,,16-14,,Offensive rebound by T. Young
2:32.0,,,16-14,,T. Young misses 2-pt shot from 2 ft
2:31.0,Defensive rebound by P. Gasol,,16-14,,
2:17.0,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Butler),2,18-14,,
2:17.0,Shooting foul by B. Bogdanovic (drawn by N. Mirotic),,18-14,,
2:17.0,Chicago full timeout,,18-14,,
2:17.0,,,18-14,,J. Jack enters the game for D. Williams
2:17.0,N. Mirotic makes free throw 1 of 1,1,19-14,,
2:00.0,,,19-16,2,J. Johnson makes 2-pt shot from 7 ft (assist by J. Jack)
1:47.0,P. Gasol makes 2-pt shot at rim (assist by A. Brooks),2,21-16,,
1:23.0,,,21-19,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
1:05.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler),3,24-19,,
0:40.0,,,24-19,,J. Jack misses 2-pt shot from 10 ft
0:39.0,,,24-19,,Offensive rebound by B. Lopez
0:38.0,,,24-21,2,B. Lopez makes 2-pt shot at rim
0:28.0,A. Brooks makes 2-pt shot from 9 ft,2,26-21,,
0:07.0,,,26-21,,J. Jack misses 2-pt shot from 11 ft
0:06.0,Defensive rebound by P. Gasol,,26-21,,
0:01.0,A. Brooks misses 3-pt shot from 28 ft,,26-21,,
0:00.0,Offensive rebound by Team,,26-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Def 3 sec tech foul by N. Mirotic,,26-21,,
11:45.0,,,26-22,1,J. Jack makes technical free throw
11:38.0,,,26-22,,M. Plumlee misses 2-pt shot from 5 ft
11:37.0,Defensive rebound by T. Snell,,26-22,,
11:19.0,,,26-22,,C. Jefferson enters the game for T. Young
11:19.0,Turnover by Team (back court),,26-22,,
10:57.0,,,26-22,,Turnover by J. Johnson (bad pass; steal by N. Mirotic)
10:53.0,Shooting foul by C. Jefferson (drawn by J. Butler),,26-22,,
10:53.0,J. Butler makes free throw 1 of 2,1,27-22,,
10:53.0,J. Butler misses free throw 2 of 2,,27-22,,
10:52.0,,,27-22,,Defensive rebound by M. Plumlee
10:40.0,Personal foul by A. Brooks (drawn by M. Plumlee),,27-22,,
10:40.0,,,27-22,,M. Brown enters the game for J. Johnson
