time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Hill (R. Price gains possession),,,,Jump ball: T. Duncan vs. J. Hill (R. Price gains possession)
11:37.0,J. Hill misses 2-pt shot from 7 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by M. Bonner
11:26.0,,,0-0,,Turnover by T. Parker (lost ball; steal by K. Bryant)
11:07.0,R. Price misses 3-pt shot from 25 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by T. Duncan
10:55.0,,,0-3,3,D. Green makes 3-pt shot from 23 ft (assist by K. Anderson)
10:38.0,K. Bryant misses 2-pt shot from 20 ft,,0-3,,
10:36.0,,,0-3,,Defensive rebound by K. Anderson
10:27.0,,,0-6,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
10:14.0,W. Johnson misses 2-pt shot from 19 ft,,0-6,,
10:13.0,,,0-6,,Defensive rebound by D. Green
10:07.0,,,0-6,,D. Green misses 2-pt shot at rim
10:06.0,,,0-6,,Offensive rebound by T. Duncan
10:06.0,,,0-8,2,T. Duncan makes 2-pt shot at rim
9:44.0,J. Hill misses 2-pt shot from 21 ft,,0-8,,
9:42.0,,,0-8,,Defensive rebound by T. Duncan
9:32.0,,,0-8,,Shooting foul by R. Price (drawn by M. Bonner)
9:32.0,,,0-9,1,M. Bonner makes free throw 1 of 3
9:32.0,,,0-9,,M. Bonner misses free throw 2 of 3
9:32.0,,,0-9,,Offensive rebound by Team
9:32.0,,,0-10,1,M. Bonner makes free throw 3 of 3
9:30.0,LA Lakers full timeout,,0-10,,
9:15.0,R. Price misses 3-pt shot from 25 ft,,0-10,,
9:14.0,,,0-10,,Defensive rebound by T. Duncan
8:55.0,,,0-10,,Turnover by D. Green (step out of bounds)
8:43.0,Shooting foul by D. Green (drawn by K. Bryant),,0-10,,
8:43.0,K. Bryant makes free throw 1 of 2,1,1-10,,
8:43.0,K. Bryant makes free throw 2 of 2,1,2-10,,
8:20.0,,,2-12,2,K. Anderson makes 2-pt shot from 1 ft (assist by M. Bonner)
8:05.0,K. Bryant makes 2-pt shot from 18 ft,2,4-12,,
7:49.0,,,4-12,,T. Parker misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by J. Hill,,4-12,,
7:41.0,Shooting foul by D. Green (drawn by K. Bryant),,4-12,,
7:41.0,K. Bryant misses free throw 1 of 2,,4-12,,
7:41.0,Offensive rebound by Team,,4-12,,
7:41.0,,,4-12,,M. Ginobili enters the game for D. Green
7:41.0,K. Bryant makes free throw 2 of 2,1,5-12,,
7:27.0,,,5-12,,Turnover by M. Ginobili (bad pass; steal by R. Price)
7:14.0,Turnover by R. Price (bad pass; steal by M. Ginobili),,5-12,,
7:13.0,Personal foul by R. Price (drawn by M. Ginobili),,5-12,,
7:13.0,J. Lin enters the game for R. Price,,5-12,,
7:04.0,,,5-14,2,K. Anderson makes 2-pt shot from 17 ft
6:50.0,K. Bryant misses 2-pt shot from 20 ft,,5-14,,
6:49.0,Offensive rebound by E. Davis,,5-14,,
6:47.0,E. Davis misses 2-pt shot at rim,,5-14,,
6:45.0,Offensive rebound by K. Bryant,,5-14,,
6:45.0,K. Bryant misses 2-pt shot from 1 ft,,5-14,,
6:41.0,Offensive rebound by J. Hill,,5-14,,
6:41.0,J. Hill makes 2-pt shot from 2 ft,2,7-14,,
6:24.0,,,7-14,,Turnover by M. Ginobili (bad pass)
6:04.0,J. Lin misses 2-pt shot from 17 ft,,7-14,,
6:03.0,,,7-14,,Defensive rebound by T. Duncan
5:54.0,,,7-14,,Offensive charge foul by T. Duncan
5:54.0,,,7-14,,Turnover by T. Duncan (offensive foul)
5:54.0,,,7-14,,C. Joseph enters the game for T. Parker
5:45.0,,,7-14,,Personal foul by K. Anderson (drawn by W. Johnson)
5:34.0,W. Johnson makes 2-pt shot from 20 ft (assist by E. Davis),2,9-14,,
5:15.0,,,9-17,3,C. Joseph makes 3-pt shot from 25 ft (assist by M. Ginobili)
4:57.0,J. Lin makes 2-pt shot from 11 ft,2,11-17,,
4:48.0,,,11-19,2,T. Duncan makes 2-pt shot from 9 ft (assist by C. Joseph)
4:39.0,J. Lin makes 2-pt shot from 2 ft,2,13-19,,
4:38.0,,,13-19,,San Antonio full timeout
4:38.0,,,13-19,,A. Baynes enters the game for T. Duncan
4:38.0,,,13-19,,M. Belinelli enters the game for K. Anderson
4:38.0,,,13-19,,B. Diaw enters the game for M. Bonner
4:38.0,C. Boozer enters the game for E. Davis,,13-19,,
