time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Mozgov (D. West gains possession),,,,Jump ball: R. Hibbert vs. T. Mozgov (D. West gains possession)
11:41.0,S. Hill misses 2-pt shot from 12 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Love
11:27.0,,,0-2,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
11:15.0,R. Hibbert makes 2-pt shot from 9 ft (assist by D. West),2,2-2,,
10:55.0,,,2-2,,Shooting foul by R. Hibbert (drawn by T. Mozgov)
10:55.0,,,2-2,,T. Mozgov misses free throw 1 of 2
10:55.0,,,2-2,,Offensive rebound by Team
10:55.0,,,2-2,,T. Mozgov misses free throw 2 of 2
10:54.0,Defensive rebound by D. West,,2-2,,
10:37.0,D. West misses 2-pt shot from 7 ft,,2-2,,
10:36.0,,,2-2,,Defensive rebound by K. Love
10:25.0,,,2-5,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving)
10:13.0,S. Hill makes 2-pt shot at rim (assist by D. West),2,4-5,,
9:56.0,,,4-5,,K. Love misses 2-pt shot from 2 ft
9:53.0,,,4-5,,Offensive rebound by T. Mozgov
9:53.0,,,4-5,,T. Mozgov misses 2-pt shot at rim
9:52.0,,,4-5,,Offensive rebound by K. Love
9:51.0,,,4-5,,K. Love misses 2-pt shot from 2 ft (block by D. West)
9:50.0,Defensive rebound by S. Hill,,4-5,,
9:39.0,S. Hill misses 2-pt shot at rim,,4-5,,
9:38.0,,,4-5,,Defensive rebound by T. Mozgov
9:27.0,,,4-5,,K. Irving misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by D. West,,4-5,,
9:15.0,G. Hill makes 3-pt shot from 28 ft,3,7-5,,
8:56.0,,,7-5,,Turnover by J. Smith (bad pass)
8:42.0,S. Hill misses 3-pt shot from 22 ft,,7-5,,
8:41.0,,,7-5,,Defensive rebound by L. James
8:34.0,,,7-5,,K. Love misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by R. Hibbert,,7-5,,
8:17.0,R. Hibbert makes 2-pt shot from 7 ft,2,9-5,,
7:59.0,,,9-5,,J. Smith misses 2-pt shot from 16 ft
7:58.0,Defensive rebound by S. Hill,,9-5,,
7:49.0,,,9-5,,Personal foul by T. Mozgov (drawn by R. Hibbert)
7:44.0,R. Hibbert misses 2-pt shot from 17 ft,,9-5,,
7:43.0,,,9-5,,Defensive rebound by J. Smith
7:33.0,,,9-5,,K. Irving misses 3-pt shot from 24 ft
7:32.0,,,9-5,,Offensive rebound by K. Love
7:25.0,,,9-7,2,T. Mozgov makes 2-pt shot from 5 ft (assist by L. James)
7:01.0,S. Hill misses 2-pt shot from 3 ft,,9-7,,
6:59.0,,,9-7,,Defensive rebound by T. Mozgov
6:46.0,,,9-7,,K. Irving misses 2-pt shot at rim
6:45.0,,,9-7,,Offensive rebound by K. Irving
6:45.0,,,9-9,2,K. Irving makes 2-pt shot at rim
6:26.0,C. Miles misses 3-pt shot from 23 ft (block by J. Smith),,9-9,,
6:25.0,,,9-9,,Defensive rebound by J. Smith
6:19.0,,,9-11,2,J. Smith makes 2-pt shot at rim
6:10.0,Indiana full timeout,,9-11,,
6:10.0,R. Stuckey enters the game for C. Miles,,9-11,,
5:55.0,R. Stuckey misses 3-pt shot from 25 ft,,9-11,,
5:54.0,,,9-11,,Defensive rebound by K. Irving
5:43.0,,,9-13,2,L. James makes 2-pt shot from 10 ft
5:25.0,Turnover by R. Hibbert (bad pass; steal by T. Mozgov),,9-13,,
5:08.0,,,9-15,2,T. Mozgov makes 2-pt shot at rim
4:49.0,R. Hibbert misses 2-pt shot from 6 ft,,9-15,,
4:48.0,,,9-15,,Defensive rebound by K. Love
4:40.0,,,9-18,3,K. Irving makes 3-pt shot from 26 ft (assist by J. Smith)
4:16.0,R. Hibbert misses 2-pt shot from 6 ft,,9-18,,
4:15.0,Offensive rebound by D. West,,9-18,,
4:08.0,D. West misses 2-pt shot from 12 ft,,9-18,,
4:07.0,,,9-18,,Defensive rebound by T. Mozgov
3:54.0,,,9-18,,T. Mozgov misses 2-pt shot from 6 ft
3:51.0,Defensive rebound by R. Stuckey,,9-18,,
3:38.0,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey),2,11-18,,
3:19.0,,,11-18,,Turnover by T. Mozgov (lost ball; steal by D. West)
3:06.0,D. West misses 2-pt shot from 18 ft,,11-18,,
3:05.0,,,11-18,,Defensive rebound by L. James
3:00.0,,,11-18,,Shooting foul by D. West (drawn by T. Mozgov)
3:00.0,,,11-19,1,T. Mozgov makes free throw 1 of 2
3:00.0,I. Mahinmi enters the game for R. Hibbert,,11-19,,
3:00.0,,,11-19,,I. Shumpert enters the game for L. James
3:00.0,D. Rudez enters the game for S. Hill,,11-19,,
3:00.0,,,11-20,1,T. Mozgov makes free throw 2 of 2
2:40.0,D. West misses 2-pt shot from 4 ft,,11-20,,
2:38.0,Offensive rebound by D. West,,11-20,,
2:38.0,D. West misses 2-pt shot at rim,,11-20,,
2:35.0,,,11-20,,Defensive rebound by T. Mozgov
2:32.0,Personal foul by D. West (drawn by K. Love),,11-20,,
2:32.0,,,11-20,,Cleveland full timeout
2:32.0,L. Scola enters the game for D. West,,11-20,,
2:32.0,,,11-20,,T. Thompson enters the game for T. Mozgov
2:25.0,Personal foul by G. Hill (drawn by K. Irving),,11-20,,
2:16.0,,,11-20,,Shooting foul by I. Mahinmi (drawn by K. Irving)
2:16.0,,,11-21,1,K. Irving makes free throw 1 of 2
2:16.0,,,11-22,1,K. Irving makes free throw 2 of 2
1:59.0,R. Stuckey misses 2-pt shot from 18 ft,,11-22,,
1:58.0,,,11-22,,Defensive rebound by Team
1:44.0,,,11-22,,Offensive foul by T. Thompson
1:44.0,,,11-22,,Turnover by T. Thompson (offensive foul)
