time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Mozgov (J. Wall gains possession),,,,Jump ball: M. Gortat vs. T. Mozgov (J. Wall gains possession)
11:38.0,,,0-0,,M. Gortat misses 2-pt shot from 11 ft
11:37.0,Defensive rebound by J. Smith,,0-0,,
11:25.0,L. James misses 2-pt shot from 20 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by M. Gortat
11:14.0,,,0-0,,P. Pierce misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by T. Mozgov,,0-0,,
11:05.0,J. Smith misses 3-pt shot from 26 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by M. Gortat
10:55.0,,,0-2,2,J. Wall makes 2-pt shot at rim
10:39.0,K. Love makes 2-pt shot from 2 ft (assist by L. James),2,2-2,,
10:25.0,,,2-2,,N. Hilario misses 2-pt shot from 18 ft
10:24.0,Defensive rebound by K. Love,,2-2,,
10:17.0,K. Irving makes 2-pt shot at rim (assist by L. James),2,4-2,,
10:05.0,,,4-2,,Turnover by P. Pierce (bad pass; steal by K. Love)
10:01.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,6-2,,
9:49.0,,,6-2,,Turnover by J. Wall (bad pass)
9:37.0,L. James makes 2-pt shot from 1 ft (assist by T. Mozgov),2,8-2,,
9:37.0,Shooting foul by P. Pierce (drawn by L. James),,8-2,,
9:37.0,L. James misses free throw 1 of 1,,8-2,,
9:36.0,,,8-2,,Defensive rebound by N. Hilario
9:24.0,,,8-4,2,N. Hilario makes 2-pt shot from 2 ft
9:13.0,Turnover by K. Irving (bad pass; steal by O. Porter),,8-4,,
9:06.0,,,8-6,2,J. Wall makes 2-pt shot from 2 ft
8:56.0,K. Irving makes 2-pt shot from 1 ft,2,10-6,,
8:38.0,,,10-8,2,N. Hilario makes 2-pt shot from 1 ft
