time,Atlanta,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (D. Rose gains possession),,,,Jump ball: P. Gasol vs. A. Horford (D. Rose gains possession)
11:46.0,,,0-0,,D. Rose misses 2-pt shot from 21 ft
11:45.0,Defensive rebound by A. Horford,,0-0,,
11:33.0,J. Teague misses 2-pt shot from 2 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Butler
11:27.0,,,0-0,,Turnover by J. Butler (bad pass; steal by J. Teague)
11:18.0,P. Millsap misses 3-pt shot from 25 ft,,0-0,,
11:16.0,Offensive rebound by A. Horford,,0-0,,
11:09.0,D. Carroll misses 3-pt shot from 23 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by P. Gasol
11:01.0,,,0-0,,Turnover by P. Gasol (bad pass; steal by J. Teague)
10:58.0,J. Teague makes 2-pt shot from 2 ft,2,2-0,,
10:37.0,,,2-2,2,J. Butler makes 2-pt shot from 16 ft (assist by D. Rose)
10:16.0,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap),3,5-2,,
9:57.0,,,5-5,3,K. Hinrich makes 3-pt shot from 24 ft (assist by D. Rose)
9:39.0,A. Horford makes 2-pt shot from 20 ft (assist by P. Millsap),2,7-5,,
9:18.0,,,7-7,2,P. Gasol makes 2-pt shot from 17 ft (assist by K. Hinrich)
9:02.0,J. Teague misses 2-pt shot from 17 ft,,7-7,,
9:01.0,,,7-7,,Defensive rebound by P. Gasol
8:55.0,,,7-7,,D. Rose misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by K. Korver,,7-7,,
8:44.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,9-7,,
8:22.0,,,9-7,,T. Gibson misses 2-pt shot from 13 ft
8:21.0,,,9-7,,Offensive rebound by Team
8:01.0,,,9-7,,J. Butler misses 2-pt shot from 20 ft
7:59.0,Defensive rebound by P. Millsap,,9-7,,
7:46.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,11-7,,
7:20.0,,,11-7,,Turnover by P. Gasol (bad pass; steal by K. Korver)
7:04.0,A. Horford misses 3-pt shot from 23 ft,,11-7,,
7:03.0,,,11-7,,Defensive rebound by P. Gasol
6:57.0,,,11-7,,K. Hinrich misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by Team,,11-7,,
6:41.0,Turnover by A. Horford (bad pass; steal by K. Hinrich),,11-7,,
6:35.0,,,11-7,,D. Rose misses 2-pt shot from 7 ft
6:33.0,Defensive rebound by D. Carroll,,11-7,,
6:31.0,,,11-7,,Personal foul by K. Hinrich (drawn by D. Carroll)
6:22.0,E. Brand enters the game for A. Horford,,11-7,,
6:20.0,Shooting foul by K. Hinrich (drawn by D. Carroll),,11-7,,
6:20.0,D. Carroll makes free throw 1 of 2,1,12-7,,
6:20.0,,,12-7,,E. Moore enters the game for K. Hinrich
6:20.0,T. Sefolosha enters the game for K. Korver,,12-7,,
6:20.0,D. Carroll misses free throw 2 of 2,,12-7,,
6:18.0,,,12-7,,Defensive rebound by P. Gasol
6:09.0,,,12-9,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose)
5:52.0,P. Millsap misses 2-pt shot from 2 ft,,12-9,,
5:51.0,,,12-9,,Defensive rebound by P. Gasol
5:46.0,,,12-9,,J. Butler misses 2-pt shot from 6 ft (block by T. Sefolosha)
5:44.0,,,12-9,,Offensive rebound by J. Butler
5:38.0,,,12-9,,P. Gasol misses 2-pt shot from 20 ft
5:36.0,Defensive rebound by D. Carroll,,12-9,,
5:24.0,E. Brand makes 2-pt shot from 12 ft (assist by J. Teague),2,14-9,,
5:11.0,Personal foul by P. Millsap (drawn by T. Gibson),,14-9,,
5:11.0,,,14-9,,Chicago full timeout
