time,LA Clippers,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. L. Sanders (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. L. Sanders (B. Griffin gains possession)
11:45.0,J. Redick misses 2-pt shot from 18 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by B. Knight
11:29.0,,,0-0,,Turnover by O. Mayo (bad pass)
11:20.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,3-0,,
11:00.0,,,3-2,2,J. Parker makes 2-pt shot at rim
10:39.0,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin),3,6-2,,
10:23.0,,,6-4,2,O. Mayo makes 2-pt shot from 16 ft (assist by B. Knight)
10:12.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,8-4,,
10:03.0,,,8-4,,Shooting foul by D. Jordan (drawn by B. Knight)
10:03.0,,,8-4,,B. Knight misses free throw 1 of 2
10:03.0,,,8-4,,Offensive rebound by Team
10:03.0,,,8-5,1,B. Knight makes free throw 2 of 2
9:59.0,Turnover by C. Paul (palming),,8-5,,
9:48.0,,,8-7,2,O. Mayo makes 2-pt shot at rim (assist by B. Knight)
9:25.0,J. Redick misses 3-pt shot from 23 ft,,8-7,,
9:24.0,,,8-7,,Defensive rebound by L. Sanders
9:11.0,,,8-9,2,O. Mayo makes 2-pt shot from 16 ft
8:56.0,,,8-9,,Personal foul by O. Mayo (drawn by B. Griffin)
8:54.0,B. Griffin makes 2-pt shot at rim (assist by J. Redick),2,10-9,,
8:37.0,,,10-11,2,J. Parker makes 2-pt shot from 17 ft (assist by O. Mayo)
8:23.0,C. Paul makes 2-pt shot from 13 ft,2,12-11,,
8:23.0,,,12-11,,Turnover by G. Antetokounmpo (bad pass; steal by D. Jordan)
7:52.0,C. Paul misses 3-pt shot from 25 ft,,12-11,,
7:51.0,,,12-11,,Defensive rebound by Team
7:35.0,,,12-11,,Turnover by G. Antetokounmpo (step out of bounds)
7:28.0,B. Griffin misses 2-pt shot from 18 ft,,12-11,,
7:27.0,,,12-11,,Defensive rebound by G. Antetokounmpo
7:21.0,,,12-13,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:08.0,Shooting foul by O. Mayo (drawn by J. Redick),,12-13,,
7:08.0,J. Redick makes free throw 1 of 2,1,13-13,,
7:08.0,,,13-13,,Z. Pachulia enters the game for L. Sanders
7:08.0,,,13-13,,J. Bayless enters the game for O. Mayo
7:08.0,J. Redick makes free throw 2 of 2,1,14-13,,
6:44.0,,,14-13,,G. Antetokounmpo misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by B. Griffin,,14-13,,
6:34.0,,,14-13,,Personal foul by J. Bayless (drawn by J. Redick)
6:29.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,17-13,,
6:18.0,,,17-13,,Z. Pachulia misses 2-pt shot from 15 ft
6:17.0,Defensive rebound by D. Jordan,,17-13,,
6:13.0,Turnover by M. Barnes (bad pass),,17-13,,
6:13.0,,,17-13,,Milwaukee full timeout
5:59.0,,,17-15,2,J. Parker makes 2-pt shot at rim (assist by J. Bayless)
5:42.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,20-15,,
5:25.0,,,20-15,,J. Parker misses 2-pt shot from 20 ft
5:24.0,Defensive rebound by J. Redick,,20-15,,
5:19.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,22-15,,
5:01.0,,,22-15,,B. Knight misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by J. Redick,,22-15,,
4:51.0,M. Barnes misses 3-pt shot from 23 ft,,22-15,,
4:50.0,,,22-15,,Defensive rebound by Z. Pachulia
4:37.0,,,22-15,,Z. Pachulia misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by D. Jordan,,22-15,,
4:29.0,Turnover by C. Paul (traveling),,22-15,,
4:17.0,,,22-15,,Z. Pachulia misses 2-pt shot from 18 ft
4:16.0,Defensive rebound by J. Redick,,22-15,,
3:57.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,24-15,,
3:39.0,,,24-18,3,B. Knight makes 3-pt shot from 25 ft
3:23.0,J. Redick misses 2-pt shot from 14 ft,,24-18,,
3:22.0,,,24-18,,Defensive rebound by B. Knight
3:22.0,Personal block foul by J. Redick (drawn by B. Knight),,24-18,,
3:22.0,,,24-18,,L. Sanders enters the game for Z. Pachulia
3:22.0,J. Crawford enters the game for M. Barnes,,24-18,,
3:09.0,,,24-18,,Turnover by B. Knight (bad pass; steal by B. Griffin)
3:04.0,,,24-18,,Shooting block foul by J. Parker (drawn by B. Griffin)
3:04.0,B. Griffin misses free throw 1 of 2,,24-18,,
3:04.0,Offensive rebound by Team,,24-18,,
3:04.0,B. Griffin makes free throw 2 of 2,1,25-18,,
2:49.0,,,25-20,2,G. Antetokounmpo makes 2-pt shot at rim (assist by L. Sanders)
2:28.0,LA Clippers full timeout,,25-20,,
2:23.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,27-20,,
2:05.0,,,27-20,,G. Antetokounmpo misses 2-pt shot from 7 ft
2:04.0,Defensive rebound by D. Jordan,,27-20,,
1:50.0,Offensive foul by C. Paul,,27-20,,
1:50.0,Turnover by C. Paul (offensive foul),,27-20,,
1:50.0,G. Davis enters the game for D. Jordan,,27-20,,
1:39.0,,,27-22,2,G. Antetokounmpo makes 2-pt shot at rim
1:24.0,C. Paul misses 2-pt shot at rim,,27-22,,
1:23.0,,,27-22,,Defensive rebound by L. Sanders
1:09.0,,,27-22,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:08.0,,,27-22,,Offensive rebound by L. Sanders
1:08.0,,,27-24,2,L. Sanders makes 2-pt shot at rim
0:50.0,Turnover by J. Redick (lost ball; steal by G. Antetokounmpo),,27-24,,
0:47.0,,,27-26,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
0:35.0,,,27-26,,Def 3 sec tech foul by L. Sanders
0:35.0,J. Redick makes technical free throw,1,28-26,,
0:27.0,B. Griffin misses 2-pt shot from 2 ft,,28-26,,
0:25.0,Offensive rebound by B. Griffin,,28-26,,
0:24.0,B. Griffin misses 2-pt shot at rim,,28-26,,
0:22.0,,,28-26,,Defensive rebound by J. Bayless
0:21.0,J. Farmar enters the game for C. Paul,,28-26,,
0:21.0,H. Turkoglu enters the game for J. Redick,,28-26,,
0:07.0,,,28-26,,B. Knight misses 2-pt shot at rim
0:05.0,Defensive rebound by B. Griffin,,28-26,,
0:00.0,J. Crawford misses 3-pt shot from 24 ft,,28-26,,
0:00.0,Offensive rebound by Team,,28-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Shooting block foul by H. Turkoglu (drawn by Z. Pachulia),,28-26,,
11:37.0,,,28-26,,Z. Pachulia misses free throw 1 of 2
11:37.0,,,28-26,,Offensive rebound by Team
11:37.0,,,28-26,,Z. Pachulia misses free throw 2 of 2
11:35.0,Defensive rebound by H. Turkoglu,,28-26,,
11:19.0,G. Davis makes 2-pt shot from 1 ft (assist by J. Crawford),2,30-26,,
11:05.0,,,30-26,,Shooting foul by C. Douglas-Roberts (drawn by J. Bayless)
11:05.0,,,30-27,1,J. Bayless makes free throw 1 of 2
11:05.0,,,30-28,1,J. Bayless makes free throw 2 of 2
10:45.0,G. Davis misses 2-pt shot from 15 ft,,30-28,,
10:44.0,,,30-28,,Defensive rebound by G. Antetokounmpo
10:25.0,,,30-28,,J. Bayless misses 2-pt shot from 15 ft
10:24.0,,,30-28,,Offensive rebound by Z. Pachulia
10:20.0,,,30-28,,Turnover by G. Antetokounmpo (offensive goaltending)
10:00.0,G. Davis makes 2-pt shot at rim (assist by J. Crawford),2,32-28,,
9:48.0,,,32-30,2,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia)
9:23.0,G. Davis misses 2-pt shot from 3 ft,,32-30,,
9:22.0,,,32-30,,Defensive rebound by G. Antetokounmpo
9:15.0,,,32-32,2,G. Antetokounmpo makes 2-pt shot at rim
9:15.0,,,32-32,,Shooting foul by C. Douglas-Roberts (drawn by G. Antetokounmpo)
9:15.0,,,32-32,,G. Antetokounmpo misses free throw 1 of 1
9:13.0,Defensive rebound by G. Davis,,32-32,,
8:49.0,Turnover by Team (shot clock),,32-32,,
8:26.0,,,32-34,2,Z. Pachulia makes 2-pt shot from 1 ft
8:03.0,C. Douglas-Roberts misses 2-pt shot from 20 ft,,32-34,,
8:02.0,,,32-34,,Defensive rebound by J. Bayless
7:52.0,,,32-34,,Turnover by K. Marshall (step out of bounds)
7:52.0,Official timeout,,32-34,,
7:52.0,D. Jordan enters the game for G. Davis,,32-34,,
7:52.0,,,32-34,,J. Parker enters the game for G. Antetokounmpo
7:52.0,,,32-34,,L. Sanders enters the game for Z. Pachulia
7:52.0,,,32-34,,K. Middleton enters the game for J. Bayless
7:40.0,H. Turkoglu misses 2-pt shot from 17 ft,,32-34,,
7:38.0,,,32-34,,Defensive rebound by K. Middleton
7:23.0,,,32-34,,K. Middleton misses 2-pt shot from 9 ft
7:22.0,,,32-34,,Offensive rebound by L. Sanders
7:22.0,,,32-34,,L. Sanders misses 2-pt shot at rim
7:21.0,,,32-34,,Offensive rebound by L. Sanders
7:21.0,,,32-36,2,L. Sanders makes 2-pt shot at rim
7:05.0,J. Farmar misses 3-pt shot from 25 ft,,32-36,,
7:04.0,,,32-36,,Defensive rebound by J. Parker
6:57.0,,,32-36,,J. Parker misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by C. Douglas-Roberts,,32-36,,
6:50.0,J. Crawford makes 2-pt shot from 18 ft,2,34-36,,
6:36.0,,,34-38,2,L. Sanders makes 2-pt shot from 1 ft (assist by K. Marshall)
6:23.0,J. Crawford misses 2-pt shot from 17 ft,,34-38,,
6:22.0,,,34-38,,Defensive rebound by J. Parker
6:09.0,,,34-40,2,J. Dudley makes 2-pt shot from 13 ft (assist by K. Marshall)
5:59.0,,,34-40,,Personal foul by K. Marshall (drawn by J. Farmar)
5:59.0,,,34-40,,Milwaukee full timeout
5:59.0,B. Griffin enters the game for H. Turkoglu,,34-40,,
5:59.0,M. Barnes enters the game for C. Douglas-Roberts,,34-40,,
5:55.0,Turnover by J. Crawford (back court),,34-40,,
5:55.0,C. Paul enters the game for J. Farmar,,34-40,,
5:41.0,,,34-40,,J. Parker misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by C. Paul,,34-40,,
5:31.0,M. Barnes makes 2-pt shot at rim (assist by C. Paul),2,36-40,,
5:18.0,,,36-43,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Parker)
5:00.0,J. Crawford makes 2-pt shot from 17 ft,2,38-43,,
4:45.0,,,38-43,,L. Sanders misses 2-pt shot at rim
4:43.0,Defensive rebound by D. Jordan,,38-43,,
4:37.0,J. Crawford misses 3-pt shot from 22 ft,,38-43,,
4:36.0,,,38-43,,Defensive rebound by K. Middleton
4:21.0,,,38-45,2,K. Marshall makes 2-pt shot from 18 ft
4:14.0,Turnover by J. Crawford (bad pass; steal by K. Marshall),,38-45,,
4:09.0,,,38-47,2,J. Parker makes 2-pt shot at rim (assist by K. Marshall)
4:01.0,LA Clippers full timeout,,38-47,,
4:01.0,J. Redick enters the game for J. Crawford,,38-47,,
3:44.0,M. Barnes misses 2-pt shot from 4 ft,,38-47,,
3:37.0,Jump ball: B. Griffin vs. K. Middleton (J. Parker gains possession),,,,Jump ball: B. Griffin vs. K. Middleton (J. Parker gains possession)
3:37.0,,,38-47,,Defensive rebound by Team
3:31.0,,,38-47,,Turnover by J. Parker (lost ball; steal by C. Paul)
3:26.0,M. Barnes misses 3-pt shot from 23 ft,,38-47,,
3:25.0,,,38-47,,Defensive rebound by K. Middleton
3:13.0,,,38-47,,K. Marshall misses 2-pt shot from 5 ft
3:12.0,Defensive rebound by C. Paul,,38-47,,
3:07.0,,,38-47,,B. Knight enters the game for K. Marshall
2:56.0,C. Paul misses 3-pt shot from 23 ft,,38-47,,
2:55.0,,,38-47,,Defensive rebound by L. Sanders
2:46.0,,,38-47,,Turnover by J. Parker (traveling)
2:46.0,LA Clippers full timeout,,38-47,,
2:46.0,,,38-47,,Z. Pachulia enters the game for L. Sanders
2:46.0,,,38-47,,G. Antetokounmpo enters the game for J. Dudley
2:36.0,,,38-47,,Def 3 sec tech foul by Z. Pachulia
2:36.0,J. Redick makes technical free throw,1,39-47,,
2:28.0,J. Redick misses 3-pt shot from 26 ft,,39-47,,
2:27.0,Offensive rebound by C. Paul,,39-47,,
2:18.0,Turnover by C. Paul (bad pass; steal by G. Antetokounmpo),,39-47,,
2:14.0,,,39-49,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:52.0,Jump ball: B. Griffin vs. B. Knight (C. Paul gains possession),,,,Jump ball: B. Griffin vs. B. Knight (C. Paul gains possession)
1:47.0,C. Paul misses 3-pt shot from 26 ft,,39-49,,
1:46.0,,,39-49,,Defensive rebound by Z. Pachulia
1:35.0,,,39-49,,Z. Pachulia misses 2-pt shot from 14 ft
1:34.0,Defensive rebound by D. Jordan,,39-49,,
1:27.0,,,39-49,,Personal foul by J. Parker (drawn by B. Griffin)
1:14.0,B. Griffin misses 2-pt shot from 16 ft,,39-49,,
1:12.0,,,39-49,,Defensive rebound by K. Middleton
1:01.0,,,39-49,,B. Knight misses 2-pt shot from 14 ft
1:00.0,Defensive rebound by D. Jordan,,39-49,,
0:49.0,M. Barnes misses 2-pt shot at rim (block by Z. Pachulia),,39-49,,
0:49.0,Offensive rebound by Team,,39-49,,
0:45.0,B. Griffin misses 2-pt shot from 5 ft,,39-49,,
0:44.0,,,39-49,,Defensive rebound by K. Middleton
0:40.0,,,39-49,,Shooting foul by M. Barnes (drawn by G. Antetokounmpo)
0:40.0,,,39-49,,Technical foul by G. Antetokounmpo
0:40.0,J. Redick makes technical free throw,1,40-49,,
0:40.0,,,40-50,1,G. Antetokounmpo makes free throw 1 of 2
0:40.0,,,40-51,1,G. Antetokounmpo makes free throw 2 of 2
0:30.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,42-51,,
0:09.0,,,42-51,,Turnover by Z. Pachulia (bad pass; steal by D. Jordan)
0:04.0,Turnover by C. Paul (bad pass),,42-51,,
0:00.0,,,42-51,,B. Knight misses 2-pt shot from 2 ft (block by D. Jordan)
0:00.0,,,42-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-51,,Turnover by J. Parker (bad pass)
11:29.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,44-51,,
11:16.0,,,44-51,,Shooting foul by M. Barnes (drawn by L. Sanders)
11:16.0,,,44-51,,L. Sanders misses free throw 1 of 2
11:16.0,,,44-51,,Offensive rebound by Team
11:16.0,,,44-52,1,L. Sanders makes free throw 2 of 2
11:03.0,J. Redick misses 2-pt shot from 16 ft,,44-52,,
11:02.0,,,44-52,,Defensive rebound by B. Knight
10:47.0,,,44-52,,J. Parker misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by D. Jordan,,44-52,,
10:39.0,,,44-52,,Personal foul by J. Parker (drawn by D. Jordan)
10:27.0,B. Griffin misses 2-pt shot from 16 ft,,44-52,,
10:26.0,,,44-52,,Defensive rebound by G. Antetokounmpo
10:19.0,,,44-52,,Turnover by O. Mayo (bad pass; steal by J. Redick)
10:12.0,J. Redick makes 3-pt shot from 22 ft (assist by B. Griffin),3,47-52,,
9:55.0,,,47-52,,Turnover by J. Parker (bad pass; steal by M. Barnes)
9:47.0,M. Barnes misses 2-pt shot from 17 ft,,47-52,,
9:46.0,Offensive rebound by D. Jordan,,47-52,,
9:45.0,D. Jordan misses 2-pt shot from 1 ft,,47-52,,
9:44.0,,,47-52,,Defensive rebound by J. Parker
9:27.0,,,47-54,2,G. Antetokounmpo makes 2-pt shot at rim
9:21.0,M. Barnes misses 2-pt shot at rim (block by G. Antetokounmpo),,47-54,,
9:20.0,Offensive rebound by Team,,47-54,,
9:11.0,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick),3,50-54,,
8:57.0,,,50-54,,B. Knight misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by J. Redick,,50-54,,
8:47.0,M. Barnes misses 2-pt shot at rim,,50-54,,
8:45.0,,,50-54,,Defensive rebound by L. Sanders
8:37.0,,,50-56,2,L. Sanders makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:19.0,C. Paul makes 2-pt shot from 15 ft,2,52-56,,
7:54.0,,,52-56,,O. Mayo misses 3-pt shot from 27 ft
7:54.0,Defensive rebound by Team,,52-56,,
7:47.0,C. Paul misses 2-pt shot from 17 ft,,52-56,,
7:46.0,,,52-56,,Defensive rebound by G. Antetokounmpo
7:31.0,,,52-58,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
7:17.0,C. Paul misses 2-pt shot at rim,,52-58,,
7:15.0,,,52-58,,Defensive rebound by L. Sanders
7:08.0,,,52-58,,O. Mayo misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by D. Jordan,,52-58,,
6:52.0,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick),3,55-58,,
6:30.0,Personal foul by C. Paul (drawn by B. Knight),,55-58,,
6:21.0,Jump ball: C. Paul vs. L. Sanders,,,,Jump ball: C. Paul vs. L. Sanders
6:15.0,,,55-58,,B. Knight misses 3-pt shot from 25 ft
6:13.0,,,55-58,,Offensive rebound by Team
6:13.0,,,55-58,,Turnover by Team (shot clock)
5:57.0,J. Redick misses 2-pt shot from 17 ft,,55-58,,
5:56.0,Offensive rebound by D. Jordan,,55-58,,
5:53.0,D. Jordan misses 2-pt shot at rim (block by L. Sanders),,55-58,,
5:49.0,,,55-58,,Defensive rebound by B. Knight
5:47.0,,,55-60,2,B. Knight makes 2-pt shot at rim
5:34.0,,,55-60,,Personal foul by B. Knight (drawn by C. Paul)
5:34.0,,,55-60,,Milwaukee full timeout
5:34.0,J. Crawford enters the game for J. Redick,,55-60,,
5:34.0,,,55-60,,J. Dudley enters the game for J. Parker
5:34.0,,,55-60,,J. Bayless enters the game for L. Sanders
5:34.0,,,55-60,,Z. Pachulia enters the game for O. Mayo
5:17.0,C. Paul misses 3-pt shot from 24 ft,,55-60,,
5:16.0,Offensive rebound by D. Jordan,,55-60,,
5:07.0,,,55-60,,Personal foul by J. Bayless (drawn by B. Griffin)
4:59.0,C. Paul misses 2-pt shot from 13 ft,,55-60,,
4:58.0,Offensive rebound by C. Paul,,55-60,,
4:48.0,C. Paul makes 2-pt shot from 14 ft,2,57-60,,
4:34.0,,,57-62,2,B. Knight makes 2-pt shot from 17 ft
4:17.0,J. Crawford makes 2-pt shot from 14 ft (assist by D. Jordan),2,59-62,,
4:03.0,Personal foul by C. Paul (drawn by B. Knight),,59-62,,
3:55.0,,,59-64,2,B. Knight makes 2-pt shot from 20 ft (assist by Z. Pachulia)
3:40.0,M. Barnes makes 2-pt shot at rim,2,61-64,,
3:38.0,Technical foul by M. Barnes,,61-64,,
3:38.0,,,61-65,1,B. Knight makes technical free throw
3:14.0,,,61-65,,Turnover by J. Bayless (lost ball; steal by B. Griffin)
3:08.0,,,61-65,,Shooting block foul by J. Bayless (drawn by J. Crawford)
3:08.0,J. Crawford makes free throw 1 of 2,1,62-65,,
3:08.0,J. Crawford makes free throw 2 of 2,1,63-65,,
3:00.0,,,63-65,,Turnover by Z. Pachulia (lost ball; steal by M. Barnes)
2:57.0,M. Barnes makes 2-pt shot at rim,2,65-65,,
2:46.0,Personal foul by B. Griffin (drawn by B. Knight),,65-65,,
2:46.0,LA Clippers full timeout,,65-65,,
2:37.0,,,65-65,,J. Dudley misses 2-pt shot from 14 ft
2:35.0,Defensive rebound by M. Barnes,,65-65,,
2:24.0,M. Barnes makes 3-pt shot from 24 ft (assist by B. Griffin),3,68-65,,
2:01.0,,,68-68,3,B. Knight makes 3-pt shot from 23 ft (assist by J. Dudley)
1:41.0,Offensive foul by C. Paul,,68-68,,
1:41.0,Turnover by C. Paul (offensive foul),,68-68,,
1:41.0,,,68-68,,K. Middleton enters the game for G. Antetokounmpo
1:41.0,Violation by Team (delay of game),,68-68,,
1:41.0,J. Farmar enters the game for C. Paul,,68-68,,
1:31.0,,,68-68,,B. Knight misses 2-pt shot at rim (block by D. Jordan)
1:29.0,Defensive rebound by D. Jordan,,68-68,,
1:17.0,J. Crawford misses 2-pt shot from 3 ft,,68-68,,
1:17.0,Offensive rebound by B. Griffin,,68-68,,
1:17.0,B. Griffin misses 2-pt shot at rim,,68-68,,
1:17.0,,,68-68,,Defensive rebound by Team
0:54.0,,,68-68,,Shooting foul by J. Farmar (drawn by Z. Pachulia)
0:54.0,J. Redick enters the game for M. Barnes,,68-68,,
0:54.0,H. Turkoglu enters the game for D. Jordan,,68-68,,
0:54.0,,,68-69,1,Z. Pachulia makes free throw 1 of 2
0:54.0,,,68-70,1,Z. Pachulia makes free throw 2 of 2
0:30.0,J. Crawford makes 3-pt shot from 27 ft (assist by B. Griffin),3,71-70,,
0:09.0,,,71-72,2,K. Middleton makes 2-pt shot from 19 ft (assist by B. Knight)
0:01.0,J. Crawford misses 3-pt shot from 28 ft,,71-72,,
0:00.0,Offensive rebound by Team,,71-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,71-72,,Personal foul by L. Sanders (drawn by B. Griffin)
11:41.0,J. Farmar makes 3-pt shot from 24 ft (assist by H. Turkoglu),3,74-72,,
11:17.0,,,74-72,,J. Dudley misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by B. Griffin,,74-72,,
11:03.0,,,74-72,,Personal foul by K. Marshall (drawn by J. Farmar)
10:53.0,,,74-72,,Shooting block foul by L. Sanders (drawn by J. Redick)
10:53.0,J. Redick makes free throw 1 of 2,1,75-72,,
10:53.0,J. Redick makes free throw 2 of 2,1,76-72,,
10:46.0,Personal foul by J. Farmar (drawn by K. Marshall),,76-72,,
10:36.0,,,76-72,,K. Marshall misses 2-pt shot from 14 ft
10:34.0,,,76-72,,Offensive rebound by L. Sanders
10:34.0,,,76-74,2,L. Sanders makes 2-pt shot at rim
10:20.0,J. Crawford misses 2-pt shot from 13 ft,,76-74,,
10:19.0,,,76-74,,Defensive rebound by J. Bayless
10:15.0,Personal foul by J. Crawford (drawn by J. Bayless),,76-74,,
10:15.0,D. Jordan enters the game for B. Griffin,,76-74,,
10:05.0,,,76-76,2,K. Middleton makes 2-pt shot from 7 ft (assist by J. Dudley)
