time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (D. Green gains possession)
11:38.0,A. Bogut misses 2-pt shot from 2 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Z. Randolph
11:18.0,,,0-0,,M. Gasol misses 2-pt shot from 8 ft
11:18.0,,,0-0,,Offensive rebound by T. Allen
11:09.0,,,0-2,2,C. Lee makes 2-pt shot from 20 ft (assist by M. Gasol)
10:55.0,D. Green makes 3-pt shot from 24 ft (assist by A. Bogut),3,3-2,,
10:38.0,,,3-2,,Turnover by M. Conley (lost ball)
10:28.0,K. Thompson misses 2-pt shot from 2 ft (block by T. Allen),,3-2,,
10:26.0,Offensive rebound by D. Green,,3-2,,
10:26.0,,,3-2,,Personal foul by T. Allen (drawn by D. Green)
10:25.0,Offensive foul by D. Green,,3-2,,
10:25.0,Turnover by D. Green (offensive foul),,3-2,,
10:13.0,,,3-2,,Turnover by Z. Randolph (bad pass; steal by D. Green)
10:08.0,H. Barnes misses 2-pt shot from 1 ft,,3-2,,
10:05.0,Offensive rebound by D. Green,,3-2,,
10:05.0,D. Green makes 2-pt shot from 2 ft,2,5-2,,
9:54.0,,,5-4,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
9:29.0,K. Thompson makes 2-pt shot from 13 ft (assist by H. Barnes),2,7-4,,
9:20.0,,,7-6,2,T. Allen makes 2-pt shot from 19 ft (assist by M. Conley)
9:03.0,H. Barnes misses 2-pt shot at rim,,7-6,,
9:00.0,,,7-6,,Defensive rebound by C. Lee
8:56.0,,,7-6,,T. Allen misses 3-pt shot from 22 ft
8:54.0,,,7-6,,Offensive rebound by Z. Randolph
8:52.0,,,7-6,,Z. Randolph misses 2-pt shot from 3 ft
8:50.0,Defensive rebound by D. Green,,7-6,,
8:50.0,Turnover by D. Green (bad pass),,7-6,,
8:31.0,,,7-6,,T. Allen misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by H. Barnes,,7-6,,
8:21.0,K. Thompson misses 2-pt shot from 11 ft,,7-6,,
8:20.0,,,7-6,,Defensive rebound by M. Gasol
8:07.0,,,7-6,,M. Gasol misses 2-pt shot from 17 ft
8:06.0,Defensive rebound by D. Green,,7-6,,
8:01.0,Shooting foul by M. Gasol (drawn by D. Green),,7-6,,
8:01.0,D. Green misses free throw 1 of 2,,7-6,,
8:01.0,Offensive rebound by Team,,7-6,,
8:01.0,D. Green makes free throw 2 of 2,1,8-6,,
7:52.0,,,8-9,3,M. Conley makes 3-pt shot from 25 ft
7:37.0,D. Green makes 2-pt shot from 19 ft,2,10-9,,
