time,Charlotte,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. C. Zeller (M. Carter-Williams gains possession),,,,Jump ball: N. Noel vs. C. Zeller (M. Carter-Williams gains possession)
11:48.0,,,0-3,3,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
11:29.0,G. Henderson makes 2-pt shot from 13 ft,2,2-3,,
11:04.0,,,2-3,,M. Carter-Williams misses 2-pt shot from 16 ft
11:02.0,Defensive rebound by C. Zeller,,2-3,,
10:49.0,G. Henderson makes 2-pt shot from 16 ft (assist by K. Walker),2,4-3,,
10:32.0,,,4-5,2,N. Noel makes 2-pt shot from 16 ft (assist by H. Thompson)
10:17.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by G. Henderson),2,6-5,,
10:00.0,,,6-5,,R. Covington misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by M. Kidd-Gilchrist,,6-5,,
9:52.0,C. Zeller misses 2-pt shot from 1 ft (block by N. Noel),,6-5,,
9:50.0,,,6-5,,Defensive rebound by N. Noel
9:40.0,,,6-5,,N. Noel misses 2-pt shot from 13 ft
9:38.0,Defensive rebound by Team,,6-5,,
9:26.0,K. Walker makes 2-pt shot from 1 ft (assist by A. Jefferson),2,8-5,,
9:13.0,,,8-5,,M. Carter-Williams misses 2-pt shot from 2 ft
9:12.0,Defensive rebound by C. Zeller,,8-5,,
9:06.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,8-5,,
9:04.0,,,8-5,,Defensive rebound by N. Noel
8:59.0,,,8-8,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
8:46.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by N. Noel),,8-8,,
8:44.0,,,8-8,,Defensive rebound by L. Mbah a Moute
8:39.0,,,8-8,,Turnover by L. Mbah a Moute (bad pass)
8:25.0,A. Jefferson misses 2-pt shot from 13 ft,,8-8,,
8:23.0,,,8-8,,Defensive rebound by M. Carter-Williams
8:17.0,,,8-10,2,M. Carter-Williams makes 2-pt shot from 4 ft
7:59.0,K. Walker makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist),3,11-10,,
7:53.0,,,11-10,,Turnover by R. Covington (lost ball; steal by K. Walker)
7:48.0,K. Walker misses 2-pt shot from 2 ft,,11-10,,
7:45.0,,,11-10,,Defensive rebound by R. Covington
7:38.0,,,11-10,,H. Thompson misses 2-pt shot from 20 ft
7:36.0,Defensive rebound by A. Jefferson,,11-10,,
7:29.0,K. Walker makes 2-pt shot from 20 ft,2,13-10,,
7:27.0,,,13-10,,Philadelphia full timeout
7:09.0,,,13-12,2,M. Carter-Williams makes 2-pt shot from 8 ft (assist by N. Noel)
6:52.0,A. Jefferson misses 2-pt shot from 4 ft,,13-12,,
6:50.0,Offensive rebound by C. Zeller,,13-12,,
6:50.0,C. Zeller misses 2-pt shot from 1 ft,,13-12,,
6:49.0,,,13-12,,Defensive rebound by H. Thompson
6:37.0,,,13-14,2,H. Thompson makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
6:23.0,A. Jefferson misses 2-pt shot from 6 ft,,13-14,,
6:23.0,Offensive rebound by A. Jefferson,,13-14,,
6:23.0,Turnover by A. Jefferson (traveling),,13-14,,
6:23.0,,,13-14,,J. Sampson enters the game for H. Thompson
6:14.0,,,13-14,,Shooting foul by C. Zeller (drawn by R. Covington)
6:14.0,,,13-14,,R. Covington misses free throw 1 of 2
6:14.0,,,13-14,,Offensive rebound by Team
6:14.0,,,13-15,1,R. Covington makes free throw 2 of 2
5:58.0,G. Henderson makes 2-pt shot from 19 ft,2,15-15,,
5:41.0,,,15-15,,N. Noel misses 2-pt shot from 6 ft
5:39.0,Defensive rebound by C. Zeller,,15-15,,
