time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: A. Horford vs. N. Vucevic (C. Frye gains possession)
11:45.0,,,0-0,,T. Harris misses 2-pt shot from 21 ft
11:44.0,Defensive rebound by A. Horford,,0-0,,
11:25.0,A. Horford misses 2-pt shot from 16 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by C. Frye
11:12.0,,,0-0,,Turnover by V. Oladipo (lost ball)
10:52.0,P. Millsap makes 2-pt shot from 4 ft,2,2-0,,
10:32.0,,,2-2,2,N. Vucevic makes 2-pt shot at rim (assist by T. Harris)
10:17.0,A. Horford makes 2-pt shot from 18 ft (assist by K. Korver),2,4-2,,
9:59.0,,,4-2,,N. Vucevic misses 2-pt shot from 1 ft
9:57.0,,,4-2,,Offensive rebound by T. Harris
9:57.0,,,4-4,2,T. Harris makes 2-pt shot from 1 ft
9:43.0,P. Millsap misses 3-pt shot from 23 ft,,4-4,,
9:42.0,Offensive rebound by A. Horford,,4-4,,
9:36.0,A. Horford misses 2-pt shot from 17 ft,,4-4,,
9:34.0,,,4-4,,Defensive rebound by Team
9:21.0,,,4-4,,C. Frye misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by D. Carroll,,4-4,,
9:09.0,J. Teague makes 3-pt shot from 27 ft (assist by P. Millsap),3,7-4,,
8:52.0,,,7-6,2,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo)
8:34.0,D. Carroll misses 2-pt shot from 5 ft (block by T. Harris),,7-6,,
8:34.0,Offensive rebound by Team,,7-6,,
8:24.0,P. Millsap misses 2-pt shot from 5 ft,,7-6,,
8:23.0,,,7-6,,Defensive rebound by N. Vucevic
8:05.0,,,7-6,,Turnover by N. Vucevic (lost ball)
7:55.0,P. Millsap misses 3-pt shot from 27 ft,,7-6,,
7:54.0,,,7-6,,Defensive rebound by N. Vucevic
7:47.0,,,7-6,,Turnover by V. Oladipo (bad pass)
7:31.0,D. Carroll makes 3-pt shot from 26 ft (assist by A. Horford),3,10-6,,
7:11.0,,,10-8,2,T. Harris makes 2-pt shot from 8 ft (assist by C. Frye)
6:56.0,Shooting foul by V. Oladipo (drawn by J. Teague),,10-8,,
6:56.0,J. Teague misses free throw 1 of 2,,10-8,,
6:56.0,Offensive rebound by Team,,10-8,,
6:56.0,J. Teague makes free throw 2 of 2,1,11-8,,
6:46.0,,,11-8,,Turnover by V. Oladipo (lost ball; steal by A. Horford)
6:40.0,J. Teague makes 2-pt shot from 7 ft (assist by K. Korver),2,13-8,,
6:20.0,,,13-10,2,E. Fournier makes 2-pt shot from 20 ft (assist by C. Frye)
6:05.0,D. Carroll misses 3-pt shot from 25 ft,,13-10,,
6:03.0,,,13-10,,Defensive rebound by N. Vucevic
5:55.0,,,13-10,,T. Harris misses 2-pt shot from 10 ft
5:53.0,Defensive rebound by K. Korver,,13-10,,
5:43.0,A. Horford misses 2-pt shot from 5 ft,,13-10,,
5:42.0,,,13-10,,Defensive rebound by N. Vucevic
5:38.0,,,13-10,,Orlando full timeout
5:38.0,E. Brand enters the game for A. Horford,,13-10,,
5:38.0,T. Sefolosha enters the game for K. Korver,,13-10,,
5:26.0,,,13-10,,V. Oladipo misses 2-pt shot from 17 ft
5:24.0,Defensive rebound by E. Brand,,13-10,,
5:13.0,J. Teague misses 3-pt shot from 25 ft,,13-10,,
5:10.0,,,13-10,,Defensive rebound by E. Fournier
5:07.0,,,13-10,,Turnover by V. Oladipo (lost ball; steal by J. Teague)
5:04.0,J. Teague makes 2-pt shot at rim,2,15-10,,
4:48.0,,,15-13,3,V. Oladipo makes 3-pt shot from 23 ft (assist by T. Harris)
4:25.0,E. Brand misses 2-pt shot from 15 ft,,15-13,,
4:23.0,,,15-13,,Defensive rebound by V. Oladipo
4:12.0,,,15-16,3,C. Frye makes 3-pt shot from 27 ft (assist by T. Harris)
3:58.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,17-16,,
3:47.0,,,17-16,,Offensive charge foul by T. Harris
3:47.0,,,17-16,,Turnover by T. Harris (offensive foul)
3:47.0,,,17-16,,D. Dedmon enters the game for N. Vucevic
3:47.0,Atlanta full timeout,,17-16,,
3:40.0,Turnover by J. Teague (lost ball; steal by V. Oladipo),,17-16,,
3:36.0,,,17-16,,Turnover by V. Oladipo (lost ball; steal by J. Teague)
3:33.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague),2,19-16,,
3:32.0,Violation by Team (delay of game),,19-16,,
3:18.0,,,19-16,,T. Harris misses 3-pt shot from 23 ft
